date,desc,text
24-Jun-2026 18:07:09,Trading Window,"Ksb Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
22-May-2026 19:02:53,Shareholders meeting,"Ksb Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on May 20, 2026. Further, the company has informed the Exchange regarding voting results."
20-May-2026 18:25:06,Shareholders meeting,"Ksb Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on May 20, 2026"
12-May-2026 21:11:43,Addendum,Ksb Limited has informed the Exchange about  the Addendum to the Notice of the 66th Annual General Meeting of the Company.
05-May-2026 17:21:34,Press Release,"Ksb Limited has informed the Exchange regarding a press release dated May 05, 2026 ""For the quarter ended 31st March 2026""."
30-Apr-2026 22:40:37,General Updates,Ksb Limited has informed the Exchange regarding the revised intimation for the outcome due to an inadvertent mistake in the covering letter filed previously. There are no changes in the results/number
30-Apr-2026 15:36:52,Change in Auditors,Ksb Limited has informed the Exchange regarding Change in Auditors of the company.
30-Apr-2026 15:07:33,Outcome of Board Meeting,"KSB Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
28-Apr-2026 23:33:46,General Updates,Ksb Limited has informed the Exchange about BRSR report.
28-Apr-2026 23:24:54,Shareholders meeting,"Ksb Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on May 20, 2026"
28-Apr-2026 15:23:06,Disclosure under SEBI Takeover Regulations,Canadian Kay Pump Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regu
02-Apr-2026 17:42:51,Disclosure under SEBI Takeover Regulations,"Paharpur Cooling Towers Limited, Industrial and Prudential Investment Company Limited, TKIL Industries Private Limited (formerly known as thyssenkrupp Industries India Private Limited), Swarup Family "
26-Mar-2026 14:31:24,Trading Window,"Ksb Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
23-Mar-2026 17:52:07,Analysts/Institutional Investor Meet/Con. Call Updates,Ksb Limited has informed the Exchange about Transcript
17-Mar-2026 19:13:13,Analysts/Institutional Investor Meet/Con. Call Updates,Ksb Limited has informed the Exchange about Link of Recording
17-Mar-2026 11:22:14,Investor Presentation,Ksb Limited has informed the Exchange about Investor Presentation
11-Mar-2026 15:07:21,Analysts/Institutional Investor Meet/Con. Call Updates,Ksb Limited has informed the Exchange about Schedule of meet
27-Feb-2026 17:02:48,Press Release,"Ksb Limited has informed the Exchange regarding a press release dated February 27, 2026, titled ""Press Release for the quarter and year ended 31st December 2025.""."
25-Feb-2026 18:32:23,General Updates,"Ksb Limited has informed the Exchange about the Annual General Meeting scheduled to be held on  Wednesday, 20th May, 2026 at 1:30 PM IST through Video Conferencing ( VC ) / Other Audio-Visual Means ( "
25-Feb-2026 18:23:40,Appointment,"Ksb Limited has informed the Exchange regarding re-appointment of Mr. Rajeev Jayantiprasad Jain as Managing Director of the company w.e.f. July 01, 2026, for a period of 5 years."
25-Feb-2026 18:06:02,General Updates,Ksb Limited has informed the exchange about the final dividend.
25-Feb-2026 17:52:33,Record Date,Ksb Limited has informed the Exchange that Record date for the purpose of Final Dividend  is 08-May-2026.
25-Feb-2026 17:33:18,Outcome of Board Meeting,"Ksb Limited has submitted to the Exchange, the outcome of board meeting held on February 25, 2026"
30-Jan-2026 14:08:03,General Updates,Annual Disclosure Of Not Being A Large Corporate.
24-Dec-2025 16:03:38,Trading Window,"Ksb Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
01-Dec-2025 09:37:09,Spurt in Volume,"Significant increase in volume has been observed in Ksb Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
28-Nov-2025 18:04:16,Spurt in Volume,"Significant increase in volume has been observed in Ksb Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
21-Nov-2025 14:48:36,Analysts/Institutional Investor Meet/Con. Call Updates,Ksb Limited has informed the Exchange about Transcript
18-Nov-2025 09:02:00,Analysts/Institutional Investor Meet/Con. Call Updates,Ksb Limited has informed the Exchange about Link of Recording
17-Nov-2025 23:31:10,Analysts/Institutional Investor Meet/Con. Call Updates,Ksb Limited has informed the Exchange about Link of Recording
17-Nov-2025 18:47:04,Investor Presentation,Ksb Limited has informed the Exchange about Investor Presentation
17-Nov-2025 12:50:09,Investor Presentation,Ksb Limited has informed the Exchange about Investor Presentation
13-Nov-2025 13:43:04,Press Release,"Ksb Limited has informed the Exchange regarding a press release dated November 13, 2025, titled ""Press Release for the quarter ended 30th September, 2025.""."
11-Nov-2025 19:38:15,Change in Auditors,Ksb Limited has informed the Exchange regarding Change in Auditors of the company.
11-Nov-2025 15:10:54,Outcome of Board Meeting,"Ksb Limited has submitted to the Exchange, the financial results for the period ended September 30, 2025."
10-Nov-2025 16:25:02,Analysts/Institutional Investor Meet/Con. Call Updates,Ksb Limited has informed the Exchange about Schedule of meet
07-Oct-2025 18:14:43,General Updates,Ksb Limited has informed the Exchange regarding release of it's Sustainability Report 2024
25-Sep-2025 16:02:25,Trading Window,"Ksb Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
17-Sep-2025 17:34:32,Copy of Newspaper Publication,Ksb Limited has informed the Exchange about Copy of Newspaper Publication
11-Sep-2025 13:37:33,Investor Presentation,Ksb Limited has informed the Exchange about Investor Presentation
08-Sep-2025 18:38:08,Analysts/Institutional Investor Meet/Con. Call Updates,Ksb Limited has informed the Exchange about Schedule of meet
28-Aug-2025 16:27:00,Spurt in Volume,"Significant increase in volume has been observed in Ksb Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
28-Aug-2025 16:13:04,Analysts/Institutional Investor Meet/Con. Call Updates,Ksb Limited has informed the Exchange about Transcript
26-Aug-2025 18:55:39,Spurt in Volume,"Significant increase in volume has been observed in Ksb Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
22-Aug-2025 21:45:18,Analysts/Institutional Investor Meet/Con. Call Updates,Ksb Limited has informed the Exchange about Link of Recording
22-Aug-2025 11:24:25,Investor Presentation,Ksb Limited has informed the Exchange about Investor Presentation
19-Aug-2025 17:33:19,Trading Plan under PIT,"Ksb Limited has informed the Exchange regarding Trading Plan pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
18-Aug-2025 17:36:57,Analysts/Institutional Investor Meet/Con. Call Updates,Ksb Limited has informed the Exchange about Schedule of meet
10-Aug-2025 11:05:11,Press Release,Press release for the quarter and half year ended 30th June 2025
07-Aug-2025 16:44:45,Outcome of Board Meeting,"Ksb Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2025."
30-Jun-2025 17:35:11,Bagging/Receiving of orders/contracts,Ksb Limited has informed the Exchange about Bagging/Receiving significant order for Boiler Feed Pumps for National Thermal Power Corporation Limited s (NTPC s) Supercritical Power Plant project.
26-Jun-2025 15:56:20,Trading Window,"Ksb Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
12-Jun-2025 14:17:44,Investor Presentation,Ksb Limited has informed the Exchange about Investor Presentation
19-May-2025 21:30:52,Shareholders meeting,"Ksb Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on May 15, 2025"
16-May-2025 17:18:50,General Updates,Ksb Limited has informed the Exchange about the receipt of award under PM Kusum Scheme.
15-May-2025 18:21:37,Shareholders meeting,"Ksb Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on May 15, 2025"
08-May-2025 21:03:37,Press Release,"Ksb Limited has informed the Exchange regarding a press release dated May 08, 2025, titled ""export order bagged for nuclear pumps""."
01-May-2025 12:08:42,Press Release,"Ksb Limited has informed the Exchange regarding a press release dated May 01, 2025, titled ""Press release for quarter ended 31 March, 2025""."
30-Apr-2025 14:56:32,Outcome of Board Meeting,"Ksb Limited has informed the Exchange regarding Outcome of Board Meeting held on April 30, 2025."
23-Apr-2025 22:39:52,General Updates,Ksb Limited has informed the Exchange about BRSR Report for financial year ended 31 December 2024.
23-Apr-2025 22:23:49,Shareholders meeting,"Ksb Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on May 15, 2025"
22-Apr-2025 17:02:15,Disclosure under SEBI Takeover Regulations,"Christine Moore, MAcc, CPA, CA For and on behalf of Canadian Kay Pump Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (S"
15-Apr-2025 13:14:05,Disclosure under SEBI Takeover Regulations,"Gaurav Swarup, Swarup Family Trust, Industrial & Prudential Investment Company Limited, Paharpur Cooling Towers Limited, Vikram Swarup, Parul Swarup, Bindu Vikram Swarup, TKIL Industries Private Limit"
04-Apr-2025 21:49:51,General Updates,Ksb Limited has informed the Exchange about letter of award under PM-Kusum Scheme.
04-Apr-2025 21:34:46,General Updates,Ksb Limited has informed the Exchange about General Updates
03-Apr-2025 17:43:02,Spurt in Volume,"Significant increase in volume has been observed in Ksb Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
28-Mar-2025 16:28:14,Trading Window,"Ksb Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Mar-2025 18:37:41,Spurt in Volume,"Significant increase in volume has been observed in Ksb Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
05-Mar-2025 17:17:15,Analysts/Institutional Investor Meet/Con. Call Updates,Ksb Limited has informed the Exchange about Transcript
28-Feb-2025 20:37:40,Press Release,"Ksb Limited has informed the Exchange regarding a press release dated February 28, 2025, titled ""Press release for quarter and year ended 31st December 2024""."
28-Feb-2025 20:23:37,Analysts/Institutional Investor Meet/Con. Call Updates,Ksb Limited has informed the Exchange about Link of Recording and outcome
28-Feb-2025 10:49:20,Investor Presentation,Ksb Limited has informed the Exchange about Investor Presentation
27-Feb-2025 18:39:25,Integrated Filing- Financial,Integrated filing (Financial) for the year ended 31st December 2024.
27-Feb-2025 17:24:27,Record Date,Ksb Limited has informed the Exchange that Record date for the purpose of Dividend  is 02-May-2025.
27-Feb-2025 16:58:59,Change in Auditors,Ksb Limited has informed the Exchange regarding Change in Auditors of the company.
27-Feb-2025 16:51:38,Financial Result Updates," Ksb Limited has submitted to the Exchange, the financial results for the period ended December 31, 2024."
27-Feb-2025 16:41:16,Dividend,"Ksb Limited has informed the Exchange that Board of Directors at its meeting held on February 27, 2025, recommended Final Dividend of Rs. 4 per equity share."
27-Feb-2025 16:39:27,Outcome of Board Meeting,"Ksb Limited has informed the Exchange regarding  Board meeting held on February 27, 2025."
20-Feb-2025 17:49:29,Analysts/Institutional Investor Meet/Con. Call Updates,Ksb Limited has informed the Exchange about Schedule of meet
21-Jan-2025 18:32:27,General Updates,Ksb Limited has informed the Exchange about General Updates
15-Jan-2025 18:55:53,Change in Director(s),Ksb Limited has informed the Exchange regarding Change in Director(s) of the company.
14-Jan-2025 16:53:46,Shareholders meeting,Ksb Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot
26-Dec-2024 14:38:58,Trading Window,"Ksb Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
13-Dec-2024 16:05:46,Product launch,Ksb Limited has informed the Exchange about Product launch
12-Dec-2024 20:46:35,Shareholders meeting,Ksb Limited has informed the Exchange regarding Notice of Postal Ballot
01-Dec-2024 14:54:48,Change in Director(s),Ksb Limited has informed the Exchange regarding Change in Director(s) of the company.
19-Nov-2024 18:24:17,Analysts/Institutional Investor Meet/Con. Call Updates,Ksb Limited has informed the Exchange about Transcript
15-Nov-2024 18:35:08,Press Release,"Ksb Limited has informed the Exchange regarding a press release dated November 14, 2024, titled ""Press release for the Quarter ended 30th September, 2024.""."
14-Nov-2024 18:22:24,Investor Presentation,Ksb Limited has informed the Exchange about Investor Presentation
13-Nov-2024 18:32:43,Change in Auditors,Ksb Limited has informed the Exchange regarding Change in Auditors of the company.
13-Nov-2024 17:08:37,Financial Result Updates," Ksb Limited has submitted to the Exchange, the financial results for the period ended September 30, 2024."
13-Nov-2024 17:06:42,Outcome of Board Meeting,"Ksb Limited has informed the Exchange regarding Outcome of Board Meeting held on November 13, 2024."
06-Nov-2024 18:00:59,Analysts/Institutional Investor Meet/Con. Call Updates,Ksb Limited has informed the Exchange about Schedule of meet
30-Sep-2024 21:17:42,Change in Management,Ksb Limited has informed the Exchange about change in Management
27-Sep-2024 18:31:55,Shareholders meeting,Ksb Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot
25-Sep-2024 15:34:31,Trading Window,"Ksb Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
28-Aug-2024 18:43:11,Copy of Newspaper Publication,Ksb Limited has informed the Exchange about Copy of Newspaper Publication
27-Aug-2024 16:30:58,Shareholders meeting,Ksb Limited has informed the Exchange regarding Notice of Postal Ballot
07-Aug-2024 16:48:04,Analysts/Institutional Investor Meet/Con. Call Updates,Ksb Limited has informed the Exchange about Transcript
03-Aug-2024 15:37:34,Investor Presentation,Ksb Limited has informed the Exchange about Investor Presentation
02-Aug-2024 21:30:53,Investor Presentation,Ksb Limited has informed the Exchange about Investor Presentation
02-Aug-2024 11:58:49,Press Release,"Ksb Limited has informed the Exchange regarding a press release dated August 02, 2024, titled ""Press Release for the quarter and half year ended 30th June, 2024""."
01-Aug-2024 19:39:59,Change in Director(s),Ksb Limited has informed the Exchange regarding Change in Director(s) of the company.
01-Aug-2024 15:19:22,Financial Result Updates," Ksb Limited has submitted to the Exchange, the financial results for the period ended June 30, 2024."
01-Aug-2024 15:14:40,Outcome of Board Meeting,"Ksb Limited has informed the Exchange regarding  Board meeting held on August 01, 2024."
29-Jul-2024 20:54:33,Analysts/Institutional Investor Meet/Con. Call Updates,Ksb Limited has informed the Exchange about Schedule of meet
25-Jul-2024 19:28:44,Copy of Newspaper Publication,Ksb Limited has informed the Exchange about Copy of Newspaper Publication
24-Jul-2024 22:32:32,Copy of Newspaper Publication,Ksb Limited has informed the Exchange about Copy of Newspaper Publication
18-Jul-2024 17:42:00,Spurt in Volume,"Significant increase in volume has been observed in Ksb Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
15-Jul-2024 18:05:15,Spurt in Volume,"Significant increase in volume has been observed in Ksb Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so th"
05-Jul-2024 17:54:48,Record Date,Ksb Limited has informed the Exchange that Record date for the purpose of Split/Subdivision  is 25-Jul-2024.
02-Jul-2024 17:01:32,Updates,Ksb Limited has informed the Exchange regarding 'Proceedings of 64th Annual General Meeting (AGM) held on 27th June 2024'.
29-Jun-2024 13:47:30,Shareholders meeting,"Ksb Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on Jun 27, 2024. Further, the company has informed the Exchange regarding voting results."
27-Jun-2024 18:06:10,Shareholders meeting,"Ksb Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on Jun 27, 2024"
26-Jun-2024 18:08:35,Trading Window,"Ksb Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
20-Jun-2024 17:01:38,Updates,"Ksb Limited has informed the Exchange regarding 'Corrigendum to the Notice of 64th Annual General Meeting (""AGM"") of shareholders of KSB Limited to be held on 27th June, 2024'."
30-May-2024 18:55:21,Updates,Ksb Limited has informed the Exchange regarding 'Intimation of Change in Senior Management'.
