date,desc,text
09-Jul-2026 16:25:27,Copy of Newspaper Publication,Newspaper Publication regarding the 20th Annual General Meeting (AGM) and information on e-voting.
07-Jul-2026 19:25:14,Updates,"Pursuant to Regulation 36(1)(b) of the SEBI Listing Regulations, the Company has sent a letter providing the web-link of the Annual Report for the Financial Year 2025-26 to those Members who have not "
07-Jul-2026 19:15:44,Updates,Latent View Analytics Limited has informed the Exchange regarding 'Intimation of Book closure for the 20th Annual General Meeting ( AGM )'.
07-Jul-2026 19:09:10,Updates,Latent View Analytics Limited has informed the Exchange regarding 'Business Responsibility and Sustainability Report for the Financial Year 2025-26'.
07-Jul-2026 19:04:01,Shareholders meeting,"Latent View Analytics Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 31, 2026"
01-Jul-2026 16:20:40,General Updates,Please be informed that there is a delay in the acquisition of the remaining equity stake in the Target Company beyond the originally indicated timeline. This delay is on account of a disagreement bet
29-Jun-2026 16:17:30,Disclosure under SEBI Takeover Regulations,Adugudi Viswanathan Venkatraman has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers
25-Jun-2026 19:00:27,Trading Window,"Latent View Analytics Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
22-Jun-2026 11:13:06,Copy of Newspaper Publication,Latent View Analytics Limited has informed the Exchange about Copy of Newspaper Publication
19-Jun-2026 16:03:15,Shareholders meeting,Latent View Analytics Limited has informed the Exchange about Shareholders meeting
19-Jun-2026 13:03:18,Disclosure under SEBI Takeover Regulations, Pramadwathi Jandhyala has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulat
17-Jun-2026 16:54:26,Change in Director(s),Latent View Analytics Limited has informed the Exchange regarding Change in Director(s) of the company.
09-Jun-2026 15:14:46,Analysts/Institutional Investor Meet/Con. Call Updates,Latent View Analytics Limited has informed the Exchange about Schedule of meet
09-Jun-2026 12:41:59,Disclosure under SEBI Takeover Regulations,Latent View Analytics Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) 
25-May-2026 19:54:56,Analysts/Institutional Investor Meet/Con. Call Updates,Latent View Analytics Limited has informed the Exchange about Transcript
18-May-2026 20:40:32,Analysts/Institutional Investor Meet/Con. Call Updates,Latent View Analytics Limited has informed the Exchange about Link of Recording
18-May-2026 13:21:27,Copy of Newspaper Publication,Latent View Analytics Limited has informed the Exchange about Copy of Newspaper Publication
16-May-2026 16:16:01,Investor Presentation,Latent View Analytics Limited has informed the Exchange about Investor Presentation
16-May-2026 16:08:35,Press Release,"Latent View Analytics Limited has informed the Exchange regarding a press release dated May 16, 2026, titled ""Press Release   Audited financial results for the quarter and financial year ended March31"
16-May-2026 14:52:54,Change in Auditors,Latent View Analytics Limited has informed the Exchange regarding Change in Auditors of the company.
16-May-2026 14:45:58,Outcome of Board Meeting,"Pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, as amended, we wish to inform you that, based on the recommendation of the Nomination and Remuner"
