date,desc,text
10-Jul-2026 16:34:22,Updates,"Lemon Tree Hotels Limited has informed the Exchange regarding 'Termination of Hotel Operating Agreement and License Agreement- Lemon Tree Hotel, Hubli'."
06-Jul-2026 16:26:35,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Lemon Tree Hotels Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
30-Jun-2026 22:20:27,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated Jun 30, 2026, titled ""Opening of Keys Lite by Lemon Tree Hotels, Ajmer""."
25-Jun-2026 17:54:26,Trading Window,"Lemon Tree Hotels Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
23-Jun-2026 19:40:15,Disclosure under SEBI Takeover Regulations, Patanjali Govind Keswani has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regu
22-Jun-2026 20:57:12,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated Jun 22, 2026, titled ""The Company has signed a License Agreement viz. Lemon Tree Hotel, Janakpur in Nepal""."
18-Jun-2026 22:11:02,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated Jun 18, 2026, titled ""The Company has signed two License Agreements viz. Lemon Tree Resort, Tadgaon and Lemon Tree R"
17-Jun-2026 19:48:55,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated Jun 17, 2026, titled ""Opening of Lemon Tree Hotel, Sri Ganganagar""."
10-Jun-2026 19:22:51,Analysts/Institutional Investor Meet/Con. Call Updates,Lemon Tree Hotels Limited has informed the Exchange about Schedule of meet
08-Jun-2026 20:54:11,Appointment,Lemon Tree Hotels Limited has informed the Exchange regarding Appointment of Mr. Kartikeya Kumar Singh as Chief Digital and Transformation Officer & Senior Management Personnel ( SMP ) of the Company 
08-Jun-2026 18:42:40,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated Jun 08, 2026, titled ""The Company has signed a Franchise Agreement viz. Keys Prima by Lemon Tree Hotels, Jaipur, Raj"
03-Jun-2026 21:48:10,Action(s) taken or orders passed,Lemon Tree Hotels Limited has informed the Exchange about Action(s) taken or orders passed
03-Jun-2026 19:14:14,Analysts/Institutional Investor Meet/Con. Call Updates,Lemon Tree Hotels Limited has informed the Exchange about Transcript
01-Jun-2026 21:07:37,Updates,Lemon Tree Hotels Limited has informed the Exchange regarding 'Termination of Franchisee Agreement'.
29-May-2026 23:06:45,Analysts/Institutional Investor Meet/Con. Call Updates,Lemon Tree Hotels Limited has informed the Exchange about Link of Recording
29-May-2026 11:35:22,Copy of Newspaper Publication,Lemon Tree Hotels Limited has informed the Exchange about Copy of Newspaper Publication
28-May-2026 22:35:16,Investor Presentation,Lemon Tree Hotels Limited has informed the Exchange about Investor Presentation
28-May-2026 22:10:09,Change in Management,"Lemon Tree Hotels Limited has informed the Exchange about the appointment of M/s R. Khattar & Associates, Chartered Accountants and re-appointment of M/s Felix Advisory Private Limited as Internal Aud"
28-May-2026 21:37:12,Outcome of Board Meeting,"Lemon Tree Hotels Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
25-May-2026 20:45:22,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated May 25, 2026, titled ""The Company has signed a License Agreement viz. Lemon Tree Hotel, Kumbakonam in Tamil Nadu""."
25-May-2026 19:11:23,Analysts/Institutional Investor Meet/Con. Call Updates,Lemon Tree Hotels Limited has informed the Exchange about Schedule of meet
23-May-2026 13:19:49,Granting/withdrawal/surrender/cancellation/suspension of key licenses/ regulatory approvals,Lemon Tree Hotels Limited has informed the Exchange about the approval of Competition Commission of India
22-May-2026 21:03:51,General Updates,"Lemon Tree Hotels Limited has informed the Exchange about Transfer of Equity Shares of Material Subsidiary Company Pursuant to Share Purchase Agreement (SPA) dated January 9, 2026."
18-May-2026 20:16:46,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated May 18, 2026, titled ""The Company has signed a Franchise Agreement viz. Keys Prima by Lemon Tree Hotels, Karnal""."
15-May-2026 22:35:30,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated May 15, 2026, titled ""The Company has  signed a License Agreement viz. Lemon Tree Hotel, Satya Nagar, Bhubaneswar""."
15-May-2026 22:02:03,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated May 15, 2026, titled ""Opening of Keys Select by Lemon Tree Hotels, Chirang.""."
14-May-2026 21:29:30,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated May 14, 2026, titled ""Opening of Lemon Tree Hotel, Bhubaneswar""."
08-May-2026 15:44:50,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated May 08, 2026, titled ""Opening of Keys Select by Lemon Tree Hotels, Amritsar""."
06-May-2026 21:18:19,Updates,Lemon Tree Hotels Limited has informed the Exchange regarding 'Termination of Master Service Agreement by Berggruen Hotels Private Limited (material subsidiary of the Company)'.
05-May-2026 22:34:24,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated May 05, 2026, titled ""The Company has signed a License Agreement viz. Lemon Tree Hotel, Ahilyanagar""."
30-Apr-2026 21:09:16,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated April 30, 2026, titled ""Opening of Lemon Tree Premier, Biratnagar in Nepal""."
30-Apr-2026 20:41:44,Updates,"Lemon Tree Hotels Limited has informed the Exchange regarding 'Termination of Hotel Operating Agreement and License -Lemon Tree Hotel, Tarudhan Valley, Manesar'."
22-Apr-2026 20:46:02,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated April 22, 2026, titled ""The Company has signed two License Agreements viz. Lemon Tree Premier, Raipur and Lemon Tree"
17-Apr-2026 19:51:47,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated April 17, 2026, titled ""Company has signed a License Agreement viz. Lemon Tree Hotel, Garudeshwar, Gujarat""."
16-Apr-2026 20:26:37,Action(s) initiated or orders passed,Lemon Tree Hotels Limited has informed the Exchange about Action(s) initiated or orders passed
13-Apr-2026 21:22:06,Action(s) initiated or orders passed,Lemon Tree Hotels Limited has informed the Exchange about Action(s) initiated or orders passed
13-Apr-2026 21:02:34,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated April 13, 2026, titled ""Lemon Tree Hotels Sustains Growth Momentum with 56 Signings and 20 Openings in FY 2025 26."""
09-Apr-2026 17:46:39,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Lemon Tree Hotels Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
08-Apr-2026 20:01:07,Updates,"Lemon Tree Hotels Limited has informed the Exchange regarding 'Termination of Hotel Operating Agreement and License Agreement- Lemon Tree Hotel, Agartala, Tripura'."
07-Apr-2026 21:02:32,Updates,Lemon Tree Hotels Limited has informed the Exchange regarding 'Approval of Competition Commission of India for the acquisition of certain equity shares of Fleur Hotels Limited by Coastal Cedar Investm
02-Apr-2026 22:07:52,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated April 02, 2026, titled ""The Company has signed a License Agreement viz. Lemon Tree Hotel, Simara, Nepal""."
01-Apr-2026 23:06:00,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated April 01, 2026, titled ""The Company has signed a License Agreement viz. Keys Prima by Lemon Tree Hotels, Srinagar.""."
01-Apr-2026 10:52:49,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated April 01, 2026, titled ""Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015- Rebranding of ""Keys Select "
31-Mar-2026 18:50:37,Change in Management,"Lemon Tree Hotels Limited has informed the Exchange about Disclosure under Regulation 30 of SEBI (LODR) Regulations, 2015 - Cessation of Mr. Vilas Pawar due to superannuation."
26-Mar-2026 11:17:11,Trading Window,"Lemon Tree Hotels Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Mar-2026 22:42:53,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated March 25, 2026, titled ""Opening of Keys Select by Lemon Tree Hotels, Vadodara""."
25-Mar-2026 22:35:33,Action(s) taken or orders passed,Lemon Tree Hotels Limited has informed the Exchange about Action(s) taken or orders passed
21-Mar-2026 01:55:02,Resignation of Independent director,LEMON TREE HOTELS LIMITED has informed the Exchange about Resignation of Independent director.
20-Mar-2026 20:37:04,Resignation,"Lemon Tree Hotels Limited has informed the Exchange regarding Resignation of Mrs. Freyan Jamshed Desai as Non- Executive Independent Director of the Company w.e.f. March 20, 2026."
19-Mar-2026 19:17:21,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated March 19, 2026, titled ""The Company has signed a License Agreement viz. Lemon Tree Resort, Lonavala, Maharashtra""."
09-Mar-2026 19:26:27,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated March 09, 2026, titled ""The Company has signed a License Agreement viz. Lemon TreeHotel, Gorakhpur, Uttar Pradesh""."
05-Mar-2026 21:13:45,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated March 05, 2026, titled ""The Company has signed a License Agreement viz. Lemon Tree Hotel, Barog, Himachal Pradesh""."
03-Mar-2026 21:21:54,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated March 03, 2026, titled ""The Company has signed a License Agreement viz. Lemon Tree Hotel, Rajendranagar, Hyderabad""."
27-Feb-2026 19:01:06,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated February 27, 2026, titled ""The Company has signed a License Agreement viz. Keys Prima by Lemon Tree Hotels, Akola, M"
24-Feb-2026 19:28:52,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated February 24, 2026, titled ""The Company has signed a License Agreement viz. Lemon Tree Hotel, Najibabad, Uttar Prades"
20-Feb-2026 21:44:21,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Lemon Tree Hotels Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
16-Feb-2026 19:06:42,Analysts/Institutional Investor Meet/Con. Call Updates,Lemon Tree Hotels Limited has informed the Exchange about Transcript
10-Feb-2026 19:17:09,Analysts/Institutional Investor Meet/Con. Call Updates,Lemon Tree Hotels Limited has informed the Exchange about Link of Recording
07-Feb-2026 16:17:08,Copy of Newspaper Publication,Lemon Tree Hotels Limited has informed the Exchange about Copy of Newspaper Publication
06-Feb-2026 23:17:59,Investor Presentation,Lemon Tree Hotels Limited has informed the Exchange about Investor Presentation
06-Feb-2026 22:39:52,General Updates,Lemon Tree Hotels Limited has informed the Exchange regarding Grant of Stock Appreciation Rights Units
06-Feb-2026 22:13:04,Outcome of Board Meeting,"Lemon Tree Hotels Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
05-Feb-2026 18:23:01,Analysts/Institutional Investor Meet/Con. Call Updates,Lemon Tree Hotels Limited has informed the Exchange about Schedule of meet
30-Jan-2026 18:00:15,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated January 30, 2026, titled ""Fleur Hotels Limited (material subsidiary of the Company) has signed a License Deed for a "
23-Jan-2026 21:27:02,Appointment,Lemon Tree Hotels Limited has informed the Exchange regarding Appointment of  Mr. Vivek Jhawar as Senior Vice President   Business Development and Senior Management Personnel of the Company w.e.f. Jan
21-Jan-2026 23:00:10,Analysts/Institutional Investor Meet/Con. Call Updates,Lemon Tree Hotels Limited has informed the Exchange about Transcript
21-Jan-2026 19:46:07,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated January 21, 2026, titled ""The Company has signed a License Agreement viz. Lemon Tree Premier, Omkareshwar, Madhya Pr"
20-Jan-2026 18:24:04,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated January 20, 2026, titled ""Company has signed a License Agreement viz. Keys Select by Lemon Tree Hotels, Chitrakoot, "
19-Jan-2026 17:53:12,Press Release,"Lemon Tree Hotels Limited has informed the Exchange regarding a press release dated January 19, 2026, titled ""Company has signed a License Agreement viz. Keys Select by Lemon Tree Hotels, Khurpatal, U"
16-Jan-2026 20:43:19,Updates,Lemon Tree Hotels Limited has informed the Exchange regarding 'Corrigendum for the announcement of outcome of Conference Call with Analysts/Institutional Investors'.
15-Jan-2026 20:45:09,Analysts/Institutional Investor Meet/Con. Call Updates,Lemon Tree Hotels Limited has informed the Exchange about Link of Recording
14-Jan-2026 20:30:17,Updates,"Lemon Tree Hotels Limited has informed the Exchange regarding 'The Company has received the Certificate of Registration of Regional Director order for Change of State and accordingly, the Corporate Id"
