date,desc,text
07-Jul-2026 15:20:54,Updates,Life Insurance Corporation Of India has informed the Exchange regarding 'Certificates under Regulation 74(5)' received from Registrar and Transfer Agents.
06-Jul-2026 12:17:29,General Updates,Life Insurance Corporation Of India has informed the Exchange about the Corporate Presentation is converted into USD currency for the benefit of Investors/Analysts from different geographies.
04-Jul-2026 12:27:49,General Updates,Life Insurance Corporation Of India has informed the Exchange about advertisement published in newspapers for notice of 5th AGM alongwith details of e-voting facility.
03-Jul-2026 20:25:58,Updates,Life Insurance Corporation Of India has informed the Exchange regarding BRSR for FY 2025-26.
30-Jun-2026 14:44:16,Change in Management,Life Insurance Corporation Of India has informed the Exchange about the superannuation of  the Senior Management Personnel.
28-Jun-2026 20:06:52,General Updates,"Life Insurance Corporation Of India has informed the Exchange about participation of Corporation in virtual/physical meeting with various investors/analysts from different geographic from July 01, 202"
25-Jun-2026 14:44:01,Resignation of Director/KMP/SMP,Life Insurance Corporation Of India has informed the Exchange about Resignation of Director/KMP/SMP
24-Jun-2026 20:08:28,Change in Management,Life Insurance Corporation Of India has informed the Exchange about change in Management
24-Jun-2026 15:08:09,Change in Management,Life Insurance Corporation Of India has informed the Exchange about the appointment of Chief Compliance Officer.
23-Jun-2026 14:50:50,General Updates,"Life Insurance Corporation Of India has informed the Exchange about update on Investors Meet on June 23, 2026."
16-Jun-2026 18:37:36,Change in Management,"Life Insurance Corporation Of India has informed the Exchange about the appointment of Shri Dinesh Pant, Managing Director, KMP as a Whole Time Member (Actuary), IRDAI."
16-Jun-2026 18:19:58,General Updates,Life Insurance Corporation Of India has informed the Exchange about Investor Meet
16-Jun-2026 17:34:41,Trading Window,"Life Insurance Corporation Of India has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
16-Jun-2026 14:55:37,General Updates,"Life Insurance Corporation Of India has informed the Exchange about the Notice to members of the Corporation was published on June 16, 2026."
15-Jun-2026 21:24:50,General Updates,Life Insurance Corporation Of India has informed the Exchange about communication on TDS on Final Dividend for FY 2025-26.
09-Jun-2026 18:48:03,Change in Management,Life Insurance Corporation Of India has informed the Exchange about change in Management.
05-Jun-2026 14:53:34,General Updates,"Life Insurance Corporation Of India has informed the Exchange about investor meet held on June 05, 2026."
02-Jun-2026 17:13:08,General Updates,"Life Insurance Corporation Of India has informed the Exchange about Investment Meet on June 02, 2026."
01-Jun-2026 10:40:38,General Updates,Life Insurance Corporation Of India has informed the Exchange about the allotment of Bonus Equity Shares.
29-May-2026 16:01:24,General Updates,Life Insurance Corporation Of India has informed the Exchange about the update on Investor Meet.
29-May-2026 15:37:59,Change in Management,Life Insurance Corporation Of India has informed the Exchange about the cessation of Key Managerial Personnel.
29-May-2026 15:35:54,Change in Management,Life Insurance Corporation Of India has informed the Exchange about cessation of Senior Management Personnel.
29-May-2026 12:54:36,General Updates,"Life Insurance Corporation Of India has informed the Exchange about Investor Meet to be held on June 05, 2026."
28-May-2026 10:52:36,General Updates,Life Insurance Corporation Of India has informed the Exchange about transcript of Earning Conference Call
27-May-2026 15:18:30,General Updates,"Life Insurance Corporation Of India has informed the Exchange about the Investor Meet to be held on June 02, 2026."
22-May-2026 17:13:53,General Updates,"Life Insurance Corporation Of India has informed the Exchange about the Corporation will be participating investors meet to be held on May 29, 2026."
22-May-2026 16:47:49,General Updates,"Life Insurance Corporation Of India has informed the Exchange about the Investors/Analysts meet held on May 22, 2026."
22-May-2026 15:23:37,Updates,Life Insurance Corporation of India has informed the Exchange that Corporate Presentation is enclosed and also available on the website of the Corporation.
22-May-2026 12:20:45,General Updates,"Life Insurance Corporation Of India has informed the Exchange about the Financial Results for the Quarter and Year ended March 31,  2026 are published in the Newspapers."
22-May-2026 12:04:17,General Updates,Life Insurance Corporation Of India has informed the Exchange about the new product launch.
22-May-2026 00:06:50,General Updates,Life Insurance Corporation Of India has informed the Exchange about Audio recording about conference call.
21-May-2026 20:41:08,Corrigendum,"Life Insurance Corporation of India has informed the Exchange regarding Corrigendum to filing reference number LIC/SE/2026-27/31 dated May 21, 2026."
21-May-2026 18:43:19,General Updates,Life Insurance Corporation Of India has informed the Exchange about the Analyst Investors Presentation
21-May-2026 17:58:20,Updates,Life Insurance Corporation Of India has informed the Exchange regarding 'Press Release on performance update'.
21-May-2026 17:38:49,Record Date,Life Insurance Corporation Of India has informed the Exchange that Record date for the purpose of Dividend  is 25-Jun-2026.
21-May-2026 17:37:29,Record Date,Life Insurance Corporation Of India has informed the Exchange that Record date for the purpose of Bonus  is 29-May-2026.
21-May-2026 17:25:26,Outcome of Board Meeting,"Life Insurance Corporation of India has informed to the Exchange, the financial results for the quarter and year ended March 31, 2026, Declaration of unmodified opinion, recommendation of Final Divide"
18-May-2026 19:03:26,Shareholders meeting,"Life Insurance Corporation of India has submitted the Exchange a copy Scrutinizers report of  Postal Ballot. Further, the Corporation has informed the Exchange regarding voting results along with Cert"
18-May-2026 18:13:17,Shareholders meeting,"Life Insurance Corporation of India has submitted the Exchange a copy Scrutinizers report of Postal Ballot. Further, the Corporation has informed the Exchange regarding voting results along with CTC o"
16-May-2026 12:50:56,Updates,"Life Insurance Corporation Of India has informed the Exchange regarding 'Investors Meet' to be held on May 22, 2026."
15-May-2026 18:15:48,Updates,Life Insurance Corporation Of India has informed the Exchange regarding the representatives of the Corporation will host earnings call with investors.
14-May-2026 19:09:50,Updates,'It is to inform that M/s Care ESG Ratings Limited has assigned ESG rating to the Life Insurance Corporation of India'.
13-May-2026 23:13:23,Change in Management,Life Insurance Corporation Of India has informed the Exchange about change in management and change in director.
06-May-2026 16:54:46,Change in Management,Life Insurance Corporation Of India has informed the Exchange about the cessation of the position of Senior Management Personnel of an official
06-May-2026 16:40:43,Change in Management,Life Insurance Corporation Of India has informed the Exchange about the official having been designated as Senior Management Personnel.
