date,desc,text
03-Jul-2026 16:51:53,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","LTTS: L&T Technology Services Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018."
30-Jun-2026 16:10:10,Press Release,"LTTS: L&T Technology Services Limited has informed the Exchange regarding a press release dated Jun 30, 2026, titled  L&T Technology Services Launches Ainfonix TM 4.0 to Unlock Engineering Intelligenc"
29-Jun-2026 21:10:35,Analysts/Institutional Investor Meet/Con. Call Updates,LTTS: L&T Technology Services Limited has informed the Exchange about Presentation EI Live @ LTTS
27-Jun-2026 14:26:35,Updates,"L&T Technology Services Limited has informed the Exchange regarding 'Disclosure under Regulation 31A of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 - Request for re-cl"
26-Jun-2026 14:50:47,Trading Window,"L&T Technology Services Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Jun-2026 15:10:18,Analysts/Institutional Investor Meet/Con. Call Updates,L&T Technology Services Limited has informed the Exchange about Schedule of meet
20-Jun-2026 16:09:30,Credit Rating,L&T Technology Services Limited has informed the Exchange about Credit Rating
16-Jun-2026 12:27:01,Credit Rating,L&T Technology Services Limited has informed the Exchange about Credit Rating
15-Jun-2026 09:39:22,Disclosure under SEBI Takeover Regulations,Larsen & Toubro Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regula
11-Jun-2026 08:53:49,Press Release,"L&T Technology Services Limited has informed the Exchange regarding a press release dated Jun 11, 2026, titled ""L&T Technology Services, Databricks Partner to Deliver Industrial AI at Scale for Asset-"
10-Jun-2026 16:00:18,Disclosure under SEBI Takeover Regulations,Larsen & Toubro Ltd has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulation
02-Jun-2026 17:55:28,Shareholders meeting,"L&T Technology Services Limited has submitted the Exchange a copy of Scrutinizer's report of Annual General Meeting held on Jun 01, 2026"
01-Jun-2026 18:02:11,Shareholders meeting,"L&T Technology Services Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on June 1, 2026."
23-May-2026 16:29:59,Copy of Newspaper Publication,L&T Technology Services Limited has informed the Exchange about Copy of Newspaper Publication regarding the Notice to the Equity Shareholders of the Company for transfer of Equity Shares to Investor E
21-May-2026 16:14:30,Credit Rating,L&T Technology Services Limited has informed the Exchange about Credit Rating
