date,desc,text
09-Jul-2026 19:02:05,Spurt in Volume,"Significant increase in volume has been observed in C.E. Info Systems Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the mark"
09-Jul-2026 18:11:06,Spurt in Volume,"Significant increase in volume has been observed in C.E. Info Systems Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the mark"
06-Jul-2026 18:14:08,General Updates,C.E. Info Systems Limited has informed the Exchange about General Updates on Book Closure of the Company for the purpose of AGM and Dividend
06-Jul-2026 18:10:28,Record Date,C.E. Info Systems Limited has informed the Exchange that Record date for the purpose of Dividend & Meeting  is 04-Aug-2026.
30-Jun-2026 23:34:09,Trading Window,"C.E. Info Systems Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
30-Jun-2026 15:54:35,Press Release,"C.E. Info Systems Limited has informed the Exchange regarding a press release dated Jun 30, 2026, titled ""Press Release in respect of appointment of Mr. Rohan Verma as Joint Managing Director of the C"
30-Jun-2026 13:51:41,Appointment,"C.E. Info Systems Limited has informed the Exchange regarding Appointment of  Rohan Verma as Joint Managing Director of the company w.e.f. July 01, 2026."
30-Jun-2026 13:49:59,Outcome of Board Meeting,"C.E. Info Systems Limited has informed the Exchange regarding Outcome of Board Meeting held on Jun 30, 2026."
05-Jun-2026 15:30:09,Disclosure under SEBI Takeover Regulations,C.E. Info Systems Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regu
25-May-2026 18:23:07,Analysts/Institutional Investor Meet/Con. Call Updates,C.E. Info Systems Limited has informed the Exchange about Transcript
21-May-2026 11:21:27,Copy of Newspaper Publication,C.E. Info Systems Limited has informed the Exchange about Copy of Newspaper Publication
20-May-2026 12:48:07,Analysts/Institutional Investor Meet/Con. Call Updates,C.E. Info Systems Limited has informed the Exchange about Link of Recording
19-May-2026 20:41:19,Press Release,"C.E. Info Systems Limited has informed the Exchange regarding a press release dated May 19, 2026, titled ""PR Q4FY26 Results""."
19-May-2026 20:40:06,Investor Presentation,C.E. Info Systems Limited has informed the Exchange about Investor Presentation
19-May-2026 20:33:03,Integrated Filing- Financial,Integrated Filing Financials
19-May-2026 20:18:07,Dividend,"C.E. Info Systems Limited has informed the Exchange that Board of Directors at its meeting held on May 19, 2026, recommended Final Dividend of Rs. 3.50 per equity share."
19-May-2026 20:15:29,Outcome of Board Meeting,"C.E. Info Systems Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
14-May-2026 18:33:24,Analysts/Institutional Investor Meet/Con. Call Updates,C.E. Info Systems Limited has informed the Exchange about Schedule of meet
06-Apr-2026 19:34:02,Outcome of Board Meeting,"C.E. Info Systems Limited has informed the Exchange regarding Outcome of Board Meeting held on April 06, 2026."
02-Mar-2026 11:44:35,Updates,C.E. Info Systems Limited has informed the Exchange regarding 'Update on Capital Contribution in Prashanth Advanced Survey LLP'.
28-Feb-2026 13:35:38,Press Release,"C.E. Info Systems Limited has informed the Exchange regarding a press release dated February 28, 2026, titled ""Multi-party data and hyperlocal playbooks as key market differentiators , published by Cl"
20-Feb-2026 15:34:16,Updates,C.E. Info Systems Limited has informed the Exchange regarding 'Board Comments on SOP fine'.
19-Feb-2026 15:20:47,Analysts/Institutional Investor Meet/Con. Call Updates,C.E. Info Systems Limited has informed the Exchange about Transcript
16-Feb-2026 16:07:59,Analysts/Institutional Investor Meet/Con. Call Updates,C.E. Info Systems Limited has informed the Exchange about Link of Recording
15-Feb-2026 12:46:01,Copy of Newspaper Publication,C.E. Info Systems Limited has informed the Exchange about Copy of Newspaper Publication
13-Feb-2026 19:55:02,General Updates,C.E. Info Systems Limited has informed the Exchange about Investor Presentation for Q3FY26 Results
13-Feb-2026 19:53:24,Press Release,"C.E. Info Systems Limited has informed the Exchange regarding a press release dated February 13, 2026, titled ""PR for Q3FY26 Results""."
13-Feb-2026 19:08:35,Acquisition,C.E. Info Systems Limited has informed the Exchange about Acquisition
13-Feb-2026 19:03:13,Integrated Filing- Financial,Financials
13-Feb-2026 19:01:41,Outcome of Board Meeting,"C.E. Info Systems Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
13-Feb-2026 18:57:38,Outcome of Board Meeting,"C.E. Info Systems Limited has informed the Exchange regarding  Board meeting held on February 13, 2026."
11-Feb-2026 22:17:53,Analysts/Institutional Investor Meet/Con. Call Updates,C.E. Info Systems Limited has informed the Exchange about Schedule of meet
04-Feb-2026 17:16:44,Reply to Clarification- Financial results,The Exchange had sought clarification from C.E. Info Systems Limited for the quarter ended 30-Sep-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regul
15-Jan-2026 18:33:19,General Updates,C.E. Info Systems Limited has informed the Exchange about Update on acquisition of stake in Iwayplus Private Limited
14-Jan-2026 16:16:27,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","C.E. Info Systems Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
12-Jan-2026 15:03:46,General Updates,C.E. Info Systems Limited has informed the Exchange about acquisition of 3500 CCPS in IWAYPLUS Private Limited
12-Jan-2026 14:58:22,Outcome of Board Meeting,"C.E. Info Systems Limited has informed the Exchange regarding  Board meeting held on January 12, 2026."
06-Jan-2026 15:49:15,Clarification - Financial Results,The Exchange has sought clarification from C.E. Info Systems Limited for the quarter ended 30-Sep-2025 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regul
05-Jan-2026 16:17:05,Shareholders meeting,"C.E. Info Systems Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
30-Dec-2025 11:49:27,Press Release,"C.E. Info Systems Limited has informed the Exchange regarding a press release dated December 30, 2025, titled ""press release issued by C.E. Info Systems Limited (MapmyIndia), informing about the expan"
19-Dec-2025 17:24:06,Disclosure of material issue,C.E. Info Systems Limited has informed regarding Disclosure of demand order received from Central Goods and Service Tax Department
05-Dec-2025 13:04:59,Copy of Newspaper Publication,C.E. Info Systems Limited has informed the Exchange about Copy of Newspaper Publication
04-Dec-2025 18:31:34,Shareholders meeting,C.E. Info Systems Limited has informed the Exchange regarding Notice of Postal Ballot
26-Nov-2025 09:35:06,Press Release,"C.E. Info Systems Limited has informed the Exchange regarding a press release dated November 26, 2025, titled ""Press Release pertaining to MapmyIndia Mappls Partnering with Zoho CRM for location intel"
14-Nov-2025 17:22:47,Analysts/Institutional Investor Meet/Con. Call Updates,C.E. Info Systems Limited has informed the Exchange about Transcript
12-Nov-2025 14:41:58,Copy of Newspaper Publication,C.E. Info Systems Limited has informed the Exchange about Copy of Newspaper Publication
11-Nov-2025 16:57:22,Outcome of Board Meeting,"C.E. Info Systems Limited has submitted to the Exchange, the financial results for the period ended September 30, 2025."
11-Nov-2025 13:03:04,Analysts/Institutional Investor Meet/Con. Call Updates,C.E. Info Systems Limited has informed the Exchange about Link of Recording
10-Nov-2025 20:13:22,Press Release,"C.E. Info Systems Limited has informed the Exchange regarding a press release dated November 10, 2025, titled ""ress Release for Q2 & H1FY2026 Results""."
10-Nov-2025 20:10:42,Investor Presentation,C.E. Info Systems Limited has informed the Exchange about Investor Presentation
10-Nov-2025 19:59:23,Bagging/Receiving of orders/contracts,C.E. Info Systems Limited has informed the Exchange about Bagging/Receiving of orders/contracts
10-Nov-2025 19:57:49,Integrated Filing- Financial,Submission of Financial Results September 2025
10-Nov-2025 19:54:59,Outcome of Board Meeting,"C.E. Info Systems Limited has informed the Exchange regarding  Board meeting held on November 10, 2025."
05-Nov-2025 16:22:01,Bagging/Receiving of orders/contracts,"C.E. Info Systems Limited has informed the Exchange about Bagging/Receiving of orders/contracts from Survey of India (SoI), Government of India"
04-Nov-2025 18:17:34,Analysts/Institutional Investor Meet/Con. Call Updates,C.E. Info Systems Limited has informed the Exchange about Schedule of meet
04-Nov-2025 18:07:50,Analysts/Institutional Investor Meet/Con. Call Updates,C.E. Info Systems Limited has informed the Exchange about interaction meeting will be conducted with Institutional Investors JM Financial India Conference
04-Nov-2025 18:05:43,Analysts/Institutional Investor Meet/Con. Call Updates,C.E. Info Systems Limited has informed the Exchange about interaction meeting will be conducted with Institutional Investors at Anand Rathi Annual Flagship Conference G-200 Summit
31-Oct-2025 18:18:58,Press Release,"C.E. Info Systems Limited has informed the Exchange regarding a press release dated October 31, 2025, titled ""Press Release pertaining to the signing of the Memorandum of Understanding (MoU) between D"
15-Oct-2025 17:16:43,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","C.E. Info Systems Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
13-Oct-2025 12:30:45,Press Release,"C.E. Info Systems Limited has informed the Exchange regarding a press release dated October 13, 2025, titled ""Media Release by Shri Ashwini Vaishnaw, Hon ble Union Minister for Railways, Information &"
25-Sep-2025 09:48:08,Press Release,"C.E. Info Systems Limited has informed the Exchange regarding a press release dated September 25, 2025, titled ""Mappls App, India s swadeshi maps & navigation app, launching India first features: Real"
02-Sep-2025 18:43:24,Updates,C.E. Info Systems Limited has informed the Exchange regarding 'Updates on Acquisition of stake in Gtropy Systems Private Limited'.
09-Aug-2025 19:34:59,Analysts/Institutional Investor Meet/Con. Call Updates,C.E. Info Systems Limited has informed the Exchange about Transcript
09-Aug-2025 19:30:55,Copy of Newspaper Publication,C.E. Info Systems Limited has informed the Exchange about Copy of Newspaper Publication
07-Aug-2025 19:22:03,Analysts/Institutional Investor Meet/Con. Call Updates,C.E. Info Systems Limited has informed the Exchange about Link of Recording
07-Aug-2025 17:29:13,General Updates,C.E. Info Systems Limited has informed the Exchange about Acquisition of Shares
07-Aug-2025 17:21:46,Integrated Filing- Financial,Results for Q1FY26
07-Aug-2025 17:19:49,Press Release,"C.E. Info Systems Limited has informed the Exchange regarding a press release dated August 07, 2025, titled ""PR for Q1FY26 Results""."
07-Aug-2025 17:17:55,Investor Presentation,C.E. Info Systems Limited has informed the Exchange about Investor Presentation
07-Aug-2025 17:14:06,Outcome of Board Meeting,"C.E. Info Systems Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2025, Allotment as per ESOP Policy and Acquisitions"
04-Aug-2025 17:38:04,Analysts/Institutional Investor Meet/Con. Call Updates,C.E. Info Systems Limited has informed the Exchange about Schedule of meet
25-Jul-2025 18:52:45,Shareholders meeting,"C.E. Info Systems Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on July 25, 2025. Further, the company has informed the Exchange regarding voting results"
25-Jul-2025 18:45:19,Shareholders meeting,"C.E. Info Systems Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on July 25, 2025"
14-Jul-2025 17:12:43,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","C.E. Info Systems Limited has informed the Exchange about Certificate under Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018"
07-Jul-2025 08:01:26,Press Release,"C.E. Info Systems Limited has informed the Exchange regarding a press release dated July 07, 2025, titled ""Integration of MapmyIndia Mappls App with India Post s DIGIPIN to offer  Last Mile Digital Ad"
03-Jul-2025 16:47:26,Record Date,C.E. Info Systems Limited has informed the Exchange that Record date for the purpose of Dividend  is 18-Jul-2025.
03-Jul-2025 16:35:32,Copy of Newspaper Publication,C.E. Info Systems Limited has informed the Exchange about Copy of Newspaper Publication regarding 30th AGM of the Company
