date,desc,text
11-Jul-2026 13:50:56,Press Release,"Mazagon Dock Shipbuilders Limited has informed the Exchange regarding a press release dated July 11, 2026, titled ""A New Sentinel for the Seas: INS Mahendragiri Commissioned into the Indian Navy""."
03-Jul-2026 18:57:47,Change in Management,Mazagon Dock Shipbuilders Limited has informed the Exchange about changes in Senior Management of the company due to Internal Promotions
25-Jun-2026 14:06:06,Trading Window,"Mazagon Dock Shipbuilders Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
15-Jun-2026 18:42:40,Change in Management,Mazagon Dock Shipbuilders Limited has informed the Exchange about change in Senior Management of the company due to Internal Promotion.
08-Jun-2026 19:35:01,Disclosure under SEBI Takeover Regulations,Mazagon Dock Shipbuilders Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeove
26-May-2026 14:52:31,Disclosure under SEBI Takeover Regulations,Mazagon Dock Shipbuilders Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeove
12-May-2026 11:01:53,Updates,Mazagon Dock Shipbuilders Limited has informed the Exchange regarding 'Board comments on fine levied by the Exchange'.
04-May-2026 18:19:54,Copy of Newspaper Publication,Mazagon Dock Shipbuilders Limited has informed the Exchange about Copy of Newspaper Publication
30-Apr-2026 22:26:34,Investor Presentation,Mazagon Dock Shipbuilders Limited has informed the Exchange about Investor Presentation
30-Apr-2026 21:25:11,Outcome of Board Meeting,Mazagon Dock Shipbuilders Limited has informed the Exchange regarding appointment of Shri. Dinesh Mahur as the Government Nominee Director of the Company in place of Shri. Rajeev Prakash.
30-Apr-2026 21:17:02,Dividend,"Mazagon Dock Shipbuilders Limited has informed the Exchange that Board of Directors at its meeting held on April 30, 2026, recommended Final Dividend of Rs. 4.62 per equity share of Rs. 5/- each for t"
30-Apr-2026 21:05:52,Outcome of Board Meeting,"Mazagon Dock Shipbuilders Limited has submitted to the Exchange, the Audited Financial Results (Consolidated and Standalone) for the quarter and year ended 3 1 March 2026."
20-Apr-2026 19:10:42,Cessation,"Mazagon Dock Shipbuilders Limited has informed the Exchange regarding Cessation of Mrs Veni Thapar as Independent Director of the company w.e.f. April 21, 2026."
20-Apr-2026 19:07:29,Cessation,"Mazagon Dock Shipbuilders Limited has informed the Exchange regarding Cessation of Mr (Dr.) Vivek Atul Bhuskute as Independent Director of the company w.e.f. April 21, 2026."
03-Apr-2026 15:19:27,Press Release,"Mazagon Dock Shipbuilders Limited has informed the Exchange regarding a press release dated April 03, 2026, titled ""Strengthening Maritime Prowess: INS Taragiri Commissioned into the Indian Navy""."
27-Mar-2026 16:55:42,Updates,"Mazagon Dock Shipbuilders Limited has informed the Exchange regarding 'conclusion of further acquisition of 3,66,49,271 fully paid ordinary shares in Colombo Dockyard PLC (CDPLC), resulting in total a"
26-Mar-2026 15:27:12,Trading Window,"Mazagon Dock Shipbuilders Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
18-Mar-2026 16:35:45,Disclosure of material issue,Mazagon Dock Shipbuilders Limited (MDL) has entered into a contract with ShippingCorporation of India Limited (SCI) for the construction and sale of one 3000 DWT MethanolDual Fuel Platform Supply Vess
10-Mar-2026 18:00:08,Investor Presentation,Mazagon Dock Shipbuilders Limited has informed the Exchange about Investor Presentation
06-Mar-2026 11:26:12,Analysts/Institutional Investor Meet/Con. Call Updates,Mazagon Dock Shipbuilders Limited has informed the Exchange about Schedule of meet
05-Mar-2026 19:51:06,News Verification,"The Exchange has sought clarification from Mazagon Dock Shipbuilders Limited with respect to recent news item captioned Mazagon Dock shares climb 6% amid report of Rs 99,000 crore defence deal.  The r"
05-Mar-2026 13:51:59,News Verification,"The Exchange has sought clarification from Mazagon Dock Shipbuilders Limited with respect to recent news item captioned Mazagon Dock shares climb 6% amid report of Rs 99,000 crore defence deal.  The r"
23-Feb-2026 16:02:08,Cessation,"Mazagon Dock Shipbuilders Limited has informed the Exchange regarding Cessation of Mr Dattaprasad Kholkar as Non- Executive Independent Director of the company w.e.f. February 23, 2026."
09-Feb-2026 17:17:58,Copy of Newspaper Publication,Mazagon Dock Shipbuilders Limited has informed the Exchange about Copy of Newspaper Publication
05-Feb-2026 19:07:03,General Updates,Mazagon Dock Shipbuilders Limited has informed the Exchange regarding communication with respect to Tax Deduction at Source (TDS) on 2nd Interim Dividend for the FY 2025-26.
05-Feb-2026 18:33:48,Updates,Mazagon Dock Shipbuilders Limited has informed the Exchange regarding 'Corporate Investors Presentation on Company s Performance for the period ended on 31.12.2025.'.
05-Feb-2026 18:24:00,Record Date,Mazagon Dock Shipbuilders Limited has informed the Exchange that Record date for the purpose of 2nd Interim Dividend for the FY 2025-26 is 13-Feb-2026.
05-Feb-2026 17:19:55,Dividend,"Mazagon Dock Shipbuilders Limited has informed the Exchange that Board of Directors at its meeting held on February 05, 2026, declared 2nd Interim Dividend of Rs. 7.5 per equity share of Rs. 5 each fu"
05-Feb-2026 17:14:32,Outcome of Board Meeting,"MAZDOCK: Mazagon Dock Shipbuilders Limited has submitted to the Exchange, the financial results (standalone and consolidated) for the period ended December 31, 2025."
03-Feb-2026 12:32:40,Updates,Mazagon Dock Shipbuilders Limited has informed the Exchange regarding 'Board comments on fine levied by the Exchange'.
29-Jan-2026 19:42:28,Resignation of Independent director,Mazagon Dock Shipbuilders Limited has informed the Exchange about Resignation of Independent director.
29-Jan-2026 19:36:54,General Updates,MAZDOCK: Mazagon Dock Shipbuilders Limited has informed the Exchange regarding submission of additional details in accordance with the Clause 7B of Para A of Part A of Schedule III read with Regulatio
23-Jan-2026 21:34:12,Resignation,"Mazagon Dock Shipbuilders Limited has informed the Exchange regarding Resignation of Mr Chandu Sambasiva Rao as Independent Director of the company w.e.f. January 23, 2026."
21-Jan-2026 10:37:59,Updates,"Mazagon Dock Shipbuilders Limited has informed the Exchange regarding 'acquisition of  41.73% stake in Colombo Dockyard PLC, Sri Lanka'."
12-Jan-2026 19:41:02,News Verification,"The Exchange has sought clarification from Mazagon Dock Shipbuilders Limited with respect to recent news item captioned India, Germany in talks for $8 billion submarine manufacturing deal.  The respon"
09-Jan-2026 11:44:32,News Verification,"The Exchange has sought clarification from Mazagon Dock Shipbuilders Limited with respect to recent news item captioned India, Germany in talks for $8 billion submarine manufacturing deal.  The respon"
31-Dec-2025 17:58:21,Change in Management,Mazagon Dock Shipbuilders Limited has informed the Exchange about a change in Senior Management of the Company.
22-Dec-2025 15:56:59,Trading Window,"Mazagon Dock Shipbuilders Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
10-Dec-2025 17:08:49,Updates,Mazagon Dock Shipbuilders Limited has informed the Exchange regarding 'Signing of MOU with the Brazilian Navy and the Indian Navy'.
