date,desc,text
08-Jul-2026 14:54:54,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Global Health Limited has informed the Exchange about Certificates under SEBI (Depositories and Participants) Regulations, 2018 for the Quarter ended June 30, 2026."
25-Jun-2026 11:38:15,Trading Window,"Global Health Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
24-Jun-2026 15:55:35,ESOP/ESOS/ESPS,Global Health Limited has informed the Exchange regarding Allotment of 4000  Shares.
23-Jun-2026 15:51:35,Analysts/Institutional Investor Meet/Con. Call Updates,Global Health Limited has informed the Exchange about Schedule of meet
23-Jun-2026 15:51:35,Analysts/Institutional Investor Meet/Con. Call Updates,Global Health Limited has informed the Exchange about Schedule of meet
18-Jun-2026 15:23:55,Analysts/Institutional Investor Meet/Con. Call Updates,Global Health Limited has informed the Exchange about Schedule of meet.
18-Jun-2026 15:23:55,Analysts/Institutional Investor Meet/Con. Call Updates,Global Health Limited has informed the Exchange about Schedule of meet.
18-Jun-2026 15:23:55,Analysts/Institutional Investor Meet/Con. Call Updates,Global Health Limited has informed the Exchange about Schedule of meet.
17-Jun-2026 15:46:19,Analysts/Institutional Investor Meet/Con. Call Updates,Global Health Limited has informed the Exchange about Schedule of meet.
17-Jun-2026 15:46:19,Analysts/Institutional Investor Meet/Con. Call Updates,Global Health Limited has informed the Exchange about Schedule of meet.
16-Jun-2026 16:18:04,Analysts/Institutional Investor Meet/Con. Call Updates,Global Health Limited has informed the Exchange about Schedule of meet
13-Jun-2026 17:04:09,Analysts/Institutional Investor Meet/Con. Call Updates,Global Health Limited has informed the Exchange about Schedule of meet.
13-Jun-2026 17:04:09,Analysts/Institutional Investor Meet/Con. Call Updates,Global Health Limited has informed the Exchange about Schedule of meet.
12-Jun-2026 13:25:08,General Updates,Global Health Limited has informed the Exchange about General Updates on establishment of medical college.
10-Jun-2026 18:08:19,Analysts/Institutional Investor Meet/Con. Call Updates,Global Health Limited has informed the Exchange about Schedule of meet
08-Jun-2026 18:12:49,Analysts/Institutional Investor Meet/Con. Call Updates,Global Health Limited has informed the Exchange about Schedule of meet.
04-Jun-2026 18:16:41,Analysts/Institutional Investor Meet/Con. Call Updates,Global Health Limited has informed the Exchange about Schedule of meet.
04-Jun-2026 18:16:41,Analysts/Institutional Investor Meet/Con. Call Updates,Global Health Limited has informed the Exchange about Schedule of meet.
01-Jun-2026 14:54:39,Analysts/Institutional Investor Meet/Con. Call Updates,Global Health Limited has informed the Exchange about Schedule of meet
23-May-2026 15:58:27,ESOP/ESOS/ESPS,Global Health Limited has informed the Exchange regarding Allotment of 15900  Shares.
22-May-2026 18:01:25,Analysts/Institutional Investor Meet/Con. Call Updates,Global Health Limited has informed the Exchange about Schedule of Analyst meet.
22-May-2026 18:01:25,Analysts/Institutional Investor Meet/Con. Call Updates,Global Health Limited has informed the Exchange about Schedule of Analyst meet
20-May-2026 10:14:26,Analysts/Institutional Investor Meet/Con. Call Updates,Global Health Limited has informed the Exchange about Announcement under Regulation 30 of Listing regulations for Earning Call Transcript.
15-May-2026 16:12:02,Analysts/Institutional Investor Meet/Con. Call Updates,Global Health Limited has informed the Exchange about Link of Recording
15-May-2026 11:46:53,Copy of Newspaper Publication,Global Health Limited has informed the Exchange about Copy of Newspaper Publication
14-May-2026 18:47:58,Investor Presentation,Global Health Limited has informed the Exchange about Investor Presentation
14-May-2026 18:43:29,Press Release,"Global Health Limited has informed the Exchange regarding a press release dated May 14, 2026, titled "" press release for the fourth quarter and year ended March 31, 2026 Results""."
14-May-2026 17:04:45,Resignation of Director/KMP/SMP,Global Health Limited has informed the Exchange about Resignation of Director/KMP/SMP
14-May-2026 16:57:19,Change in Management,Global Health Limited has informed the Exchange about change in Management
14-May-2026 16:57:19,Outcome of Board Meeting,"Global Health Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
14-May-2026 16:57:19,Dividend,"Global Health Limited has informed the Exchange that Board of Directors at its meeting held on May 14, 2026, recommended Final Dividend of Rs. 0.50 per equity share."
11-May-2026 18:18:08,Analysts/Institutional Investor Meet/Con. Call Updates,Global Health Limited has informed the Exchange about Schedule of meet.
11-May-2026 11:41:30,ESOP/ESOS/ESPS,Global Health Limited has informed the Exchange regarding Grant of 10000  Options.
27-Apr-2026 15:09:35,Press Release,"Global Health Limited has informed the Exchange regarding a press release dated April 27, 2026, titled  Medanta Expands Indore Presence with Takeover of 80 Bed Cancer Hospital""."
27-Apr-2026 14:44:32,Capacity addition,Global Health Limited has informed the Exchange about Capacity addition
27-Apr-2026 14:41:44,Outcome of Board Meeting,"Global Health Limited has informed the Exchange regarding Outcome of Board Meeting held on April 27, 2026."
22-Apr-2026 16:59:46,ESOP/ESOS/ESPS,Global Health Limited has informed the Exchange regarding Allotment of 61500  Shares.
08-Apr-2026 19:25:04,Disclosure under SEBI Takeover Regulations,"Dr. Naresh Trehan has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations,"
02-Apr-2026 17:59:09,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Global Health Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
26-Mar-2026 16:28:28,Analysts/Institutional Investor Meet/Con. Call Updates,Global Health Limited has informed the Exchange about Schedule of meet
25-Mar-2026 15:57:09,Press Release,"Global Health Limited has informed the Exchange regarding a press release dated March 25, 2026, titled ""Medanta to set up a 400-bed hospital in the centre of Varanasi,  further strengthening its Uttar"
25-Mar-2026 15:50:59,Capacity addition,Global Health Limited has informed the Exchange about Capacity addition
25-Mar-2026 15:49:10,Adoption of new line(s) of business,Global Health Limited has informed the Exchange about Adoption of new line(s) of business
24-Mar-2026 14:19:13,ESOP/ESOS/ESPS,Global Health Limited has informed the Exchange regarding Grant of 10000  Options.
24-Mar-2026 13:24:44,Trading Window,"Global Health Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
18-Mar-2026 17:50:48,Analysts/Institutional Investor Meet/Con. Call Updates,Global Health Limited has informed the Exchange about Schedule of meet
