date,desc,text
09-Jul-2026 13:53:35,General Updates,"Metropolis Healthcare Limited has informed the Exchange about allotment of 36,900 equity shares under the Metropolis-Restrictive Stock Unit Plan, 2020."
06-Jul-2026 18:46:53,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Metropolis Healthcare Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended June 30, 2026"
05-Jul-2026 12:10:18,Updates,Metropolis Healthcare Limited has informed the Exchange regarding 'Business update for Q1FY27'.
29-Jun-2026 16:19:07,Trading Window,"Metropolis Healthcare Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
23-Jun-2026 17:22:31,Disclosure under SEBI Takeover Regulations,Metropolis Healthcare Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) 
04-Jun-2026 20:29:33,Analysts/Institutional Investor Meet/Con. Call Updates,"Metropolis Healthcare Limited has informed the Exchange about the meeting with investors scheduled on June 08, 2026"
27-May-2026 20:04:34,Analysts/Institutional Investor Meet/Con. Call Updates,"Metropolis Healthcare Limited has informed the Exchange about the meetings with investors scheduled on June 03, 2026 & June 11, 2026"
19-May-2026 19:33:12,Analysts/Institutional Investor Meet/Con. Call Updates,Metropolis Healthcare Limited has informed the Exchange about Transcript
14-May-2026 16:30:03,Analysts/Institutional Investor Meet/Con. Call Updates,Metropolis Healthcare Limited has informed the Exchange about Link of Recording
14-May-2026 16:09:23,Copy of Newspaper Publication,Metropolis Healthcare Limited has informed the Exchange about Copy of Newspaper Publication
14-May-2026 00:57:14,Updates,Metropolis Healthcare Limited has informed the Exchange regarding 'General Update'.
13-May-2026 20:06:22,Press Release,"Metropolis Healthcare Limited has informed the Exchange regarding a press release dated May 13, 2026, titled "" Metropolis Healthcare reports strong Q4FY26 performance; EBITDA up 71% YoY and PAT rises "
13-May-2026 19:54:55,Investor Presentation,Metropolis Healthcare Limited has informed the Exchange about Investor Presentation
13-May-2026 19:20:44,Change in Management,Metropolis Healthcare Limited has informed the Exchange about change in Senior Management Personnel
13-May-2026 19:15:42,Change in Auditors,Metropolis Healthcare Limited has informed the Exchange regarding Change in Auditors of the company.
13-May-2026 19:08:35,Dividend,"Metropolis Healthcare Limited has informed the Exchange that Board of Directors at its meeting held on May 13, 2026, declared 2nd Interim Dividend of Re. 1 per equity share."
13-May-2026 18:54:38,Record Date,Metropolis Healthcare Limited has informed the Exchange about the declaration of 2nd Interim Dividend and Record date.
13-May-2026 18:49:11,Outcome of Board Meeting,"Metropolis Healthcare Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
13-May-2026 12:31:41,Options to purchase securities,Metropolis Healthcare Limited has informed the Exchange about Grant of Stock Benefits
13-May-2026 12:28:46,ESOP/ESOS/ESPS,"Metropolis Healthcare Limited has informed the Exchange regarding Allotment of 4,200 Equity Shares under the Metropolis-Restrictive Stock Unit Plan, 2020"
08-May-2026 15:37:58,Analysts/Institutional Investor Meet/Con. Call Updates,"Metropolis Healthcare Limited has informed the Exchange about meeting with investors scheduled on May 27, 2026"
07-May-2026 18:40:22,Analysts/Institutional Investor Meet/Con. Call Updates,"Metropolis Healthcare Limited has informed the Exchange about Schedule of     Q4FY26 earnings conference call (i.e. post earnings/quarterly call), organized by Ambit Capital on Thursday, May 14, 2026 "
13-Apr-2026 19:20:44,Analysts/Institutional Investor Meet/Con. Call Updates,"Metropolis Healthcare Limited has informed the Exchange about meeting with investors scheduled on April 17, 2026"
07-Apr-2026 13:05:22,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Metropolis Healthcare Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended March 31, 2026"
03-Apr-2026 13:34:03,Updates,Metropolis Healthcare Limited has informed the Exchange regarding 'Business update for Q4FY26'.
31-Mar-2026 16:08:11,Trading Window,"Metropolis Healthcare Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
