date,desc,text
07-Jul-2026 15:22:38,Analysts/Institutional Investor Meet/Con. Call Updates,MphasiS Limited has informed the Exchange about Schedule of meet
02-Jul-2026 17:08:27,Copy of Newspaper Publication,MphasiS Limited has informed the Exchange about Copy of Newspaper Publication
02-Jul-2026 15:30:37,Updates,MphasiS Limited has informed the Exchange regarding 'Business Responsibility and Sustainability Report for the financial year 2025-26'.
02-Jul-2026 14:58:08,Shareholders meeting,"MphasiS Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 23, 2026"
01-Jul-2026 20:39:24,Updates,MphasiS Limited has informed the Exchange regarding 'Communication to the shareholders on weblink of Notice of 35th Annual General Meeting and Annual Report for the financial year 2025-26'.
01-Jul-2026 20:11:32,Updates,MphasiS Limited has informed the Exchange regarding 'Business Responsibility and Sustainability Report for the financial year ended 31 March 2026'.
01-Jul-2026 19:47:54,Shareholders meeting,"MphasiS Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 23, 2026"
29-Jun-2026 12:59:44,Press Release,"MphasiS Limited has informed the Exchange regarding a press release dated Jun 29, 2026, titled ""Mphasis joins the Microsoft Intelligent Security Association""."
26-Jun-2026 16:06:01,Copy of Newspaper Publication,MphasiS Limited has informed the Exchange about Copy of Newspaper Publication
22-Jun-2026 16:48:30,Trading Window,"MphasiS Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
17-Jun-2026 17:33:18,Disclosure under SEBI Takeover Regulations,BCP Topco IX Pte. Ltd has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulati
14-Jun-2026 12:33:35,ESOP/ESOS/ESPS,MphasiS Limited has informed the Exchange regarding Allotment of 11867  Shares.
09-Jun-2026 16:55:04,Analysts/Institutional Investor Meet/Con. Call Updates,MphasiS Limited has informed the Exchange about Schedule of meet
27-May-2026 14:32:40,Press Release,"MphasiS Limited has informed the Exchange regarding a press release dated May 27, 2026, titled ""Mphasis Launches Mphasis TriaTM, a First-of-its-Kind Enterprise AgencyPlatform; Governed Front2BackTM, A"
27-May-2026 09:09:55,Investor Presentation,MphasiS Limited has informed the Exchange about Investor Presentation
22-May-2026 19:13:35,Analysts/Institutional Investor Meet/Con. Call Updates,MphasiS Limited has informed the Exchange about Schedule of meet
22-May-2026 17:53:26,ESOP/ESOS/ESPS,MphasiS Limited has informed the Exchange regarding Grant of 72010  Options.
22-May-2026 17:53:26,ESOP/ESOS/ESPS,MphasiS Limited has informed the Exchange regarding Grant of 24000  Options.
22-May-2026 17:46:31,ESOP/ESOS/ESPS,MphasiS Limited has informed the Exchange regarding Allotment of 2507  Shares.
21-May-2026 21:36:27,Press Release,"MphasiS Limited has informed the Exchange regarding a press release dated May 21, 2026, titled ""Mphasis partners with Indian School of Business (ISB) to establish an  AI Hub ""."
14-May-2026 17:19:03,Copy of Newspaper Publication,MphasiS Limited has informed the Exchange about Copy of Newspaper Publication
11-May-2026 08:21:00,Analysts/Institutional Investor Meet/Con. Call Updates,MphasiS Limited has informed the Exchange about Schedule of meet
07-May-2026 18:18:23,Analysts/Institutional Investor Meet/Con. Call Updates,MphasiS Limited has informed the Exchange about Schedule of meet
07-May-2026 17:47:49,ESOP/ESOS/ESPS,MphasiS Limited has informed the Exchange regarding Exercise of 39193  Options.
06-May-2026 13:07:19,General Updates,MphasiS Limited has informed the Exchange about General Updates
04-May-2026 18:50:19,Analysts/Institutional Investor Meet/Con. Call Updates,MphasiS Limited has informed the Exchange about Transcript
01-May-2026 13:41:30,Copy of Newspaper Publication,MphasiS Limited has informed the Exchange about Copy of Newspaper Publication
30-Apr-2026 21:12:20,Analysts/Institutional Investor Meet/Con. Call Updates,MphasiS Limited has informed the Exchange about Link of Recording
30-Apr-2026 00:01:00,Press Release,"MphasiS Limited has informed the Exchange regarding a press release dated April 29, 2026, titled ""Press Release""."
29-Apr-2026 23:55:46,Change in Management,MphasiS Limited has informed the Exchange about re-appointment of Directors
29-Apr-2026 23:47:31,Record Date,MphasiS Limited has informed the Exchange that Record date for the purpose of Dividend  is 08-Jul-2026.
29-Apr-2026 23:39:59,Investor Presentation,MphasiS Limited has informed the Exchange about Investor Presentation
29-Apr-2026 23:38:27,Outcome of Board Meeting,"MphasiS Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
28-Apr-2026 08:30:16,Appointment,"MphasiS Limited has informed the Exchange regarding Appointment of  Richard Miller as Executive Vice President and Global Head of Insurance Business of the company w.e.f. April 27, 2026."
21-Apr-2026 21:12:16,Appointment,"MphasiS Limited has informed the Exchange regarding Appointment of Ms Rogayeh Tabrizi as Other of the company w.e.f. April 21, 2026."
21-Apr-2026 21:02:31,Updates,"MphasiS Limited has informed the Exchange regarding 'Disclosure under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 - Acquisition'."
10-Apr-2026 15:03:32,ESOP/ESOS/ESPS,MphasiS Limited has informed the Exchange regarding Grant of 5000  Options.
08-Apr-2026 17:47:34,Updates,MphasiS Limited has informed the Exchange regarding 'Submission of Reconciliation of Share Capital Audit Report for the quarter ended31 March 2026'.
07-Apr-2026 18:23:21,Analysts/Institutional Investor Meet/Con. Call Updates,MphasiS Limited has informed the Exchange about Schedule of meet
30-Mar-2026 22:03:40,General Updates,MphasiS Limited has informed the Exchange about General Updates
30-Mar-2026 20:51:17,Press Release,"MphasiS Limited has informed the Exchange regarding a press release dated March 30, 2026, titled ""Mphasis and Flagstar Bank Mark Major Milestone by Completing First Phase of Modernizing the Bank s Tec"
28-Mar-2026 08:14:17,Updates,MphasiS Limited has informed the Exchange regarding 'Board comments on fine levied by the Exchange'.
26-Mar-2026 19:21:15,General Updates,MphasiS Limited has informed the Exchange about General Updates
21-Mar-2026 11:20:07,Trading Window,"MphasiS Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
13-Mar-2026 11:27:17,General Updates,MphasiS Limited has informed the Exchange about General Updates
04-Mar-2026 11:39:14,Copy of Newspaper Publication,MphasiS Limited has informed the Exchange about Copy of Newspaper Publication
03-Mar-2026 18:43:42,Shareholders meeting,"MphasiS Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
27-Feb-2026 20:42:17,Resignation,"MphasiS Limited has informed the Exchange regarding Resignation of  Ms. Courtney Karlan Della Cava (DIN: 09380419) as Non- Executive, Non-Independent Director of the company w.e.f. February 27, 2026."
18-Feb-2026 13:17:16,General Updates,MphasiS Limited has informed the Exchange about ESG Rating
04-Feb-2026 12:06:35,ESOP/ESOS/ESPS,MphasiS Limited has informed the Exchange regarding Allotment of 110719  Shares.
04-Feb-2026 11:32:36,Analysts/Institutional Investor Meet/Con. Call Updates,MphasiS Limited has informed the Exchange about Schedule of meet
01-Feb-2026 22:31:55,Resignation,"MphasiS Limited has informed the Exchange regarding Resignation of Mr Elango R as President   Enterprise 5, North America, of the company w.e.f. January 31, 2026."
31-Jan-2026 12:55:03,Copy of Newspaper Publication,MphasiS Limited has informed the Exchange about Copy of Newspaper Publication
30-Jan-2026 18:13:27,Shareholders meeting,MphasiS Limited has informed the Exchange regarding Notice of Postal Ballot
27-Jan-2026 18:17:42,Analysts/Institutional Investor Meet/Con. Call Updates,MphasiS Limited has informed the Exchange about Transcript
24-Jan-2026 15:31:03,Copy of Newspaper Publication,MphasiS Limited has informed the Exchange about Copy of Newspaper Publication
