date,desc,text
09-Jul-2026 17:07:30,Copy of Newspaper Publication,NCC Limited has informed the Exchange about Copy of Newspaper Publication
03-Jul-2026 16:22:43,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","NCC Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
01-Jul-2026 14:31:35,Updates,NCC Limited has informed the Exchange regarding 'Communication to the Shareholders holding shares in Physical Form for furnishing/updating KYC details'.
30-Jun-2026 17:06:49,Bagging/Receiving of orders/contracts,NCC Limited has informed the Exchange about Bagging/Receiving of orders/contracts
26-Jun-2026 14:43:51,Trading Window,"NCC Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
19-Jun-2026 11:27:13,Reply to Clarification- Financial results,"The Exchange had sought clarification from NCC Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. "
31-May-2026 16:08:00,Bagging/Receiving of orders/contracts,NCC Limited has informed the Exchange about Bagging/Receiving of orders/contracts
25-May-2026 15:37:47,Clarification - Financial Results,"The Exchange has sought clarification from NCC Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015. "
23-May-2026 14:53:00,Copy of Newspaper Publication,NCC Limited has informed the Exchange about Copy of Newspaper Publication
20-May-2026 17:02:52,Analysts/Institutional Investor Meet/Con. Call Updates,NCC Limited has informed the Exchange about Transcript
16-May-2026 16:22:56,Analysts/Institutional Investor Meet/Con. Call Updates,NCC Limited has informed the Exchange about Link of Recording
16-May-2026 16:20:34,Copy of Newspaper Publication,NCC Limited has informed the Exchange about Copy of Newspaper Publication
15-May-2026 18:58:53,Investor Presentation,NCC Limited has informed the Exchange about Investor Presentation
15-May-2026 17:54:33,Appointment,"NCC Limited has informed the Exchange regarding Appointment of  Smt. Kausalya Bhupathi Raju as Other of the company w.e.f. September 01, 2026."
15-May-2026 17:34:47,Record Date,NCC Limited has informed the Exchange that Record date for the purpose of Dividend  is 14-Aug-2026.
15-May-2026 17:20:10,Appointment,"NCC Limited has informed the Exchange regarding Appointment of  Sri A V N Raju (DIN: 00018965) as Executive Director of the company w.e.f. May 30, 2026."
15-May-2026 17:15:24,Appointment,"NCC Limited has informed the Exchange regarding Appointment of  Sri Rajender Mohan Malla (DIN: 00136657) as Chairman of the company w.e.f. May 24, 2026."
15-May-2026 16:51:39,Appointment,"NCC Limited has informed the Exchange regarding Appointment of Mr A Karthik as Company Secretary & Compliance Officer of the company w.e.f. May 15, 2026."
15-May-2026 16:46:10,Outcome of Board Meeting,"NCC Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
08-May-2026 15:24:27,Analysts/Institutional Investor Meet/Con. Call Updates,NCC Limited has informed the Exchange about Schedule of meet
08-May-2026 12:56:56,Disclosure under SEBI Takeover Regulations,"AAV Ranga Raju has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 20"
30-Apr-2026 17:41:24,Bagging/Receiving of orders/contracts,NCC Limited has informed the Exchange about Bagging/Receiving of orders/contracts
04-Apr-2026 15:14:12,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","NCC Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
31-Mar-2026 17:28:36,Bagging/Receiving of orders/contracts,NCC Limited has informed the Exchange about Bagging/Receiving of orders/contracts
27-Mar-2026 17:46:53,Resignation,"NCC Limited has informed the Exchange regarding Resignation of Mr Sisir K Mishra as Company Secretary & Compliance Officer of the company w.e.f. April 06, 2026."
26-Mar-2026 16:01:49,Trading Window,"NCC Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
