date,desc,text
06-Jul-2026 17:59:27,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Nestle India Limited has informed the Exchange about Certificate under Regulation 74(5) of the SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended 30th June 2026"
03-Jul-2026 18:36:55,Shareholders meeting,"Nestle India Limited has submitted the Exchange a copy Scrutinizers report of  Annual General Meeting held on July 03, 2026. Further, the company has informed the Exchange regarding voting results."
03-Jul-2026 16:09:16,Shareholders meeting,Nestle India Limited has informed the Exchange regarding Proceedings of 67th Annual General Meeting convened on 3rd July 2026 through video conferencing/ other audio-visual means ( VC/ OAVM ) facility
03-Jul-2026 09:57:25,Record Date,Nestle India Limited has informed the Exchange that Record date for the purpose of Dividend  is 10-Jul-2026.
03-Jul-2026 09:53:48,Dividend,"Nestle India Limited has informed the Exchange that Board of Directors at its meeting held on July 03, 2026, declared Special Dividend 2026 of Rs. 2 per equity share, to be paid out of the retained ea"
19-Jun-2026 18:16:40,Trading Window,"Nestle India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
19-Jun-2026 17:31:40,Record Date,"Nestle India Limited has informed the Exchange that Record Date for determining entitlement of the members to the final dividend for the financial year 2025-26 and special dividend 2026, if any, is 10"
18-Jun-2026 18:13:31,Updates,Nestle India Limited has informed the Exchange regarding 'Newspaper advertisement published on 18th June 2026   Public Notice regarding loss of share certificate(s)'.
17-Jun-2026 16:32:45,Updates,Nestle India Limited has informed the Exchange regarding 'Newspaper advertisement   Public Notice regarding intimation to the shareholders about opening of Special Window by SEBI for Transfer and Dema
12-Jun-2026 17:26:29,News Verification,The Exchange has sought clarification from Nestle India Limited with respect to recent news item captioned Nestle India declines 3% after FSSAI issues notice over alleged insect detection in Maggi.  T
12-Jun-2026 15:15:14,News Verification,The Exchange has sought clarification from Nestle India Limited with respect to recent news item captioned Nestle India declines 3% after FSSAI issues notice over alleged insect detection in Maggi.  T
06-Jun-2026 13:45:08,Copy of Newspaper Publication,"Nestle India Limited has informed the Exchange about Copy of Newspaper Publication - Notice of 67th Annual General Meeting, Remote e-Voting information, Record Date etc."
05-Jun-2026 22:06:57,General Updates,Nestle India Limited has informed the Exchange about Business Responsibility and Sustainability Report for the financial year ended 31st March 2026
05-Jun-2026 15:57:30,Shareholders meeting,Nestle India Limited has informed the Exchange regarding Notice of 67th Annual General Meeting scheduled to be held on 3rd July 2026 at 10:30 A.M. (IST)
03-Jun-2026 19:22:06,General Updates,Nestle India Limited has informed the Exchange about Update on participation in the investor conference held on 3rd June 2026
02-Jun-2026 19:05:10,General Updates,Nestle India Limited has informed the Exchange about Update on participation in the investor conference held on 2nd June 2026
27-May-2026 19:32:52,Copy of Newspaper Publication,Nestle India Limited has informed the Exchange about Copy of Newspaper Publication - Public Notice before dispatch of Notice for the 67th Annual GeneralMeeting ( AGM ) and Annual Report for financial 
26-May-2026 18:31:27,General Updates,Nestle India Limited has informed the Exchange about Intimation of participation in investor conference(s) scheduled for 2nd June 2026 and 3rd June 2026
19-May-2026 18:33:30,Updates,Nestle India Limited has informed the Exchange regarding 'Newspaper advertisement dated 19th May 2026   Public Notice regarding loss of share certificate(s)'.
12-May-2026 17:20:41,General Updates,Nestle India Limited has informed the Exchange about Update on a one-on-one meet with an analyst held on 12th May 2026
08-May-2026 15:21:09,Updates,Nestle India Limited has informed the Exchange regarding 'Newspaper advertisement   Public Notice regarding intimation to the shareholders about 100-Days Campaign by IEPFA - Saksham Niveshak '.
07-May-2026 17:59:01,General Updates,Nestle India Limited has informed the Exchange about Intimation of a one-on-one meet with an analyst scheduled to be held on 12th May 2026
24-Apr-2026 17:36:26,Updates,Nestle India Limited has informed the Exchange regarding 'Newspaper advertisement dated 24.04.2026   Public Notice regarding loss of share certificate(s)'.
21-Apr-2026 19:52:08,General Updates,"Nestle India Limited has informed the Exchange about Disclosure under Regulation 30(5) of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
21-Apr-2026 14:29:49,General Updates,"Nestle India Limited has informed the Exchange about convening of 67th Annual General Meeting (""AGM"") on Friday, 3rd July 2026 through Video Conferencing/ OtherAudio-Visual Means (VC/ OAVM)."
21-Apr-2026 14:28:04,Press Release,"Nestle India Limited has informed the Exchange regarding a press release dated April 21, 2026, titled ""Consumer First. Brand Strong. Future Ready""."
21-Apr-2026 14:25:04,Record Date,Nestle India Limited has informed the Exchange that Record date for the purpose of Final Dividend  is 10-Jul-2026.
21-Apr-2026 14:17:13,Dividend,"Nestle India Limited has informed the Exchange that Board of Directors at its meeting held on April 21, 2026, recommended Final Dividend of Rs. 5 per equity share."
21-Apr-2026 14:15:02,Outcome of Board Meeting,"Nestle India Limited has submitted to the Exchange, the financial results for the fourth quarter and financial year ended 31st March 2026."
14-Apr-2026 22:10:36,Updates,Nestle India Limited has informed the Exchange regarding 'Newspaper advertisement   Public Notice regarding Intimation to the shareholders about opening of Special Window by SEBI for Transfer and Dema
08-Apr-2026 16:27:12,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Nestle India Limited has informed the Exchange about Certificate under Regulation 74 (5) of the SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended 31st March 2026"
07-Apr-2026 19:02:14,Disclosure under SEBI Takeover Regulations,"Nestle S A has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
01-Apr-2026 18:50:29,Capacity addition,"Nestle India Limited has informed the Exchange about intimation regarding an addition of a new Maggi Noodles production line at the Sanand Factory, Gujarat"
24-Mar-2026 17:52:08,Trading Window,"Nestle India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
23-Mar-2026 17:20:02,General Updates,Nestle India Limited has informed the Exchange about Update on a one-on-one meet (virtual) with an institutional investor held on 23rd March 2026
19-Mar-2026 16:07:32,Capacity addition,"Nestle India Limited has informed the Exchange about  the addition of a new Munch production line at the Sanand Factory, Gujarat"
17-Mar-2026 18:58:24,General Updates,Nestle India Limited has informed the Exchange about Update on a one-on-one meet (virtual) with an institutional investor held on 17th March 2026
16-Mar-2026 18:15:25,General Updates,Nestle India Limited has informed the Exchange about update on a one-on-one meet (virtual) with an institutional investor
13-Mar-2026 19:53:39,Shareholders meeting,"Nestle India Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
09-Mar-2026 19:29:15,General Updates,Nestle India Limited has informed the Exchange about Intimation of one-on-one meet(s) with institutional investor(s)
06-Mar-2026 16:19:41,Change in Management,Nestle India Limited has informed the Exchange about disclosure of changes in the Senior Management of the Company
25-Feb-2026 18:08:06,Copy of Newspaper Publication,Nestle India Limited has informed the Exchange about Copy of Newspaper Publication - Public Notice regarding loss of share certificates
12-Feb-2026 19:49:01,General Updates,Nestle India Limited has informed the Exchange about Newspaper advertisement regarding dispatch of Notice of Postal Ballot electronically
11-Feb-2026 18:11:40,Shareholders meeting,Nestle India Limited has informed the Exchange regarding Notice of Postal Ballot
30-Jan-2026 14:32:54,Press Release,"Nestle India Limited has informed the Exchange regarding a press release dated January 30, 2026, titled ""Strong Double-Digit Sales Growth and Record Turnover Mark SuccessfulQuarter for Nestlé India""."
30-Jan-2026 14:30:32,General Updates,"Nestle India Limited has informed the Exchange that Board of Directors approved (in-principle) investments in two special purpose vehicles (SPVs), subject to customary closing conditions, for establis"
30-Jan-2026 14:20:14,Change in Management,Nestle India Limited has informed the Exchange about: a) appointment of Mr. Edouard Dominique Jean Mac Nab as an Additional Director and Whole-time Director (KMP); b) recommended to the members the ap
30-Jan-2026 14:04:57,Appointment,"Nestle India Limited has informed the Exchange regarding Appointment of Mr Edouard Dominique Jean Mac Nab as Executive Director of the company w.e.f. March 01, 2026."
30-Jan-2026 14:04:57,Appointment,"Nestle India Limited has informed the Exchange regarding Appointment of Mr Edouard Dominique Jean Mac Nab as Chief Financial Officer of the company w.e.f. March 01, 2026."
30-Jan-2026 13:52:36,Dividend,"Nestle India Limited has informed the Exchange that Board of Directors at its meeting held on January 30, 2026, declared Interim Dividend of Rs. 7 per equity share."
30-Jan-2026 13:50:52,Outcome of Board Meeting,"Nestle India Limited has submitted to the Exchange, the unaudited financial results (standalone and consolidated) for third quarter and nine months ended 31st December 2025."
28-Jan-2026 19:32:12,Copy of Newspaper Publication,Nestle India Limited has informed the Exchange about Copy of Newspaper Publication - Notice to the shareholders for KYC updation
27-Jan-2026 15:29:07,Updates,Nestle India Limited has informed the Exchange regarding 'Re-Lodgement of transfer requests of physical shares for the period 1st December 2025 to 6th January 2026'.
21-Jan-2026 21:47:21,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Nestle India Limited has informed the Exchange about Update on material litigations (Income Tax related matters)
21-Jan-2026 19:16:42,Copy of Newspaper Publication,Nestle India Limited has informed the Exchange about Copy of Newspaper Publication - Public Notice regarding loss of share certificates
16-Jan-2026 18:54:03,General Updates,"Nestle India Limited has informed the Exchange about nomination of Mr. Edouard Mac Nab as Executive Director   Finance & Control and CFO (KMP) w.e.f. 1st March 2026, subject to approvals"
16-Jan-2026 16:36:02,Record Date,"Intimation of record date as per the prescribed format, for determining entitlement of the members to the interim dividend for the Financial Year 2025-26, if any, as may be declared by the Board of Di"
