date,desc,text
06-Jul-2026 11:15:56,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Netweb Technologies India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
03-Jul-2026 13:26:47,Copy of Newspaper Publication,Netweb Technologies India Limited has informed the Exchange about Copy of Newspaper Publication
02-Jul-2026 20:16:35,Shareholders meeting,Netweb Technologies India Limited has informed the Exchange regarding Notice of Postal Ballot
01-Jul-2026 20:42:45,Outcome of Board Meeting,"Netweb Technologies India Limited has informed the Exchange regarding Outcome of Board Meeting held on July 01, 2026."
25-Jun-2026 17:54:23,Trading Window,"Netweb Technologies India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
18-Jun-2026 17:58:51,Analysts/Institutional Investor Meet/Con. Call Updates,Netweb Technologies India Limited has informed the Exchange about Schedule of meet
10-Jun-2026 18:13:09,Credit Rating- Revision,Netweb Technologies India Limited has informed the Exchange about Credit Rating- Revision
26-May-2026 13:24:37,Credit Rating,Netweb Technologies India Limited has informed the Exchange about Credit Rating
18-May-2026 14:54:49,Disclosure under SEBI Takeover Regulations,"Sanjay Lodha has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011"
18-May-2026 11:13:20,Analysts/Institutional Investor Meet/Con. Call Updates,Netweb Technologies India Limited has informed the Exchange about Schedule of meet
18-May-2026 11:08:00,Analysts/Institutional Investor Meet/Con. Call Updates,Netweb Technologies India Limited has informed the Exchange about Schedule of meet
18-May-2026 10:52:36,Analysts/Institutional Investor Meet/Con. Call Updates,Netweb Technologies India Limited has informed the Exchange about Schedule of meet
18-May-2026 10:43:28,Analysts/Institutional Investor Meet/Con. Call Updates,Netweb Technologies India Limited has informed the Exchange about Schedule of meet
15-May-2026 11:28:14,Disclosure under SEBI Takeover Regulations," Sanjay Lodha has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 201"
07-May-2026 16:29:37,Analysts/Institutional Investor Meet/Con. Call Updates,Netweb Technologies India Limited has informed the Exchange about Transcript
04-May-2026 20:50:07,Analysts/Institutional Investor Meet/Con. Call Updates,Netweb Technologies India Limited has informed the Exchange about Link of Recording
03-May-2026 13:57:14,Copy of Newspaper Publication,Netweb Technologies India Limited has informed the Exchange about Copy of Newspaper Publication
02-May-2026 20:30:43,Updates,Netweb Technologies India Limited has informed the Exchange regarding 'Strategy Presentation'.
02-May-2026 20:16:51,Dividend,"Netweb Technologies India Limited has informed the Exchange that Board of Directors at its meeting held on May 02, 2026, recommended Final Dividend of Rs. 03.00 per equity share."
02-May-2026 19:39:46,Change in Management,Netweb Technologies India Limited has informed the Exchange about change in Management
02-May-2026 19:30:47,Investor Presentation,Netweb Technologies India Limited has informed the Exchange about Investor Presentation
02-May-2026 19:15:48,Press Release,"Netweb Technologies India Limited has informed the Exchange regarding a press release dated May 02, 2026, titled ""Press Release on Financial results for the year ended 31st March 2026 ""."
02-May-2026 18:51:58,Outcome of Board Meeting,"Netweb Technologies India Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
29-Apr-2026 11:21:36,Analysts/Institutional Investor Meet/Con. Call Updates,Netweb Technologies India Limited has informed the Exchange about Schedule of meet
29-Apr-2026 08:23:19,Product launch,Netweb Technologies India Limited has informed the Exchange about Product launch
29-Apr-2026 07:22:07,Press Release,"Netweb Technologies India Limited has informed the Exchange regarding a press release dated April 29, 2026, titled ""Press Release""."
27-Apr-2026 11:09:44,Analysts/Institutional Investor Meet/Con. Call Updates,Netweb Technologies India Limited has informed the Exchange about Schedule of meet
03-Apr-2026 16:00:20,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Netweb Technologies India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
25-Mar-2026 16:29:13,Trading Window,"Netweb Technologies India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
20-Mar-2026 22:34:19,Shareholders meeting,"Netweb Technologies India Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
20-Mar-2026 22:32:48,Change in Management,Netweb Technologies India Limited has informed the Exchange about change in Management
16-Mar-2026 14:28:38,Analysts/Institutional Investor Meet/Con. Call Updates,Netweb Technologies India Limited has informed the Exchange about Schedule of meet
03-Mar-2026 15:31:49,Analysts/Institutional Investor Meet/Con. Call Updates,Netweb Technologies India Limited has informed the Exchange about Schedule of meet
03-Mar-2026 15:24:46,Analysts/Institutional Investor Meet/Con. Call Updates,Netweb Technologies India Limited has informed the Exchange about Schedule of meet
26-Feb-2026 18:42:58,Updates,Netweb Technologies India Limited has informed the Exchange regarding 'Vertiv Press release'.
21-Feb-2026 12:15:18,General Updates,Netweb Technologies India Limited has informed the Exchange about General Updates
18-Feb-2026 12:19:20,Copy of Newspaper Publication,Netweb Technologies India Limited has informed the Exchange about Copy of Newspaper Publication
18-Feb-2026 07:18:35,Updates,Netweb Technologies India Limited has informed the Exchange regarding 'Product Launch'.
