date,desc,text
12-Jul-2026 15:08:41,Copy of Newspaper Publication,The New India Assurance Company Limited has informed the Exchange about Copy of Newspaper Publication
08-Jul-2026 12:19:31,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","The New India Assurance Company Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
06-Jul-2026 15:30:54,Copy of Newspaper Publication,The New India Assurance Company Limited has informed the Exchange about Copy of Newspaper Publication
05-Jul-2026 13:45:25,Shareholders meeting,"The New India Assurance Company Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 27, 2026"
25-Jun-2026 18:46:27,Revised Record date,The New India Assurance Company Limited had intimated the 04-Sep-2026 as the record date. The Company has now informed the Exchange that the Record date has been revised to 10-Jul-2026 for the purpose
25-Jun-2026 17:46:09,Record Date,The New India Assurance Company Limited has informed the Exchange that Record date for the purpose of Dividend  is 10-Jul-2026.
25-Jun-2026 17:44:33,Outcome of Board Meeting,"The New India Assurance Company Limited has informed the Exchange regarding Outcome of Board Meeting held on Jun 25, 2026."
25-Jun-2026 11:49:46,Change in Director(s),The New India Assurance Company Limited has informed the Exchange regarding Change in Director(s) of the company.
23-Jun-2026 10:43:11,Price movement,"Significant movement in price has been observed in The New India Assurance Company Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to in"
22-Jun-2026 20:00:55,Price movement,"Significant movement in price has been observed in The New India Assurance Company Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to in"
22-Jun-2026 13:14:17,Trading Window,"The New India Assurance Company Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
19-Jun-2026 18:45:11,Disclosure of material issue,The New India Assurance Company Limited has informed regarding Disclosure of material issue
12-Jun-2026 18:37:18,Disclosure of material issue,The New India Assurance Company Limited has informed regarding Disclosure of material issue
19-May-2026 16:28:37,Analysts/Institutional Investor Meet/Con. Call Updates,The New India Assurance Company Limited has informed the Exchange about Transcript
19-May-2026 14:54:23,General Updates,Income Tax Refund
15-May-2026 17:53:49,Appointment,"The New India Assurance Company Limited has informed the Exchange regarding Appointment of Mr Harihar Mishra as Non- Executive Director of the company w.e.f. May 15, 2026."
15-May-2026 12:47:32,Analysts/Institutional Investor Meet/Con. Call Updates,The New India Assurance Company Limited has informed the Exchange about Link of Recording
14-May-2026 16:57:37,Analysts/Institutional Investor Meet/Con. Call Updates,The New India Assurance Company Limited has informed the Exchange about Link of Recording
11-May-2026 22:43:57,Investor Presentation,The New India Assurance Company Limited has informed the Exchange about Investor Presentation
11-May-2026 22:25:56,Record Date,The New India Assurance Company Limited has informed the Exchange that Record date for the purpose of Dividend  is 04-Sep-2026.
11-May-2026 22:25:01,Outcome of Board Meeting,"The New India Assurance Company Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
11-May-2026 13:59:25,Analysts/Institutional Investor Meet/Con. Call Updates,The New India Assurance Company Limited has informed the Exchange about Schedule of meet
10-May-2026 16:23:12,Analysts/Institutional Investor Meet/Con. Call Updates,"The New India Assurance Company Limited has informed the Exchange about Cancellation of the investors meet scheduled on 12th May, 2026"
07-May-2026 20:24:34,Analysts/Institutional Investor Meet/Con. Call Updates,The New India Assurance Company Limited has informed the Exchange about Schedule of meet
30-Apr-2026 20:08:03,Trading Window,"The New India Assurance Company Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
30-Apr-2026 15:33:15,General Updates,The New India Assurance Company Limited has informed the Exchange about General Updates
17-Apr-2026 22:56:24,Credit Rating,The New India Assurance Company Limited has informed the Exchange about Credit Rating
16-Apr-2026 13:01:39,Spurt in Volume,"Significant increase in volume has been observed in The New India Assurance Company Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to i"
16-Apr-2026 12:08:17,Price movement,"Significant movement in price has been observed in The New India Assurance Company Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to in"
15-Apr-2026 19:00:35,Price movement,"Significant movement in price has been observed in The New India Assurance Company Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to in"
10-Apr-2026 19:29:01,Spurt in Volume,"Significant increase in volume has been observed in The New India Assurance Company Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to i"
07-Apr-2026 16:18:54,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","The New India Assurance Company Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
02-Apr-2026 15:58:06,Change in Management,The New India Assurance Company Limited has informed the Exchange about change in Management
01-Apr-2026 17:40:31,Disclosure of material issue,The New India Assurance Company Limited has informed regarding Disclosure of material issue
31-Mar-2026 18:17:35,Cessation,"The New India Assurance Company Limited has informed the Exchange regarding Cessation of Ms Kasturi Sengupta as Executive Director of the company w.e.f. March 31, 2026."
30-Mar-2026 17:07:16,Registrar & Share Transfer Agent Update,The New India Assurance Company Limited has informed the Exchange about Registrar & Share Transfer Agent Update
25-Mar-2026 14:46:29,Trading Window,"The New India Assurance Company Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
24-Mar-2026 16:44:06,General Updates,The New India Assurance Company Limited has informed the Exchange about Disclosure under Reg 30 of SEBI LODR
23-Mar-2026 18:11:46,Cessation,"The New India Assurance Company Limited has informed the Exchange regarding Cessation of Ms Akani Devi as Non- Executive Independent Director of the company w.e.f. March 23, 2026."
27-Feb-2026 21:46:10,General Updates,The New India Assurance Company Limited has informed the Exchange about General Updates
17-Feb-2026 16:29:53,Change in Director(s),The New India Assurance Company Limited has informed the Exchange regarding Change in Director(s) of the company.
06-Feb-2026 13:09:38,Analysts/Institutional Investor Meet/Con. Call Updates,The New India Assurance Company Limited has informed the Exchange about Transcript
03-Feb-2026 16:14:28,Investor Presentation,The New India Assurance Company Limited has informed the Exchange about Investor Presentation
02-Feb-2026 18:21:51,Analysts/Institutional Investor Meet/Con. Call Updates,The New India Assurance Company Limited has informed the Exchange about Link of Recording
02-Feb-2026 13:28:06,Investor Presentation,The New India Assurance Company Limited has informed the Exchange about Investor Presentation
30-Jan-2026 18:47:54,Investor Presentation,The New India Assurance Company Limited has informed the Exchange about Investor Presentation
30-Jan-2026 18:34:28,Outcome of Board Meeting,"The New India Assurance Company Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
