date,desc,text
30-Jun-2026 16:02:23,Trading Window,"Niva Bupa Health Insurance Company Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
23-Jun-2026 17:24:31,ESOP/ESOS/ESPS,Niva Bupa Health Insurance Company Limited has informed the Exchange regarding Allotment of 1476432  Shares.
23-Jun-2026 17:18:34,Credit Rating,Niva Bupa Health Insurance Company Limited has informed the Exchange about Credit Rating
03-Jun-2026 15:08:13,Resignation of Director/KMP/SMP,Niva Bupa Health Insurance Company Limited has informed the Exchange about Resignation of Director/KMP/SMP
03-Jun-2026 15:05:00,Resignation of Director/KMP/SMP,Niva Bupa Health Insurance Company Limited has informed the Exchange about Resignation of Director/KMP/SMP
03-Jun-2026 15:01:06,Change in Director(s),Niva Bupa Health Insurance Company Limited has informed the Exchange regarding Change in Director(s) of the company.
03-Jun-2026 15:01:06,Resignation,Niva Bupa Health Insurance Company Limited has informed the Exchange regarding Resignation of  Mr. Milind Gajanan Barve as Non- Executive Independent Director of the company w.e.f. close of business h
26-May-2026 18:20:19,Updates,"Niva Bupa Health Insurance Company Limited has informed the Exchange regarding '' Annual Secretarial Compliance Report FY2025-26."""
15-May-2026 20:33:39,Updates,"Niva Bupa Health Insurance Company Limited has informed the Exchange regarding 'Allotment of 3,00,500 Equity shares'."
13-May-2026 17:36:20,Analysts/Institutional Investor Meet/Con. Call Updates,"Niva Bupa Health Insurance Company Limited has informed the Exchange about Transcript of the earnings call held on May 08, 2026."
11-May-2026 15:54:14,Copy of Newspaper Publication,Niva Bupa Health Insurance Company Limited has informed the Exchange about Copy of Newspaper Publication
08-May-2026 20:18:23,Analysts/Institutional Investor Meet/Con. Call Updates,"Niva Bupa Health Insurance Company Limited has informed the Exchange about Link of Recording of Earnings conference call held today, May 08, 2026."
08-May-2026 18:17:35,Resignation of Director/KMP/SMP,Niva Bupa Health Insurance Company Limited has informed the Exchange about Resignation of Director/KMP/SMP
08-May-2026 17:55:57,Resignation,"Niva Bupa Health Insurance Company Limited has informed the Exchange regarding Resignation of  Ms. Penelope Ruth Dudley  as Non- Executive Director of the company w.e.f. May 08, 2026."
08-May-2026 17:55:57,Resignation,"Niva Bupa Health Insurance Company Limited has informed the Exchange regarding Resignation of  Mr. Carlos Antonio Jaureguizar Ruiz-Jarabo  as Non- Executive Director of the company w.e.f. May 08, 2026"
08-May-2026 17:52:54,Options to purchase securities,Niva Bupa Health Insurance Company Limited has informed the Exchange about Grant of Stock options under Niva Bupa Employee Stock Option Plan 2024.
08-May-2026 17:51:01,Change in Management,Niva Bupa Health Insurance Company Limited has informed the Exchange about elevation of Mr. Ankur Kharbanda (currently designated as Executive Director and Chief Business Officer) as Executive Directo
08-May-2026 17:48:47,Appointment,"Niva Bupa Health Insurance Company Limited has informed the Exchange regarding Appointment of  Ms. Siobhan Djihan Moynihan as Non- Executive Director of the company w.e.f. May 15, 2026."
08-May-2026 17:47:24,Appointment,"Niva Bupa Health Insurance Company Limited has informed the Exchange regarding Appointment of  Mr. Christopher Patrick Carroll as Non- Executive Director of the company w.e.f. May 15, 2026."
08-May-2026 17:40:43,Press Release,"Niva Bupa Health Insurance Company Limited has informed the Exchange regarding a press release dated May 08, 2026, titled ""Press Release-Audited financial results for the quarter and financial year en"
08-May-2026 17:22:18,Investor Presentation,Niva Bupa Health Insurance Company Limited has informed the Exchange about Investor Presentation
08-May-2026 17:20:31,General Updates,"Niva Bupa Health Insurance Company Limited has informed the Exchange about Audited IFRS Financial Statements for the financial year ended March 31, 2026."
08-May-2026 17:18:11,Outcome of Board Meeting,"Niva Bupa Health Insurance Company Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
01-May-2026 16:41:06,Analysts/Institutional Investor Meet/Con. Call Updates,"Niva Bupa Health Insurance Company Limited has informed the Exchange about Schedule of meet to be held on May 08, 2026."
10-Apr-2026 15:50:38,Updates,"Niva Bupa Health Insurance Company Limited has informed the Exchange regarding 'Disclosure under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015.'"
09-Apr-2026 14:45:59,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Niva Bupa Health Insurance Company Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
06-Apr-2026 15:03:09,Disclosure under SEBI Takeover Regulations,Niva Bupa Health Insurance Company Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares an
30-Mar-2026 17:10:54,Trading Window,"Niva Bupa Health Insurance Company Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
27-Mar-2026 18:08:13,Shareholders meeting,"Niva Bupa Health Insurance Company Limited has submitted the Exchange a copy Scrutinizer's report of  Postal Ballot concluded on March 26, 2026, being the last date of E-voting."
