date,desc,text
07-Jul-2026 21:30:56,General Updates,"NTPC Green Energy Limited has informed the Exchange about Declaration Of Commercial Operation of NTPC Renewable Energy Limited, a wholly owned subsidiary w.e.f. 00:00 hrs of 08.07.2026."
07-Jul-2026 18:19:05,General Updates,NTPC Green Energy Limited has informed the Exchange about General Updates
06-Jul-2026 13:01:36,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Please find enclosed the Certificate under Regulation 74(5) of the SEBI (Depositories and Participants) Regulations, 2018"
03-Jul-2026 18:04:06,Press Release,"Press release titled  NTPC Renewable Energy Limited, a wholly owned subsidiary of NTPC Green Energy Limited (NGEL), has signed a Power Purchase Agreement (PPA) with PTC India Limited for the sale of 1"
01-Jul-2026 17:58:12,Change in Management,NTPC Green Energy Limited has informed the Exchange about change in Management
30-Jun-2026 21:02:49,Press Release,"Press release titled  Ayana Renewable Power Private Limited, a wholly owned subsidiary of ONGC NTPC Green Private Limited (50:50 JV between NTPC Green Energy Limited and ONGC Green Limited) wins 193 M"
24-Jun-2026 11:11:35,Trading Window,"NTPC Green Energy Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
12-Jun-2026 19:16:07,General Updates,"NTPC Green Energy Limited has informed the Exchange about Declaration of Commercial Operation of Project Sixteen Renewable Power Private Limited, A Step Down Subsidiary of Our Joint Venture ONGC NTPC "
09-Jun-2026 21:38:09,Press Release,"Press release regarding Proposed development of a 250 MW Solar Power Project integrated with Battery Energy Storage System (BESS) on vacant defence land at Sitapur, Uttar Pradesh by NTPC Renewable Ene"
27-May-2026 18:47:44,General Updates,NTPC Green Energy Limited has informed the Exchange about General Updates
22-May-2026 18:31:32,Outcome of Board Meeting,"NTPC Green Energy Limited has informed the Exchange regarding Outcome of Board Meeting held on May 22, 2026."
22-May-2026 18:29:32,Outcome of Board Meeting,"NTPC Green Energy Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
14-May-2026 12:24:33,General Updates,NTPC Green Energy Limited has informed the Exchange about Declaration of Commercial Operations of two Step-Down Subsidiaries of our Joint Venture ONGC NTPC Green Private Limited w.e.f. 00:00 hrs of 15
24-Apr-2026 16:39:57,General Updates,NTPC Green Energy Limited has informed the Exchange about General Updates
17-Apr-2026 20:49:51,General Updates,NTPC Green Energy Limited has informed the Exchange about General Updates
16-Apr-2026 22:44:13,General Updates,NTPC Green Energy Limited has informed the Exchange about General Updates
10-Apr-2026 14:37:05,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Please find enclosed the certificate under Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018."
08-Apr-2026 19:28:11,Disclosure under SEBI Takeover Regulations,"NTPC Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011"
31-Mar-2026 17:33:14,Press Release,"NTPC Green Energy Limited has informed the Exchange regarding a press release titled  NTPC Green Energy Limited (NGEL), Signs MoU with PTC India Limited for Collaboration in Sale of Renewable Energy P"
31-Mar-2026 17:21:11,General Updates,"NTPC Green Energy Limited has informed the Exchange About Declaration of Commercial Operation of Ayana Renewable Power Four Private Limited, a step down subsidiary of our joint venture ONGC NTPC Green"
31-Mar-2026 07:58:23,Press Release,"NTPC Green Energy Limited has informed the Exchange regarding a press release titled  NTPC Renewable Energy Limited, a wholly owned subsidiary of NTPC Green Energy Limited (NGEL) Signed Green Ammonia "
30-Mar-2026 22:32:01,General Updates,"NTPC Green Energy Limited has informed the Exchange about Declaration of Commercial Operation of NTPC Renewable Energy Limited, a wholly owned subsidiary of NTPC Green Energy Limited w.e.f. 31.03.2026"
28-Mar-2026 16:50:53,General Updates,NTPC Green Energy Limited has informed the Exchange about Declaration of Commercial Operation of fifth part capacity of 105 MW out of 1200 MW Khavda-II Solar PV Project located in Gujarat of NTPC Rene
28-Mar-2026 16:37:07,General Updates,"NTPC Green Energy Limited Has Informed The Exchange About Declaration Of Commercial Operation of third and last part capacity of 75 MW out of 500 MW Bhadla Solar PV Project located in Phalodi, Rajasth"
25-Mar-2026 17:05:11,Change in Company Secretary/Compliance Officer,NTPC Green Energy Limited has informed the Exchange about Change in Company Secretary/Compliance Officer
24-Mar-2026 16:24:15,Press Release,"NTPC Green Energy Limited has informed the Exchange regarding a press release dated March 24, 2026, titled ""Press Release regarding NTPC Green Energy Limited inks MoU with Nxtra Data Limited for devel"
