date,desc,text
10-Jul-2026 16:23:22,General Updates,"Intimation pursuant to SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015."
30-Jun-2026 15:39:18,General Updates,Transfer of Kakinada I Transmission Limited (wholly owned subsidiary of PFC Consulting Limited) (wholly owned subsidiary of Power Finance Corporation Limited)
28-Jun-2026 23:17:24,Amalgamation/Merger,"Outcome of Board Meeting held on June 28, 2026"
24-Jun-2026 16:21:46,General Updates,Update
24-Jun-2026 13:26:05,Record Date,Power Finance Corporation Limited has informed the Exchange that Record date for the purpose of Intimation of Record Date for the purpose of Final Dividend for the FY 2025-26  is 31-Jul-2026.
23-Jun-2026 16:26:00,General Updates,"Intimation pursuant to SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
22-Jun-2026 19:53:52,General Updates,Appointment of a part-time Non-Official Director on the Board of Power Finance Corporation Limited
22-Jun-2026 18:53:50,General Updates,"Strike off and Dissolution of Bihar Infrapower Limited, a wholly owned subsidiary ofPower Finance Corporation Limited"
10-Jun-2026 19:13:14,General Updates,Power Finance Corporation Limited has informed the Exchange about Presidential Approval for the proposed merger of REC Limited into PFC
10-Jun-2026 12:02:25,Disclosure under SEBI Takeover Regulations,Government of India Ministry of Power has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Tak
02-Jun-2026 16:13:59,Change in Director(s),Power Finance Corporation Limited has informed the Exchange regarding Change in Director(s) of the company.
02-Jun-2026 16:08:36,General Updates,Power Finance Corporation Limited has informed the Exchange about Strike off and Dissolution of Three wholly owned subsidiaries of Power Finance Corporation Limited
02-Jun-2026 16:04:37,General Updates,Power Finance Corporation Limited has informed the Exchange about Strike off and Dissolution of PFC Projects Limited (PPL) wholly owned subsidiary of Power Finance Corporation Limited.
01-Jun-2026 12:03:03,Change in Management,Power Finance Corporation Limited has informed the Exchange about change in Senior Management
29-May-2026 17:13:59,Updates,"Power Finance Corporation Limited has informed the Exchange regarding 'Annual Secretarial Compliance Report for the year ended 31st March, 2026'."
29-May-2026 17:08:10,General Updates,Transfer of TUMKUR II RE Transmission Limited (wholly owned subsidiary of PFC Consulting Limited) (wholly owned subsidiary of Power Finance Corporation Limited)
29-May-2026 15:51:23,General Updates,Transfer of Kurnool IV REZ Power Transmission Limited (wholly owned subsidiary of PFC Consulting Limited) (wholly owned subsidiary of Power Finance Corporation Limited)
27-May-2026 12:54:43,General Updates,Transfer of NERGS III Siang Basin Transmission Limited (wholly owned subsidiary of PFC Consulting Limited) (wholly owned subsidiary of Power Finance Corporation Limited).
20-May-2026 16:26:39,General Updates,"Transcript of analyst/investor meet held on May 13, 2026"
16-May-2026 17:52:27,Outcome of Board Meeting,"Outcome of Board Meeting held on May 16, 2026 - Intimation pursuant to SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
15-May-2026 16:16:07,Copy of Newspaper Publication,Newspaper Publication-Financial Results
13-May-2026 20:07:51,General Updates,"Intimation of Audio Recording of Investor Meet held on Wednesday, May 13, 2026"
13-May-2026 19:06:56,Updates,Power Finance Corporation Limited has informed the Exchange regarding 'Intimation of Board Meeting Pursuant to Regulation 29 of SEBI LODR'.
13-May-2026 13:46:45,Dividend,"Outcome of Board Meeting- Intimation pursuant to SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
13-May-2026 13:29:08,Outcome of Board Meeting,"Outcome of Board Meeting- Intimation pursuant to SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
08-May-2026 16:24:47,General Updates,Incorporation of two wholly owned Subsidiaries of PFC Consulting Limited (a wholly owned subsidiary of Power Finance Corporation Limited)- (1)WESTERN GHATS PSP TRANSMISSION LIMITED  (2) HINGOLI WEST P
08-May-2026 12:30:00,General Updates,Incorporation of a wholly owned Subsidiary of PFC Consulting Limited (a wholly owned subsidiary of Power Finance Corporation Limited)- PUNE WEST POWER TRANSMISSION LIMITED
08-May-2026 11:44:10,Analysts/Institutional Investor Meet/Con. Call Updates,Power Finance Corporation Limited has informed the Exchange about Schedule of meet
07-May-2026 14:51:01,General Updates,Incorporation of a wholly owned Subsidiary of PFC Consulting Limited (a wholly owned subsidiary of Power Finance Corporation Limited)- FATEHGARH II TRANSMISSION LIMITED
30-Apr-2026 19:02:20,General Updates,Incorporation of five wholly owned Subsidiaries of PFC Consulting Limited (a wholly owned subsidiary of Power Finance Corporation Limited)- (i) JAM KHAMBHALIYA REZ TRANSMISSION LIMITED (ii) LAKADIA A 
30-Apr-2026 18:50:14,General Updates,Intimation regarding change in Board of Directors of the Company
30-Apr-2026 16:23:36,General Updates,Appointment of Shri Rajesh Kumar Agarwal as Director (Finance) on the Board and CFO of Power Finance Corporation Limited
23-Apr-2026 18:18:49,General Updates,Assumption of Charge by Shri Rajesh Kumar Agarwal (DIN: 09699001) as Director (Finance) on the Board of Power Finance Corporation Limited
17-Apr-2026 15:32:58,General Updates,Intimation for cessation of Independent Directors on completion of tenure
14-Apr-2026 20:50:27,General Updates,Incorporation of four wholly owned Subsidiaries of PFC Consulting Limited (a wholly owned subsidiary of Power Finance Corporation Limited)- (i) BABAI TRANSMISSION LIMITED (ii) BIKANER TRANSMISSION LIM
07-Apr-2026 12:53:35,General Updates,Update
02-Apr-2026 12:47:44,Resignation of Independent director,POWER FINANCE CORPORATION LIMITED has informed the Exchange about Resignation of Independent director.
02-Apr-2026 12:18:40,General Updates,Intimation regarding change in Board of Directors of the Company
01-Apr-2026 13:08:29,General Updates,Intimation regarding change in Board of Directors of the Company
30-Mar-2026 17:49:53,General Updates,Transfer of South Kalamb Power Transmission Limited (wholly owned subsidiary of PFC Consulting Limited) (wholly owned subsidiary of Power Finance Corporation Limited).
27-Mar-2026 18:17:44,General Updates,Power Finance Corporation Limited has informed the Exchange about Transfer of Wagdari Transmission Limited (wholly owned subsidiary of PFC Consulting Limited) (a wholly owned subsidiary of Power Finan
25-Mar-2026 13:25:49,Trading Window,"Power Finance Corporation Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
17-Mar-2026 17:27:54,Updates,Power Finance Corporation Limited has informed the Exchange regarding 'Opening of Trading Window  '.
17-Mar-2026 14:27:39,Record Date,Power Finance Corporation Limited has informed the Exchange that Record date for the purpose of Dividend  is 23-Mar-2026.
17-Mar-2026 14:25:07,Outcome of Board Meeting,"Power Finance Corporation Limited has informed the Exchange regarding Outcome of Board Meeting held on March 17, 2026."
17-Mar-2026 14:23:59,Dividend,"Power Finance Corporation Limited has informed the Exchange that Board of Directors at its meeting held on March 17, 2026, declared Interim Dividend of Rs. 3.25 per equity share."
17-Mar-2026 10:33:58,General Updates,Power Finance Corporation Limited has informed the Exchange about Strike off and Dissolution of Ghogarpalli Integrated Power Company Limited (GIPCL) wholly owned subsidiary of Power Finance Corporatio
13-Mar-2026 12:51:11,General Updates,Power Finance Corporation Limited has informed the Exchange about Transfer of NES Pune East New Transmission Limited (wholly owned subsidiary of PFC Consulting Limited) (a wholly owned subsidiary of P
12-Mar-2026 16:29:26,General Updates,Power Finance Corporation Limited has informed the Exchange about Transfer of NES Dharashiv Transmission Limited (wholly owned subsidiary of PFC Consulting Limited) (a wholly owned subsidiary of Power
12-Mar-2026 11:50:01,Updates,Power Finance Corporation Limited has informed the Exchange regarding ''Strike off and Dissolution of Sakhigopal Integrated Power Company Limited (SIPCL) wholly owned subsidiary of Power Finance Corpo
11-Mar-2026 16:08:30,Trading Window,"Power Finance Corporation Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
27-Feb-2026 15:33:58,General Updates,Power Finance Corporation Limited has informed the Exchange about Transfer of Saswad Transmission Limited (wholly owned subsidiary of PFC Consulting Limited) (wholly owned subsidiary of Power Finance 
12-Feb-2026 17:42:55,General Updates,Intimation of brief update regarding PFC REC restructuring
10-Feb-2026 16:56:31,Copy of Newspaper Publication,Power Finance Corporation Limited has informed the Exchange about Copy of Newspaper Publication- Financial Results
06-Feb-2026 18:48:44,General Updates,"Outcome of Board Meeting - Intimation pursuant to SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
06-Feb-2026 17:29:24,General Updates,"Outcome of Board Meeting - Intimation pursuant to SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015."
06-Feb-2026 16:19:29,General Updates,"Outcome of Board Meeting - Intimation pursuant to SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015."
05-Feb-2026 13:52:51,Record Date,Power Finance Corporation Limited has informed the Exchange that Record date for the purpose of Dividend  is 20-Feb-2026.
05-Feb-2026 13:51:39,Outcome of Board Meeting,"Outcome of Board Meeting- Intimation pursuant to SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015."
05-Feb-2026 13:41:25,Dividend,"Outcome of Board Meeting- Intimation pursuant to SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015."
04-Feb-2026 16:20:22,General Updates,Transfer of SR And ER Power Transmission Limited & Morena I SEZ Transmission Limited (wholly owned subsidiaries of PFC Consulting Limited) (wholly owned subsidiary of Power Finance Corporation Limited
03-Feb-2026 16:45:38,News Verification,The Exchange has sought clarification from Power Finance Corporation Limited with respect to recent news item captioned Govt considering merger of state-run entities PFC and REC.  The response from th
03-Feb-2026 11:10:46,News Verification,The Exchange has sought clarification from Power Finance Corporation Limited with respect to recent news item captioned Govt considering merger of state-run entities PFC and REC.  The response from th
31-Jan-2026 17:34:21,Change in Management,Power Finance Corporation Limited has informed the Exchange about change in Management
19-Jan-2026 21:32:04,Change in Management,Power Finance Corporation Limited has informed the Exchange about Intimation regarding change in Senior Management.
10-Jan-2026 20:39:01,Disclosure of material issue,"Power Finance Corporation Limited has informed regarding Disclosure of PUBLIC ISSUE BY OF SECURED, RATED, LISTED, REDEEMABLE, NON-CONVERTIBLE DEBENTURES OF FACE VALUE OF Rs. 1,000 EACH FOR AN AMOUNT A"
29-Dec-2025 16:01:41,Trading Window,"Power Finance Corporation Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
12-Dec-2025 17:58:32,General Updates,Power Finance Corporation Limited has informed the Exchange about Transfer of KPS III HVDC Transmission Limited (wholly owned subsidiary of PFC Consulting Limited) (a wholly owned subsidiary of Power 
11-Dec-2025 12:53:12,General Updates,Power Finance Corporation Limited has informed the Exchange about Incorporation of wholly owned Subsidiary of PFC Consulting Limited (a wholly owned subsidiary of Power Finance Corporation Limited)   
02-Dec-2025 19:46:51,General Updates,Power Finance Corporation Limited has informed the Exchange about General Updates
27-Nov-2025 17:11:07,Analysts/Institutional Investor Meet/Con. Call Updates,Power Finance Corporation Limited has informed the Exchange about Schedule of meet
21-Nov-2025 15:42:51,General Updates,Power Finance Corporation Limited has informed the Exchange about Incorporation of wholly owned Subsidiary of PFC Consulting Limited (a wholly owned subsidiary of Power Finance Corporation Limited)   
18-Nov-2025 17:12:57,Updates,Power Finance Corporation Limited has informed the Exchange regarding appointment of Chief Risk Officer.
17-Nov-2025 15:31:24,General Updates,Power Finance Corporation Limited has informed the Exchange about Incorporation of wholly owned Subsidiary of PFC Consulting Limited (a wholly owned subsidiary of Power Finance Corporation Limited)   
12-Nov-2025 12:26:00,Analysts/Institutional Investor Meet/Con. Call Updates,Power Finance Corporation Limited has informed the Exchange about Transcript
11-Nov-2025 09:30:43,Copy of Newspaper Publication,Power Finance Corporation Limited has informed the Exchange about Copy of Newspaper Publication
11-Nov-2025 09:29:18,General Updates,Power Finance Corporation Limited has informed the Exchange about General Updates
07-Nov-2025 21:39:53,Analysts/Institutional Investor Meet/Con. Call Updates,Power Finance Corporation Limited has informed the Exchange about Link of Recording
07-Nov-2025 15:16:29,Record Date,Power Finance Corporation Limited has informed the Exchange that Record date for the purpose of Dividend  is 26-Nov-2025.
07-Nov-2025 15:11:38,Outcome of Board Meeting,"Outcome of Board Meeting- Intimation pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015."
07-Nov-2025 14:53:09,Record Date,Power Finance Corporation Limited has informed the Exchange that Record date for the purpose of Dividend  is 26-Nov-2025.
07-Nov-2025 14:51:42,Outcome of Board Meeting,"Outcome of Board Meeting- Intimation pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015."
07-Nov-2025 14:46:43,Dividend,"Outcome of Board Meeting- Intimation pursuant to Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015."
03-Nov-2025 15:41:59,Analysts/Institutional Investor Meet/Con. Call Updates,Earning Call for analyst/investors on 7th November 2025
31-Oct-2025 16:19:43,Retirement,Power Finance Corporation Limited has informed the Exchange about Retirement
16-Oct-2025 17:20:16,General Updates,Power Finance Corporation Limited has informed the Exchange about :  Transfer of Vindhyachal Varanasi Transmission Limited (wholly owned subsidiary of PFC Consulting Limited) (a wholly owned subsidiar
09-Oct-2025 12:15:36,General Updates,Power Finance Corporation Limited has informed the Exchange about Transfer of Mandsaur I RE Transmission Limited (wholly owned subsidiary of PFC Consulting Limited) (a wholly owned subsidiary of Power
30-Sep-2025 16:18:56,General Updates,Power Finance Corporation Limited has informed the Exchange about Incorporation of wholly owned Subsidiary of PFC Consulting Limited (a wholly owned subsidiary of Power Finance Corporation Limited)   
26-Sep-2025 14:55:32,Trading Window,"Power Finance Corporation Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Sep-2025 16:11:45,General Updates,Power Finance Corporation Limited has informed the Exchange about Incorporation of wholly owned Subsidiary of PFC Consulting Limited (a wholly owned subsidiary of Power Finance Corporation Limited)   
18-Sep-2025 18:10:34,Change in Auditors,Power Finance Corporation Limited has informed the Exchange regarding Change in Auditors of the company.
29-Aug-2025 16:21:52,Shareholders meeting,"Power Finance Corporation Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on August 28, 2025"
28-Aug-2025 17:52:09,Shareholders meeting,"Power Finance Corporation Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on August 28, 2025"
22-Aug-2025 18:32:58,General Updates,Power Finance Corporation Limited has informed the Exchange about Incorporation of wholly owned Subsidiary of PFC Consulting Limited (a wholly owned subsidiary of Power Finance Corporation Limited)   
08-Aug-2025 18:17:49,Copy of Newspaper Publication,Power Finance Corporation Limited has informed the Exchange about copy of Newspaper Publication in respect of Notice of 39th Annual General Meeting & e-voting information
07-Aug-2025 16:49:47,Copy of Newspaper Publication,Power Finance Corporation Limited has informed the Exchange about Copy of Newspaper Publication-Financial Results
07-Aug-2025 10:19:45,Copy of Newspaper Publication,Power Finance Corporation Limited has informed the Exchange about Copy of Newspaper Publication
06-Aug-2025 22:03:46,Updates,Power Finance Corporation Limited has informed the Exchange regarding 'Notice of Book Closure and Cut-off date for E-voting'.
06-Aug-2025 21:53:39,Shareholders meeting,"Power Finance Corporation Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on August 28, 2025"
06-Aug-2025 13:19:42,Record Date,Power Finance Corporation Limited has informed the Exchange that Record date for the purpose of Dividend  is 18-Aug-2025.
06-Aug-2025 13:18:26,Dividend,"Power Finance Corporation Limited has informed the Exchange that Board of Directors at its meeting held on August 06, 2025, declared Interim Dividend of 3.7 per equity share."
06-Aug-2025 13:16:36,Dividend,"Power Finance Corporation Limited has informed the Exchange that Board of Directors at its meeting held on August 06, 2025, declared Interim Dividend of Rs. 3.7 per equity share."
06-Aug-2025 13:14:05,Outcome of Board Meeting,"Power Finance Corporation Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2025."
29-Jul-2025 12:58:58,General Updates,Power Finance Corporation Limited has informed the Exchange about Transfer of Angul Sundargarh Transmission Limited (wholly owned subsidiary of PFC Consulting Limited) (a wholly owned subsidiary of Po
24-Jul-2025 15:11:51,General Updates,Power Finance Corporation Limited has informed the Exchange about Transfer of Raghanesda RE Transmission Limited and NER Expansion Transmission Limited (wholly owned subsidiaries of PFC Consulting Lim
25-Jun-2025 19:51:35,Disclosure under SEBI Takeover Regulations,Government of India Ministry of Power has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Tak
25-Jun-2025 10:30:32,Trading Window,"Power Finance Corporation Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
16-Jun-2025 17:37:32,General Updates,Power Finance Corporation Limited has informed the Exchange about Incorporation of wholly owned Subsidiary of PFC Consulting Limited (a wholly owned subsidiary of Power Finance Corporation Limited)   
14-Jun-2025 15:55:48,General Updates,Power Finance Corporation Limited has informed the Exchange about INCORPORATION OF WHOLLY OWNED SUBSIDIARY OF PFC CONSULTING LIMITED (A WHOLLY OWNED SUBSIDIARY OF POWER FINANCE CORPORATION LIMITED)- (
