date,desc,text
02-Jul-2026 19:57:54,General Updates,"PB Fintech Limited has informed the Exchange about Disclosure under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
30-Jun-2026 21:42:32,General Updates,"PB Fintech Limited has informed the Exchange about Disclosure under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
29-Jun-2026 18:46:32,Trading Window,"PB Fintech Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
22-Jun-2026 13:39:31,Analysts/Institutional Investor Meet/Con. Call Updates,"PB Fintech Limited has informed the Exchange about Schedule of Analyst Meet on June 29,  2026."
19-Jun-2026 00:45:49,Cessation,"PB Fintech Limited has informed the Exchange regarding Cessation of Mr. Kaushik Dutta as Non- Executive Independent Director of the company due to completion of his first term of office w.e.f. Jun 18,"
19-Jun-2026 00:45:49,Cessation,PB Fintech Limited has informed the Exchange regarding Cessation of Ms Lilian Jessie Paul as Non- Executive Independent Director of the company due to completion of her first term of office w.e.f. Jun
19-Jun-2026 00:37:29,Change in Director(s),PB Fintech Limited has informed the Exchange regarding Change in Director(s) of the company.
16-Jun-2026 13:54:34,Shareholders meeting,PB Fintech Limited has submitted the Exchange a copy of the Srutinizers report and Voting Results of the Postal Ballot.
05-Jun-2026 19:12:59,ESOP/ESOS/ESPS,PB Fintech Limited has informed the Exchange regarding Allotment of 1800  Shares.
05-Jun-2026 18:59:46,Analysts/Institutional Investor Meet/Con. Call Updates,"PB Fintech Limited has informed the Exchange about Schedule of Analyst meet on June 23-24, 2026"
05-Jun-2026 17:43:24,Analysts/Institutional Investor Meet/Con. Call Updates,"PB Fintech Limited has informed the Exchange about Schedule of Analyst meet on June 15-16, 2026"
21-May-2026 00:00:50,General Updates,"PB Fintech Limited has informed the Exchange about Disclosure under Regulation 30 of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015"
14-May-2026 12:40:20,Copy of Newspaper Publication,PB Fintech Limited has informed the Exchange about Copy of Newspaper Publication regarding completion of dispatch of postal ballot notice
13-May-2026 17:22:29,Shareholders meeting,PB Fintech Limited has informed the Exchange regarding Notice of Postal Ballot
12-May-2026 21:37:54,Analysts/Institutional Investor Meet/Con. Call Updates,PB Fintech Limited has informed the Exchange about Transcript of the Earnings Call.
11-May-2026 22:10:52,Investor Presentation,PB Fintech Limited has informed the Exchange about Investor Presentation
11-May-2026 21:55:00,Change in Director(s),PB Fintech Limited has informed the Exchange regarding Change in Director(s) of the company.
11-May-2026 21:52:19,Outcome of Board Meeting,"PB Fintech Limited has informed the Exchange regarding Outcome of Board Meeting held on May 11, 2026."
09-May-2026 11:33:47,General Updates,"PB Fintech Limited has informed the Exchange about General Updates-Disclosure under Regulation 30 of the SEBI (Listing Obligations & Disclosure Requirements) Regulations, 2015 ( Listing Regulations ) "
08-May-2026 12:18:51,Copy of Newspaper Publication,PB Fintech Limited has informed the Exchange about Copy of Newspaper Publication
