date,desc,text
08-Jul-2026 16:43:52,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Praj Industries Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
26-Jun-2026 12:52:56,Trading Window,"Praj Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
22-Jun-2026 18:02:08,General Updates,Praj Industries Limited has informed the Exchange about General Updates
18-Jun-2026 12:56:34,General Updates,Praj Industries Limited has informed the Exchange about General Updates
18-Jun-2026 12:37:47,Shareholders meeting,"Praj Industries Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
05-Jun-2026 11:53:39,Disclosure under SEBI Takeover Regulations,Dr. Pramod Chaudhari has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulatio
03-Jun-2026 17:39:30,Disclosure under SEBI Takeover Regulations,"Parimal Chaudhari has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations,"
03-Jun-2026 09:50:39,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Transcript
29-May-2026 19:37:11,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Link of Recording
28-May-2026 22:30:14,Press Release,"Praj Industries Limited has informed the Exchange regarding a press release dated May 28, 2026, titled ""Presentation on Audited Financial Results for the quarter and year ended 31st March, 2026""."
28-May-2026 18:23:07,Press Release,"Praj Industries Limited has informed the Exchange regarding a press release dated May 28, 2026, titled ""Praj announces Quarter and year end results""."
28-May-2026 18:14:46,General Updates,Praj Industries Limited has informed the Exchange about Details of Key Managerial Personnel (KMPs) for Determining Materiality of Events/Information under Regulation 30(5) of Listing Regulations
28-May-2026 18:10:35,Outcome of Board Meeting,"Praj Industries Limited has informed the Exchange regarding Outcome of Board Meeting held on May 28, 2026."
28-May-2026 18:07:55,Outcome of Board Meeting,"Praj Industries Limited has informed the Exchange regarding Outcome of Board Meeting held on May 28, 2026."
28-May-2026 18:05:48,Dividend,"Praj Industries Limited has informed the Exchange that Board of Directors at its meeting held on May 28, 2026, recommended Final Dividend of Rs. 3.60 per equity share."
28-May-2026 18:02:07,General Updates,Praj Industries Limited has informed the Exchange about
28-May-2026 17:46:16,Outcome of Board Meeting,"Praj Industries Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
25-May-2026 20:09:15,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Schedule of meet
15-May-2026 12:22:42,Shareholders meeting,Praj Industries Limited has informed the Exchange regarding Notice of Postal Ballot
28-Apr-2026 12:37:26,General Updates,Praj Industries Limited has informed the Exchange about General Updates
28-Apr-2026 12:28:50,Change in Director(s),Praj Industries Limited has informed the Exchange regarding Change in Director(s) of the company.
20-Apr-2026 15:15:32,Press Release,"Praj Industries Limited has informed the Exchange regarding a press release dated April 20, 2026, titled ""Praj Matrix Launches Advanced Precision Fermentation Lab, Advancing Next-Generation Industrial"
14-Apr-2026 10:56:00,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Praj Industries Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
27-Mar-2026 10:09:46,Trading Window,"Praj Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
17-Mar-2026 16:32:39,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Schedule of meet
02-Mar-2026 12:31:06,Press Release,"Praj Industries Limited has informed the Exchange regarding a press release dated March 02, 2026, titled ""Investors' Presentation  ""."
18-Feb-2026 12:44:34,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Participation in Investor Conference
17-Feb-2026 15:38:58,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Transcript
13-Feb-2026 16:22:12,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Link of Recording
12-Feb-2026 20:50:43,Investor Presentation,Praj Industries Limited has informed the Exchange about Investor Presentation
12-Feb-2026 17:36:14,Press Release,"Praj Industries Limited has informed the Exchange regarding a press release dated February 12, 2026, titled ""Praj Industries Ltd. announces Q3 FY26 results""."
12-Feb-2026 15:52:01,Outcome of Board Meeting,"Praj Industries Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
09-Feb-2026 14:58:27,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Schedule of meet
02-Feb-2026 12:49:12,Updates,Praj Industries Limited has informed the Exchange regarding 'Intimation on conversion of Statutory Auditor s Firm into Limited Liability Partnership'.
29-Jan-2026 16:14:20,Press Release,"Praj Industries Limited has informed the Exchange regarding a press release dated January 29, 2026, titled ""Praj Demonstrates Integrated Ethanol-to-Jet Pathway for Sustainable Avia&#1048991;on Fuelwit"
19-Jan-2026 09:56:09,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Praj Industries Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
26-Dec-2025 12:23:46,Trading Window,"Praj Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
18-Dec-2025 18:45:27,General Updates,Praj Industries Limited has informed the Exchange about General Updates
10-Dec-2025 15:05:41,General Updates,"Praj Industries Limited has informed the Exchange about disclosure under Reg 29 (2) of SEBI Takeover Regulations, 2011."
10-Dec-2025 15:03:12,General Updates,"Praj Industries Limited has informed the Exchange about disclosure under Reg 10 (6) of SEBI Takeover Regulations, 2011."
09-Dec-2025 12:25:46,Change in Management,Praj Industries Limited has informed the Exchange about appointment of Senior Management of the Company
02-Dec-2025 17:13:47,Updates,Praj Industries Limited has informed the Exchange regarding 'Disclosure of inter-se transfer of shares between the Promoters/ Promoter Group under Regulation 10(5) of SEBI (Substantial Acquisition of 
01-Dec-2025 17:06:37,General Updates,Praj Industries Limited has submitted the investor Presentation
10-Nov-2025 15:34:00,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Transcript
06-Nov-2025 17:02:05,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Link of Recording
06-Nov-2025 16:31:06,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about visit of Delegation of Investors to meet Management of Praj Industries Ltd. at our Registered Office
05-Nov-2025 20:07:06,Press Release,"Praj Industries Limited has informed the Exchange regarding a press release dated November 05, 2025, titled ""Presentation on Un-audited Financial Results (standalone and consolidated) for the quarter "
05-Nov-2025 16:06:01,Press Release,"Praj Industries Limited has informed the Exchange regarding a press release dated November 05, 2025, titled ""Praj announces Q2 FY26 results""."
05-Nov-2025 15:13:47,Outcome of Board Meeting,"Praj Industries Limited has submitted to the Exchange, the financial results for the period ended September 30, 2025."
31-Oct-2025 09:44:10,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Schedule of meet
08-Oct-2025 16:06:38,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Praj Industries Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
07-Oct-2025 10:37:41,Press Release,"Praj Industries Limited has informed the Exchange regarding a press release dated October 07, 2025, titled ""Praj Low-Carbon Solution to Drive Substantial Carbon Intensity Reduction at Aemetis Californ"
26-Sep-2025 11:26:12,Trading Window,"Praj Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
22-Sep-2025 22:32:47,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Schedule of meet
10-Sep-2025 10:49:35,Press Release,"Praj Industries Limited has informed the Exchange regarding a press release dated September 10, 2025, titled ""Investors Presentation""."
05-Sep-2025 19:51:08,Change in Management,Praj Industries Limited has informed the Exchange about change in Management
28-Aug-2025 14:58:51,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Schedule of meet
18-Aug-2025 15:45:07,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Transcript
13-Aug-2025 09:55:23,Change in Director(s),Praj Industries Limited has informed the Exchange regarding Change in Director(s) of the company.
13-Aug-2025 09:53:06,Change in Auditors,Praj Industries Limited has informed the Exchange regarding Change in Auditors of the company.
12-Aug-2025 18:48:03,Shareholders meeting,"Praj Industries Limited has informed the Exchange regarding voting results of  Annual General Meeting held on August 11, 2025"
12-Aug-2025 18:44:02,Shareholders meeting,"Praj Industries Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on August 11, 2025"
12-Aug-2025 17:00:29,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Link of Recording
12-Aug-2025 12:22:42,Shareholders meeting,"Praj Industries Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on August 11, 2025"
11-Aug-2025 17:50:34,Investor Presentation,Praj Industries Limited has informed the Exchange about Investor Presentation
11-Aug-2025 16:34:40,Press Release,"Praj Industries Limited has informed the Exchange regarding a press release dated August 11, 2025, titled ""Press Release on Un-audited Financial Results of Praj Industries Limited""."
11-Aug-2025 16:09:19,Change in Director(s),Praj Industries Limited has informed the Exchange regarding Change in Director(s) of the company.
11-Aug-2025 16:02:44,Outcome of Board Meeting,"Praj Industries Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2025."
11-Aug-2025 15:39:48,Integrated Filing- Financial,"Un-audited Financial Results for Quarter ended 30th June, 2025"
05-Aug-2025 09:30:22,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Schedule of meet
21-Jul-2025 12:22:55,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Praj Industries Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
15-Jul-2025 15:42:51,Updates,Praj Industries Limited has informed the Exchange regarding 'Business Responsiability and Sustainability Reporting (BRSR)'.
15-Jul-2025 15:34:43,Shareholders meeting,"Praj Industries Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on August 11, 2025"
15-Jul-2025 14:52:40,Record Date,Praj Industries Limited has informed the Exchange that Record date for the purpose of Dividend  is 04-Aug-2025.
07-Jul-2025 17:20:13,Resignation,"Praj Industries Limited has informed the Exchange regarding Resignation of Mr Ravindra Utgikar as Other of the company w.e.f. November 08, 2024."
01-Jul-2025 14:59:05,Change in Director(s),Praj Industries Limited has informed the Exchange regarding Change in Director(s) of the company.
01-Jul-2025 14:55:58,Change in Director(s),Praj Industries Limited has informed the Exchange regarding Change in Director(s) of the company.
30-Jun-2025 17:12:03,Cessation,"Praj Industries Limited has informed the Exchange regarding Cessation of Mr Shishir Joshipura as Managing Director & CEO of the company w.e.f. Jun 30, 2025."
27-Jun-2025 14:39:36,Trading Window,"Praj Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
26-Jun-2025 16:42:16,Change in Auditors,Praj Industries Limited has informed the Exchange regarding Change in Auditors of the company.
26-Jun-2025 16:40:41,Appointment,"Praj Industries Limited has informed the Exchange regarding Appointment of Mr Berjis Desai as Non- Executive Director of the company w.e.f. July 01, 2025."
13-Jun-2025 11:32:22,General Updates,Praj Industries Limited has informed the Exchange about General Updates
05-Jun-2025 16:43:15,Press Release,"Praj Industries Limited has informed the Exchange regarding a press release dated Jun 05, 2025, titled ""India s Clean Energy Expertise Fuels South America s Bioeconomy: Praj Industries to collaborate "
04-Jun-2025 09:26:42,Press Release (Revised),"Praj Industries Limited has informed the Exchange regarding a revised press release dated Jun 03, 2025, titled ""Praj, IATA, and ISMA Join Forces to Advance SAF Carbon Assessment and Certification in I"
03-Jun-2025 17:44:25,Press Release,"Praj Industries Limited has informed the Exchange regarding a press release dated Jun 03, 2025, titled ""Praj, IATA, and ISMA Join Forces to Advance SAF CarbonAssessment and Certification in India""."
03-Jun-2025 16:52:28,Disclosure under SEBI Takeover Regulations,Dr. Pramod Chaudhari has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulatio
26-May-2025 15:01:07,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Schedule of meet
16-May-2025 16:28:59,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Schedule of meet
06-May-2025 16:52:47,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Transcript
30-Apr-2025 15:59:06,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Link of Recording
30-Apr-2025 09:18:27,Press Release,"Praj Industries Limited has informed the Exchange regarding a press release dated April 29, 2025, titled ""Presentation on Audited Financial Results""."
29-Apr-2025 22:11:51,Press Release (Revised),"Praj Industries Limited has informed the Exchange regarding a revised press release dated April 29, 2025, titled ""Press Release regarding Audited Financial Results for the year ended 31st March, 2025."
29-Apr-2025 19:17:12,Press Release,"Praj Industries Limited has informed the Exchange regarding a press release dated April 29, 2025, titled ""Praj announces Quarter and year end results""."
29-Apr-2025 18:47:07,Change in Director(s),Praj Industries Limited has informed the Exchange regarding Change in Director(s) of the company.
29-Apr-2025 18:40:43,Outcome of Board Meeting,"Praj Industries Limited has informed the Exchange regarding Outcome of Board Meeting held on April 29, 2025."
29-Apr-2025 18:35:28,Dividend,"Praj Industries Limited has informed the Exchange that Board of Directors at its meeting held on April 29, 2025, recommended Final Dividend of Rs. 6 per equity share."
29-Apr-2025 18:11:49,Outcome of Board Meeting,"Praj Industries Limited has informed the Exchange regarding Outcome of Board Meeting held on April 29, 2025."
29-Apr-2025 15:50:36,Press Release,"Praj Industries Limited has informed the Exchange regarding a press release dated April 29, 2025, titled ""Praj Industries and thyssenkrupp Uhde Ltd join forces to revolutionizepolylactic acid producti"
24-Apr-2025 09:35:10,Trading Window,"Praj Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
24-Apr-2025 09:16:06,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Schedule of meet
14-Apr-2025 17:04:05,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Praj Industries Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
08-Apr-2025 12:46:07,Press Release,"Praj Industries Limited has informed the Exchange regarding a press release dated April 08, 2025, titled ""Hon ble Chief Minister Yogi Adityanath Inaugurates 300 KLPD Grain-Based Distillery by Keyaan D"
29-Mar-2025 15:28:41,General Updates,Praj Industries Limited has informed the Exchange about General Updates
27-Mar-2025 12:43:25,Trading Window,"Praj Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Mar-2025 16:25:53,General Updates,Praj Industries Limited has informed the Exchange about outcome of Postal Ballot
25-Mar-2025 16:18:49,Shareholders meeting,Praj Industries Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot
13-Mar-2025 16:11:35,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Participation in Investor Conference
03-Mar-2025 11:28:54,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Schedule of meet
25-Feb-2025 16:32:20,General Updates,Praj Industries Limited has informed the Exchange about Investor Presentation
18-Feb-2025 15:53:26,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Schedule of meet
18-Feb-2025 11:14:49,Shareholders meeting,Praj Industries Limited has informed the Exchange regarding Notice of Postal Ballot
12-Feb-2025 12:49:48,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Schedule of meet
05-Feb-2025 13:04:52,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Transcript
03-Feb-2025 16:40:03,Press Release,"Praj Industries Limited has informed the Exchange regarding a press release dated February 03, 2025, titled ""Praj Industries Announces Leadership Transition""."
30-Jan-2025 21:35:15,Press Release,"Praj Industries Limited has informed the Exchange regarding a press release dated January 30, 2025, titled ""Presentation on Un-audited Financial Results for the quarter ended 31st December, 2024. ""."
30-Jan-2025 17:58:31,Integrated Filing- Financial,Integrated Filing Financials
30-Jan-2025 17:33:01,Updates,Praj Industries Limited has informed the Exchange regarding 'Intimation of Postal Ballot'.
30-Jan-2025 17:21:40,Updates,Praj Industries Limited has informed the Exchange regarding 'Intimation of grant of Employee Stock Options under Praj Industries Ltd.-ESOP 2011'.
30-Jan-2025 17:04:30,Press Release,"Praj Industries Limited has informed the Exchange regarding a press release dated January 30, 2025, titled ""Praj announces Q3 FY25 results""."
30-Jan-2025 16:50:09,Outcome of Board Meeting,"Praj Industries Limited has informed the Exchange regarding Outcome of Board Meeting held on January 30, 2025."
30-Jan-2025 16:15:40,Appointment,"Praj Industries Limited has informed the Exchange regarding Appointment of Mr Ashish Gaikwad as Managing Director-Designate of the company w.e.f. February 03, 2025."
30-Jan-2025 16:00:34,Financial Result Updates," Praj Industries Limited has submitted to the Exchange, the financial results for the period ended December 31, 2024."
24-Jan-2025 09:17:21,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Praj Industries Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
23-Jan-2025 12:30:55,Analysts/Institutional Investor Meet/Con. Call Updates,Praj Industries Limited has informed the Exchange about Schedule of meet
23-Jan-2025 12:16:17,Trading Window,"Praj Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
17-Jan-2025 17:52:25,Appointment,"Praj Industries Limited has informed the Exchange regarding Appointment of  Mr. Ajay Pratap Singh as Other of the company w.e.f. January 17, 2025."
13-Jan-2025 16:58:42,Change in Management,Praj Industries Limited has informed the Exchange about change in Management
06-Jan-2025 16:27:42,Change in Management,Praj Industries Limited has informed the Exchange about change in Management.
01-Jan-2025 10:11:19,Updates,"Praj Industries Limited has informed the Exchange regarding ''change in name of Registrar and Share Transfer Agent of the Company""."
01-Jan-2025 09:42:56,Appointment,"Praj Industries Limited has informed the Exchange regarding Appointment of  Dr Pramod Chaudhari as Chairman of the company w.e.f. January 01, 2025."
26-Dec-2024 09:31:27,Trading Window,"Praj Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
