date,desc,text
10-Jul-2026 17:27:57,Shareholders meeting,"Ptc Industries Limited has informed the Exchange regarding Notice of Extraordinary General Meeting to be held on August 01, 2026"
30-Jun-2026 10:48:24,Analysts/Institutional Investor Meet/Con. Call Updates,Ptc Industries Limited has informed the Exchange about Schedule of meet
29-Jun-2026 14:28:24,Trading Window,"Ptc Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
27-Jun-2026 21:51:23,Outcome of Board Meeting,"PTC Industries Limited has informed the Exchange regarding Outcome of Board Meeting held on Jun 27, 2026."
25-Jun-2026 09:55:47,Press Release,"Ptc Industries Limited has informed the Exchange regarding a press release dated Jun 25, 2026, titled ""PTC Industries Recognised Among India s 500 Most Valuable Companies in the 2025 Burgundy Private "
11-Jun-2026 19:35:04,Disclosure under SEBI Takeover Regulations,Ptc Industries Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulat
03-Jun-2026 17:28:27,General Updates,PTC Industries Limited has informed the Exchange about Investor Presentation.
03-Jun-2026 17:25:48,Press Release,"PTC Industries Limited has informed the Exchange regarding a press release dated Jun 03, 2026, titled ""PTC Industries Reports StrongFY26 Performance; Q4 Marks Forging Milestone at Lucknow Strategic Ma"
02-Jun-2026 14:52:21,Copy of Newspaper Publication,PTC Industries Limited has informed the Exchange about Copy of Newspaper Publication
30-May-2026 20:48:22,Statement of deviation(s) or variation(s) under Reg. 32,Ptc Industries Limited has informed the Exchange about statement of deviation(s) or variation(s) under Reg. 32
30-May-2026 20:29:59,Outcome of Board Meeting,"Ptc Industries Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
15-May-2026 15:00:31,Monitoring Agency Report,Monitoring Agency Report
11-May-2026 09:39:17,Analysts/Institutional Investor Meet/Con. Call Updates,Ptc Industries Limited has informed the Exchange about Schedule of meet
10-May-2026 18:51:46,Analysts/Institutional Investor Meet/Con. Call Updates,Ptc Industries Limited has informed the Exchange about Schedule of meet
16-Apr-2026 16:07:13,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","PTC Industries Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
31-Mar-2026 16:19:08,Press Release,"Ptc Industries Limited has informed the Exchange regarding a press release dated March 31, 2026, titled ""Aerolloy Technologies Completes Installation and Successful Trials of Advanced 4500/5100 TonneI"
30-Mar-2026 16:58:12,Trading Window,"Ptc Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
30-Mar-2026 14:08:10,Committee Meeting Updates,"PTC Industries Limited has informed the Exchange regarding Outcome of Committee Meeting held on March 30, 2026 to Grant of 13,827 Options under PTC Employees Stock Option Scheme 2019 ( Scheme )."
27-Mar-2026 19:52:12,Credit Rating,Ptc Industries Limited has informed the Exchange about Credit Rating
10-Mar-2026 09:29:33,Press Release,"PTC Industries Limited has informed the Exchange regarding a press release dated March 10, 2026, titled ""Trac Precision Solutions Enters Five-Year Strategic Collaboration with Coolbrook to Support Rot"
05-Mar-2026 09:29:42,Analysts/Institutional Investor Meet/Con. Call Updates,Ptc Industries Limited has informed the Exchange about Schedule of meet
27-Feb-2026 11:51:01,Updates,Ptc Industries Limited has informed the Exchange regarding 'Machine Readable Form / Legible copy'.
18-Feb-2026 18:19:37,Updates,Ptc Industries Limited has informed the Exchange regarding 'Investor Presentation'.
18-Feb-2026 18:17:41,Press Release,"PTC Industries Limited has informed the Exchange regarding a press release dated February 18, 2026, titled ""PTC Industries Reports Strong Q3 & 9M FY26 Results""."
16-Feb-2026 11:52:29,Copy of Newspaper Publication,PTC Industries Limited has informed the Exchange about Copy of Newspaper Publication
14-Feb-2026 18:35:08,Outcome of Board Meeting,"Ptc Industries Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
14-Feb-2026 17:49:42,Monitoring Agency Report,Monitoring Agency Report.
10-Feb-2026 13:26:37,Press Release,"Ptc Industries Limited has informed the Exchange regarding a press release dated February 10, 2026, titled ""Aerolloy Technologies Signs MoUs with Ministry of Steel under PLI Scheme 1.2 for Titanium Al"
21-Jan-2026 11:12:48,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","PTC Industries Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
09-Jan-2026 20:04:10,Analysts/Institutional Investor Meet/Con. Call Updates,Ptc Industries Limited has informed the Exchange about Schedule of meet
09-Jan-2026 19:52:47,Bagging/Receiving of orders/contracts,PTC Industries Limited has informed the Exchange about Bagging/Receiving of orders/contracts
09-Jan-2026 13:52:16,Press Release,"PTC Industries Limited has informed the Exchange regarding a press release dated January 09, 2026, titled ""Aerolloy Technologies Wins Development and Supply Order from Blue Origin for Large Superalloy"
08-Jan-2026 13:47:12,Press Release,"PTC Industries Limited has informed the Exchange regarding a press release dated January 08, 2026, titled ""Aerolloy Technologies Completes Installation of Plasma Arc Melting Furnace at Lucknow Facilit"
07-Jan-2026 14:59:56,Analysts/Institutional Investor Meet/Con. Call Updates,Ptc Industries Limited has informed the Exchange about Schedule of meet
07-Jan-2026 12:44:52,Bagging/Receiving of orders/contracts,PTC Industries Limited has informed the Exchange about Bagging/Receiving of orders/contracts
07-Jan-2026 12:42:31,Press Release,"Ptc Industries Limited has informed the Exchange regarding a press release dated January 07, 2026, titled ""PTC Industries Receives Order from VSSC (ISRO) for Supply of Double VAR Melted Aerospace-Grad"
30-Dec-2025 14:36:58,Trading Window,"Ptc Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
05-Dec-2025 11:44:13,Press Release,"PTC Industries Limited has informed the Exchange regarding a press release dated December 05, 2025, titled ""Aerolloy Technologies Signs Long-Term Agreement with Honeywell Aerospace Technologies for Ti"
17-Nov-2025 16:24:57,Press Release,"PTC Industries Limited has informed the Exchange regarding a press release dated November 17, 2025, titled ""PTC Industries Announces Major Expansion at its Gujarat Facility  to Capture Global Supply C"
17-Nov-2025 16:22:46,Copy of Newspaper Publication,PTC Industries Limited has informed the Exchange about Copy of Newspaper Publication
15-Nov-2025 16:08:43,Investor Presentation,Ptc Industries Limited has informed the Exchange about Investor Presentation
15-Nov-2025 16:03:46,Press Release,"PTC Industries Limited has informed the Exchange regarding a press release dated November 15, 2025, titled ""PTC Industries Delivers Strong H1 FY26 Performance with 83% YoY Growth in Total Income""."
14-Nov-2025 10:37:27,Analysts/Institutional Investor Meet/Con. Call Updates,PTC Industries Limited has informed the Exchange about Schedule of meet
13-Nov-2025 21:41:52,ESOP/ESOS/ESPS,PTC Industries Limited has informed the Exchange regarding  of allotment of 8423  Equity shares through ESOP.
13-Nov-2025 21:36:45,Monitoring Agency Report,Monitoring Agency Report
13-Nov-2025 21:32:35,Outcome of Board Meeting,"Ptc Industries Limited has submitted to the Exchange, the financial results for the period ended September 30, 2025."
13-Nov-2025 21:28:56,Outcome of Board Meeting,"Ptc Industries Limited has informed the Exchange regarding  Board meeting held on November 13, 2025."
24-Oct-2025 17:13:43,Bagging/Receiving of orders/contracts,Ptc Industries Limited has informed the Exchange about Bagging/Receiving of orders/contracts
23-Oct-2025 12:03:47,Press Release,"Ptc Industries Limited has informed the Exchange regarding a press release dated October 23, 2025, titled ""PTC Industries Receives Purchase Order from GTRE for Single Crystal  Ready-to-Fit  Turbine Bl"
19-Oct-2025 20:11:22,Press Release,"PTC Industries Limited has informed the Exchange regarding a press release dated October 19, 2025, titled ""PTC Industries and Bharat Dynamics Limited sign MoU to establish a Joint Venture for manufact"
18-Oct-2025 16:03:07,General Updates,"PTC Industries Limited has informed the Exchange about Intimation under Regulation 30 of SEBI (LODR) Regulations, 2015   Lokarpan Ceremony of Titanium & Superalloys Materials Plant"
15-Oct-2025 14:49:15,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","PTC Industries Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
02-Oct-2025 14:43:30,Press Release,"PTC Industries Limited has informed the Exchange regarding a press release dated October 02, 2025, titled ""Trac Precision Solutions Secures Multi-Million-Pound Project with Coolbrook to Drive Clean Te"
30-Sep-2025 14:34:22,Press Release,"PTC Industries Limited has informed the Exchange regarding a press release dated September 30, 2025, titled ""Trac Precision Solutions Embarks on Strategic Expansion to Strengthen Aero-Engine and Power"
30-Sep-2025 14:22:58,Trading Window,"Ptc Industries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
26-Sep-2025 19:29:45,Shareholders meeting,"PTC Industries Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 26, 2025. Further, the company has submitted the Exchange a copy of Srutinizers repor"
18-Sep-2025 12:59:10,Press Release,"PTC Industries Limited has informed the Exchange regarding a press release dated September 18, 2025, titled ""Aerolloy Technologies Commissions State-of-the-Art Vacuum Arc Remelting (VAR) Furnace for L"
16-Sep-2025 11:37:46,Analysts/Institutional Investor Meet/Con. Call Updates,Ptc Industries Limited has informed the Exchange about Schedule of meet
11-Sep-2025 16:34:44,Copy of Newspaper Publication,Ptc Industries Limited has informed the Exchange about Copy of Newspaper Publication
05-Sep-2025 14:52:24,Shareholders meeting,"PTC Industries Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on September 26, 2025"
04-Sep-2025 20:43:29,Shareholders meeting,"PTC Industries Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on September 26, 2025."
04-Sep-2025 20:27:11,Updates,PTC Industries Limited has informed the Exchange regarding 'Business Sustainability & Responsibility Report '.
02-Sep-2025 11:04:36,Press Release,"PTC Industries Limited has informed the Exchange regarding a press release dated September 02, 2025, titled ""Aerolloy Technologies Commissions Advanced Vacuum Induction Melting (VIM) Facility for Supe"
25-Aug-2025 10:45:09,Press Release,"PTC Industries Limited has informed the Exchange regarding a press release dated August 25, 2025, titled ""PTC Industries Appoints Baljinder Singh Koura as Vice President   Operations, Aerospace Castin"
21-Aug-2025 16:25:51,Bagging/Receiving of orders/contracts,PTC Industries Limited has informed the Exchange about Bagging/Receiving of orders/contracts
21-Aug-2025 13:08:58,Press Release,"PTC Industries Limited has informed the Exchange regarding a press release dated August 21, 2025, titled ""PTC Industries Receives &#8377;100+ Crores Order from BrahMos Aerospace for Critical Titanium "
12-Aug-2025 15:16:45,Press Release,"PTC Industries Limited has informed the Exchange regarding a press release dated August 12, 2025, titled ""PTC Industries and Kineco Aerospace & Defence Announce Strategic MoU to Collaborate on Value-A"
12-Aug-2025 12:55:39,Copy of Newspaper Publication,PTC Industries Limited has informed the Exchange about Copy of Newspaper Publication
11-Aug-2025 16:48:36,Updates,"PTC Industries Limited has informed the Exchange regarding ''.Disclosure under Regulation 30 of SEBI {Listing Obligations and Disclosure Requirements) Regulations, 2015-Plant Visit"
10-Aug-2025 21:05:41,General Updates,Ptc Industries Limited has informed the Exchange about Investor Presentation
10-Aug-2025 21:02:31,Press Release,"PTC Industries Limited has informed the Exchange regarding a press release dated August 10, 2025, titled ""PTC Industries Reports Strong Q1 FY26 Performance ""."
08-Aug-2025 17:39:29,Monitoring Agency Report,Monitoring Agency Reports.
