date,desc,text
10-Jul-2026 18:57:51,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Railtel Corporation Of India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
10-Jul-2026 09:23:06,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
09-Jul-2026 16:25:11,Updates,Railtel Corporation Of India Limited has informed the Exchange regarding 'Profile of the Cost Auditors and Internal Auditors'.
08-Jul-2026 18:58:02,Updates,Railtel Corporation Of India Limited has informed the Exchange regarding 'Appointment of Internal and Cost Auditor'.
02-Jul-2026 17:22:12,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
01-Jul-2026 20:09:31,Change in Management,Railtel Corporation Of India Limited has informed the Exchange about change in Management
01-Jul-2026 11:54:29,Change in Management,Railtel Corporation Of India Limited has informed the Exchange about Appointment and cessation of SMP
30-Jun-2026 19:47:01,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
30-Jun-2026 11:22:03,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
29-Jun-2026 19:24:02,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
29-Jun-2026 17:17:18,Trading Window,"Railtel Corporation Of India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Jun-2026 12:57:44,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
23-Jun-2026 12:37:15,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
17-Jun-2026 16:25:48,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
17-Jun-2026 12:51:58,Disclosure under SEBI Takeover Regulations,"Abhishek Sherawat, Ministry of Railways, Railway Board, For & on behalf of the Honble President of India has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and"
15-Jun-2026 18:42:12,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
08-Jun-2026 13:41:36,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
06-Jun-2026 12:58:34,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
05-Jun-2026 11:08:20,Disclosure under SEBI Takeover Regulations,Railtel Corporation Of India Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Take
29-May-2026 18:22:12,Action(s) initiated or orders passed,Railtel Corporation Of India Limited has informed the Exchange about Action(s) initiated or orders passed
23-May-2026 12:55:06,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
21-May-2026 17:50:49,General Updates,Railtel Corporation Of India Limited has informed the Exchange about cancellation of an order.
17-May-2026 16:51:31,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
14-May-2026 15:05:28,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
08-May-2026 11:40:57,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
06-May-2026 17:51:49,Analysts/Institutional Investor Meet/Con. Call Updates,Railtel Corporation Of India Limited has informed the Exchange about Transcript
05-May-2026 14:26:45,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
01-May-2026 18:14:53,Copy of Newspaper Publication,Railtel Corporation Of India Limited has informed the Exchange about Copy of Newspaper Publication
01-May-2026 18:13:28,Analysts/Institutional Investor Meet/Con. Call Updates,Railtel Corporation Of India Limited has informed the Exchange about Link of Recording
30-Apr-2026 18:00:16,Analysts/Institutional Investor Meet/Con. Call Updates,Railtel Corporation Of India Limited has informed the Exchange about
30-Apr-2026 17:40:03,Dividend,"Railtel Corporation Of India Limited has informed the Exchange that Board of Directors at its meeting held on April 30, 2026, recommended Final Dividend of Rs. 1.25 per equity share."
30-Apr-2026 17:36:31,Outcome of Board Meeting,"Railtel Corporation Of India Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
30-Apr-2026 10:33:19,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
28-Apr-2026 18:10:25,Analysts/Institutional Investor Meet/Con. Call Updates,Railtel Corporation Of India Limited has informed the Exchange about Schedule of meet
28-Apr-2026 13:45:44,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
27-Apr-2026 19:08:16,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
20-Apr-2026 22:17:29,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
15-Apr-2026 22:34:22,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
15-Apr-2026 16:28:54,Cessation,"Railtel Corporation Of India Limited has informed the Exchange regarding Cessation of  Dr. Subhash Sharma as Non- Executive independent Director of the company w.e.f. April 15, 2026 upon completion of"
15-Apr-2026 16:20:53,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Railtel Corporation Of India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
14-Apr-2026 18:25:19,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
14-Apr-2026 18:25:19,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
14-Apr-2026 10:46:22,Updates,Railtel Corporation Of India Limited has informed the Exchange regarding 'Cancellation of Work Order awarded by Navodaya Vidyalaya Samiti'.
14-Apr-2026 10:37:28,Bagging/Receiving of orders/contracts,Railtel Corporation Of India Limited has informed the Exchange about Bagging/Receiving of orders/contracts
