date,desc,text
10-Jul-2026 15:35:24,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Rashtriya Chemicals and Fertilizers Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
07-Jul-2026 15:20:12,Outcome of Board Meeting,"This is to inform that Board at its meeting held today i.e., July 7,2026 has considered and approved the following:1. Raising of funds by way of a Further Public Offering through a fresh issue of Equi"
07-Jul-2026 15:20:12,Outcome of Board Meeting,"Rashtriya Chemicals and Fertilizers Limited has informed the Exchange regarding Outcome of Board Meeting held on July 07, 2026."
01-Jul-2026 11:55:53,Updates,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange regarding 'Change in Senior Managment'.
25-Jun-2026 11:34:59,Trading Window,"Rashtriya Chemicals and Fertilizers Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
19-Jun-2026 15:51:52,Updates,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange regarding ''.
28-May-2026 11:00:38,Action(s) initiated or orders passed,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange about Action(s) initiated or orders passed
22-May-2026 15:04:23,Copy of Newspaper Publication,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange about Copy of Newspaper Publication
21-May-2026 18:12:37,Updates,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange regarding 'Submission of Large Entity Disclosure '.
21-May-2026 16:22:25,General Updates,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange about General Updates
21-May-2026 16:01:31,Dividend,"Rashtriya Chemicals and Fertilizers Limited has informed the Exchange that Board of Directors at its meeting held on May 21, 2026, recommended Final Dividend of Rs. 1.34 per equity share."
21-May-2026 16:01:31,Outcome of Board Meeting,Outcome of Board Meeting
09-May-2026 11:57:19,Cessation,"Rashtriya Chemicals and Fertilizers Limited has informed the Exchange regarding Cessation of Ms Anujla Murm as Independent Director of the company w.e.f. May 09, 2026."
27-Apr-2026 17:47:40,Updates,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange regarding ''.
25-Apr-2026 12:40:08,Credit Rating,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange about Credit Rating
25-Apr-2026 11:44:36,Credit Rating- Others,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange about Credit Rating- Others
21-Apr-2026 17:20:20,Appointment,"Rashtriya Chemicals and Fertilizers Limited has informed the Exchange regarding Appointment of Mr Dr.Krishna Kant Pathak (DIN: 08328847) as Other of the company w.e.f. April 21, 2026."
18-Apr-2026 13:04:52,Cessation,"Rashtriya Chemicals and Fertilizers Limited has informed the Exchange regarding Cessation of Ms Aneeta C. M as Other of the company w.e.f. April 17, 2026."
06-Apr-2026 15:06:55,Disclosure under SEBI Takeover Regulations,Rashtriya Chemicals and Fertilizers Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares a
06-Apr-2026 12:56:14,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Rashtriya Chemicals and Fertilizers Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
02-Apr-2026 17:49:19,Disclosure under SEBI Takeover Regulations,"Manoj Kumar, Deputy Secretary to the Government of India has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisitio"
25-Mar-2026 16:43:10,Disclosure of material issue,Rashtriya Chemicals and Fertilizers Limited has informed regarding Disclosure of material issue
24-Mar-2026 16:52:15,Credit Rating,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange about Credit Rating
24-Mar-2026 11:31:46,Trading Window,"Rashtriya Chemicals and Fertilizers Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
20-Mar-2026 16:45:17,General Updates,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange about General Updates
02-Mar-2026 15:35:44,Updates,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange regarding 'Change in Senior Management'.
01-Mar-2026 11:24:12,Updates,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange regarding 'Change in Senior Management'.
28-Feb-2026 13:19:17,Updates,"Rashtriya Chemicals and Fertilizers Limited has informed the Exchange regarding 'receipt of notice from National Stock Exchange of India Limited (NSE) and BSE Limited (BSE) dated February 27,2026 rega"
26-Feb-2026 14:28:38,Copy of Newspaper Publication,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange about Copy of Newspaper Publication
18-Feb-2026 17:26:02,General Updates,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange about General Updates
14-Feb-2026 12:42:39,Copy of Newspaper Publication,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange about Copy of Newspaper Publication
13-Feb-2026 18:02:30,General Updates,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange about General Updates
13-Feb-2026 18:01:33,Outcome of Board Meeting,"Rashtriya Chemicals and Fertilizers Limited has informed the Exchange regarding Outcome of Board Meeting held on February 13, 2026."
13-Feb-2026 15:40:40,Updates,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange regarding 'E-mail Communication to members of Rashtriya Chemicals and Fertilizers LimitedE-mail Communication to members of Rashtr
12-Feb-2026 16:31:53,Integrated Filing- Financial,Integrated Financial Results as on 31122025
12-Feb-2026 15:30:46,Record Date,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange that Record date for the purpose of Dividend  is 20-Feb-2026.
12-Feb-2026 15:28:26,Updates,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange regarding 'Declaration of Interim Dividend for the financial year 2025-26'.
12-Feb-2026 15:23:06,Capacity addition,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange about Capacity addition
12-Feb-2026 15:18:14,Dividend,"Rashtriya Chemicals and Fertilizers Limited has informed the Exchange that Board of Directors at its meeting held on February 12, 2026, declared Interim Dividend of Re. 1 per equity share."
12-Feb-2026 15:18:14,Outcome of Board Meeting,"Rashtriya Chemicals and Fertilizers Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
02-Feb-2026 16:53:43,General Updates,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange about General Updates
02-Feb-2026 16:24:34,General Updates,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange about General Updates
01-Feb-2026 10:11:46,General Updates,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange about General Updates
17-Jan-2026 10:47:55,Updates,"Rashtriya Chemicals and Fertilizers Limited has informed the Exchange regarding 'Grant of patent for the Invention Titled  A SYSTEM AND A PROCESS FOR COATING A FERTILIZER  by The Patient Office, Gover"
16-Jan-2026 17:18:40,Updates,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange regarding ''.
06-Jan-2026 11:35:33,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Rashtriya Chemicals and Fertilizers Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
01-Jan-2026 18:14:12,Action(s) initiated or orders passed,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange about Action(s) initiated or orders passed
01-Jan-2026 16:39:28,Change in Management,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange about change in Management
01-Jan-2026 11:36:01,Updates,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange regarding ''.Change in Board of Directors of the Company
24-Dec-2025 11:16:17,Trading Window,"Rashtriya Chemicals and Fertilizers Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
10-Dec-2025 13:06:42,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
28-Nov-2025 18:20:40,Action(s) initiated or orders passed,Rashtriya Chemicals and Fertilizers Limited has informed the Exchange about Action(s) initiated or orders passed
