date,desc,text
10-Jul-2026 14:47:51,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","RHI MAGNESITA INDIA LTD has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
30-Jun-2026 20:07:59,Resignation of Director/KMP/SMP,RHI MAGNESITA INDIA LTD has informed the Exchange about Resignation of Director/KMP/SMP
30-Jun-2026 19:42:17,Press Release,"RHI MAGNESITA INDIA LTD has informed the Exchange regarding a press release dated Jun 30, 2026, titled ""RHI Magnesita India Announces Leadership Transition""."
30-Jun-2026 19:29:09,Change in Director(s),RHI MAGNESITA INDIA LTD has informed the Exchange regarding Change in Director(s) of the company.
26-Jun-2026 13:47:14,Trading Window,"RHI MAGNESITA INDIA LTD has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Jun-2026 14:26:41,Press Release,"RHI MAGNESITA INDIA LTD has informed the Exchange regarding a press release dated Jun 25, 2026, titled ""RHI Magnesita & Khemka Refractories Form Joint Venture to Accelerate Circular Economy and Set Up"
25-Jun-2026 14:13:19,Outcome of Board Meeting,"RHI MAGNESITA INDIA LTD has informed the Exchange regarding Outcome of Board Meeting held on Jun 25, 2026."
25-Jun-2026 14:10:05,"Arrangements for strategic, technical, manufacturing, or marketing tie up","RHI MAGNESITA INDIA LTD has informed the Exchange about Arrangements for strategic, technical, manufacturing, or marketing tie up"
25-Jun-2026 14:02:40,Agreements,RHI MAGNESITA INDIA LTD has informed the Exchange about Agreements
22-Jun-2026 17:32:21,Shareholders meeting,"RHI MAGNESITA INDIA LTD has informed the Exchange regarding Proceedings of Postal Ballot. Further, the company has submitted the Exchange a copy of Srutinizers report along with voting results."
19-Jun-2026 17:14:00,Analysts/Institutional Investor Meet/Con. Call Updates,RHI MAGNESITA INDIA LTD has informed the Exchange about Schedule of meet
17-Jun-2026 17:27:53,Updates,RHI MAGNESITA INDIA LTD has informed the Exchange regarding 'Financial Results in legible form'.
14-Jun-2026 12:54:01,Copy of Newspaper Publication,RHI MAGNESITA INDIA LTD has informed the Exchange about Copy of Newspaper Publication
03-Jun-2026 16:38:27,Analysts/Institutional Investor Meet/Con. Call Updates,RHI MAGNESITA INDIA LTD has informed the Exchange about Transcript
01-Jun-2026 12:35:10,Copy of Newspaper Publication,RHI MAGNESITA INDIA LTD has informed the Exchange about Copy of Newspaper Publication
30-May-2026 14:11:05,Analysts/Institutional Investor Meet/Con. Call Updates,RHI MAGNESITA INDIA LTD has informed the Exchange about Link of Recording
29-May-2026 21:12:32,Investor Presentation,RHI MAGNESITA INDIA LTD has informed the Exchange about Investor Presentation
29-May-2026 21:10:41,Press Release,"RHI MAGNESITA INDIA LTD has informed the Exchange regarding a press release dated May 29, 2026, titled ""Record Revenue of &#8377;4,000+ Crore & Record Cash Flow   Sustainable Growth and Resilient Spir"
29-May-2026 20:51:56,Dividend,"RHI MAGNESITA INDIA LTD has informed the Exchange that Board of Directors at its meeting held on May 28, 2026, recommended Final Dividend of Rs. 2.50 per equity share."
29-May-2026 20:48:38,Outcome of Board Meeting,"RHI MAGNESITA INDIA LTD has submitted to the Exchange, the financial results for the period ended March 31, 2026."
28-May-2026 16:19:47,General Updates,RHI MAGNESITA INDIA LTD has informed the Exchange about General Updates
26-May-2026 16:24:34,Analysts/Institutional Investor Meet/Con. Call Updates,RHI MAGNESITA INDIA LTD has informed the Exchange about Schedule of meet
22-May-2026 21:30:19,General Updates,Intimation regarding Scheme of Merger/ Amalgamation of Intermetal Engineers (India) Private Limited i.e. wholly owned Subsidiary of RHI Magnesita India Limited ( the Company ) with and into Ashwath Te
21-May-2026 12:12:50,General Updates,RHI MAGNESITA INDIA LTD has informed the Exchange about General Updates
20-May-2026 16:26:58,Appointment,Ms. Sonu Chadha has been appointed as Non-Executive and Independent Director in material subsidiary of RHI Magnesita India Limited with effect from 20 May 2026
20-May-2026 12:55:58,Copy of Newspaper Publication,RHI MAGNESITA INDIA LTD has informed the Exchange about Copy of Newspaper Publication
19-May-2026 17:28:00,Shareholders meeting,RHI MAGNESITA INDIA LTD has informed the Exchange regarding Notice of Postal Ballot
13-Apr-2026 11:44:20,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","RHI MAGNESITA INDIA LTD has informed the Exchange about Certificate under Regulation 74(5) SEBI (Depositories and Participants) Regulations, 2018"
09-Apr-2026 16:41:44,Disclosure under SEBI Takeover Regulations,RHI MAGNESITA INDIA LTD has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regula
30-Mar-2026 11:03:36,Trading Window,"RHI MAGNESITA INDIA LTD has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
26-Mar-2026 14:22:18,Analysts/Institutional Investor Meet/Con. Call Updates,RHI MAGNESITA INDIA LTD has informed the Exchange about Schedule of meet
24-Mar-2026 16:53:40,Analysts/Institutional Investor Meet/Con. Call Updates,RHI MAGNESITA INDIA LTD has informed the Exchange about Schedule of meet
23-Mar-2026 15:45:09,Analysts/Institutional Investor Meet/Con. Call Updates,RHI MAGNESITA INDIA LTD has informed the Exchange about Schedule of meet
13-Mar-2026 15:51:15,Analysts/Institutional Investor Meet/Con. Call Updates,RHI MAGNESITA INDIA LTD has informed the Exchange about Schedule of meet
