date,desc,text
07-Jul-2026 18:04:22,Updates,"Sbfc Finance Limited has informed the Exchange regarding 'Disclosure under Regulation 6(1) and Regulation 7(1) of SEBI(LODR), 2015'."
07-Jul-2026 16:47:48,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Sbfc Finance Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
26-Jun-2026 20:21:54,Trading Window,"Sbfc Finance Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
19-Jun-2026 12:37:27,Copy of Newspaper Publication,SBFC Finance Limited has informed the Exchange about Copy of Newspaper Publication - Notice of 19th AGM of the Company
18-Jun-2026 17:00:11,General Updates,SBFC Finance Limited has informed the Exchange about Letter To Shareholders - Annual Report - FY 2025-26
18-Jun-2026 13:02:53,General Updates,Sbfc Finance Limited has informed the Exchange about Business Responsibility and Sustainability Report for the financial year 2025-26
18-Jun-2026 12:20:57,General Updates,SBFC Finance Limited has informed the Exchange about Annual Report for FY 25-26 and AGM Notice
18-Jun-2026 11:52:53,Shareholders meeting,"SBFC Finance Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 14, 2026"
12-Jun-2026 16:18:56,Copy of Newspaper Publication,SBFC Finance Limited has informed the Exchange about Copy of Newspaper Publication pertaining to notice of 19th AGM
05-Jun-2026 14:30:04,Disclosure under SEBI Takeover Regulations,SBFC Holdings Pte. Ltd. and Clermont Financial Pte. Ltd. has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisitio
03-Jun-2026 16:15:55,Allotment of Securities,"SBFC Finance Limited has informed the Exchange regarding allotment of 626025 securities pursuant to ESOP/ESPS on June 3, 2026"
30-May-2026 23:21:45,Credit Rating- Others,SBFC Finance Limited has informed the Exchange about Credit Rating
29-May-2026 18:23:43,Credit Rating,Sbfc Finance Limited has informed the Exchange about Credit Rating
13-May-2026 11:39:25,Allotment of Securities,"Sbfc Finance Limited has informed the Exchange regarding allotment of 266519 securities pursuant to ESOP on May 13, 2026"
05-May-2026 19:00:42,Analysts/Institutional Investor Meet/Con. Call Updates,Sbfc Finance Limited has informed the Exchange about Transcript
04-May-2026 19:05:22,Credit Rating,Sbfc Finance Limited has informed the Exchange about Credit Rating
30-Apr-2026 20:00:52,Credit Rating,Sbfc Finance Limited has informed the Exchange about Credit Rating
29-Apr-2026 18:49:31,Credit Rating,Sbfc Finance Limited has informed the Exchange about Credit Rating
27-Apr-2026 19:12:22,Analysts/Institutional Investor Meet/Con. Call Updates,Sbfc Finance Limited has informed the Exchange about Link of Recording
