date,desc,text
10-Jul-2026 12:11:08,General Updates,Schaeffler India Limited has informed the Exchange about General Updates - Communication to the Shareholders as part of  Second Saksham Niveshak  Campaign.
07-Jul-2026 14:18:40,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Schaeffler India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
06-Jul-2026 15:52:44,Copy of Newspaper Publication,Schaeffler India Limited has informed the Exchange about Copy of Newspaper Publication
03-Jul-2026 17:04:02,Press Release,"Schaeffler India Limited has informed the Exchange regarding a press release dated July 03, 2026, titled ""Schaeffler India Becomes First Company to Secure BIS License for Cy-lindrical Roller Bearings "
29-Jun-2026 18:24:46,Trading Window,"Schaeffler India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
26-Jun-2026 22:06:59,Appointment,"Schaeffler India Limited has informed the Exchange regarding Appointment of Mr Chetan Kumar Maini  as Non- Executive Independent Director of the company w.e.f. July 01, 2026."
26-Jun-2026 22:05:23,Appointment,"Schaeffler India Limited has informed the Exchange regarding Appointment of Mr. Christophe Hannequin as Non- Executive Non-Independent Director of the company w.e.f. July 01, 2026."
26-Jun-2026 17:06:10,Updates,Schaeffler India Limited has informed the Exchange regarding 'Update on Social Media of Company about Special Window for Transfer and Dematerialization of Physical Securities'.
19-May-2026 15:03:47,Updates,"Schaeffler India Limited has informed the Exchange regarding 'Disclosure under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 ( SEBI Listing Regulations "
19-May-2026 15:02:47,Updates,"Schaeffler India Limited has informed the Exchange regarding 'Disclosure under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015 ( SEBI Listing Regulations "
15-May-2026 11:54:14,Copy of Newspaper Publication,Schaeffler India Limited has informed the Exchange about Copy of Newspaper Publication - Information about  Second Saksham Niveshak  Campaign by IEPFA and Special Window introduced for Re-lodgment of 
13-May-2026 09:42:35,Press Release,"Schaeffler India Limited has informed the Exchange regarding a press release dated May 13, 2026, titled ""Schaeffler India to enhance research innovation at IISC, Bengaluru""."
06-May-2026 14:24:26,Analysts/Institutional Investor Meet/Con. Call Updates,Schaeffler India Limited has informed the Exchange about Transcript
01-May-2026 18:45:00,Updates,Schaeffler India Limited has informed the Exchange regarding 'Presentation made at the 63rd Annual General Meeting'.
01-May-2026 09:34:13,Shareholders meeting,"Schaeffler India Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on April 30, 2026. Further, the company has informed the Exchange regarding voting results"
30-Apr-2026 19:12:20,Shareholders meeting,"Schaeffler India Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on April 30, 2026"
30-Apr-2026 17:47:46,Analysts/Institutional Investor Meet/Con. Call Updates,Schaeffler India Limited has informed the Exchange about Link of Recording
30-Apr-2026 09:57:35,Investor Presentation,Schaeffler India Limited has informed the Exchange about Investor Presentation
29-Apr-2026 16:39:34,Press Release,"Schaeffler India Limited has informed the Exchange regarding a press release dated April 29, 2026, titled ""Schaeffler India Limited announces results for the first quarter ended March 31, 2026""."
29-Apr-2026 16:24:28,Outcome of Board Meeting,"Schaeffler India Limited has submitted to the Exchange, the financial results for the quarter ended March 31, 2026."
22-Apr-2026 19:37:40,Analysts/Institutional Investor Meet/Con. Call Updates,Schaeffler India Limited has informed the Exchange about Schedule of meet
09-Apr-2026 17:35:10,Copy of Newspaper Publication,Schaeffler India Limited has informed the Exchange about Copy of Newspaper Publication
07-Apr-2026 17:34:12,Updates,"Schaeffler India Limited has informed the Exchange regarding 'Regulation 36(1)(b) of the SEBI (Listing Obligations and Disclosure Re-quirements) Regulations, 2015 - Communication to the Shareholders'."
06-Apr-2026 12:48:45,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Schaeffler India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018 for quarter ended March 31, 2026"
04-Apr-2026 13:08:51,Shareholders meeting,"Schaeffler India Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on April 30, 2026"
30-Mar-2026 18:05:16,Trading Window,"Schaeffler India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
26-Mar-2026 15:57:12,Analysts/Institutional Investor Meet/Con. Call Updates,Schaeffler India Limited has informed the Exchange about Schedule of meet
26-Mar-2026 12:01:55,Copy of Newspaper Publication,"Schaeffler India Limited has informed the Exchange about Copy of Newspaper Publication - Information about Annual General Meeting, Record Date, Dividend information etc."
25-Mar-2026 15:46:18,General Updates,Schaeffler India Limited has informed the Exchange about General Updates - Communication to the Shareholders
16-Mar-2026 18:37:57,Analysts/Institutional Investor Meet/Con. Call Updates,Schaeffler India Limited has informed the Exchange about Schedule of meet
14-Mar-2026 18:30:07,Shareholders meeting,Schaeffler India Limited has informed the Exchange regarding Proceedings of Postal Ballot
14-Mar-2026 18:26:39,Shareholders meeting,"Schaeffler India Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
10-Mar-2026 14:09:17,Record Date,Schaeffler India Limited has informed the Exchange that Record date for the purpose of Dividend  is 23-Apr-2026.
05-Mar-2026 19:45:05,Updates,Schaeffler India Limited has informed the Exchange regarding 'Intimation of Record Date for the purpose of 63rd Annual General Meeting ( AGM ) and identifying the list of members eligible for the paym
03-Mar-2026 09:38:07,Analysts/Institutional Investor Meet/Con. Call Updates,Schaeffler India Limited has informed the Exchange about Transcript
02-Mar-2026 16:33:46,Updates,Schaeffler India Limited has informed the Exchange regarding 'details of Special Window for Transfer and Dematerialization of Physical Securities on Social Media'.
25-Feb-2026 21:31:27,Analysts/Institutional Investor Meet/Con. Call Updates,Schaeffler India Limited has informed the Exchange about Link of Recording
25-Feb-2026 09:50:44,Investor Presentation,Schaeffler India Limited has informed the Exchange about Investor Presentation
24-Feb-2026 17:39:19,Press Release,"Schaeffler India Limited has informed the Exchange regarding a press release dated February 24, 2026, titled ""Schaeffler India Limited announces results for the fourth quarter and year ended December "
24-Feb-2026 17:25:45,Dividend,"Schaeffler India Limited has informed the Exchange that Board of Directors at its meeting held on February 24, 2026, recommended Final Dividend of Rs. 35 per equity share."
24-Feb-2026 17:15:19,Outcome of Board Meeting,"Schaeffler India Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
17-Feb-2026 12:02:21,Analysts/Institutional Investor Meet/Con. Call Updates,Schaeffler India Limited has informed the Exchange about Schedule of meet
13-Feb-2026 18:06:29,Copy of Newspaper Publication,Schaeffler India Limited has informed the Exchange about Copy of Newspaper Publication
12-Feb-2026 17:21:06,Shareholders meeting,Schaeffler India Limited has informed the Exchange regarding Notice of Postal Ballot
