date,desc,text
10-Jul-2026 16:46:33,Updates,SHREE CEMENT LIMITED has informed the Exchange regarding 'e-mail communication sent to all Shareholders whose email addresses are registered with the Company/Depositories explaining the process on wit
08-Jul-2026 18:03:58,Updates,"SHREE CEMENT LIMITED has informed the Exchange regarding 'Company has sent a letter providing the weblink, including the exact path of the Notice of the AGM and Integrated Annual Report for the FY 202"
08-Jul-2026 12:41:30,Copy of Newspaper Publication,"SHREE CEMENT LIMITED has informed the Exchange about Newspaper Advertisement for publication of Notice of 47th Annual General Meeting of the Members of the Company scheduled on 31st July, 2026"
08-Jul-2026 11:09:28,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","SHREE CEMENT LIMITED has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
07-Jul-2026 19:44:53,Record Date,SHREE CEMENT LIMITED has informed the Exchange that Record date for the purpose of Dividend  is 17-Jul-2026.
07-Jul-2026 19:34:51,Shareholders meeting,"SHREE CEMENT LIMITED has informed the Exchange regarding Notice of Annual General Meeting to be held on July 31, 2026"
01-Jul-2026 19:49:59,Credit Rating,SHREE CEMENT LIMITED has informed the Exchange about Credit Rating
01-Jul-2026 16:04:29,Credit Rating,SHREE CEMENT LIMITED has informed the Exchange about Credit Rating
24-Jun-2026 23:13:01,General Updates,"SHREE CEMENT LIMITED has informed the Exchange about  the Additional Commissioner (Appeals), SGST, Patna has dismissed the appeal filed against the demand order passed by the Deputy Commissioner, Stat"
22-Jun-2026 16:38:38,Trading Window,"SHREE CEMENT LIMITED has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
05-Jun-2026 13:09:55,Disclosure under SEBI Takeover Regulations,SHREE CEMENT LIMITED has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulatio
04-Jun-2026 13:24:24,Analysts/Institutional Investor Meet/Con. Call Updates,SHREE CEMENT LIMITED has informed the Exchange about Schedule of meet
28-May-2026 19:28:13,Change in Management,SHREE CEMENT LIMITED has informed the Exchange about change in Management
16-May-2026 12:53:30,General Updates,"SHREE CEMENT LIMITED has informed the Exchange regarding receipt of Final Assessment order u/s 143(3) of the Income Tax Act, 1961 form the Income Tax Authority"
13-May-2026 17:13:58,General Updates,SHREE CEMENT LIMITED has informed the Exchange about ESG Ratings by CARE ESG Ratings Limited
12-May-2026 16:32:28,General Updates,"SHREE CEMENT LIMITED has informed the Exchange  Company has received GST demand order from the Assistant Commissioner, Central GST & Central Excise, Pali."
11-May-2026 17:46:08,Analysts/Institutional Investor Meet/Con. Call Updates,SHREE CEMENT LIMITED has informed the Exchange about Transcript
07-May-2026 15:58:56,Copy of Newspaper Publication,SHREE CEMENT LIMITED has informed the Exchange about Copy of Newspaper Publication
06-May-2026 21:32:02,Analysts/Institutional Investor Meet/Con. Call Updates,SHREE CEMENT LIMITED has informed the Exchange about Link of Recording
06-May-2026 18:05:42,Change in Management,SHREE CEMENT LIMITED has informed the Exchange about change in Management
06-May-2026 17:08:49,Press Release,"SHREE CEMENT LIMITED has informed the Exchange regarding a press release dated May 06, 2026, titled ""Financial Results for Quarter and Year ended 31st March, 2026""."
06-May-2026 17:06:18,Outcome of Board Meeting,"SHREE CEMENT LIMITED has submitted to the Exchange, the financial results for the period ended March 31, 2026."
06-May-2026 16:52:11,Dividend,"SHREE CEMENT LIMITED has informed the Exchange that Board of Directors at its meeting held on May 06, 2026, recommended Final Dividend of Rs. 70 per equity share."
01-May-2026 17:08:55,Credit Rating,SHREE CEMENT LIMITED has informed the Exchange about Credit Rating
30-Apr-2026 19:05:23,General Updates,"SHREE CEMENT LIMITED has informed the Exchange  that the commissioner (Appeals), CE & CGST, Jodhpur has dismissed the appeal filed against the demand order passed by Assistant Commissioner, Pali Divis"
28-Apr-2026 14:59:28,Credit Rating,SHREE CEMENT LIMITED has informed the Exchange about Credit Rating
22-Apr-2026 19:10:35,Analysts/Institutional Investor Meet/Con. Call Updates,SHREE CEMENT LIMITED has informed the Exchange about Schedule of meet
22-Apr-2026 16:14:29,Analysts/Institutional Investor Meet/Con. Call Updates,SHREE CEMENT LIMITED has informed the Exchange about Schedule of meet
16-Apr-2026 17:46:08,General Updates,"SHREE CEMENT LIMITED has informed the Exchange that  Company has received GST demand order from the Commissioner, Central GST & Central Excise, Jodhpur"
07-Apr-2026 16:31:38,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","SHREE CEMENT LIMITED has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
04-Apr-2026 21:00:00,General Updates,"SHREE CEMENT LIMITED has informed the Exchange   that the Board of Directors of the Company has today (i.e. on 4th April, 2026), approved setting up of an Integrated Cement Plant having Clinker capaci"
01-Apr-2026 21:51:13,General Updates,"SHREE CEMENT LIMITED has informed the Exchange about receipt of draft Assessment Order u/s 144C(1) of the Income Tax Act, 1961 from the Income Tax Authority."
25-Mar-2026 10:55:46,Trading Window,"SHREE CEMENT LIMITED has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
24-Mar-2026 13:26:17,General Updates,"SHREE CEMENT LIMITED has informed the Exchange about receipt of demand order from the Office of Mining Engineer, Department of Mines & Geology, Ajmer Circle, Rajasthan"
23-Mar-2026 16:20:35,Shareholders meeting,"SHREE CEMENT LIMITED has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
18-Mar-2026 19:16:35,General Updates,"SHREE CEMENT LIMITED has informed the Exchange  that in continuation to our intimation dated 17th March, 2026, the Company has incorporated a Wholly Owned Subsidiary, namely ""Shree Cement (Mauritius) "
17-Mar-2026 18:20:26,General Updates,SHREE CEMENT LIMITED has informed the Exchange   that the Company participated in e-auction conducted by Govt. of Andhra Pradesh for grant of Mining Lease for Dommarnandyala-1 Limestone Block situated
17-Mar-2026 07:40:00,General Updates,SHREE CEMENT LIMITED has informed the Exchange that the Business Operations Committee of the Company has approved the incorporation of a Wholly Owned Subsidiary of the Company in Mauritius.
14-Mar-2026 19:07:44,General Updates,"SHREE CEMENT LIMITED has informed the Exchange about Company has today (i.e. on 14th March, 2026) commissioned its Cement Mill having capacity of 3.50 MTPA at Village Kodla, Kalaburagi District of Kar"
25-Feb-2026 12:29:54,General Updates,"SHREE CEMENT LIMITED has informed the Exchange about receipt of GST demand order from the Joint Commissioner, Central Tax & Central Excise, Belagavi"
24-Feb-2026 13:10:46,General Updates,"SHREE CEMENT LIMITED has informed the Exchange regarding that Company has today (i.e. on 24th February, 2026) commissioned Clinkerisation section having capacity of 3.65 MTPA as a part of its Integrat"
19-Feb-2026 13:17:00,Copy of Newspaper Publication,SHREE CEMENT LIMITED has informed the Exchange about Copy of Newspaper Publication
18-Feb-2026 18:47:54,Shareholders meeting,SHREE CEMENT LIMITED has informed the Exchange regarding Notice of Postal Ballot  for seeking consent of the members of the Company by way of special resolution for re-appointment of Mr. Hari Mohan Ba
12-Feb-2026 19:56:24,Analysts/Institutional Investor Meet/Con. Call Updates,SHREE CEMENT LIMITED has informed the Exchange about Transcript
07-Feb-2026 18:24:44,Copy of Newspaper Publication,SHREE CEMENT LIMITED has informed the Exchange about Copy of Newspaper Publication
