date,desc,text
06-Jul-2026 18:26:33,Analysts/Institutional Investor Meet/Con. Call Updates,Shyam Metalics And Energy Limited has informed the Exchange about outcome of investor meet
06-Jul-2026 11:52:18,Monthly Business Updates,Shyam Metalics And Energy Limited has informed the Exchange regarding Monthly Business Updates for the month of June 2026
30-Jun-2026 11:21:11,Analysts/Institutional Investor Meet/Con. Call Updates,Shyam Metalics And Energy Limited has informed the Exchange about Schedule of meet
25-Jun-2026 16:55:03,Trading Window,"Shyam Metalics And Energy Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Jun-2026 15:38:45,General Updates,Shyam Metalics And Energy Limited has informed the Exchange about Exercise of Options by Eligible Employees and Consequent Allotment of Shares.
24-Jun-2026 18:29:29,Analysts/Institutional Investor Meet/Con. Call Updates,Shyam Metalics And Energy Limited has informed the Exchange about Outcome of Investor Meet
18-Jun-2026 18:34:04,Disclosure of material issue,Shyam Metalics And Energy Limited has informed regarding the Company's acquisition of 26% shares by Emerge Green Power Private Limited resulting it into becoming Associate of the Company.
18-Jun-2026 17:21:06,Analysts/Institutional Investor Meet/Con. Call Updates,Shyam Metalics And Energy Limited has informed the Exchange about Schedule of meet
18-Jun-2026 11:39:37,Analysts/Institutional Investor Meet/Con. Call Updates,Shyam Metalics And Energy Limited has informed the Exchange about Outcome of Investor Meet
17-Jun-2026 15:43:13,Investor Presentation,Shyam Metalics And Energy Limited has informed the Exchange about Investor Presentation
16-Jun-2026 11:36:47,General Updates,Shyam Metalics And Energy Limited has informed the Exchange about Exercise of Options by Eligible Employees
12-Jun-2026 11:04:31,Analysts/Institutional Investor Meet/Con. Call Updates,Shyam Metalics And Energy Limited has informed the Exchange about Schedule of meet
11-Jun-2026 16:44:26,Analysts/Institutional Investor Meet/Con. Call Updates,Shyam Metalics And Energy Limited has informed the Exchange about Outcome of Investor Meet
08-Jun-2026 18:11:59,Analysts/Institutional Investor Meet/Con. Call Updates,Shyam Metalics And Energy Limited has informed the Exchange about Schedule of meet
08-Jun-2026 17:55:12,Analysts/Institutional Investor Meet/Con. Call Updates,Shyam Metalics And Energy Limited has informed the Exchange about Schedule of meet
05-Jun-2026 11:14:20,Monthly Business Updates,Shyam Metalics And Energy Limited has informed the Exchange regarding Monthly Business Updates for the month of May 2026
01-Jun-2026 12:34:20,General Updates,Shyam Metalics And Energy Limited has informed the Exchange about Nomination and Remuneration considered and approved the exercise of options pursuant to SMEL Employee Stock Incentive Plan - 2023.
29-May-2026 17:39:54,General Updates,Shyam Metalics And Energy Limited has informed the Exchange about the ESG rating of  46  based on the information/data of the Company available in the public domain by ESG Risk Assessments and Insight
29-May-2026 10:57:13,Analysts/Institutional Investor Meet/Con. Call Updates,Shyam Metalics And Energy Limited has informed the Exchange about outcome of investor meet
25-May-2026 15:15:22,Analysts/Institutional Investor Meet/Con. Call Updates,Shyam Metalics And Energy Limited has informed the Exchange about Schedule of meet
16-May-2026 13:26:59,Analysts/Institutional Investor Meet/Con. Call Updates,Shyam Metalics And Energy Limited has informed the Exchange about Transcript
12-May-2026 18:10:51,Analysts/Institutional Investor Meet/Con. Call Updates,Shyam Metalics And Energy Limited has informed the Exchange about outcome of investor meet
12-May-2026 17:51:41,Copy of Newspaper Publication,Shyam Metalics And Energy Limited has informed the Exchange about Copy of Newspaper Publication
12-May-2026 08:10:43,Investor Presentation,Shyam Metalics And Energy Limited has informed the Exchange about Investor Presentation
