date,desc,text
11-Jul-2026 22:59:55,Copy of Newspaper Publication,Siemens Limited has informed the Exchange about Copy of Newspaper Publication
10-Jul-2026 18:57:52,Record Date,Siemens Limited has informed the Exchange that Record date for the purpose of Dividend  is 29-Jul-2026.
07-Jul-2026 12:44:48,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Siemens Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
02-Jul-2026 11:19:00,Updates,"Siemens Limited has informed the Exchange regarding 'TDS Communication On Dividend For Financial Year ended March 31, 26'."
30-Jun-2026 17:03:16,Trading Window,"Siemens Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
03-Jun-2026 17:17:50,Analysts/Institutional Investor Meet/Con. Call Updates,Siemens Limited has informed the Exchange about Transcript
01-Jun-2026 08:54:22,General Updates,Siemens Limited has informed the Exchange about General Updates
28-May-2026 17:22:24,Analysts/Institutional Investor Meet/Con. Call Updates,Siemens Limited has informed the Exchange about Link of Recording
28-May-2026 11:19:42,Copy of Newspaper Publication,Siemens Limited has informed the Exchange about Copy of Newspaper Publication
28-May-2026 09:39:39,Analysts/Institutional Investor Meet/Con. Call Updates,Siemens Limited has informed the Exchange about Presentation
26-May-2026 17:24:04,Amalgamation/Merger,Siemens Limited has informed the Exchange about Amalgamation/Merger
26-May-2026 17:18:24,Outcome of Board Meeting,"Siemens Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
26-May-2026 13:41:00,Extension of Annual General Meeting,Siemens Limited has informed the Exchange about extension of Annual General Meeting
25-May-2026 16:48:09,Analysts/Institutional Investor Meet/Con. Call Updates,Siemens Limited has informed the Exchange about Schedule of meet
14-May-2026 20:12:20,Change in Financial Year,Siemens Limited has informed the Exchange about change in Financial Year
30-Apr-2026 17:24:33,Updates,Siemens Limited has informed the Exchange regarding 'Updates'.
30-Apr-2026 12:32:19,Copy of Newspaper Publication,Siemens Limited has informed the Exchange about Copy of Newspaper Publication
29-Apr-2026 11:27:42,Copy of Newspaper Publication,Siemens Limited has informed the Exchange about Copy of Newspaper Publication
21-Apr-2026 12:43:44,Disclosure under SEBI Takeover Regulations,Siemens Energy Holding B.V and Siemens Energy Holdco B.V. has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisiti
07-Apr-2026 11:25:22,Disclosure under SEBI Takeover Regulations,"Siemens Aktiengesellschaft, Siemens International Holding B.V., and Siemens Metals Technologies Vermögensverwaltungs GmbH has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of t"
03-Apr-2026 18:35:58,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Siemens Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
27-Mar-2026 16:52:04,Trading Window,"Siemens Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
06-Mar-2026 12:53:06,Copy of Newspaper Publication,Siemens Limited has informed the Exchange about Copy of Newspaper Publication
05-Mar-2026 16:28:28,Updates,Siemens Limited has informed the Exchange regarding ''.
13-Feb-2026 21:36:42,Updates,"Siemens Limited has informed the Exchange regarding 'Disclosure pursuant to Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015'."
07-Feb-2026 19:17:25,Copy of Newspaper Publication,Siemens Limited has informed the Exchange about Copy of Newspaper Publication
06-Feb-2026 14:17:56,Change in Management,Siemens Limited has informed the Exchange about change in Management
06-Feb-2026 14:05:54,Outcome of Board Meeting,"Siemens Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
06-Feb-2026 13:58:43,Outcome of Board Meeting,"Siemens Limited has informed the Exchange regarding  Board meeting held on February 06, 2026."
05-Feb-2026 17:08:18,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Siemens Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
05-Jan-2026 11:03:46,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Siemens Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
01-Jan-2026 19:37:22,Copy of Newspaper Publication,Siemens Limited has informed the Exchange about Copy of Newspaper Publication
01-Jan-2026 09:59:25,Change in Management,Siemens Limited has informed the Exchange about change in Management
31-Dec-2025 10:00:21,Shareholders meeting,Siemens Limited has informed the Exchange regarding Notice of Postal Ballot
29-Dec-2025 17:11:29,Trading Window,"Siemens Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
26-Dec-2025 17:10:32,Updates,"Siemens Limited has informed the Exchange regarding 'Information pursuant to Regulation 30(5) of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015'."
26-Dec-2025 17:07:31,Copy of Newspaper Publication,Siemens Limited has informed the Exchange about Copy of Newspaper Publication
18-Dec-2025 12:43:25,Disclosure under SEBI Takeover Regulations,Siemens International Holding B.V. has submitted to the Exchange a copy of Disclosures under Regulation 10(6)-Report to stock Exchange in respect of any acquisition made in reliance upon exemption pro
18-Dec-2025 11:21:52,Analysts/Institutional Investor Meet/Con. Call Updates,Siemens Limited has informed the Exchange about Transcript
12-Dec-2025 17:39:16,Analysts/Institutional Investor Meet/Con. Call Updates,Siemens Limited has informed the Exchange about Link of Recording
12-Dec-2025 09:26:50,Analysts/Institutional Investor Meet/Con. Call Updates,Siemens Limited has informed the Exchange about Presentation
09-Dec-2025 18:50:16,Disclosure under SEBI Takeover Regulations, Siemens International Holding B.V.  has Submitted to the Exchange a copy of Disclosure under Regulation 10 (5) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Tak
09-Dec-2025 17:51:00,Copy of Newspaper Publication,Siemens Limited has informed the Exchange about Copy of Newspaper Publication
09-Dec-2025 15:40:23,Analysts/Institutional Investor Meet/Con. Call Updates,Siemens Limited has informed the Exchange about Schedule of meet
08-Dec-2025 18:24:19,General Updates,Siemens Limited has informed the Exchange about General Updates
02-Dec-2025 20:47:53,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Siemens Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
02-Dec-2025 09:34:10,Change in Management,Siemens Limited has informed the Exchange about change in Management
27-Nov-2025 09:47:14,General Updates,Siemens Limited has informed the Exchange about General Updates
15-Nov-2025 10:59:25,Copy of Newspaper Publication,Siemens Limited has informed the Exchange about Copy of Newspaper Publication
14-Nov-2025 16:06:39,Outcome of Board Meeting,"Siemens Limited has submitted to the Exchange, the financial results for the period ended September 30, 2025."
10-Nov-2025 20:27:50,Copy of Newspaper Publication,Siemens Limited has informed the Exchange about Copy of Newspaper Publication
06-Oct-2025 15:47:05,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Siemens Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
30-Sep-2025 16:59:23,Updates,Siemens Limited has informed the Exchange regarding 'Change in e-mail address of Registrar and Share Transfer Agent ( RTA ) of the Company'.
27-Sep-2025 16:45:07,Trading Window,"Siemens Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
20-Sep-2025 11:58:05,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Siemens Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
09-Sep-2025 15:45:37,General Updates,Siemens Limited has informed the Exchange about General Updates
10-Aug-2025 18:19:11,Copy of Newspaper Publication,Siemens Limited has informed the Exchange about Copy of Newspaper Publication
08-Aug-2025 22:07:34,Outcome of Board Meeting,"Siemens Limited has informed the Exchange regarding Outcome of Board Meeting held on August 08, 2025."
08-Aug-2025 21:30:15,Outcome of Board Meeting,"Siemens Limited has informed the Exchange regarding  Board meeting held on August 08, 2025."
08-Aug-2025 21:27:27,Change in Management,Siemens Limited has informed the Exchange about change in Management
08-Aug-2025 20:55:07,Outcome of Board Meeting,"Siemens Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2025."
23-Jul-2025 16:06:42,Copy of Newspaper Publication,Siemens Limited has informed the Exchange about Copy of Newspaper Publication
17-Jul-2025 08:58:37,Change in Management,Siemens Limited has informed the Exchange about change in Management
04-Jul-2025 15:19:09,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Siemens Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
30-Jun-2025 20:25:00,Shareholders meeting,Siemens Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot
26-Jun-2025 17:11:41,Trading Window,"Siemens Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
19-Jun-2025 18:59:21,Analysts/Institutional Investor Meet/Con. Call Updates,Siemens Limited has informed the Exchange about Schedule of meet
18-Jun-2025 20:46:28,Updates,Siemens Limited has informed the Exchange regarding 'Listing of Equity Shares of Siemens Energy India Limited pursuant to the Scheme of Arrangement'.
17-Jun-2025 11:52:28,Updates,Siemens Limited has informed the Exchange regarding 'Press Release'.
09-Jun-2025 18:10:22,Updates,"Siemens Limited has informed the Exchange regarding 'Please find enclosed revised ""Code of Practices and Procedures for Fair Disclosure of Unpublished Price Sensitive Information'."
01-Jun-2025 11:34:09,Copy of Newspaper Publication,Siemens Limited has informed the Exchange about Copy of Newspaper Publication
31-May-2025 17:49:40,Change in Management,Siemens Limited has informed the Exchange about change in Management
31-May-2025 09:03:45,Shareholders meeting,Siemens Limited has informed the Exchange regarding Notice of Postal Ballot
26-May-2025 12:28:02,Analysts/Institutional Investor Meet/Con. Call Updates,Siemens Limited has informed the Exchange about Transcript
21-May-2025 17:42:41,Disclosure under SEBI Takeover Regulations,"Siemens Aktiengesellschaft, Siemens International Holding B.V. and Siemens Metals Technologies Verm�gensverwaltungs GmbH has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of th"
20-May-2025 16:13:51,Analysts/Institutional Investor Meet/Con. Call Updates,Siemens Limited has informed the Exchange about Link of Recording
20-May-2025 09:40:33,Investor Presentation,Siemens Limited has informed the Exchange about Investor Presentation
15-May-2025 16:23:40,Analysts/Institutional Investor Meet/Con. Call Updates,Siemens Limited has informed the Exchange about Schedule of meet
15-May-2025 15:20:20,Copy of Newspaper Publication,Siemens Limited has informed the Exchange about Copy of Newspaper Publication
