date,desc,text
09-Jul-2026 15:24:17,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","SJVN Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
04-Jul-2026 20:27:10,Press Release,"SJVN Limited has informed the Exchange regarding a press release dated July 04, 2026, titled ""Hon'ble Prime Minister Inaugurates SJVN's 1000 MW Bikaner Solar Power Project""."
29-Jun-2026 17:46:38,Press Release,"SJVN Limited has informed the Exchange regarding a press release dated Jun 29, 2026, titled ""SJVN Signs Power Purchase Agreements with GUVNL for Supply of Green Power from Hydro Electric Projects in H"
25-Jun-2026 15:09:12,Trading Window,"SJVN Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
12-Jun-2026 14:27:20,General Updates,SJVN Limited has informed the Exchange about General Updates
11-Jun-2026 19:06:42,Change in Director(s),SJVN Limited has informed the Exchange regarding Change in Director(s) of the company.
05-Jun-2026 12:54:38,Reply to Clarification- Financial results,"The Exchange had sought clarification from SJVN Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015."
29-May-2026 11:24:29,Clarification - Financial Results,"The Exchange has sought clarification from SJVN Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015."
22-May-2026 19:25:41,Updates,SJVN Limited has informed the Exchange regarding 'Declaration of Unmodified Opinion in Audit Report '.
21-May-2026 15:29:50,Updates,"SJVN Limited has informed the Exchange regarding 'Presentation on Audited Financial Results for the quarter and year ended onMarch 31, 2026'."
21-May-2026 12:33:32,Analysts/Institutional Investor Meet/Con. Call Updates,SJVN Limited has informed the Exchange about Transcript
16-May-2026 12:51:49,General Updates,"SJVN Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
15-May-2026 18:20:20,Analysts/Institutional Investor Meet/Con. Call Updates,SJVN Limited has informed the Exchange about Link of Recording
15-May-2026 14:31:35,Dividend,"SJVN Limited has informed the Exchange that Board of Directors at its meeting held on May 15, 2026, recommended Final Dividend of Rs. 0.35 per equity share."
15-May-2026 14:24:15,Outcome of Board Meeting,"SJVN Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
14-May-2026 20:00:14,Appointment,"SJVN Limited has informed the Exchange regarding Appointment of Mr Diwakar Nath Misra as Part-time Official Director - Government of India Nominee of the Company w.e.f. May 14, 2026."
13-May-2026 15:15:28,Appointment,"SJVN Limited has informed the Exchange regarding entrustment of additional charge of Director (Projects) of the Company to Mr. Suprakash Adhikari w.e.f. May 12, 2026."
11-May-2026 16:27:39,Analysts/Institutional Investor Meet/Con. Call Updates,SJVN Limited has informed the Exchange about Schedule of meet
05-May-2026 15:34:58,Cessation,"SJVN Limited has informed the Exchange regarding Cessation of Mr Mohammad Afzal as Non- Executive Director of the company w.e.f. April 30, 2026."
30-Apr-2026 16:41:11,Cessation,"SJVN Limited has informed the Exchange regarding Cessation of Mr Senniappan Marasamy as Senior Management of the company w.e.f. April 30, 2026."
24-Apr-2026 17:15:41,Updates,SJVN Limited has informed the Exchange regarding 'Board comments on fine levied by the Exchange'.
16-Apr-2026 18:40:44,Cessation,"SJVN Limited has informed the Exchange regarding Cessation of Mrs Udeeta Tyagi as Independent Director of the company w.e.f. April 16, 2026."
10-Apr-2026 14:40:30,Appointment,"SJVN Limited has informed the Exchange regarding Appointment of Mr Parthajit De as Chief Financial Officer of the company w.e.f. April 10, 2026."
07-Apr-2026 17:09:22,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","SJVN Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
01-Apr-2026 17:22:30,Press Release,"SJVN Limited has informed the Exchange regarding a press release dated April 01, 2026, titled "" SJVN Achieved Significant Milestones in Energy Generationin FY 2025 26""."
27-Mar-2026 16:54:53,Press Release,"SJVN Limited has informed the Exchange regarding a press release dated March 27, 2026, titled ""SJVN s 412 MW Rampur Hydro Power Station surpassedHighest-Ever Generation""."
25-Mar-2026 11:22:18,Updates,"SJVN Limited has informed the Exchange regarding 'Tripartite agreement between the Company, erstwhile RTA and new RTA'."
25-Mar-2026 11:12:45,Trading Window,"SJVN Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
19-Mar-2026 18:12:11,Press Release,"SJVN Limited has informed the Exchange regarding a press release dated March 19, 2026, titled ""SJVN achieves 1 Billion Units Generation Milestone at 1,000MW Bikaner Solar Power Project""."
19-Mar-2026 13:47:40,Appointment,"SJVN Limited has informed the Exchange regarding Appointment of Mr Parthajit De as Executive Director of the company w.e.f. March 19, 2026."
12-Mar-2026 17:32:43,Change in Director(s),SJVN Limited has informed the Exchange regarding Change in Director(s) of the company.
09-Mar-2026 17:49:00,Press Release,"SJVN Limited has informed the Exchange regarding a press release dated March 09, 2026, titled ""Press Release titled  SJVN s Nathpa Jhakri Hydro Power Station CrossesHistoric 150 Billion Units Mileston"
27-Feb-2026 14:52:13,Retirement,SJVN Limited has informed the Exchange about Retirement
26-Feb-2026 16:12:56,Change in Director(s),SJVN Limited has informed the Exchange regarding Change in Director(s) of the company.
17-Feb-2026 18:25:58,Updates,SJVN Limited has informed the Exchange regarding 'Intimation / Communication in respect of deduction of tax at source on InterimDividend for financial year 2025-26'.
11-Feb-2026 15:05:22,Dividend,"SJVN Limited has informed the Exchange that Board of Directors at its meeting held on February 11, 2026, declared Interim Dividend of 1.15 per equity share."
11-Feb-2026 15:03:52,Outcome of Board Meeting,"SJVN Limited has informed the Exchange regarding approval for raising of funds through issuance of unsecured, rated, taxable, redeemable, non-convertible, non-cumulative debentures on private placemen"
11-Feb-2026 15:01:14,Record Date,SJVN Limited has informed the Exchange that Record date for the purpose of Dividend  is 20-Feb-2026.
11-Feb-2026 14:58:17,Dividend,"SJVN Limited has informed the Exchange that Board of Directors at its meeting held on February 11, 2026, declared Interim Dividend of Rs. 1.15 per equity share."
11-Feb-2026 14:53:37,Outcome of Board Meeting,"SJVN Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
06-Feb-2026 16:37:48,Press Release,"SJVN Limited has informed the Exchange regarding a press release dated February 06, 2026, titled ""SJVN s Rampur HPS Sets New Benchmark with Fastest-Ever 2,000 MU Generation""."
05-Feb-2026 17:48:39,Press Release,"SJVN Limited has informed the Exchange regarding a press release dated February 05, 2026, titled ""SJVN Achieves COD of 70 MW Dhubri Solar Power Projectin Assam""."
30-Jan-2026 17:51:52,Change in Director(s),SJVN Limited has informed the Exchange regarding Change in Director(s) of the company.
30-Jan-2026 15:44:49,Retirement,SJVN Limited has informed the Exchange about Retirement
23-Jan-2026 21:15:09,Appointment,"SJVN Limited has informed the Exchange regarding Appointment of M/s MAS Services Limited as Registrar to an Issue and Share Transfer Agent of the Company w.e.f. January 23, 2026."
16-Jan-2026 16:04:01,Registrar & Share Transfer Agent Update,SJVN Limited has informed the Exchange about Registrar & Share Transfer Agent Update
15-Jan-2026 16:07:11,Press Release,"SJVN Limited has informed the Exchange regarding a press release dated January 15, 2026, titled ""Press Release titled  Chief Minister of Assam inaugurated SJVN s 70 MWDhubri Solar Power Project ""."
09-Jan-2026 10:51:41,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","SJVN Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
05-Jan-2026 11:02:08,Spurt in Volume,"Significant increase in volume has been observed in SJVN Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market place so t"
