date,desc,text
25-Jun-2026 18:47:03,Credit Rating,Sona Blw Precision Forgings Limited has informed the Exchange about Credit Rating
23-Jun-2026 18:31:20,Updates,Sona Blw Precision Forgings Limited has informed the Exchange regarding 'Letter send to shareholders for link of annual report under 36(1)b of SEBI LODR'.
22-Jun-2026 19:19:43,Copy of Newspaper Publication,Sona Blw Precision Forgings Limited has informed the Exchange about Copy of Newspaper Publication for 30th AGM
20-Jun-2026 19:17:11,Updates,Sona Blw Precision Forgings Limited has informed the Exchange regarding 'BRSR '.
20-Jun-2026 18:54:10,Shareholders meeting,"Sona Blw Precision Forgings Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 15, 2026"
20-Jun-2026 10:58:38,Copy of Newspaper Publication,Sona Blw Precision Forgings Limited has informed the Exchange about Copy of Newspaper Publication for 30th AGM and final dividend.
16-Jun-2026 21:51:34,Change in Company Secretary/Compliance Officer,Sona Blw Precision Forgings Limited has informed the Exchange about Change in Company Secretary/Compliance Officer
16-Jun-2026 21:41:40,Outcome of Board Meeting,"Sona Blw Precision Forgings Limited has informed the Exchange regarding Outcome of Board Meeting held on Jun 16, 2026."
16-Jun-2026 18:03:08,Resignation of Director/KMP/SMP,Sona Blw Precision Forgings Limited has informed the Exchange about Resignation of Director/KMP/SMP
16-Jun-2026 17:18:22,Change in Company Secretary/Compliance Officer,Sona Blw Precision Forgings Limited has informed the Exchange about Change in Company Secretary/Compliance Officer
16-Jun-2026 17:14:14,Outcome of Board Meeting,"Sona Blw Precision Forgings Limited has informed the Exchange regarding Outcome of Board Meeting held on Jun 16, 2026."
16-Jun-2026 17:05:14,General Updates,Sona Blw Precision Forgings Limited has informed the Exchange about General Updates
15-Jun-2026 18:22:33,Trading Window,"Sona Blw Precision Forgings Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
08-Jun-2026 20:50:22,Analysts/Institutional Investor Meet/Con. Call Updates,Sona Blw Precision Forgings Limited has informed the Exchange about Schedule of meet
28-May-2026 17:08:59,Analysts/Institutional Investor Meet/Con. Call Updates,Sona Blw Precision Forgings Limited has informed the Exchange about Schedule of meet
28-May-2026 17:03:44,Analysts/Institutional Investor Meet/Con. Call Updates,Sona Blw Precision Forgings Limited has informed the Exchange about Schedule of meet
06-May-2026 10:36:17,Analysts/Institutional Investor Meet/Con. Call Updates,Sona Blw Precision Forgings Limited has informed the Exchange about Transcript
05-May-2026 18:37:36,General Updates,Sona Blw Precision Forgings Limited has informed the Exchange about General Updates
01-May-2026 10:19:27,Copy of Newspaper Publication,Sona Blw Precision Forgings Limited has informed the Exchange about Copy of Newspaper Publication
01-May-2026 09:49:48,Analysts/Institutional Investor Meet/Con. Call Updates,Sona Blw Precision Forgings Limited has informed the Exchange about Link of Recording
30-Apr-2026 16:54:19,Press Release,"Sona Blw Precision Forgings Limited has informed the Exchange regarding a press release dated April 30, 2026, titled ""Press Release""."
30-Apr-2026 16:28:44,Record Date,Sona Blw Precision Forgings Limited has informed the Exchange that Record date for the purpose of Dividend  is 26-Jun-2026.
30-Apr-2026 16:21:56,Outcome of Board Meeting,"Sona Blw Precision Forgings Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
30-Apr-2026 16:10:06,Investor Presentation,Sona Blw Precision Forgings Limited has informed the Exchange about Investor Presentation
30-Apr-2026 12:26:03,General Updates,Sona Blw Precision Forgings Limited has informed the Exchange about allotment of equity shares under ESOP 2023 Plan
22-Apr-2026 18:19:28,Analysts/Institutional Investor Meet/Con. Call Updates,Sona Blw Precision Forgings Limited has informed the Exchange about Schedule of meet
09-Apr-2026 12:43:50,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Sona Blw Precision Forgings Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
07-Apr-2026 09:37:37,Press Release,"Sona Blw Precision Forgings Limited has informed the Exchange regarding a press release dated April 07, 2026, titled ""Sona Comstar Achieves Significant Production Milestones""."
02-Apr-2026 18:44:33,Disclosure under SEBI Takeover Regulations, Aureus Investment Private Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeov
20-Mar-2026 19:02:04,General Updates,Sona Blw Precision Forgings Limited has informed the Exchange about Appointment of Company Secretary and Compliance officer of the Company.
20-Mar-2026 18:59:34,General Updates,Resignation of Company Secretary and Compliance Officer of the Company.
20-Mar-2026 18:55:31,Updates,"Sona Blw Precision Forgings Limited has informed the Exchange regarding 'Outcome of Board Meeting held on 20th March, 2026'."
13-Mar-2026 15:48:49,Trading Window,"Sona Blw Precision Forgings Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
12-Mar-2026 09:57:54,Investor Presentation,Sona Blw Precision Forgings Limited has informed the Exchange about Investor Presentation
19-Feb-2026 12:05:53,Analysts/Institutional Investor Meet/Con. Call Updates,Sona Blw Precision Forgings Limited has informed the Exchange about Schedule of meet
19-Feb-2026 12:04:10,Analysts/Institutional Investor Meet/Con. Call Updates,Sona Blw Precision Forgings Limited has informed the Exchange about Schedule of meet
31-Jan-2026 11:52:01,Analysts/Institutional Investor Meet/Con. Call Updates,Sona Blw Precision Forgings Limited has informed the Exchange about Transcript
24-Jan-2026 21:44:09,Copy of Newspaper Publication,Sona Blw Precision Forgings Limited has informed the Exchange about Copy of Newspaper Publication
24-Jan-2026 10:31:40,Analysts/Institutional Investor Meet/Con. Call Updates,Sona Blw Precision Forgings Limited has informed the Exchange about Link of Recording
23-Jan-2026 16:31:08,Outcome of Board Meeting,"Sona Blw Precision Forgings Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
23-Jan-2026 15:46:11,Investor Presentation,Sona Blw Precision Forgings Limited has informed the Exchange about Investor Presentation
23-Jan-2026 15:39:41,Press Release,"Sona Blw Precision Forgings Limited has informed the Exchange regarding a press release dated January 23, 2026, titled ""Q3 Financial Results""."
23-Jan-2026 15:17:49,Record Date,Sona Blw Precision Forgings Limited has informed the Exchange that Record date for the purpose of Dividend  is 30-Jan-2026.
23-Jan-2026 15:16:44,Outcome of Board Meeting,"Sona Blw Precision Forgings Limited has informed the Exchange regarding the financial results and the Outcome of Board meeting held on January 23, 2026."
23-Jan-2026 15:11:14,Dividend,"Sona Blw Precision Forgings Limited has informed the Exchange that Board of Directors at its meeting held on January 23, 2026, declared Interim Dividend of 1.6 per equity share."
22-Jan-2026 17:04:38,General Updates,Sona Blw Precision Forgings Limited has informed the Exchange about Allotment of equity shares under PSP 2025
14-Jan-2026 16:45:45,Analysts/Institutional Investor Meet/Con. Call Updates,Sona Blw Precision Forgings Limited has informed the Exchange about Schedule of meet
07-Jan-2026 16:43:53,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Sona Blw Precision Forgings Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
20-Dec-2025 10:13:40,Shareholders meeting,Sona Blw Precision Forgings Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot
15-Dec-2025 15:34:25,Trading Window,"Sona Blw Precision Forgings Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
10-Dec-2025 12:02:17,Analysts/Institutional Investor Meet/Con. Call Updates,Sona Blw Precision Forgings Limited has informed the Exchange about Schedule of meet
28-Nov-2025 17:58:38,General Updates,Sona Blw Precision Forgings Limited has informed the Exchange about Incorporation of Step Down subsidiary company in india
19-Nov-2025 11:39:07,Copy of Newspaper Publication,Sona Blw Precision Forgings Limited has informed the Exchange about Copy of Newspaper Publication for Postal Ballot Notice dispatched to shareholder
18-Nov-2025 16:30:29,Shareholders meeting,Sona Blw Precision Forgings Limited has informed the Exchange regarding Notice of Postal Ballot
17-Nov-2025 19:15:08,Options to purchase securities,Sona Blw Precision Forgings Limited has informed the Exchange about Board approval for Performance Based Share Plan
31-Oct-2025 17:57:13,Analysts/Institutional Investor Meet/Con. Call Updates,Sona Blw Precision Forgings Limited has informed the Exchange about Transcript
31-Oct-2025 17:51:38,Monitoring Agency Report,on QIP for 30th September 2025
28-Oct-2025 11:05:12,Copy of Newspaper Publication,Sona Blw Precision Forgings Limited has informed the Exchange about Copy of Newspaper Publication for Q2 financial results
27-Oct-2025 22:03:11,Analysts/Institutional Investor Meet/Con. Call Updates,Sona Blw Precision Forgings Limited has informed the Exchange about Link of Recording
27-Oct-2025 16:55:46,Outcome of Board Meeting,Financial Results and Outcome of Board Meeting
27-Oct-2025 16:41:52,Press Release,"Sona Blw Precision Forgings Limited has informed the Exchange regarding a press release dated October 27, 2025, titled ""Q2 financial results""."
27-Oct-2025 16:35:09,Investor Presentation,Sona Blw Precision Forgings Limited has informed the Exchange about Investor Presentation
27-Oct-2025 16:33:22,Outcome of Board Meeting,"Sona Blw Precision Forgings Limited has informed the Exchange regarding  Board meeting held on October 27, 2025."
27-Oct-2025 12:48:17,General Updates,Sona Blw Precision Forgings Limited has informed the Exchange about General Updates- grant of esop to eligible employees
13-Oct-2025 14:41:32,Analysts/Institutional Investor Meet/Con. Call Updates,Sona Blw Precision Forgings Limited has informed the Exchange about Schedule of meet
10-Oct-2025 06:09:21,Press Release,"Sona Blw Precision Forgings Limited has informed the Exchange regarding a press release dated October 10, 2025, titled ""MOU with NEURA Robotics""."
08-Oct-2025 14:25:59,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Sona Blw Precision Forgings Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
15-Sep-2025 15:35:30,Trading Window,"Sona Blw Precision Forgings Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Aug-2025 16:28:33,Updates,Sona Blw Precision Forgings Limited has informed the Exchange regarding 'Intimation on PLI Certification received'.
09-Aug-2025 17:32:24,Analysts/Institutional Investor Meet/Con. Call Updates,Sona Blw Precision Forgings Limited has informed the Exchange about Transcript
06-Aug-2025 14:58:24,Monitoring Agency Report,Monitoring Agency Report for Q1
05-Aug-2025 17:48:58,Copy of Newspaper Publication,Sona Blw Precision Forgings Limited has informed the Exchange about Copy of Newspaper Publication
04-Aug-2025 21:16:12,Analysts/Institutional Investor Meet/Con. Call Updates,Sona Blw Precision Forgings Limited has informed the Exchange about Link of Recording
04-Aug-2025 16:40:41,Outcome of Board Meeting,"Sona Blw Precision Forgings Limited has submitted to the Exchange, the financial results for the period ended Jun 30, 2025."
