date,desc,text
03-Jul-2026 10:46:27,Shareholders meeting,"Sumitomo Chemical India Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 27, 2026"
02-Jul-2026 15:58:20,Shareholders meeting,"Sumitomo Chemical India Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 27, 2026"
30-Jun-2026 11:31:03,Shareholders meeting,"Sumitomo Chemical India Limited has informed the Exchange regarding Notice of 26th Annual General Meeting of the Company to be held on July 27, 2026"
17-Jun-2026 10:57:31,Record Date,Sumitomo Chemical India Limited has informed the Exchange that Record date for the purpose of Dividend  is 17-Jul-2026.
04-Jun-2026 16:02:06,Analysts/Institutional Investor Meet/Con. Call Updates,Sumitomo Chemical India Limited has informed the Exchange about Transcript
28-May-2026 17:18:08,Analysts/Institutional Investor Meet/Con. Call Updates,Sumitomo Chemical India Limited has informed the Exchange about Link of Recording
27-May-2026 09:57:26,Investor Presentation,Sumitomo Chemical India Limited has informed the Exchange about Investor Presentation
26-May-2026 17:24:43,Integrated Filing- Financial,"Integrated Filing (Financial) for the quarter and year ended 31st March, 2026."
26-May-2026 17:20:43,Change in Director(s),Sumitomo Chemical India Limited has informed the Exchange regarding Change in Director(s) of the company.
26-May-2026 17:19:18,Change in Management,Sumitomo Chemical India Limited has informed the Exchange about change in Management - Promotion of Dr. Suresh Ramachandran to the position of Managing Director.
26-May-2026 17:17:05,Dividend,"Sumitomo Chemical India Limited has informed the Exchange that Board of Directors at its meeting held on May 26, 2026, recommended Final Dividend of Rs. 1.30 per equity share."
26-May-2026 17:10:27,Outcome of Board Meeting,"Sumitomo Chemical India Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
14-May-2026 09:03:38,Analysts/Institutional Investor Meet/Con. Call Updates,Sumitomo Chemical India Limited has informed the Exchange about Schedule of meet
29-Apr-2026 13:17:12,Credit Rating,Sumitomo Chemical India Limited has informed the Exchange about Credit Rating
