date,desc,text
09-Jul-2026 15:32:44,ESOP/ESOS/ESPS,Suzlon Energy Limited has informed the Exchange regarding Allotment of 1015428  Shares.
09-Jul-2026 15:21:13,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Suzlon Energy Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
02-Jul-2026 09:35:48,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
30-Jun-2026 09:05:12,Bagging/Receiving of orders/contracts,Suzlon Energy Limited has informed the Exchange about Bagging/Receiving of orders/contracts
25-Jun-2026 15:06:26,Trading Window,"Suzlon Energy Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Jun-2026 11:13:51,Bagging/Receiving of orders/contracts,Suzlon Energy Limited has informed the Exchange about Bagging/Receiving of orders/contracts
20-Jun-2026 11:32:17,Allotment of Securities,"Suzlon Energy Limited has informed the Exchange regarding allotment of 4888696 securities pursuant to ESOP/ESPS at its meeting held on Jun 20, 2026"
16-Jun-2026 16:01:11,Rumour Verification - Regulation 30(11),Suzlon Energy Limited has informed the Exchange about Rumour Verification - Regulation 30(11)
12-Jun-2026 16:57:11,Investor Presentation,Suzlon Energy Limited has informed the Exchange about Investor Presentation
09-Jun-2026 17:39:46,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
03-Jun-2026 14:37:46,ESOP/ESOS/ESPS,Suzlon Energy Limited has informed the Exchange regarding Allotment of 22374033  Shares.
03-Jun-2026 12:36:30,Press Release,"Suzlon Energy Limited has informed the Exchange regarding a press release dated Jun 03, 2026, titled ""reveals its growth ambition of 10 GW RE Sales & 70 GW of AUM.""."
02-Jun-2026 16:11:26,General Updates,Suzlon Energy Limited has informed the Exchange about General Updates
02-Jun-2026 15:12:37,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Transcript
01-Jun-2026 21:19:52,Rumour Verification - Regulation 30(11),Suzlon Energy Limited has informed the Exchange about Rumour Verification - Regulation 30(11)
01-Jun-2026 12:11:30,Appointment,"Suzlon Energy Limited has informed the Exchange regarding Appointment of Mr Ashok Ramachandran as Other of the company w.e.f. Jun 04, 2026."
30-May-2026 21:29:41,General Updates,Suzlon Energy Limited has informed the Exchange about General Updates
29-May-2026 15:03:25,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
28-May-2026 09:30:45,Rumour Verification - Regulation 30(11),Suzlon Energy Limited has informed the Exchange about Rumour Verification - Regulation 30(11)
26-May-2026 14:56:26,Disclosure under SEBI Takeover Regulations," Vinod R.Tanti has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 20"
25-May-2026 23:44:32,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Link of Recording
25-May-2026 15:09:19,Outcome of Board Meeting,"Suzlon Energy Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
22-May-2026 09:22:51,Press Release,"Suzlon Energy Limited has informed the Exchange regarding a press release dated May 22, 2026, titled ""Suzlon 3 MW platform sales reach nearly 9 GW with a new 195 MW order from Sunsure Energy.""."
20-May-2026 16:51:15,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
14-May-2026 20:00:27,General Updates,Suzlon Energy Limited has informed the Exchange about General Updates
13-May-2026 16:44:25,ESOP/ESOS/ESPS,Suzlon Energy Limited has informed the Exchange regarding Allotment of 195000  Shares.
12-May-2026 12:36:21,Shareholders meeting,"Suzlon Energy Limited has informed the Exchange regarding Proceedings of Postal Ballot. Further, the company has submitted the Exchange a copy of Srutinizers report along with voting results."
03-May-2026 17:16:12,Cessation,"Suzlon Energy Limited has informed the Exchange regarding Cessation of Mr Gautam Doshi as Non- Executive Independent Director of the company w.e.f. May 04, 2026."
30-Apr-2026 13:27:50,Scheme of Arrangement,Suzlon Energy Limited has informed the Exchange about Scheme of Arrangement
27-Apr-2026 22:17:31,Rumour Verification - Regulation 30(11),Suzlon Energy Limited has informed the Exchange about Rumour Verification - Regulation 30(11)
17-Apr-2026 20:00:11,Rumour Verification - Regulation 30(11),Suzlon Energy Limited has informed the Exchange about Rumour Verification - Regulation 30(11)
15-Apr-2026 15:25:22,Rumour Verification - Regulation 30(11),Suzlon Energy Limited has informed the Exchange about Rumour Verification - Regulation 30(11)
13-Apr-2026 10:07:27,ESOP/ESOS/ESPS,Suzlon Energy Limited has informed the Exchange regarding Allotment of 657000  Shares.
10-Apr-2026 19:55:48,Shareholders meeting,Suzlon Energy Limited has informed the Exchange regarding Notice of Postal Ballot
08-Apr-2026 17:42:05,Rumour Verification - Regulation 30(11),Suzlon Energy Limited has informed the Exchange about Rumour Verification - Regulation 30(11)
08-Apr-2026 17:33:18,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Suzlon Energy Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
27-Mar-2026 19:02:52,Resignation,"Suzlon Energy Limited has informed the Exchange regarding Resignation of Mr Sairam Prasad as Other of the company w.e.f. March 31, 2026."
25-Mar-2026 15:59:34,Trading Window,"Suzlon Energy Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
24-Mar-2026 09:32:37,Press Release,"Suzlon Energy Limited has informed the Exchange regarding a press release dated March 24, 2026, titled ""Suzlon wins its sixth repeat order of 100 MW from GAIL""."
23-Mar-2026 20:23:24,Rumour Verification - Regulation 30(11),Suzlon Energy Limited has informed the Exchange about Rumour Verification - Regulation 30(11)
23-Mar-2026 20:15:22,General Updates,Suzlon Energy Limited has informed the Exchange about General Updates
19-Mar-2026 13:51:21,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
11-Mar-2026 13:35:50,ESOP/ESOS/ESPS,Suzlon Energy Limited has informed the Exchange regarding Allotment of 77000  Shares.
02-Mar-2026 17:17:33,Rumour Verification - Regulation 30(11),Suzlon Energy Limited has informed the Exchange about Rumour Verification - Regulation 30(11)
24-Feb-2026 10:57:44,Updates,Suzlon Energy Limited has informed the Exchange regarding 'Updation of information in terms of Regulation 30(5) of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requir
24-Feb-2026 10:28:24,Appointment,"Suzlon Energy Limited has informed the Exchange regarding Appointment of Mr Girish Vanvari as Non- Executive Independent Director of the company w.e.f. February 24, 2026."
24-Feb-2026 10:14:09,Outcome of Board Meeting,"Suzlon Energy Limited has informed the Exchange regarding Outcome of Board Meeting held on February 24, 2026."
21-Feb-2026 17:34:56,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
21-Feb-2026 17:31:57,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
20-Feb-2026 09:48:43,General Updates,Suzlon Energy Limited has informed the Exchange about General Updates regarding penalty
17-Feb-2026 14:10:26,General Updates,Suzlon Energy Limited has informed the Exchange about General Updates on Penalty
13-Feb-2026 16:12:05,ESOP/ESOS/ESPS,Suzlon Energy Limited has informed the Exchange regarding Allotment of 1720000  Shares.
12-Feb-2026 14:40:39,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Transcript
09-Feb-2026 17:42:54,Updates,"Updation of information in terms of Regulation 30(5) of the Securities and Exchange Board of India (Listing Obligations and Disclosure Requirements) Regulations, 2015."
05-Feb-2026 21:14:18,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Link of Recording
05-Feb-2026 20:55:25,Rumour Verification - Regulation 30(11),Suzlon Energy Limited has informed the Exchange about Rumour Verification - Regulation 30(11)
05-Feb-2026 13:25:12,Outcome of Board Meeting,"Suzlon Energy Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
03-Feb-2026 21:01:31,Rumour Verification - Regulation 30(11),Suzlon Energy Limited has informed the Exchange about Rumour Verification - Regulation 30(11)
30-Jan-2026 14:12:16,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
28-Jan-2026 09:08:17,Press Release,"Suzlon Energy Limited has informed the Exchange regarding a press release dated January 28, 2026, titled ""Suzlon secures its first 248.5 MW Wind Order from ArcelorMittal""."
22-Jan-2026 14:09:44,Copy of Newspaper Publication,Suzlon Energy Limited has informed the Exchange about Copy of Newspaper Publication
08-Jan-2026 16:57:55,ESOP/ESOS/ESPS,Suzlon Energy Limited has informed the Exchange regarding Allotment of 555250  Shares.
05-Jan-2026 15:28:29,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Suzlon Energy Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
26-Dec-2025 19:39:37,Resignation,"Suzlon Energy Limited has informed the Exchange regarding Resignation of Mr Vivek Srivastava as Other of the company w.e.f. December 26, 2025."
24-Dec-2025 15:25:40,Trading Window,"Suzlon Energy Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
17-Dec-2025 09:00:04,Press Release,"Suzlon Energy Limited has informed the Exchange regarding a press release dated December 17, 2025, titled ""Suzlon and Yanara extend partnership with 306 MW Wind Turbine Orders in Rajasthan""."
12-Dec-2025 18:32:32,General Updates,"Suzlon Energy Limited has informed the Exchange about Proceedings and Voting Results of the meeting of the Unsecured Creditors of Suzlon Energy Limited held on Friday, 12th December 2025"
12-Dec-2025 18:29:02,Shareholders meeting,"Suzlon Energy Limited has informed the Exchange regarding Proceedings of Court Convened General Meeting held on December 12, 2025. Further, the company has submitted the Exchange a copy of Srutinizers"
11-Dec-2025 18:06:08,General Updates,Suzlon Energy Limited has informed the Exchange about General Updates
05-Dec-2025 15:56:32,General Updates,Suzlon Energy Limited has informed the Exchange about General Updates
05-Dec-2025 14:56:23,ESOP/ESOS/ESPS,Suzlon Energy Limited has informed the Exchange regarding Allotment of 590000  Shares.
04-Dec-2025 21:02:15,General Updates,Suzlon Energy Limited has informed the Exchange about General Updates
01-Dec-2025 16:15:31,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
01-Dec-2025 16:12:24,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
12-Nov-2025 17:50:31,ESOP/ESOS/ESPS,Suzlon Energy Limited has informed the Exchange regarding Allotment of 1925750  Shares.
11-Nov-2025 20:00:41,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Transcript
11-Nov-2025 15:09:39,General Updates,Suzlon Energy Limited has informed the Exchange about General Updates
09-Nov-2025 12:41:47,Copy of Newspaper Publication,Suzlon Energy Limited has informed the Exchange about Copy of Newspaper Publication
08-Nov-2025 17:27:16,Shareholders meeting,"Suzlon Energy Limited has informed the Exchange regarding Notice of Court Covened General Meeting to be held on December 12, 2025"
04-Nov-2025 21:00:34,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Link of Recording
04-Nov-2025 10:52:57,Outcome of Board Meeting,Outcome of the Board Meeting dated 4th November 2025
30-Oct-2025 17:27:20,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
29-Oct-2025 09:53:50,Appointment,"Suzlon Energy Limited has informed the Exchange regarding Appointment of Mr Rahul Jain as Chief Financial Officer of the company w.e.f. December 15, 2025."
29-Oct-2025 09:50:46,Outcome of Board Meeting,"Suzlon Energy Limited has informed the Exchange regarding  Board meeting held on October 29, 2025."
28-Oct-2025 18:27:02,Rumour Verification - Regulation 30(11),Suzlon Energy Limited has informed the Exchange about Rumour Verification - Regulation 30(11)
28-Oct-2025 18:02:44,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
28-Oct-2025 18:01:01,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
28-Oct-2025 17:58:28,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
11-Oct-2025 11:35:08,ESOP/ESOS/ESPS,Suzlon Energy Limited has informed the Exchange regarding Allotment of 1248000  Shares.
08-Oct-2025 15:56:20,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Suzlon Energy Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
27-Sep-2025 17:59:05,Cessation,"Suzlon Energy Limited has informed the Exchange regarding Cessation of Mr Per Hornung Pedersen as Independent Director of the company w.e.f. September 28, 2025."
26-Sep-2025 15:16:57,Trading Window,"Suzlon Energy Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Sep-2025 18:11:35,Shareholders meeting,"Suzlon Energy Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on September 25, 2025. Further, the company has submitted the Exchange a copy of Srutinizers report"
18-Sep-2025 20:29:34,General Updates,Suzlon Energy Limited has informed the Exchange about General Updates
16-Sep-2025 09:13:14,Press Release,"Suzlon Energy Limited has informed the Exchange regarding a press release dated September 16, 2025, titled ""Suzlon wins its FY26 largest order of 838 MW from Tata Power Renewable Energy""."
10-Sep-2025 13:10:49,ESOP/ESOS/ESPS,Suzlon Energy Limited has informed the Exchange regarding Allotment of 2237250  Shares.
07-Sep-2025 16:36:38,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
07-Sep-2025 16:35:09,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
07-Sep-2025 16:33:31,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
07-Sep-2025 16:32:07,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
07-Sep-2025 16:30:33,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
07-Sep-2025 16:28:48,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
07-Sep-2025 16:26:59,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
07-Sep-2025 16:25:17,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
07-Sep-2025 16:22:54,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
07-Sep-2025 16:20:44,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
29-Aug-2025 21:37:08,Shareholders meeting,"Suzlon Energy Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on September 25, 2025"
22-Aug-2025 17:54:06,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Schedule of meet
20-Aug-2025 14:26:53,Analysts/Institutional Investor Meet/Con. Call Updates,Suzlon Energy Limited has informed the Exchange about Transcript
18-Aug-2025 21:25:58,Rumour Verification - Regulation 30(11),Suzlon Energy Limited has informed the Exchange about Rumour Verification - Regulation 30(11)
