date,desc,text
10-Jul-2026 18:10:40,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Syngene International Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
08-Jul-2026 19:08:29,Resignation of Statutory Auditor,Syngene International Limited has informed the Exchange about Resignation of Statutory Auditor
08-Jul-2026 18:43:14,Resignation,"Syngene International Limited has informed the Exchange regarding Resignation of M/s B S R & Co. LLP, Statutory Auditor of material subsidiary of the company w.e.f. July 07, 2026."
07-Jul-2026 17:31:11,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Syngene International Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
03-Jul-2026 17:18:01,Updates,Syngene International Limited has informed the Exchange regarding 'Intimation of Resignation letter of Mr. Peter Bains in terms of Regulation 30 of the SEBI (Listing Obligations and Disclosure Require
03-Jul-2026 16:47:43,Copy of Newspaper Publication,Syngene International Limited has informed the Exchange about Copy of Newspaper Publication
02-Jul-2026 17:57:15,Shareholders meeting,"Syngene International Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 29, 2026"
01-Jul-2026 17:34:07,Press Release,"Syngene International Limited has informed the Exchange regarding a press release dated July 01, 2026, titled ""Siddharth Mittal Appointed as Managing Director & CEO of Syngene International""."
29-Jun-2026 21:07:31,Copy of Newspaper Publication,Syngene International Limited has informed the Exchange about Copy of Newspaper Publication
25-Jun-2026 16:57:42,Trading Window,"Syngene International Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
24-Jun-2026 17:41:24,General Updates,Syngene International Limited has informed the Exchange about Email communication sent to Shareholders - TDS on Final Dividend
19-Jun-2026 21:32:13,Shareholders meeting,"Syngene International Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
16-Jun-2026 17:08:51,Analysts/Institutional Investor Meet/Con. Call Updates,Syngene International Limited has informed the Exchange about Schedule of meet
05-Jun-2026 17:54:42,Analysts/Institutional Investor Meet/Con. Call Updates,"Syngene International Limited has informed the Exchange about Schedule of meet on June 10, 2026 and June 11, 2026."
22-May-2026 16:04:27,Copy of Newspaper Publication,Syngene International Limited has informed the Exchange about Copy of Newspaper Publication
21-May-2026 17:54:01,General Updates,Syngene International Limited has informed the Exchange about reminder letter to the Shareholders for claiming Unclaimed Dividends and updation of KYC Information.
21-May-2026 15:17:01,Copy of Newspaper Publication,Syngene International Limited has informed the Exchange about Copy of Newspaper Publication
20-May-2026 21:57:14,Shareholders meeting,Syngene International Limited has informed the Exchange regarding Notice of Postal Ballot
18-May-2026 22:43:23,Outcome of Board Meeting,"Syngene International Limited has informed the Exchange regarding Outcome of Board Meeting held on May 18, 2026, regarding Voluntary liquidation of Syngene Manufacturing Solutions Limited, a Wholly Ow"
04-May-2026 21:35:54,Analysts/Institutional Investor Meet/Con. Call Updates,Syngene International Limited has informed the Exchange about Transcript
01-May-2026 14:35:23,Copy of Newspaper Publication,Syngene International Limited has informed the Exchange about Copy of Newspaper Publication
30-Apr-2026 17:20:50,Analysts/Institutional Investor Meet/Con. Call Updates,Syngene International Limited has informed the Exchange about Link of Recording
30-Apr-2026 13:15:28,Investor Presentation,Syngene International Limited has informed the Exchange about Investor Presentation
29-Apr-2026 21:34:44,Record Date,Syngene International Limited has informed the Exchange that Record date for the purpose of Dividend  is 26-Jun-2026.
29-Apr-2026 19:08:04,General Updates,Syngene International Limited has informed the Exchange regarding 'Intimation of change in Key Managerial Personnel (KMP) to determine materiality of an event or information'.
29-Apr-2026 19:05:49,Allotment of Securities,"Syngene International Limited has informed the Exchange regarding allotment of 729727  securities pursuant to ESOP/ESPS at its meeting held on April 29, 2026"
29-Apr-2026 18:57:33,Change in Auditors,Syngene International Limited has informed the Exchange regarding Change in Auditors of the company.
29-Apr-2026 18:53:54,Change in Management,Syngene International Limited has informed the Exchange about change in Management
29-Apr-2026 18:50:03,Press Release,"Syngene International Limited has informed the Exchange regarding a press release dated April 29, 2026, titled ""Full-year revenue from operations up 3% to Rs. 3,739 Cr; Fourth quarter revenue from ope"
29-Apr-2026 18:45:03,Dividend,"Syngene International Limited has informed the Exchange that Board of Directors at its meeting held on April 29, 2026, recommended Final Dividend of Rs. 1.25 per equity share."
29-Apr-2026 18:35:34,Outcome of Board Meeting,"Syngene International Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
23-Apr-2026 14:29:07,Disclosure under SEBI Takeover Regulations,"Biocon Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 20"
22-Apr-2026 17:52:37,Analysts/Institutional Investor Meet/Con. Call Updates,Syngene International Limited has informed the Exchange about Schedule of meet
08-Apr-2026 18:58:18,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Syngene International Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
29-Mar-2026 13:52:04,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Syngene International Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
27-Mar-2026 18:54:48,Change in Management,Syngene International Limited has informed the Exchange about change in Management
27-Mar-2026 16:17:58,Trading Window,"Syngene International Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
16-Mar-2026 17:15:29,Analysts/Institutional Investor Meet/Con. Call Updates,Syngene International Limited has informed the Exchange about Schedule of meet
14-Mar-2026 18:53:07,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Syngene International Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
13-Mar-2026 15:38:45,Analysts/Institutional Investor Meet/Con. Call Updates,Syngene International Limited has informed the Exchange about Schedule of meet
11-Mar-2026 18:42:25,Analysts/Institutional Investor Meet/Con. Call Updates,Syngene International Limited has informed the Exchange about Schedule of meet
06-Mar-2026 16:04:55,Change in Management,Syngene International Limited has informed the Exchange about change in Management
20-Feb-2026 16:23:32,Analysts/Institutional Investor Meet/Con. Call Updates,Syngene International Limited has informed the Exchange about Schedule of meet
18-Feb-2026 16:50:06,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Syngene International Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
17-Feb-2026 17:47:48,Analysts/Institutional Investor Meet/Con. Call Updates,Syngene International Limited has informed the Exchange about Schedule of meet
14-Feb-2026 21:17:31,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Syngene International Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
14-Feb-2026 21:14:58,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Syngene International Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
14-Feb-2026 21:11:50,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,Syngene International Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
06-Feb-2026 18:50:49,Analysts/Institutional Investor Meet/Con. Call Updates,Syngene International Limited has informed the Exchange about Schedule of meet
30-Jan-2026 17:58:30,Analysts/Institutional Investor Meet/Con. Call Updates,Syngene International Limited has informed the Exchange about Schedule of meet
29-Jan-2026 17:50:48,Analysts/Institutional Investor Meet/Con. Call Updates,Syngene International Limited has informed the Exchange about Transcript
29-Jan-2026 17:44:23,Analysts/Institutional Investor Meet/Con. Call Updates,Syngene International Limited has informed the Exchange about Schedule of meet
28-Jan-2026 18:58:12,Analysts/Institutional Investor Meet/Con. Call Updates,Syngene International Limited has informed the Exchange about Schedule of meet
24-Jan-2026 21:43:58,Copy of Newspaper Publication,Syngene International Limited has informed the Exchange about Copy of Newspaper Publication
23-Jan-2026 17:12:59,Analysts/Institutional Investor Meet/Con. Call Updates,Syngene International Limited has informed the Exchange about Link of Recording
23-Jan-2026 12:24:43,Investor Presentation,Syngene International Limited has informed the Exchange about Investor Presentation
22-Jan-2026 19:13:29,Updates,Syngene International Limited has informed the Exchange regarding 'Board comments on fine levied by the Exchanges'.
22-Jan-2026 19:05:16,Updates,Syngene International Limited has informed the Exchange regarding 'Intimation of amendment of  Code of Practices and Procedures for Fair Disclosure of Unpublished Price Sensitive Information (UPSI)  o
