date,desc,text
30-Jun-2026 14:27:32,Bagging/Receiving of orders/contracts,Transformers And Rectifiers (India) Limited has informed the Exchange about Bagging/Receiving of orders/contracts
26-Jun-2026 15:36:34,Trading Window,"Transformers And Rectifiers (India) Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
12-Jun-2026 19:30:05,Disclosure under SEBI Takeover Regulations,Jitendra U. Mamtora has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulation
23-May-2026 11:30:50,Shareholders meeting,"Transformers And Rectifiers (India) Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
22-May-2026 08:56:40,Bagging/Receiving of orders/contracts,Transformers And Rectifiers (India) Limited has informed the Exchange about Bagging/Receiving of orders/contracts
19-May-2026 11:53:44,Bagging/Receiving of orders/contracts,Transformers And Rectifiers (India) Limited has informed the Exchange about Bagging/Receiving of orders/contracts
27-Apr-2026 09:12:06,Analysts/Institutional Investor Meet/Con. Call Updates,Transformers And Rectifiers (India) Limited has informed the Exchange about Transcript
27-Apr-2026 09:03:01,Bagging/Receiving of orders/contracts,Transformers And Rectifiers (India) Limited has informed the Exchange about Bagging/Receiving of orders/contracts of Export Order
23-Apr-2026 19:37:44,Copy of Newspaper Publication,Transformers And Rectifiers (India) Limited has informed the Exchange about Copy of Newspaper Publication - Postal Ballot
22-Apr-2026 17:15:48,Copy of Newspaper Publication,"Transformers And Rectifiers (India) Limited has informed the Exchange about Copy of Newspaper publication of Financial Results for the quarter and financial year ended 31st March, 2026"
22-Apr-2026 16:15:22,Shareholders meeting,Transformers And Rectifiers (India) Limited has informed the Exchange regarding Notice of Postal Ballot
22-Apr-2026 12:37:49,Shareholders meeting,Transformers And Rectifiers (India) Limited has informed the Exchange regarding Notice of Postal Ballot
22-Apr-2026 10:30:50,Press Release,"Transformers And Rectifiers (India) Limited has informed the Exchange regarding a press release dated April 21, 2026, titled ""Press Release""."
21-Apr-2026 17:48:51,Analysts/Institutional Investor Meet/Con. Call Updates,Transformers And Rectifiers (India) Limited has informed the Exchange about Link of Recording
21-Apr-2026 16:20:04,Monitoring Agency Report,"Monitoring Agency Report for the quarter ended 31st March, 2026"
21-Apr-2026 16:04:21,Investor Presentation,Transformers And Rectifiers (India) Limited has informed the Exchange about Investor Presentation
21-Apr-2026 15:58:18,Dividend,"Transformers And Rectifiers (India) Limited has informed the Exchange that Board of Directors at its meeting held on April 21, 2026, recommended Final Dividend of Rs. 0.25 per equity share."
21-Apr-2026 15:58:18,Outcome of Board Meeting,"Outcome of Board Meeting held on 21st April, 2026 and submission of Audited Standalone and Consolidated Financial Results of the Company for the quarter and financial year ended 31st March, 2026: Disc"
18-Apr-2026 23:15:32,Analysts/Institutional Investor Meet/Con. Call Updates,Transformers And Rectifiers (India) Limited has informed the Exchange about Schedule of meet
04-Apr-2026 12:00:08,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Transformers And Rectifiers (India) Limited has informed the Exchange about Certificate under Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018 for the quarter ended 31st Marc"
