date,desc,text
10-Jul-2026 17:54:53,Copy of Newspaper Publication,Tata Elxsi Limited has informed the Exchange about Copy of Newspaper Publication.
08-Jul-2026 17:11:16,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Tata Elxsi Limited has informed the Exchange about Certificate under Regulation 74(5) of the SEBI (Depositories and Participants) Regulations, 2018"
06-Jul-2026 18:53:21,Analysts/Institutional Investor Meet/Con. Call Updates,Tata Elxsi Limited has informed the Exchange about Schedule of meet
01-Jul-2026 16:13:14,Updates,Tata Elxsi Limited has informed the Exchange regarding 'Allotment of Equity Shares'.
29-Jun-2026 17:43:36,Updates,"Tata Elxsi Limited has informed the Exchange regarding 'Disclosure under Regulation 30 of SEBI LODR Regulations, 2015'."
24-Jun-2026 18:40:38,Shareholders meeting,"Tata Elxsi Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on Jun 24, 2026. Further, the company has informed the Exchange regarding voting results."
24-Jun-2026 16:48:58,Shareholders meeting,"Tata Elxsi Limited has informed the Exchange regarding Proceedings of 37th Annual General Meeting held on Jun 24, 2026"
24-Jun-2026 15:02:12,Press Release,"Tata Elxsi Limited has informed the Exchange regarding a press release dated Jun 24, 2026, titled ""Tata Elxsi and Sky Mark a Major Milestone in AI-led Autonomous Network Transformation with NEURON.""."
19-Jun-2026 18:10:32,Trading Window,"Tata Elxsi Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
16-Jun-2026 17:54:59,Updates,"Tata Elxsi Limited has informed the Exchange regarding 'Intimation letter sent to the Shareholders holding shares in physical form regarding furnishing of their PAN, KYC, Nomination and Bank details a"
02-Jun-2026 17:22:54,Copy of Newspaper Publication,Tata Elxsi Limited has informed the Exchange about publication of newspaper advertisement intimating to the shareholders regarding the 37th Annual General Meeting (AGM) of the Company scheduled to be 
01-Jun-2026 18:34:46,Updates,Tata Elxsi Limited has informed the Exchange regarding ' Announcement Under Regulation 30 - Letter Sent To Shareholders Of The Company'.
01-Jun-2026 17:03:30,Updates,Tata Elxsi Limited has informed the Exchange regarding 'Business Responsibility and Sustainability Report for FY 2025-26'.
01-Jun-2026 16:30:24,Shareholders meeting,"Tata Elxsi Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on Jun 24, 2026 along with Integrated Annual Report for financial year 2025-26"
01-Jun-2026 16:12:10,Record Date,Tata Elxsi Limited has informed the Exchange that Record date for the purpose of Dividend  is 10-Jun-2026.
01-Jun-2026 16:05:36,Updates,Tata Elxsi Limited has informed the Exchange regarding 'Intimation of the 37th Annual General Meeting and Record Date for payment of Dividend'.
30-May-2026 10:32:04,Updates,"Tata Elxsi Limited has informed the Exchange regarding 'Disclosure under Regulation 30 of the SEBI (LODR) Regulations, 2015   Authorization of Key Managerial Personnel to Determine Materiality of Even"
27-May-2026 16:14:36,Press Release,"Tata Elxsi Limited has informed the Exchange regarding a press release dated May 27, 2026, titled ""Please find enclosed the Press Release dated May 27, 2026, titled  Tata Elxsi Launches AnaTel , an AI"
26-May-2026 16:19:25,Press Release,"Tata Elxsi Limited has informed the Exchange regarding a press release dated May 26, 2026, titled ""Please find enclosed the Press Release dated May 26, 2026, titled  Tata Elxsi Launches ViTel , a Mate"
19-May-2026 19:35:26,General Updates,"Please find enclosed specimen of the e-mail communication sent to the shareholders whose email addresses are registered, relating to the deduction of applicable tax at source from dividend to be paid "
12-May-2026 15:26:25,Copy of Newspaper Publication,Tata Elxsi Limited has informed the Exchange about Copy of Newspaper Publication regarding Notice to the shareholders on proposed transfer of equity shares to IEPF.
09-May-2026 20:26:09,Updates,"Tata Elxsi Limited has informed the Exchange regarding 'Disclosure under Regulation 30 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015'."
27-Apr-2026 09:00:59,Resignation of Director/KMP/SMP,Tata Elxsi Limited has informed the Exchange about Resignation of Director/KMP/SMP
27-Apr-2026 08:50:49,Change in Management,Tata Elxsi Limited has informed the Exchange about change in Management
24-Apr-2026 18:02:07,Analysts/Institutional Investor Meet/Con. Call Updates,Tata Elxsi Limited has informed the Exchange about Transcript
24-Apr-2026 14:36:54,Press Release,"Tata Elxsi Limited has informed the Exchange regarding a press release dated April 24, 2026, titled ""JSW Motors and Tata Elxsi Form Strategic Partnership to Power Next-generation Connected & Software-"
