date,desc,text
07-Jul-2026 15:12:52,General Updates,Tata Investment Corporation Limited has informed the Exchange about ESG Rating Update.
01-Jul-2026 16:51:11,Shareholders meeting,"TATAINVEST: Tata Investment Corporation Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on July 1, 2026. Further, the company has submitted the Exchange a copy o"
19-Jun-2026 16:24:32,Trading Window,"Tata Investment Corporation Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
19-Jun-2026 16:02:40,Copy of Newspaper Publication,Tata Investment Corporation Limited has informed the Exchange about Copy of Newspaper Publication
05-Jun-2026 11:57:30,Copy of Newspaper Publication,Tata Investment Corporation Limited has informed the Exchange about Copy of Newspaper Publication
04-Jun-2026 17:32:04,Updates,"Tata Investment Corporation Limited has informed the Exchange regarding 'Pursuant to Regulation 36(1)(b) of the SEBI Listing Regulations, the Company has sent a letter to the shareholders providing we"
04-Jun-2026 16:55:31,Updates,Tata Investment Corporation Limited has informed the Exchange regarding 'Business Responsibility and Sustainability Report for the Financial Year 2025-26'.
04-Jun-2026 16:41:56,Shareholders meeting,"Tata Investment Corporation Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 01, 2026"
26-May-2026 18:07:55,General Updates,Tata Investment Corporation Limited has informed the Exchange about Intimation to the holders of physical securities to furnish KYC Details and to claim shares from Suspense andEscrow Demat Account (S
19-May-2026 12:18:32,Copy of Newspaper Publication,Tata Investment Corporation Limited has informed the Exchange about Copy of Newspaper Publication
12-May-2026 17:48:24,Updates,Tata Investment Corporation Limited has informed the Exchange regarding 'Communication To Shareholders - Intimation on Tax Deduction on Dividend'.
08-May-2026 16:57:30,Record Date,Tata Investment Corporation Limited has informed the Exchange that Record date for the purpose of Dividend  is 10-Jun-2026.
08-May-2026 16:46:00,Updates,Tata Investment Corporation Limited has informed the Exchange regarding 'Date of Payment of Final Dividend'.
08-May-2026 16:34:49,Updates,Tata Investment Corporation Limited has informed the Exchange regarding 'Date of Annual General Meeting of the Company and Intimation of Record Date pursuant to Regulation 42 of the SEBI (Listing Obli
23-Apr-2026 16:44:37,Copy of Newspaper Publication,Tata Investment Corporation Limited has informed the Exchange about Copy of Newspaper Publication
22-Apr-2026 12:17:35,Copy of Newspaper Publication,Tata Investment Corporation Limited has informed the Exchange about Copy of Newspaper Publication
21-Apr-2026 20:29:45,Change in Management,Tata Investment Corporation Limited has informed the Exchange about re-appointment of Mr. Jamshed Patel as Chief Compliance Officer of the Company.
21-Apr-2026 20:25:34,Dividend,"Tata Investment Corporation Limited has informed the Exchange that Board of Directors at its meeting held on April 21, 2026, recommended Final Dividend of Rs. 3.4 per equity share."
21-Apr-2026 20:23:46,Outcome of Board Meeting,"Tata Investment Corporation Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
16-Apr-2026 15:19:00,Copy of Newspaper Publication,Tata Investment Corporation Limited has informed the Exchange about Copy of Newspaper Publication
