date,desc,text
09-Jul-2026 16:30:24,"Certificate under SEBI (Depositories and Participants) Regulations, 2018",Please find enclosed the certificate.
29-Jun-2026 14:48:13,Trading Window,"TBO Tek Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
28-Jun-2026 23:24:37,General Updates,Please find enclosed the Investor Presentation.
22-Jun-2026 15:56:35,Disclosure under SEBI Takeover Regulations,"Manish Dhingra has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 20"
17-Jun-2026 15:33:12,Disclosure under SEBI Takeover Regulations,"Ankush Nijhawan has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2"
17-Jun-2026 12:48:34,Disclosure under SEBI Takeover Regulations,LAP Travel Private Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Reg
12-Jun-2026 11:02:29,Disclosure under SEBI Takeover Regulations,"Arjun Nijhawan has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 20"
11-Jun-2026 16:23:35,General Updates,TBO Tek Limited has informed the Exchange regarding the name change of Wholly Owned Subsidiary.
04-Jun-2026 17:16:51,Analysts/Institutional Investor Meet/Con. Call Updates,TBO Tek Limited has informed the Exchange regarding the Transcript of Investors Earnings Conference Call.
02-Jun-2026 00:15:47,General Updates,Please find enclosed the Investor Presentation.
30-May-2026 12:53:34,Analysts/Institutional Investor Meet/Con. Call Updates,TBO Tek Limited has informed the Exchange about Schedule of the Investor meet.
29-May-2026 18:38:17,Analysts/Institutional Investor Meet/Con. Call Updates,TBO Tek Limited has informed the Exchange regarding the audio recording of the Investor Earnings Conference Call.
29-May-2026 12:18:52,Copy of Newspaper Publication,"TBO Tek Limited has informed the Exchange regarding the Newspaper advertisement for Financial Results for the quarter and financial year ended March 31, 2026."
28-May-2026 19:51:18,Statement of deviation(s) or variation(s) under Reg. 32,TBO Tek Limited has informed the Exchange about statement of deviation(s) or variation(s) under Reg. 32
28-May-2026 19:33:36,Updates,TBO Tek Limited has informed the Exchange regarding the Shareholder's Letter.
28-May-2026 18:49:07,Press Release,TBO Tek Limited has informed the Exchange regarding a press release on Financial Results.
28-May-2026 18:42:29,Change in Director(s),TBO Tek Limited has informed the Exchange regarding Change in Director(s) of the company.
28-May-2026 18:42:29,Change in Management,TBO Tek Limited has informed the Exchange regarding the appointment of Internal Auditors for Financial Year 2026-27.
28-May-2026 18:37:02,Outcome of Board Meeting,"TBO Tek Limited has submitted to the Exchange, Outcome of the Board Meeting dated May 28, 2026."
25-May-2026 13:57:47,Analysts/Institutional Investor Meet/Con. Call Updates,"Schedule of Earnings Conference Call for Investors and Analysts on the Financial Results of the Company for the quarter and Financial Year ended March 31, 2026."
14-May-2026 14:03:32,Monitoring Agency Report,"Please find enclosed the Monitoring Agency Report for the quarter ended March 31, 2026."
01-May-2026 16:35:51,Cessation,"TBO Tek Limited has informed the Exchange regarding Cessation of Mr Deepak Khanna a member of senior management w.e.f. April 30, 2026."
