date,desc,text
03-Jul-2026 14:50:47,Disclosure under SEBI Takeover Regulations,Techno Electric & Engineering Company Limited has Submitted to the Exchange a copy of Disclosure under Regulation 10 (5) of the Securities and Exchange Board of India (Substantial Acquisition of Share
02-Jul-2026 17:56:31,General Updates,Techno Electric & Engineering Company Limited has informed the Exchange about General Updates
26-Jun-2026 11:30:06,Trading Window,"Techno Electric & Engineering Company Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
28-May-2026 17:36:04,General Updates,Techno Electric & Engineering Company Limited has informed the Exchange about General Updates
26-May-2026 21:09:30,Analysts/Institutional Investor Meet/Con. Call Updates,Techno Electric & Engineering Company Limited has informed the Exchange about Transcript and Link of Recording
26-May-2026 12:22:37,Copy of Newspaper Publication,Techno Electric & Engineering Company Limited has informed the Exchange about Copy of Newspaper Publication
25-May-2026 20:49:55,General Updates,Techno Electric & Engineering Company Limited has informed the Exchange about General Updates
25-May-2026 20:48:35,Outcome of Board Meeting,"Techno Electric & Engineering Company Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
25-May-2026 18:05:28,Monitoring Agency Report,Monitoring Agency Report
21-May-2026 11:42:32,Analysts/Institutional Investor Meet/Con. Call Updates,Techno Electric & Engineering Company Limited has informed the Exchange about Schedule of meet
10-Apr-2026 12:25:50,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Techno Electric & Engineering Company Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
10-Apr-2026 11:16:28,Disclosure under SEBI Takeover Regulations,Techno Electric & Engineering Company Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares
08-Apr-2026 18:46:37,Disclosure under SEBI Takeover Regulations, PADAM PRAKASH GUPTA has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulatio
08-Apr-2026 18:46:07,Disclosure under SEBI Takeover Regulations," Ankit Saraiya has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 20"
