date,desc,text
11-Jul-2026 18:03:57,Copy of Newspaper Publication,Tube Investments of India Limited has informed the Exchange about Copy of Newspaper Publication
10-Jul-2026 18:06:27,Shareholders meeting,"Tube Investments of India Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on August 14, 2026"
06-Jul-2026 15:24:01,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Tube Investments of India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
03-Jul-2026 17:31:07,Copy of Newspaper Publication,Tube Investments of India Limited has informed the Exchange about Copy of Newspaper Publication
01-Jul-2026 11:49:07,Disclosure under SEBI Takeover Regulations,Ambadi Investments Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) and 31 (5) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Tak
29-Jun-2026 13:30:50,Change in Management,Tube Investments of India Limited has informed the Exchange about Change in Senior Management Personnel
29-Jun-2026 13:28:24,Change in Auditors,Tube Investments of India Limited has informed the Exchange regarding Change in Auditors of the company.
29-Jun-2026 13:26:12,Outcome of Board Meeting,"Tube Investments of India Limited has informed the Exchange regarding Outcome of Board Meeting held on Jun 29, 2026."
29-Jun-2026 13:24:41,Outcome of Board Meeting,"Tube Investments of India Limited has informed the Exchange regarding Outcome of Board Meeting held on Jun 29, 2026."
26-Jun-2026 16:50:42,Trading Window,"Tube Investments of India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
24-Jun-2026 11:59:04,Analysts/Institutional Investor Meet/Con. Call Updates,Tube Investments of India Limited has informed the Exchange about Schedule of meet
22-Jun-2026 13:43:04,Allotment of Securities,"Tube Investments of India Limited has informed the Exchange regarding allotment of 6030 securities pursuant to ESOP/ESPS at its meeting held on Jun 22, 2026"
15-Jun-2026 15:16:12,Disclosure under SEBI Takeover Regulations,Ambadi Investments Ltd has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulat
