date,desc,text
09-Jul-2026 16:29:34,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","United Breweries Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
09-Jul-2026 16:26:49,General Updates,United Breweries Limited has informed the Exchange about General Updates
02-Jul-2026 16:45:43,Action(s) taken or orders passed,United Breweries Limited has informed the Exchange about Action(s) taken or orders passed
29-Jun-2026 19:12:25,Updates,United Breweries Limited has informed the Exchange regarding 'Communication to Members of the Company - Transfer of Shares to Investor Education and Protection Fund'.
27-Jun-2026 14:54:38,Trading Window,"United Breweries Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
23-Jun-2026 18:29:46,Disclosure under SEBI Takeover Regulations,Heineken UK Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulation
23-Jun-2026 11:04:20,Copy of Newspaper Publication,United Breweries Limited has informed the Exchange about Copy of Newspaper Publication
22-Jun-2026 15:31:34,Disclosure under SEBI Takeover Regulations,Scottish and Newcastle India Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Take
08-Jun-2026 14:35:41,Copy of Newspaper Publication,United Breweries Limited has informed the Exchange about Copy of Newspaper Publication
01-Jun-2026 13:08:15,Copy of Newspaper Publication,United Breweries Limited has informed the Exchange about Copy of Newspaper Publication
25-May-2026 13:39:25,Copy of Newspaper Publication,United Breweries Limited has informed the Exchange about Copy of Newspaper Publication
19-May-2026 18:27:33,Product launch,United Breweries Limited has informed the Exchange about Product launch
18-May-2026 11:53:10,Updates,United Breweries Limited has informed the Exchange regarding 'Closure of Operations of Ludhiana Brewery/Unit'.
12-May-2026 17:36:37,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,United Breweries Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
11-May-2026 11:02:16,Analysts/Institutional Investor Meet/Con. Call Updates,United Breweries Limited has informed the Exchange about Transcript
07-May-2026 17:30:15,Copy of Newspaper Publication,United Breweries Limited has informed the Exchange about Copy of Newspaper Publication
07-May-2026 17:20:04,Product launch,United Breweries Limited has informed the Exchange about Product launch
07-May-2026 12:18:31,Updates,United Breweries Limited has informed the Exchange regarding 'Update'.
07-May-2026 07:18:15,Analysts/Institutional Investor Meet/Con. Call Updates,United Breweries Limited has informed the Exchange about Link of Recording
05-May-2026 22:20:17,Investor Presentation,United Breweries Limited has informed the Exchange about Investor Presentation
05-May-2026 21:20:26,Change in Auditors,United Breweries Limited has informed the Exchange regarding Change in Auditors of the company.
05-May-2026 21:06:34,Record Date,United Breweries Limited has informed the Exchange that Record date for the purpose of Dividend  is 07-Aug-2026.
05-May-2026 20:51:31,Appointment,"United Breweries Limited has informed the Exchange regarding Appointment of  Ms Parul Malhotra as Other of the company w.e.f. July 01, 2026."
05-May-2026 20:41:09,Dividend,"United Breweries Limited has informed the Exchange that Board of Directors at its meeting held on May 05, 2026, recommended Final Dividend of Rs. 10 per equity share."
05-May-2026 20:29:52,Outcome of Board Meeting,"United Breweries Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
27-Apr-2026 16:08:48,Analysts/Institutional Investor Meet/Con. Call Updates,United Breweries Limited has informed the Exchange about Schedule of meet
25-Apr-2026 14:05:59,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,United Breweries Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
25-Apr-2026 12:52:43,Copy of Newspaper Publication,United Breweries Limited has informed the Exchange about Copy of Newspaper Publication
23-Apr-2026 18:18:23,Updates,United Breweries Limited has informed the Exchange regarding 'Media Release'.
20-Apr-2026 14:03:49,Change in Management,United Breweries Limited has informed the Exchange about change in Management
09-Apr-2026 16:46:22,Disclosure under SEBI Takeover Regulations,Heineken International B.V has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Reg
08-Apr-2026 11:53:12,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","United Breweries Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
02-Apr-2026 13:08:38,Change in Management,United Breweries Limited has informed the Exchange about change in Management
02-Apr-2026 12:44:29,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,United Breweries Limited has informed the Exchange about Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company
