date,desc,text
09-Jul-2026 19:50:09,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","USHAMART: Usha Martin Limited has informed the Exchange about Certificate under Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018."
06-Jul-2026 13:21:38,Disclosure under SEBI Takeover Regulations,Usha Martin Ventures Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) R
30-Jun-2026 16:16:22,Disclosure under SEBI Takeover Regulations, Usha Martin Ventures Ltd has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regu
26-Jun-2026 14:44:18,Trading Window,"Usha Martin Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
03-Jun-2026 12:26:48,Copy of Newspaper Publication,"USHAMART: Usha Martin Limited has informed the Exchange about Copy of Newspaper Publication with respect to ""Saksham Niveshak- Second 100 Day Campaign"" and ""Special Window for Transfer and Demateriali"
02-Jun-2026 15:56:18,Disclosure under SEBI Takeover Regulations,"Rajeev Jhawar has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 201"
27-May-2026 22:16:47,Spurt in Volume,"Significant increase in volume has been observed in Usha Martin Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market pla"
27-May-2026 19:30:40,Spurt in Volume,"Significant increase in volume has been observed in Usha Martin Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market pla"
26-May-2026 11:03:52,Change in Auditors,Usha Martin Limited has informed the Exchange regarding Change in Auditors of the company.
26-May-2026 11:02:32,Change in Management,USHAMART: Usha Martin Limited has informed the Exchange about change in Management.
22-May-2026 16:03:54,Analysts/Institutional Investor Meet/Con. Call Updates,Usha Martin Limited has informed the Exchange about Schedule of meet
08-May-2026 14:41:22,Analysts/Institutional Investor Meet/Con. Call Updates,Usha Martin Limited has informed the Exchange about Transcript
01-May-2026 13:08:21,Copy of Newspaper Publication,USHAMART: Usha Martin Limited has informed the Exchange about Copy of Newspaper Publication with respect to the audited financial results (standalone and consolidated) for the quarter and year ended 3
30-Apr-2026 22:12:59,Analysts/Institutional Investor Meet/Con. Call Updates,Usha Martin Limited has informed the Exchange about Link of Recording
30-Apr-2026 14:27:32,Investor Presentation,Usha Martin Limited has informed the Exchange about Investor Presentation
30-Apr-2026 14:24:42,Press Release,"Usha Martin Limited has informed the Exchange regarding a press release dated April 30, 2026, titled ""Usha Martin Ltd. announces Q4 & FY26 Results""."
30-Apr-2026 13:37:31,Dividend,"Usha Martin Limited has informed the Exchange that Board of Directors at its meeting held on April 30, 2026, recommended Final Dividend of Rs. 3.75 per equity share."
30-Apr-2026 13:34:13,Change in Auditors,Usha Martin Limited has informed the Exchange regarding Change in Auditors of the company.
30-Apr-2026 13:31:52,Outcome of Board Meeting,"Usha Martin Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
23-Apr-2026 21:23:58,Analysts/Institutional Investor Meet/Con. Call Updates,USHAMART: Usha Martin Limited has informed the Exchange about Schedule of meet.
06-Apr-2026 20:35:16,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","USHAMART: Usha Martin Limited has informed the Exchange about Certificate under Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018."
25-Mar-2026 17:58:25,Trading Window,"Usha Martin Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
26-Feb-2026 10:15:47,Spurt in Volume,"Significant increase in volume has been observed in Usha Martin Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market pla"
25-Feb-2026 18:43:46,Spurt in Volume,"Significant increase in volume has been observed in Usha Martin Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market pla"
25-Feb-2026 14:02:44,General Updates,"USHAMART: Pursuant to Regulation 30 of the SEBI (LODR) Regulations, 2015 and in continuation of the disclosure made by the Company on 14th October 2025, we hereby inform that, upon the Company''s requ"
17-Feb-2026 16:32:05,General Updates,USHAMART: Usha Martin Limited has informed the Exchange about ESG Rating assigned voluntarily by NSE Sustainability Ratings and Analytics Limited.
04-Feb-2026 18:46:21,Analysts/Institutional Investor Meet/Con. Call Updates,USHAMART: Usha Martin Limited has informed the Exchange about Transcript.
03-Feb-2026 19:38:30,Action(s) taken or orders passed,USHAMART: Usha Martin Limited has informed the Exchange about Cautionary Letter received from BSE.
30-Jan-2026 15:57:11,Analysts/Institutional Investor Meet/Con. Call Updates,USHAMART: Usha Martin Limited has informed the Exchange about Link of Recording.
30-Jan-2026 11:07:32,Copy of Newspaper Publication,USHAMART: Usha Martin Limited has informed the Exchange about Copy of Newspaper Publication with respect to the unaudited financial results (standalone and consolidated) for the quarter and nine month
29-Jan-2026 21:54:15,Press Release,"USHAMART: Usha Martin Limited has informed the Exchange regarding a press release dated January 29, 2026, titled ""USHA MARTIN LTD. ANNOUNCES Q3 FY26 RESULTS""."
29-Jan-2026 21:51:13,Investor Presentation,Usha Martin Limited has informed the Exchange about Investor Presentation
29-Jan-2026 17:44:24,Outcome of Board Meeting,"USHAMART: Usha Martin Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
22-Jan-2026 20:59:35,Analysts/Institutional Investor Meet/Con. Call Updates,USHAMART: Usha Martin Limited has informed the Exchange about Schedule of meet.
17-Jan-2026 11:01:32,General Updates,USHAMART: Usha Martin Limited has informed the Exchange about ESG Rating assigned voluntarily by CFC Finlease Private Limited.
03-Jan-2026 18:23:08,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","USHAMART: Usha Martin Limited has informed the Exchange about Certificate under Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018."
26-Dec-2025 16:54:48,Trading Window,"Usha Martin Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
23-Dec-2025 20:33:05,Sale or disposal,USHAMART: Usha Martin Limited has informed the Exchange about the Closure of a Step Down Wholly Owned Subsidiary.
29-Nov-2025 12:52:55,General Updates,USHAMART: Usha Martin Limited has informed the Exchange about ESG Rating assigned voluntarily by SES ESG Research Private Limited.
27-Nov-2025 16:45:42,Investor Presentation,Usha Martin Limited has informed the Exchange about Investor Presentation
14-Nov-2025 16:40:34,Analysts/Institutional Investor Meet/Con. Call Updates,Usha Martin Limited has informed the Exchange about Transcript
10-Nov-2025 18:50:00,Analysts/Institutional Investor Meet/Con. Call Updates,USHAMART: Usha Martin Limited has informed the Exchange about Link of Recording.
10-Nov-2025 16:34:37,Copy of Newspaper Publication,USHAMART: Usha Martin Limited has informed the Exchange about Copy of Newspaper Publication with respect to the unaudited financial results (standalone and consolidated) for the quarter and half year 
08-Nov-2025 21:28:32,Investor Presentation,Usha Martin Limited has informed the Exchange about Investor Presentation
08-Nov-2025 21:25:25,Press Release,"USHAMART: Usha Martin Limited has informed the Exchange regarding a press release dated November 08, 2025, titled ""Usha Martin Limited announces Q2 FY26 Results""."
08-Nov-2025 21:18:07,Updates,Usha Martin Limited has informed the Exchange regarding 'Submission of Supplemental trust deed of Usha Martin Limited Employee Welfare trust as per Regulation 3(3) of SEBI (Share Based Employee Benefi
08-Nov-2025 17:09:27,Outcome of Board Meeting,"Usha Martin Limited has submitted to the Exchange, the financial results for the period ended September 30, 2025."
08-Nov-2025 13:14:33,Shareholders meeting,"Usha Martin Limited has submitted the Exchange a copy Scrutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
07-Nov-2025 14:33:00,Giving guarantees/indemnity/ becoming a surety for third party,"USHAMART: Usha Martin Limited has informed the Exchange about release of Corporate Guarantee issued on behalf of Brunton Wire Ropes FZCo., UAE."
31-Oct-2025 18:39:59,Analysts/Institutional Investor Meet/Con. Call Updates,USHAMART: Usha Martin Limited has informed the Exchange about Schedule of meet.
16-Oct-2025 14:01:14,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","USHAMART: Usha Martin Limited has informed the Exchange about Certificate under Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018."
14-Oct-2025 11:44:51,General Updates,"USHAMART: Usha Martin Limited has informed the Exchange that the Company (Ranchi Site) has been accredited with  Bronze Medal  by EcoVadis, one of the most trusted sustainability rating providers glob"
09-Oct-2025 13:33:05,Copy of Newspaper Publication,Usha Martin Limited has informed the Exchange about Copy of Newspaper Publication with respect to completion of dispatch of Notice of Postal Ballot.
08-Oct-2025 15:24:37,Shareholders meeting,Usha Martin Limited has informed the Exchange regarding Notice of Postal Ballot
26-Sep-2025 19:40:29,Trading Window,"Usha Martin Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
16-Sep-2025 18:24:50,Spurt in Volume,"Significant increase in volume has been observed in Usha Martin Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market pla"
16-Sep-2025 17:41:03,Spurt in Volume,"Significant increase in volume has been observed in Usha Martin Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market pla"
06-Sep-2025 12:13:35,Copy of Newspaper Publication,"USHAMART: Usha Martin Limited has informed the Exchange about Copy of Newspaper Publication with respect to ""Saksham Niveshak Campaign"" and ""Special Window for re-lodgement of transfer requests of phy"
04-Sep-2025 18:39:33,Analysts/Institutional Investor Meet/Con. Call Updates,USHAMART: Usha Martin Limited has informed the Exchange about Schedule of meet.
21-Aug-2025 20:32:48,General Updates,"USHAMART: Usha Martin Limited has informed the Exchange that in furtherance to our earlier communications dated 5th August 2023 and 3rd November 2023, we would now like to inform you that the Company "
20-Aug-2025 23:11:41,Analysts/Institutional Investor Meet/Con. Call Updates,USHAMART: Usha Martin Limited has informed the Exchange about revised Transcript.
19-Aug-2025 19:17:53,Analysts/Institutional Investor Meet/Con. Call Updates,USHAMART: Usha Martin Limited has informed the Exchange about Transcript.
13-Aug-2025 19:10:02,Analysts/Institutional Investor Meet/Con. Call Updates,USHAMART: Usha Martin Limited has informed the Exchange about Link of Recording.
13-Aug-2025 13:25:08,Copy of Newspaper Publication,USHAMART: Usha Martin Limited has informed the Exchange about Copy of Newspaper Publication with respect to the unaudited financial results (standalone and consolidated) for the quarter ended 30th Jun
12-Aug-2025 21:00:22,Investor Presentation,Usha Martin Limited has informed the Exchange about Investor Presentation
12-Aug-2025 20:53:45,Press Release,"USHAMART: Usha Martin Limited has informed the Exchange regarding a press release dated August 12, 2025, titled ""USHA MARTIN LTD ANNOUNCES Q1 FY26 RESULTS""."
12-Aug-2025 17:30:27,Outcome of Board Meeting,"USHAMART: Usha Martin Limited has submitted to the Exchange, the unaudited financial results for the quarter ended June 30, 2025."
12-Aug-2025 13:59:35,Options to purchase securities,USHAMART:  Usha Martin Limited has informed the Exchange about Grant of stock options under the Usha Martin Limited Employee Stock Option Plan 2024 (Plan).
08-Aug-2025 20:30:48,Shareholders meeting,"USHAMART: Usha Martin Limited has submitted the Exchange a copy Scrutinizers report of  Annual General Meeting held on August 07, 2025 along with Voting Results."
07-Aug-2025 19:05:03,Shareholders meeting,"Usha Martin Limited has informed the Exchange regarding Proceedings of Annual General Meeting held on August 07, 2025"
05-Aug-2025 16:48:14,Analysts/Institutional Investor Meet/Con. Call Updates,USHAMART: Usha Martin Limited has informed the Exchange about Schedule of meet.
31-Jul-2025 15:00:17,Credit Rating,Usha Martin Limited has informed the Exchange about Credit Rating
16-Jul-2025 16:12:18,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","USHAMART: Usha Martin Limited has informed the Exchange about Certificate under Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018."
16-Jul-2025 16:09:25,Copy of Newspaper Publication,USHAMART: Usha Martin Limited has informed the Exchange about Copy of Newspaper Publication with respect to Notice of 39th AGM and E-voting Information.
16-Jul-2025 00:48:14,General Updates,USHAMART: Usha Martin Limited has informed the Exchange about letter sent to those shareholders whose email addresses are not registered with the Company/RTA/Depository Participants pursuant to Regula
15-Jul-2025 23:11:57,General Updates,Usha Martin Limited has informed the Exchange about date of payment of dividend.
15-Jul-2025 23:04:31,Shareholders meeting,"USHAMART: Usha Martin Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on August 07, 2025."
08-Jul-2025 15:56:12,Copy of Newspaper Publication,USHAMART: Usha Martin Limited has informed the Exchange about Copy of Newspaper Publication with respect to 39th AGM of the Company.
07-Jul-2025 20:33:26,Record Date,Usha Martin Limited has informed the Exchange that Record date for the purpose of Dividend  is 31-Jul-2025.
07-Jul-2025 20:30:02,Updates,"USHAMART: Usha Martin Limited has informed the Exchange that the 39th Annual General Meeting of the Company is scheduled to be held on Thursday, 7th August 2025 at 11:30 A.M. (IST)."
27-Jun-2025 14:01:27,Trading Window,"Usha Martin Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Jun-2025 17:57:42,Disclosure under SEBI Takeover Regulations,"Rajeev Jhawar has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 201"
25-Jun-2025 17:57:37,Disclosure under SEBI Takeover Regulations,Usha Martin Ventures Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) R
21-Jun-2025 19:54:23,General Updates,USHAMART: Usha Martin Limited has informed the Exchange about intimation sent to shareholders of the Company holding shares in physical mode regarding updation of their KYC details.
18-Jun-2025 14:02:05,General Updates,USHAMART: Usha Martin Limited has informed the Exchange about ESG Rating voluntarily assigned by NSE Sustainability Ratings & Analytics Limited.
20-May-2025 10:47:11,Spurt in Volume,"Significant increase in volume has been observed in Usha Martin Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market pla"
19-May-2025 17:39:54,Spurt in Volume,"Significant increase in volume has been observed in Usha Martin Limited. The Exchange, in order to ensure that investors have latest relevant information about the company and to inform the market pla"
17-May-2025 20:54:20,Analysts/Institutional Investor Meet/Con. Call Updates,USHAMART: Usha Martin Limited has informed the Exchange about Transcript.
13-May-2025 19:06:34,Analysts/Institutional Investor Meet/Con. Call Updates,Usha Martin Limited has informed the Exchange about Link of Recording
13-May-2025 14:16:53,Copy of Newspaper Publication,USHAMART: Usha Martin Limited has informed the Exchange about Copy of Newspaper Publication for audited financial results.
12-May-2025 22:24:43,Investor Presentation,Usha Martin Limited has informed the Exchange about Investor Presentation
12-May-2025 22:17:00,Press Release,"USHAMART: Usha Martin Limited has informed the Exchange regarding a press release dated May 12, 2025, titled ""Usha Martin Ltd. announces Q4 & FY25 Results"""
12-May-2025 15:55:55,Change in Auditors,Usha Martin Limited has informed the Exchange regarding Change in Auditors of the company.
12-May-2025 15:25:43,Change in Management,Usha Martin Limited has informed the Exchange about appointment of Whole Time Director.
12-May-2025 15:16:10,Updates,USHAMART: Usha Martin Limited has informed the Exchange regarding the amended Code of Practices and Procedures for Fair Disclosure of Unpublished Price Sensitive Information.
12-May-2025 14:41:24,Dividend,"Usha Martin Limited has informed the Exchange that Board of Directors at its meeting held on May 12, 2025, recommended Final Dividend of Rs. 3 per equity share."
12-May-2025 14:37:09,Outcome of Board Meeting,"Usha Martin Limited has informed the Exchange regarding Outcome of Board Meeting held on May 12, 2025."
06-May-2025 18:28:40,Analysts/Institutional Investor Meet/Con. Call Updates,Usha Martin Limited has informed the Exchange about Schedule of meet
30-Apr-2025 20:20:20,Resignation,"USHAMART: Usha Martin Limited has informed the Exchange regarding Resignation of Mr. Tapas Gangopadhyay as Non- Executive Director of the company w.e.f. close of business hours of April 30, 2025."
11-Apr-2025 20:38:05,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","USHAMART: Usha Martin Limited has informed the Exchange about Certificates under Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018."
26-Mar-2025 17:42:19,Trading Window,"Usha Martin Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
20-Mar-2025 17:55:49,Analysts/Institutional Investor Meet/Con. Call Updates,Usha Martin Limited has informed the Exchange about Schedule of meet
06-Mar-2025 20:21:08,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,USHAMART: Usha Martin Limited has informed the Exchange about the outcome of a pending litigation impacting the Company.
06-Feb-2025 18:21:37,Action(s) taken or orders passed,USHAMART: Usha Martin Limited has informed the Exchange about Action(s) taken or orders passed.
05-Feb-2025 15:19:37,Action(s) taken or orders passed,USHAMART: Usha Martin Limited has informed the Exchange about Action(s) taken or orders passed.
04-Feb-2025 21:17:11,Analysts/Institutional Investor Meet/Con. Call Updates,USHAMART: Usha Martin Limited has informed the Exchange about Transcript.
02-Feb-2025 13:13:57,Action(s) taken or orders passed,USHAMART: Usha Martin Limited has informed the Exchange about Action(s) taken or orders passed.
31-Jan-2025 18:44:33,Updates,USHAMART: Machine Readable version of Financial Results which was submitted on 29th January 2025.
30-Jan-2025 18:36:37,Analysts/Institutional Investor Meet/Con. Call Updates,Usha Martin Limited has informed the Exchange about Link of Recording.
30-Jan-2025 11:48:18,Copy of Newspaper Publication,USHAMART: Usha Martin Limited has informed the Exchange about Copy of Newspaper Publication.
29-Jan-2025 20:55:49,Investor Presentation,Usha Martin Limited has informed the Exchange about Investor Presentation
29-Jan-2025 20:51:13,Press Release,"Usha Martin Limited has informed the Exchange regarding a press release dated January 29, 2025, titled ""Usha Martin Limited announces Q3 & 9M FY25 Results""""."
29-Jan-2025 17:43:03,Integrated Filing- Financial,We are submitting herewith the integrated filing (financial) for the quarter and nine months ended 31st December 2024.
29-Jan-2025 13:56:31,Financial Result Updates," Usha Martin Limited has submitted to the Exchange, the financial results for the period ended December 31, 2024."
29-Jan-2025 13:48:51,Outcome of Board Meeting,"Usha Martin Limited has informed the Exchange regarding  Board meeting held on January 29, 2025 for approving financial results for quarter and nine months ended 31st December 2024"
24-Jan-2025 16:22:33,Analysts/Institutional Investor Meet/Con. Call Updates,Usha Martin Limited has informed the Exchange about Schedule of meet
17-Jan-2025 19:34:36,Giving guarantees/indemnity/ becoming a surety for third party,USHAMART: Usha Martin Limited has informed the Exchange about release of corporate guarantee for third party.
14-Jan-2025 11:39:07,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","USHAMART: Usha Martin Limited has informed the Exchange about Certificates under Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018"
26-Dec-2024 15:54:13,Trading Window,"Usha Martin Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
11-Dec-2024 15:46:05,Acquisition,"Usha Martin Limited has informed the Exchange that in furtherance  to the Company's letter dated 6th December, 2024, the acquisition of shares of Usha Siam Steel Industries Public Company Limited by U"
10-Dec-2024 22:33:21,Issue of Duplicate Share Certificate,Usha Martin Limited has informed the Exchange about Issue of Duplicate Share Certificate
06-Dec-2024 18:21:32,Acquisition,Usha Martin Limited has informed the Exchange about Acquisition
25-Nov-2024 19:26:54,Loss of Share Certificates,USHAMART: Usha Martin Limited has informed the Exchange about Loss of Share Certificates.
18-Nov-2024 19:01:08,Analysts/Institutional Investor Meet/Con. Call Updates,Usha Martin Limited has informed the Exchange about Schedule of meet
13-Nov-2024 18:12:38,Analysts/Institutional Investor Meet/Con. Call Updates,USHAMART: Usha Martin Limited has informed the Exchange about Transcript.
07-Nov-2024 18:23:30,Analysts/Institutional Investor Meet/Con. Call Updates,Usha Martin Limited has informed the Exchange about Link of Recording
