date,desc,text
09-Jul-2026 19:17:09,Options to purchase securities,Vijaya Diagnostic Centre Limited has informed the Exchange about Options to purchase securities
09-Jul-2026 19:13:45,Appointment,"Vijaya Diagnostic Centre Limited has informed the Exchange regarding Appointment of  Mr. Narasimha Raju K.A. as Chief Financial Officer of the company w.e.f. July 09, 2026."
09-Jul-2026 19:11:47,Outcome of Board Meeting,"Vijaya Diagnostic Centre Limited has informed the Exchange regarding Outcome of Board Meeting held on July 09, 2026."
30-Jun-2026 10:50:35,Trading Window,"Vijaya Diagnostic Centre Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
09-Jun-2026 19:33:10,Resignation,"Vijaya Diagnostic Centre Limited has informed the Exchange regarding Resignation of Mr Sai Siva Prasad as Other of the company w.e.f. August 08, 2026."
09-Jun-2026 19:29:21,Resignation of Director/KMP/SMP,Vijaya Diagnostic Centre Limited has informed the Exchange about Resignation of Director/KMP/SMP
09-Jun-2026 14:34:24,Resignation,"Vijaya Diagnostic Centre Limited has informed the Exchange regarding Resignation of Mr Ankit Shah as Chief Financial Officer of the company w.e.f. July 24, 2026."
09-Jun-2026 14:28:53,Resignation of Director/KMP/SMP,Vijaya Diagnostic Centre Limited has informed the Exchange about Resignation of Director/KMP/SMP
09-Jun-2026 10:46:43,Analysts/Institutional Investor Meet/Con. Call Updates,Vijaya Diagnostic Centre Limited has informed the Exchange about Schedule of meet
02-Jun-2026 12:40:12,Appointment,"Vijaya Diagnostic Centre Limited has informed the Exchange regarding Appointment of Ms Naga Vasudha Tadepalli  as Company Secretary & Compliance Officer of the company w.e.f. Jun 01, 2026."
25-May-2026 18:43:28,Change in Director(s),Vijaya Diagnostic Centre Limited has informed the Exchange regarding Change in Director(s) of the company.
25-May-2026 18:41:24,Appointment,Vijaya Diagnostic Centre Limited has informed the Exchange regarding Appointment of Mr Mr. Satyanaryana Murthy Chavali and Mr. Dipinder Singh Sekhon as Non- Executive Independent Director of the compa
25-May-2026 18:38:49,Change in Management,Vijaya Diagnostic Centre Limited has informed the Exchange about change in Management
25-May-2026 16:45:49,Change in Director(s),Vijaya Diagnostic Centre Limited has informed the Exchange regarding Change in Director(s) of the company.
25-May-2026 16:43:32,Change in Management,Vijaya Diagnostic Centre Limited has informed the Exchange about change in Management
25-May-2026 16:41:39,Cessation,Vijaya Diagnostic Centre Limited has informed the Exchange regarding Cessation of Mr Satyanaryana Murthy Chavali  and Mr Shekhar Prasad Singh  as Non- Executive Independent Director of the company w.e
13-May-2026 11:29:01,Analysts/Institutional Investor Meet/Con. Call Updates,Vijaya Diagnostic Centre Limited has informed the Exchange about Transcript
12-May-2026 12:47:04,Analysts/Institutional Investor Meet/Con. Call Updates,Vijaya Diagnostic Centre Limited has informed the Exchange about Schedule of meet
11-May-2026 14:33:09,Shareholders meeting,"Vijaya Diagnostic Centre Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
08-May-2026 16:26:44,Analysts/Institutional Investor Meet/Con. Call Updates,Vijaya Diagnostic Centre Limited has informed the Exchange about Link of Recording
08-May-2026 12:17:57,Copy of Newspaper Publication,Vijaya Diagnostic Centre Limited has informed the Exchange about Copy of Newspaper Publication
07-May-2026 20:10:06,Investor Presentation,Vijaya Diagnostic Centre Limited has informed the Exchange about Investor Presentation
07-May-2026 20:04:52,Press Release,"Vijaya Diagnostic Centre Limited has informed the Exchange regarding a press release dated May 07, 2026, titled ""Press Release on Q-4 Financials""."
07-May-2026 19:49:37,General Updates,Vijaya Diagnostic Centre Limited has informed the Exchange about General Updates
07-May-2026 19:40:55,ESOP/ESOS/ESPS,Vijaya Diagnostic Centre Limited has informed the Exchange regarding Grant of 179500  Options.
07-May-2026 19:36:27,Outcome of Board Meeting,"Vijaya Diagnostic Centre Limited has informed the Exchange regarding Outcome of Board Meeting held on May 07, 2026."
07-May-2026 19:31:32,Dividend,"Vijaya Diagnostic Centre Limited has informed the Exchange that Board of Directors at its meeting held on May 07, 2026, recommended Final Dividend of Rs. 2 per equity share."
07-May-2026 19:19:54,Outcome of Board Meeting,"Vijaya Diagnostic Centre Limited has submitted to the Exchange, the financial results for the period ended March 31, 2026."
30-Apr-2026 14:41:20,Analysts/Institutional Investor Meet/Con. Call Updates,Vijaya Diagnostic Centre Limited has informed the Exchange about Schedule of meet
10-Apr-2026 16:12:13,Disclosure under SEBI Takeover Regulations, Dr. Sura Surendranath Reddy has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) R
10-Apr-2026 11:12:49,Copy of Newspaper Publication,Vijaya Diagnostic Centre Limited has informed the Exchange about Copy of Newspaper Publication
09-Apr-2026 12:39:23,Shareholders meeting,Vijaya Diagnostic Centre Limited has informed the Exchange regarding Notice of Postal Ballot
02-Apr-2026 10:28:59,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Vijaya Diagnostic Centre Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
28-Mar-2026 12:47:50,Trading Window,"Vijaya Diagnostic Centre Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
16-Mar-2026 18:48:52,Resignation,"Vijaya Diagnostic Centre Limited has informed the Exchange regarding Resignation of Mr Hansraj Singh as Company Secretary & Compliance Officer of the company w.e.f. March 16, 2026."
11-Mar-2026 14:05:28,Analysts/Institutional Investor Meet/Con. Call Updates,Vijaya Diagnostic Centre Limited has informed the Exchange about Schedule of meet
19-Feb-2026 13:22:19,Analysts/Institutional Investor Meet/Con. Call Updates,Vijaya Diagnostic Centre Limited has informed the Exchange about Transcript
14-Feb-2026 12:12:20,Copy of Newspaper Publication,"Newspaper Publication of Unaudited Financial Results for the third quarter and nine months ended December 31, 2025."
14-Feb-2026 12:08:24,Analysts/Institutional Investor Meet/Con. Call Updates,Vijaya Diagnostic Centre Limited has informed the Exchange about Link of Recording
13-Feb-2026 15:22:05,Appointment,"Vijaya Diagnostic Centre Limited has informed the Exchange regarding Appointment of Mr Ankit Shah as Chief Financial Officer of the company w.e.f. February 13, 2026."
13-Feb-2026 15:20:33,Resignation,"Vijaya Diagnostic Centre Limited has informed the Exchange regarding Resignation of Mr Ramachandra Reddy S as Chief Financial Officer of the company w.e.f. February 13, 2026."
13-Feb-2026 15:15:09,Change in Director(s),Vijaya Diagnostic Centre Limited has informed the Exchange regarding Change in Director(s) of the company.
13-Feb-2026 15:13:08,Change in Management,Vijaya Diagnostic Centre Limited has informed the Exchange about change in Management
13-Feb-2026 15:11:28,ESOP/ESOS/ESPS,Vijaya Diagnostic Centre Limited has informed the Exchange regarding Grant of 115000  Options.
13-Feb-2026 14:58:18,Investor Presentation,Vijaya Diagnostic Centre Limited has informed the Exchange about Investor Presentation
13-Feb-2026 14:54:33,Press Release,"Vijaya Diagnostic Centre Limited has informed the Exchange regarding a press release dated February 13, 2026, titled ""Press Release on Q3 FY 2026 Results""."
13-Feb-2026 14:48:55,Outcome of Board Meeting,"Vijaya Diagnostic Centre Limited has submitted to the Exchange, the financial results for the period ended December 31, 2025."
13-Feb-2026 14:46:27,Outcome of Board Meeting,"Vijaya Diagnostic Centre Limited has informed the Exchange regarding  Board meeting held on February 13, 2026."
09-Feb-2026 11:48:13,Analysts/Institutional Investor Meet/Con. Call Updates,Vijaya Diagnostic Centre Limited has informed the Exchange about Schedule of meet
28-Jan-2026 12:06:08,Analysts/Institutional Investor Meet/Con. Call Updates,Vijaya Diagnostic Centre Limited has informed the Exchange about Schedule of meet
08-Jan-2026 15:18:54,Allotment of Securities,"Vijaya Diagnostic Centre Limited has informed the Exchange regarding allotment of 171792 securities pursuant to Scheme of Arrangement/Amalgamation at its meeting held on January 08, 2026"
02-Jan-2026 10:50:40,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Vijaya Diagnostic Centre Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
24-Dec-2025 13:11:02,Trading Window,"Vijaya Diagnostic Centre Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
