date,desc,text
08-Jul-2026 17:20:12,Copy of Newspaper Publication,Voltas Limited has informed the Exchange about Copy of Newspaper Publication
08-Jul-2026 16:10:02,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Voltas Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
30-Jun-2026 22:49:22,Shareholders meeting,Voltas Limited has informed the Exchange about Shareholders meeting
30-Jun-2026 22:46:54,Shareholders meeting,"Voltas Limited has submitted the Exchange a copy Srutinizers report of  Annual General Meeting held on Jun 30, 2026. Further, the company has informed the Exchange regarding voting results."
23-Jun-2026 15:07:49,Trading Window,"Voltas Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
21-Jun-2026 00:17:04,Updates,Voltas Limited has informed the Exchange regarding Press Release -Voltas Crosses 1 Million AC Sales Milestone In FY 26-27.
15-Jun-2026 18:39:37,Appointment,Voltas Limited has informed the Exchange regarding Appointment of Senior Management Personnel
10-Jun-2026 18:37:12,Action(s) initiated or orders passed,Voltas Limited has informed the Exchange about Action(s) initiated or orders passed
08-Jun-2026 16:14:17,Copy of Newspaper Publication,Voltas Limited has informed the Exchange about Copy of Newspaper Publication
06-Jun-2026 23:49:28,General Updates,Letters sent to the shareholders - Notice and Annual Report for the financial year 2025-26
06-Jun-2026 23:24:04,Shareholders meeting,"Voltas Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on Jun 30, 2026"
28-May-2026 17:45:46,Analysts/Institutional Investor Meet/Con. Call Updates,Voltas Limited has informed the Exchange about Schedule of meet
28-May-2026 17:28:34,Copy of Newspaper Publication,Voltas Limited has informed the Exchange about Copy of Newspaper Publication
26-May-2026 20:47:58,General Updates,Voltas Limited has informed the Exchange about Communication sent to Shareholders for deduction of Tax on Dividend.
25-May-2026 21:06:08,Record Date,Voltas Limited has informed the Exchange that Record date for the purpose of Dividend  is 12-Jun-2026.
25-May-2026 21:02:03,General Updates,"The 72nd Annual General Meeting of the Company is scheduled to be held on Tuesday, 30th June, 2026 at 3.00PM (IST) through Video Conferencing / Other Audio Visual Means. The Company has fixed Friday, "
25-May-2026 17:44:16,Copy of Newspaper Publication,Voltas Limited has informed the Exchange about Copy of Newspaper Publication
22-May-2026 19:38:45,General Updates,Voltas Limited has informed the Exchange about General Updates
20-May-2026 19:52:37,Analysts/Institutional Investor Meet/Con. Call Updates,Voltas Limited has informed the Exchange about Transcript
14-May-2026 22:37:13,Analysts/Institutional Investor Meet/Con. Call Updates,Voltas Limited has informed the Exchange about Link of Recording
14-May-2026 18:08:54,Investor Presentation,Voltas Limited has informed the Exchange about Investor Presentation
14-May-2026 18:00:14,Appointment,"Voltas Limited has informed the Exchange regarding Appointment of Mr Mr. Sunil Alaric D Souza   as Non- Executive Director of the company w.e.f. May 14, 2026."
14-May-2026 18:00:14,Press Release,"Voltas Limited has informed the Exchange regarding a press release dated May 14, 2026, titled ""Voltas Delivers Progressive Recovery in Q4 Supported by Cooling Segment and Robust Performancefrom Divers"
14-May-2026 18:00:14,Dividend,"Voltas Limited has informed the Exchange that Board of Directors at its meeting held on May 14, 2026, recommended Final Dividend of Rs. 4 per equity share."
14-May-2026 17:42:48,Outcome of Board Meeting,"VOLTAS: Voltas Limited has submitted to the Exchange regarding approval of Annual Accounts, Recommendation of dividend for 2025-26 and Appointment of Director."
12-May-2026 21:20:03,Action(s) initiated or orders passed,Voltas Limited has informed the Exchange about Action(s) initiated or orders passed
11-May-2026 22:02:59,Pendency of Litigation(s)/dispute(s) or the outcome impacting the Company,"Intimation   update on a Pending Material Litigation as required under Regulation 30 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015"
11-May-2026 16:32:55,Analysts/Institutional Investor Meet/Con. Call Updates,Voltas Limited has informed the Exchange about Schedule of meet
27-Apr-2026 17:44:12,Copy of Newspaper Publication,Voltas Limited has informed the Exchange about Copy of Newspaper Publication
08-Apr-2026 16:44:43,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Voltas Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
06-Apr-2026 18:57:36,Appointment,"Pursuant to Regulation 30 read with Schedule III of the SEBI Listing Regulations read with the relevant SEBI Circulars, we wish to inform that Ms. Pragya Bijalwan, Head   Marketing & Communications of"
01-Apr-2026 18:23:09,Credit Rating,Voltas Limited has informed the Exchange about Credit Rating
30-Mar-2026 07:48:12,Action(s) taken or orders passed,Voltas Limited has informed the Exchange about intimation under Regulation 30 of SEBI Listing Regulations
24-Mar-2026 18:31:56,Trading Window,"Voltas Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
