date,desc,text
08-Jul-2026 15:33:25,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","Vardhman Textiles Limited has informed the Exchange about Certificate under Regulation 74(5) of SEBI (Depositories and Participants) Regulations, 2018."
07-Jul-2026 16:30:55,Copy of Newspaper Publication,Vardhman Textiles Limited has informed the Exchange about Copy of Newspaper Publication regarding transfer of Equity shares to IEPF Authority.
07-Jul-2026 16:21:10,Updates,"Vardhman Textiles Limited has informed the Exchange regarding 'Demat Report for the month ended June, 2026.'."
29-Jun-2026 17:29:19,Trading Window,"Vardhman Textiles Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
27-Jun-2026 14:25:42,Copy of Newspaper Publication,Vardhman Textiles Limited has informed the Exchange about Copy of Newspaper Publication
26-Jun-2026 14:51:36,Shareholders meeting,Vardhman Textiles Limited has submitted the Exchange a copy Scrutinizers report of  Postal Ballot ended 25.06.2026.
26-Jun-2026 14:46:07,Shareholders meeting,Vardhman Textiles Limited has informed the Exchange regarding voting results of  Postal Ballot ended on 25.06.2026.
25-Jun-2026 17:23:47,General Updates,Vardhman Textiles Limited has informed the Exchange regarding outcome of Postal Ballot ended on 25.06.2026.
06-Jun-2026 13:01:46,Updates,"Vardhman Textiles Limited has informed the Exchange regarding 'Demat Report for the month ended May, 2026.'."
02-Jun-2026 11:36:46,Allotment of Securities,"Vardhman Textiles Limited has informed the Exchange regarding allotment of 194000 securities pursuant to ESOP/ESPS at its meeting held on Jun 02, 2026."
29-May-2026 18:09:28,General Updates,Vardhman Textiles Limited has informed the Exchange about Investment in Renew Green (MPR Four) Private Limited.
29-May-2026 16:41:57,Analysts/Institutional Investor Meet/Con. Call Updates,Vardhman Textiles Limited has informed the Exchange about Outcome of Analysts/ Investors Meet.
29-May-2026 14:26:57,Amendment(s),Vardhman Textiles Limited has informed the Exchange about Amendment(s).
27-May-2026 12:20:30,Copy of Newspaper Publication,Vardhman Textiles Limited has informed the Exchange about Copy of Newspaper Publication.
26-May-2026 16:57:05,Shareholders meeting,Vardhman Textiles Limited has informed the Exchange regarding Notice of Postal Ballot.
26-May-2026 16:46:36,Shareholders meeting,Vardhman Textiles Limited has informed the Exchange regarding Notice of Postal Ballot.
23-May-2026 14:50:51,Analysts/Institutional Investor Meet/Con. Call Updates,Vardhman Textiles Limited has informed the Exchange about Schedule of meet.
19-May-2026 16:13:37,Disclosure under SEBI Takeover Regulations," S.P. Oswal has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Regulations, 2011."
12-May-2026 17:53:37,Analysts/Institutional Investor Meet/Con. Call Updates,Vardhman Textiles Limited has informed the Exchange about Transcript.
08-May-2026 17:57:31,Analysts/Institutional Investor Meet/Con. Call Updates,Vardhman Textiles Limited has informed the Exchange about Link of Recording.
08-May-2026 13:04:38,Investor Presentation,Vardhman Textiles Limited has informed the Exchange about Investor Presentation
08-May-2026 12:59:44,Copy of Newspaper Publication,Vardhman Textiles Limited has informed the Exchange about Copy of Newspaper Publication.
