date,desc,text
07-Jul-2026 14:37:36,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","ZF Commercial Vehicle Control Systems India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
03-Jul-2026 18:21:22,General Updates,ZF Commercial Vehicle Control Systems India Limited has informed the Exchange about General Updates
02-Jul-2026 16:49:08,Updates,ZF Commercial Vehicle Control Systems India Limited has informed the Exchange regarding 'Business Responsibility and Sustainability Report &Limited Assurance Statement for FY 2025-26'.
02-Jul-2026 16:44:17,Shareholders meeting,"ZF Commercial Vehicle Control Systems India Limited has informed the Exchange regarding Notice of Annual General Meeting to be held on July 24, 2026"
30-Jun-2026 20:35:49,Resignation,"ZF Commercial Vehicle Control Systems India Limited has informed the Exchange regarding Resignation of Ms Sweta Agarwal as Chief Financial Officer of the company w.e.f. Jun 30, 2026."
30-Jun-2026 20:27:41,Resignation of Director/KMP/SMP,ZF Commercial Vehicle Control Systems India Limited has informed the Exchange about Resignation of Director/KMP/SMP
25-Jun-2026 17:53:23,Copy of Newspaper Publication,ZF Commercial Vehicle Control Systems India Limited has informed the Exchange about Copy of Newspaper Publication of pre-despatch AGM notice
25-Jun-2026 17:44:11,Trading Window,"ZF Commercial Vehicle Control Systems India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015"
25-Jun-2026 09:52:36,General Updates,ZF Commercial Vehicle Control Systems India Limited has informed the Exchange about General Updates
17-Jun-2026 22:28:43,Record Date,ZF Commercial Vehicle Control Systems India Limited has informed the Exchange that Record date for the purpose of Bonus  is 24-Jun-2026.
17-Jun-2026 22:23:14,Shareholders meeting,ZF Commercial Vehicle Control Systems India Limited has informed the Exchange regarding Proceedings of Postal Ballot
17-Jun-2026 20:30:30,Shareholders meeting,"ZF Commercial Vehicle Control Systems India Limited has submitted the Exchange a copy Srutinizers report of  Postal Ballot. Further, the company has informed the Exchange regarding voting results."
15-Jun-2026 18:57:51,Analysts/Institutional Investor Meet/Con. Call Updates,ZF Commercial Vehicle Control Systems India Limited has informed the Exchange about
11-Jun-2026 11:23:34,Disclosure under SEBI Takeover Regulations,WABCO Asia Private Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of Shares and Takeovers) Reg
10-Jun-2026 17:31:13,Analysts/Institutional Investor Meet/Con. Call Updates,ZF Commercial Vehicle Control Systems India Limited has informed the Exchange about Schedule of meet
10-Jun-2026 17:25:20,Copy of Newspaper Publication,ZF Commercial Vehicle Control Systems India Limited has informed the Exchange about Copy of Newspaper Publication on transfer of equity shares to IEPF
05-Jun-2026 17:56:40,Disclosure under SEBI Takeover Regulations,ZF Commercial Vehicle Control Systems India Limited has Submitted to the Exchange a copy of Disclosure under Regulation 31(4) of the Securities and Exchange Board of India (Substantial Acquisition of 
27-May-2026 17:52:55,Analysts/Institutional Investor Meet/Con. Call Updates,ZF Commercial Vehicle Control Systems India Limited has informed the Exchange about Outcome of Analyst/Investor conference
26-May-2026 18:56:51,Investor Presentation,ZF Commercial Vehicle Control Systems India Limited has informed the Exchange about Investor Presentation
22-May-2026 18:12:55,Analysts/Institutional Investor Meet/Con. Call Updates,ZF Commercial Vehicle Control Systems India Limited has informed the Exchange about Schedule of meet
21-May-2026 17:42:38,Analysts/Institutional Investor Meet/Con. Call Updates,ZF Commercial Vehicle Control Systems India Limited has informed the Exchange about Transcript
18-May-2026 17:30:12,Shareholders meeting,ZF Commercial Vehicle Control Systems India Limited has informed the Exchange about Shareholders meeting
15-May-2026 18:44:39,Analysts/Institutional Investor Meet/Con. Call Updates,ZF Commercial Vehicle Control Systems India Limited has informed the Exchange about Link of Recording
13-May-2026 18:33:35,Amendment to AOA/MOA,ZF Commercial Vehicle Control Systems India Limited has informed the Exchange regarding the Amendment to AOA/MOA of the company.
13-May-2026 18:06:30,Record Date,ZF Commercial Vehicle Control Systems India Limited has informed the Exchange that Record date for the purpose of Bonus  is 24-Jun-2026.
13-May-2026 18:04:44,Record Date,ZF Commercial Vehicle Control Systems India Limited has informed the Exchange that Record date for the purpose of Dividend  is 10-Jul-2026.
13-May-2026 18:01:56,Bonus,"ZF Commercial Vehicle Control Systems India Limited has informed the Exchange that the Board of Directors at its meeting held on May 13, 2026, have considered and approved bonus at the ratio of 5 : 1,"
13-May-2026 17:59:39,Dividend,"ZF Commercial Vehicle Control Systems India Limited has informed the Exchange that Board of Directors at its meeting held on May 13, 2026, recommended Final Dividend of Rs. 4 per equity share."
13-May-2026 17:53:41,Outcome of Board Meeting,Outcome of the Board Meeting
11-May-2026 17:28:32,Analysts/Institutional Investor Meet/Con. Call Updates,ZF Commercial Vehicle Control Systems India Limited has informed the Exchange about Schedule of meet
04-May-2026 12:41:24,Appointment,"ZF Commercial Vehicle Control Systems India Limited has informed the Exchange regarding Appointment of Ms Claudia Christina Jehle as Non- Executive Director of the company w.e.f. May 04, 2026."
30-Apr-2026 18:24:40,Resignation,"ZF Commercial Vehicle Control Systems India Limited has informed the Exchange regarding Resignation of Mr Lars Orlik as Non- Executive Director of the company w.e.f. April 30, 2026."
27-Apr-2026 21:09:33,Resignation of Director/KMP/SMP,ZF Commercial Vehicle Control Systems India Limited has informed the Exchange about Resignation of Director/KMP/SMP
27-Apr-2026 21:04:36,Change in Director(s),ZF Commercial Vehicle Control Systems India Limited has informed the Exchange regarding Change in Director(s) of the company.
22-Apr-2026 18:54:50,General Updates,ZF Commercial Vehicle Control Systems India Limited has informed the Exchange about General Updates
03-Apr-2026 12:37:45,"Certificate under SEBI (Depositories and Participants) Regulations, 2018","ZF Commercial Vehicle Control Systems India Limited has informed the Exchange about Certificate under SEBI (Depositories and Participants) Regulations, 2018"
31-Mar-2026 12:57:03,Press Release,"ZF Commercial Vehicle Control Systems India Limited has informed the Exchange regarding a press release dated March 31, 2026, titled "" ZF Commercial Vehicle Control Systems India Limited Secures Anoth"
