"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D   %CHNG 
"
"NIFTY MIDCAP 150","20,424.65","20,434.35","20,030.55","20,746.80","20,108.95","-","-637.85","-3.07","1,28,91,30,733","22,730.62","22,650.05","17,269.50","-7.81","6.71"
"ATGL","535.65","580.00","517.70","515.65","560.50","-","44.85","8.70","5,02,97,135","2,821.32","798.00","462.80","7.38","-9.97"
"BSE","2,950.00","2,995.00","2,876.00","2,995.60","2,899.80","-","-95.80","-3.20","38,71,447","1,135.46","3,227.00","1,326.67","5.78","98.05"
"WAAREEENER","3,095.00","3,210.50","3,095.00","3,184.80","3,150.70","-","-34.10","-1.07","35,54,580","1,125.71","3,865.00","1,863.00","9.62","39.71"
"HINDPETRO","340.20","340.20","321.50","349.35","327.45","-","-21.90","-6.27","2,58,18,465","847.67","508.45","319.50","-24.61","-0.17"
"DIXON","10,464.00","10,585.00","10,160.00","10,709.00","10,190.00","-","-519.00","-4.85","6,16,614","635.12","18,471.00","9,630.00","-9.32","-26.56"
"IDEA","9.27","9.30","8.85","9.44","9.01","-","-0.43","-4.56","63,69,55,924","576.45","12.80","6.12","-19.98","21.10"
"NTPCGREEN","97.80","101.18","96.50","97.85","98.61","-","0.76","0.78","4,99,83,075","498.78","117.64","84.00","8.95","-1.02"
"POLYCAB","7,277.00","7,288.00","7,101.50","7,374.50","7,205.00","-","-169.50","-2.30","6,42,482","461.11","8,722.00","4,567.00","-7.37","32.48"
"INDUSINDBK","828.20","831.25","812.95","842.15","816.00","-","-26.15","-3.11","50,80,824","417.04","968.85","633.60","-12.01","17.80"
"NATIONALUM","377.00","389.65","374.25","387.65","378.00","-","-9.65","-2.49","1,04,70,359","398.96","431.50","137.75","11.14","102.81"
"MUTHOOTFIN","3,370.00","3,398.80","3,272.50","3,433.00","3,320.10","-","-112.90","-3.29","11,81,511","393.21","4,149.50","1,965.00","-2.66","37.40"
"OIL","471.95","483.00","465.40","470.45","475.20","-","4.75","1.01","78,42,725","373.51","524.00","325.00","-0.31","23.16"
"GUJGASLTD","355.00","387.20","346.75","359.00","353.00","-","-6.00","-1.67","99,04,221","362.82","508.70","346.75","-13.47","-10.25"
