Date,Close,Volume,Turnover
2016-01-01,70.5,1259973,88069701.4
2016-01-04,68.15,1570762,107841711.0
2016-01-05,67.75,1214776,82340562.25
2016-01-06,68.05,1028761,70185550.95
2016-01-07,64.35,1999432,130572981.4
2016-01-08,64.65,949567,61393804.0
2016-01-11,63.7,1549985,98350289.4
2016-01-12,61.3,1670188,103704083.35
2016-01-13,60.1,2097499,126790570.5
2016-01-14,57.6,1688426,98225775.7
2016-01-15,52.9,3354463,184150077.65
2016-01-18,52.35,3406220,181217862.25
2016-01-19,53.05,2114193,112600345.05
2016-01-20,50.35,3124755,157797855.4
2016-01-21,51.2,2872168,146135225.75
2016-01-22,53.65,2413717,128764725.2
2016-01-25,52.9,1731800,92535237.1
2016-01-27,54.95,3028520,164809504.65
2016-01-28,53.5,3821943,205038039.15
2016-01-29,53.65,2895940,152235842.0
2016-02-01,52.0,2436507,127381488.6
2016-02-02,51.25,3141192,164363559.0
2016-02-03,49.9,2577712,128015847.65
2016-02-04,49.75,2601607,129984652.55
2016-02-05,52.0,1984893,101759489.7
2016-02-08,52.8,3605471,194551601.0
2016-02-09,51.05,6746590,357904114.65
2016-02-10,46.05,12666242,588155172.05
2016-02-11,42.95,6051454,269372191.6
2016-02-12,41.3,6425807,263500218.9
2016-02-15,44.0,4934526,217422875.0
2016-02-16,42.5,4813843,209109702.55
2016-02-17,42.85,3821076,160745122.95
2016-02-18,42.75,4809108,205245386.05
2016-02-19,44.15,4107385,180166200.95
2016-02-22,44.2,2107571,93111386.15
2016-02-23,43.25,1981814,85967069.95
2016-02-24,43.4,2208019,95750049.8
2016-02-25,43.95,3290207,144319576.65
2016-02-26,44.05,2714190,118856084.3
2016-02-29,43.35,5654731,250252140.55
2016-03-01,44.5,2234174,98760745.2
2016-03-02,48.45,4645073,222758823.55
2016-03-03,48.15,4560624,217544704.4
2016-03-04,50.85,5471487,271919095.45
2016-03-08,50.9,4565647,232555518.9
2016-03-09,51.95,3218862,164845463.5
2016-03-10,51.3,2427107,124867078.05
2016-03-11,50.8,2561770,130334116.85
2016-03-14,51.75,2491953,128165552.55
2016-03-15,51.8,2332948,121024758.75
2016-03-16,51.85,1948721,99971299.75
2016-03-17,52.1,2661606,139096310.0
2016-03-18,52.8,2245449,117365785.2
2016-03-21,53.8,1535021,82365692.05
2016-03-22,53.2,1601178,85255497.1
2016-03-23,52.9,1306895,69208896.75
2016-03-28,51.35,1331231,69063631.2
2016-03-29,52.65,2742272,144036753.7
2016-03-30,53.5,2326053,123631933.6
2016-03-31,54.85,2292208,123904493.6
2016-04-01,57.75,3054608,172408632.0
2016-04-04,57.2,2369288,135638595.15
2016-04-05,54.5,3857774,216666097.35
2016-04-06,53.75,2141777,115542907.6
2016-04-07,53.35,3130606,167841191.25
2016-04-08,53.85,1688200,90336762.2
2016-04-11,56.35,2579590,142041262.95
2016-04-12,55.55,2070260,115832995.55
2016-04-13,56.6,1647771,93331662.7
2016-04-18,56.1,1532335,85524367.3
2016-04-20,58.55,3565067,202890956.45
2016-04-21,59.75,5117514,311451256.95
2016-04-22,60.15,3030302,181497637.5
2016-04-25,58.6,3050114,179710589.25
2016-04-26,60.05,3072289,183023381.75
2016-04-27,59.6,1540680,92017833.05
2016-04-28,58.85,2184611,129662112.45
2016-04-29,58.25,3008041,174140098.2
2016-05-02,56.85,2063743,117679505.45
2016-05-03,56.3,2401721,136904411.55
2016-05-04,53.45,2618026,144135396.65
2016-05-05,53.65,2375294,126697067.05
2016-05-06,54.2,2206838,119874631.4
2016-05-09,55.15,1948402,106788677.3
2016-05-10,55.05,1760952,96508998.65
2016-05-11,53.45,2901608,156238075.55
2016-05-12,53.3,2853824,151750079.15
2016-05-13,52.55,2396459,125886699.25
2016-05-16,50.65,3666942,185712523.75
2016-05-17,51.75,3025676,155634038.85
2016-05-18,53.25,3167011,166356751.55
2016-05-19,51.5,2165265,113497650.3
2016-05-20,50.4,1675670,85343259.3
2016-05-23,50.25,1830976,92261464.75
2016-05-24,49.7,1501208,74637482.05
2016-05-25,50.65,1753663,88621895.05
2016-05-26,50.9,12310186,621834298.4
2016-05-27,52.7,2881247,149557508.4
2016-05-30,52.6,1874341,99118154.4
2016-05-31,53.15,3665744,191438814.85
2016-06-01,51.65,2718602,142843124.55
2016-06-02,51.8,2385278,122389053.55
2016-06-03,50.6,2423660,123976685.45
2016-06-06,51.35,1785604,91665253.2
2016-06-07,52.25,3234296,168127551.0
2016-06-08,53.4,2972648,157846067.5
2016-06-09,54.2,3596962,195406378.75
2016-06-10,53.3,2805624,151242055.0
2016-06-13,52.05,2362587,122725033.1
2016-06-14,53.6,3516111,186250211.3
2016-06-15,54.05,2578508,139178095.6
2016-06-16,58.05,9915319,556850839.7
2016-06-17,58.25,5603311,324599028.2
2016-06-20,60.0,7867809,464580514.6
2016-06-21,60.7,6517040,393949485.35
2016-06-22,60.5,5164914,314262133.65
2016-06-23,64.1,8637553,544011465.35
2016-06-24,65.35,10299145,646780702.95
2016-06-27,67.3,6387953,428966437.9
2016-06-28,68.3,5607160,382626255.5
2016-06-29,68.35,3378028,231777135.2
2016-06-30,69.2,3370364,233693576.0
2016-07-01,69.65,3147369,219272336.2
2016-07-04,75.4,10301874,767523810.35
2016-07-05,76.7,7022227,539693430.6
2016-07-07,76.5,4257234,328998415.55
2016-07-08,77.65,6853110,525687143.85
2016-07-11,82.7,7198187,580594218.0
2016-07-12,81.25,7821013,641749379.75
2016-07-13,79.1,5410821,432212561.75
2016-07-14,81.1,7987004,649757610.15
2016-07-15,79.0,7763869,621304546.4
2016-07-18,75.7,5011238,388717748.95
2016-07-19,76.45,10402850,791648576.95
2016-07-20,76.55,3169614,242141487.6
2016-07-21,74.45,3713988,279765581.3
2016-07-22,73.9,3540056,260607157.65
2016-07-25,78.85,8030030,624973078.75
2016-07-26,78.55,8312488,666460065.3
2016-07-27,78.25,4407257,344887007.5
2016-07-28,78.35,3783513,296967525.05
2016-07-29,77.3,3758917,291795428.55
2016-08-01,75.5,3817053,290515619.6
2016-08-02,75.9,4453489,341311002.8
2016-08-03,75.45,4173168,319615153.2
2016-08-04,77.8,5009531,384056778.25
2016-08-05,79.05,5192373,414191640.8
2016-08-08,77.5,3173217,246934363.95
2016-08-09,78.0,3764783,294165176.95
2016-08-10,75.3,3715761,283444228.7
2016-08-11,73.25,3337866,245076717.65
2016-08-12,75.45,7179819,532735660.5
2016-08-16,74.0,5629559,415474734.75
2016-08-17,75.25,3912431,294194096.15
2016-08-18,76.55,2967405,226695852.15
2016-08-19,79.05,4363153,341342417.55
2016-08-22,79.3,4348955,344138607.65
2016-08-23,80.45,7114977,571158869.2
2016-08-24,81.55,4639629,377237973.2
2016-08-25,79.35,3850065,309805845.35
2016-08-26,78.15,3477243,273663270.15
2016-08-29,78.75,2936484,229049658.5
2016-08-30,84.0,8059345,658882626.75
2016-08-31,84.15,8863857,757238665.55
2016-09-01,82.05,3510819,292896226.3
2016-09-02,84.4,3716131,310292679.6
2016-09-06,84.9,4003239,341252209.85
2016-09-07,86.45,8160985,707245047.65
2016-09-08,86.75,3655577,317718689.15
2016-09-09,85.4,4146945,355486667.2
2016-09-12,80.65,4235728,346259843.45
2016-09-14,83.2,4391678,361152326.9
2016-09-15,82.15,4276294,351074517.25
2016-09-16,80.9,4907260,402839496.65
2016-09-19,81.15,3014945,245403238.6
2016-09-20,80.1,3883048,312014851.95
2016-09-21,80.0,3514168,282392299.95
2016-09-22,82.45,3630669,296746567.5
2016-09-23,81.35,4225832,345925723.15
2016-09-26,80.75,2669529,216520859.35
2016-09-27,79.6,3586786,287755193.95
2016-09-28,81.7,5843505,474379525.95
2016-09-29,75.85,5730019,451954692.15
2016-09-30,76.85,6546911,500160302.4
2016-10-03,79.4,4074286,320186914.5
2016-10-04,80.6,8418264,669695770.8
2016-10-05,80.5,3344050,270612406.9
2016-10-06,77.95,4918648,391115354.55
2016-10-07,77.85,4468571,347288048.8
2016-10-10,77.35,1887829,146948657.2
2016-10-13,74.3,3993830,299123602.85
2016-10-14,74.95,2775058,207300541.6
2016-10-17,73.25,3052753,226145504.85
2016-10-18,75.2,3061888,227896152.7
2016-10-19,75.35,2805657,211644224.8
2016-10-20,77.8,4501555,347809633.85
2016-10-21,77.6,2623202,202460363.3
2016-10-24,78.2,2699767,211811046.15
2016-10-25,78.15,2631311,206389887.85
2016-10-26,76.05,3228500,248873336.35
2016-10-27,74.95,2643286,198537967.0
2016-10-28,75.55,2164452,162899372.45
2016-11-01,75.65,2422515,183623128.75
2016-11-02,73.5,2683228,197609370.1
2016-11-03,73.75,3909395,289710769.5
2016-11-04,72.2,6439756,468990416.3
2016-11-07,70.6,3717106,263680259.15
2016-11-08,70.05,2623895,183597634.15
2016-11-09,68.3,8027212,529559871.25
2016-11-10,74.4,7212797,529591536.1
2016-11-11,74.0,11262119,853189380.2
2016-11-15,72.9,6730200,497282640.55
2016-11-16,71.0,5020082,363503659.0
2016-11-17,70.85,4087269,291942564.6
2016-11-18,71.5,4096196,293133678.85
2016-11-21,68.0,3964715,275451449.2
2016-11-22,67.05,4392315,295354729.75
2016-11-23,67.35,2838380,190960394.6
2016-11-24,66.65,2961407,198562104.45
2016-11-25,68.2,2726976,184844205.65
2016-11-28,67.75,2963117,201274864.5
2016-11-29,67.7,2156980,146541222.4
2016-11-30,69.45,3471260,237628879.8
2016-12-01,68.65,1937165,133528463.9
2016-12-02,67.6,3187144,216042836.65
2016-12-05,67.65,2579899,173860390.1
2016-12-06,68.0,1823536,124317996.0
2016-12-07,67.2,2439835,165848437.0
2016-12-08,67.75,1441491,97689809.85
2016-12-09,70.1,3915360,271982075.1
2016-12-12,69.3,2362601,164618618.75
2016-12-13,69.0,1465409,101043632.05
2016-12-14,68.0,1628586,111146336.4
2016-12-15,68.0,1741642,118538178.75
2016-12-16,66.8,1985129,133567532.65
2016-12-19,65.7,1750600,115825598.75
2016-12-20,63.05,3057346,194945038.35
2016-12-21,62.55,2102675,132595816.7
2016-12-22,61.15,2629546,161500781.45
2016-12-23,60.55,2444809,148965796.4
2016-12-26,57.65,2383177,139909184.75
2016-12-27,59.2,2301914,134453541.2
2016-12-28,58.75,2329154,138322500.0
2016-12-29,59.35,1693989,99746213.75
2016-12-30,60.2,2072962,125338038.2
2017-01-02,60.9,2319034,140109210.55
2017-01-03,62.35,3458913,213571582.15
2017-01-04,62.1,2436310,151455895.75
2017-01-05,63.05,1604138,100847601.85
2017-01-06,63.3,1794049,114320118.25
2017-01-09,63.7,1417331,90270275.95
2017-01-10,64.1,1495444,95270113.2
2017-01-11,65.6,2596900,170137193.3
2017-01-12,65.75,1716372,112605792.95
2017-01-13,65.65,1821365,119615402.0
2017-01-16,66.2,1536564,101161707.75
2017-01-17,66.15,2024470,134413674.35
2017-01-18,65.8,1753766,116163456.25
2017-01-19,66.2,1392167,91931206.2
2017-01-20,63.25,1923225,123993523.7
2017-01-23,63.55,2106366,134179038.15
2017-01-24,64.65,1630870,104761287.6
2017-01-25,66.45,7877510,521073331.3
2017-01-27,67.45,3219977,217687569.7
2017-01-30,67.75,2849443,193370189.35
2017-01-31,66.7,1816392,121692131.05
2017-02-01,68.55,2889480,195391972.1
2017-02-02,71.2,6829336,480641606.0
2017-02-03,74.2,6636625,484038681.2
2017-02-06,74.8,4796749,358595052.0
2017-02-07,74.85,3913335,293924180.8
2017-02-08,75.1,2620998,196580948.0
2017-02-09,74.0,3101831,230269831.05
2017-02-10,73.95,1852636,137419924.6
2017-02-13,72.9,4768397,348016078.15
2017-02-14,72.8,3565823,258473595.55
2017-02-15,70.3,3997006,282988092.8
2017-02-16,70.7,3422361,241865673.4
2017-02-17,70.45,2016957,142550867.55
2017-02-20,71.25,2819308,199763618.45
2017-02-21,71.65,3082030,220453785.15
2017-02-22,70.95,4148977,295535589.0
2017-02-23,73.85,26340647,1936724736.85
2017-02-27,71.45,4668065,337147326.75
2017-02-28,73.4,5096058,373265051.05
2017-03-01,73.5,5019473,369480138.4
2017-03-02,70.15,3868968,278720066.35
2017-03-03,69.05,4591143,318780001.25
2017-03-06,69.9,2533606,176706340.4
2017-03-07,69.35,1868474,130253199.95
2017-03-08,68.5,3848580,264662316.7
2017-03-09,68.2,2821619,193151766.0
2017-03-10,68.0,2123668,144604970.45
2017-03-14,69.35,2294438,159419202.0
2017-03-15,70.4,2420142,170380079.85
2017-03-16,71.85,2426017,173047690.05
2017-03-17,70.6,2461898,174322267.95
2017-03-20,71.7,2203775,156995730.7
2017-03-21,71.0,3019232,215590997.4
2017-03-22,69.15,1866028,130143794.7
2017-03-23,69.55,2271954,157738673.75
2017-03-24,71.85,4469204,320210976.5
2017-03-27,72.2,2666574,192147848.95
2017-03-28,72.35,1796160,130135181.2
2017-03-29,73.25,3651106,267821074.55
2017-03-30,72.85,2402168,175588971.75
2017-03-31,73.45,3064535,225375700.75
2017-04-03,73.45,1614730,118631740.55
2017-04-05,74.7,4934339,368869379.55
2017-04-06,73.6,2962793,219004670.55
2017-04-07,72.35,2128009,155652620.95
2017-04-10,73.9,3194568,234165775.85
2017-04-11,75.15,3427416,255588025.0
2017-04-12,73.75,2480406,183900264.45
2017-04-13,73.8,2509528,186045578.25
2017-04-17,73.5,1967694,145375850.6
2017-04-18,72.7,3155554,234452709.85
2017-04-19,72.25,1635949,118473414.7
2017-04-20,73.15,2034335,148176512.25
2017-04-21,73.25,1952140,143040662.3
2017-04-24,74.7,2543513,188226618.0
2017-04-25,75.55,3590702,270795729.5
2017-04-26,76.35,5549765,426290901.35
2017-04-27,77.7,6005707,462725195.5
2017-04-28,82.35,10298336,830502472.6
2017-05-02,82.9,5093902,420383332.55
2017-05-03,85.3,9988397,848706478.05
2017-05-04,88.05,7994605,695977290.4
2017-05-05,84.35,12701478,1102976561.8
2017-05-08,86.25,4207790,361069790.1
2017-05-09,87.55,7232756,626888793.95
2017-05-10,87.2,5399158,470414439.95
2017-05-11,88.75,8110425,721466772.65
2017-05-12,89.95,13375830,1215935201.35
2017-05-15,87.95,5456406,483163045.3
2017-05-16,89.5,6161486,544860216.7
2017-05-17,87.6,11298340,999417131.85
2017-05-18,83.35,6380016,543897301.65
2017-05-19,82.6,5092592,424543097.05
2017-05-22,78.5,4727633,380850272.4
2017-05-23,75.5,6453132,492652332.95
2017-05-24,71.95,7408580,543375632.9
2017-05-25,74.3,5288729,385058978.95
2017-05-26,73.45,5953589,439637428.0
2017-05-29,70.55,5118271,367792235.65
2017-05-30,71.15,7596231,537488433.55
2017-05-31,70.05,4016907,283456308.5
2017-06-01,71.05,5023421,353751357.6
2017-06-02,71.6,3969829,284120718.85
2017-06-05,71.55,4061396,291651192.65
2017-06-06,70.6,3620321,257084515.65
2017-06-07,71.35,3350458,238316707.9
2017-06-08,69.9,3244225,229569760.65
2017-06-09,69.85,3373703,235799016.85
2017-06-12,67.7,3987327,273553971.1
2017-06-13,67.05,3169367,214784570.1
2017-06-14,72.2,12764813,902558001.3
2017-06-15,72.25,11855839,863130880.2
2017-06-16,70.1,5435064,385020080.45
2017-06-19,70.8,3701300,262268964.6
2017-06-20,70.6,3292803,233013179.85
2017-06-21,70.6,4548704,322697309.95
2017-06-22,70.4,3704741,262397511.3
2017-06-23,69.65,4395836,305644373.35
2017-06-27,67.0,3959006,266795071.35
2017-06-28,67.0,3255224,217836883.65
2017-06-29,68.2,3875456,262454324.4
2017-06-30,67.85,2773921,188317913.25
2017-07-03,67.8,3209483,217922077.85
2017-07-04,66.4,2905706,195099169.05
2017-07-05,67.2,2263444,151500454.55
2017-07-06,69.6,5823882,404084905.95
2017-07-07,69.6,2542702,176972202.85
2017-07-10,72.15,1282841,92221131.5
2017-07-11,70.35,2631538,187866793.8
2017-07-12,70.85,2588918,182553081.65
2017-07-13,70.5,1902216,134489775.3
2017-07-14,71.1,2245640,158955557.5
2017-07-17,71.2,1333151,94771385.0
2017-07-18,72.0,3887999,281003592.45
2017-07-19,72.95,2291565,167026929.35
2017-07-20,71.95,1606324,116449828.7
2017-07-21,72.35,1736490,125254236.2
2017-07-24,75.65,8410618,631994714.15
2017-07-25,76.5,6081520,464060023.8
2017-07-26,75.9,4957989,378365023.65
2017-07-27,74.5,3488122,264470859.65
2017-07-28,74.95,2616334,196619999.9
2017-07-31,74.85,6169831,455636881.25
2017-08-01,74.15,1968767,146212577.65
2017-08-02,73.85,2359999,175023405.45
2017-08-03,71.35,2911007,209707750.15
2017-08-04,71.45,1651897,117993263.55
2017-08-07,71.85,1452479,104224269.85
2017-08-08,69.85,2543034,179199798.75
2017-08-09,68.85,2537010,175426959.65
2017-08-10,65.7,3394795,227813004.3
2017-08-11,64.6,8669668,566500936.65
2017-08-14,65.2,3203665,208504883.4
2017-08-16,66.9,2328865,152816175.85
2017-08-17,67.25,2584744,173978819.6
2017-08-18,66.15,3897970,256837853.2
2017-08-21,64.2,1998616,130635855.7
2017-08-22,64.1,2066440,132675663.35
2017-08-23,67.1,6238152,415075263.05
2017-08-24,68.4,4763909,320616915.2
2017-08-28,68.65,2239453,154021844.6
2017-08-29,67.1,2861290,193402950.6
2017-08-30,67.95,1497701,101756296.15
2017-08-31,69.25,4137956,282879721.65
2017-09-01,69.3,1991181,138493339.35
2017-09-04,68.65,1757203,120307478.7
2017-09-05,69.7,3978715,277500957.9
2017-09-06,68.75,3102083,213179591.8
2017-09-07,68.85,2402091,165882118.9
2017-09-08,67.35,2008529,136155616.25
2017-09-11,67.95,1141861,77581428.05
2017-09-12,68.95,1969152,135605920.3
2017-09-13,69.45,2010428,140291314.6
2017-09-14,70.05,1618023,113108866.3
2017-09-15,72.5,6372371,455384269.3
2017-09-18,72.95,4860126,356671237.85
2017-09-19,72.95,3798057,276696902.05
2017-09-20,73.1,2900647,212156381.9
2017-09-21,72.05,2458682,177924860.9
2017-09-22,68.85,2698414,188631553.0
2017-09-25,67.6,2461262,166025641.7
2017-09-26,67.65,1850871,125279768.0
2017-09-27,65.8,2553725,171239331.5
2017-09-28,66.45,2190530,145447760.3
2017-09-29,65.65,1491317,99008831.2
2017-10-03,65.85,1259288,82866587.85
2017-10-04,65.8,1663816,109830269.0
2017-10-05,66.2,1319874,87242877.6
2017-10-06,67.45,1668372,112114341.2
2017-10-09,67.6,1403148,94570163.3
2017-10-10,67.75,2019961,136590356.25
2017-10-11,65.45,2237967,149013919.55
2017-10-12,66.1,1611083,105439552.6
2017-10-13,66.3,1930242,128448009.95
2017-10-16,66.1,1392652,92010082.1
2017-10-17,66.35,1580632,105124205.65
2017-10-18,65.9,1377359,91162690.5
