Date,Close,Volume,Turnover
2016-01-01,138.6,705605,97992880.0
2016-01-04,138.0,2887865,406694347.3
2016-01-05,140.45,1557049,218227377.6
2016-01-06,140.6,2019595,283983957.25
2016-01-07,128.95,3428475,448643952.5
2016-01-08,129.45,2620588,340360311.3
2016-01-11,130.2,2087879,268196459.6
2016-01-12,126.95,1395522,177866095.4
2016-01-13,125.6,1774438,223818105.0
2016-01-14,126.7,2961953,367875210.5
2016-01-15,119.6,3698702,462204306.95
2016-01-18,110.75,3235033,367145133.3
2016-01-19,114.7,4934644,550595246.6
2016-01-20,111.35,3921087,429443911.0
2016-01-21,109.95,4311620,479939047.9
2016-01-22,112.85,5197824,587404276.8
2016-01-25,118.95,9123526,1079641539.4
2016-01-27,118.7,3899485,460036728.75
2016-01-28,123.8,6539542,802670444.1
2016-01-29,122.15,9407663,1171724342.6
2016-02-01,124.45,2135189,263827807.9
2016-02-02,118.15,3254440,391894195.0
2016-02-03,116.0,3319904,381279681.25
2016-02-04,123.0,6851209,841850871.4
2016-02-05,127.4,4722593,591612875.9
2016-02-08,124.95,1742141,220830830.5
2016-02-09,125.0,2402696,297625738.65
2016-02-10,117.3,3886819,459564565.25
2016-02-11,114.3,2972409,340690038.85
2016-02-12,118.95,3834568,445387528.25
2016-02-15,125.0,6173306,763291611.4
2016-02-16,125.35,5432991,692016205.2
2016-02-17,125.9,3184394,392487025.2
2016-02-18,130.65,7149891,939820994.45
2016-02-19,131.65,2125930,276580103.45
2016-02-22,131.8,2180554,287616399.3
2016-02-23,126.2,3239906,418453500.65
2016-02-24,122.65,2526372,310277946.95
2016-02-25,120.65,2923943,355927650.2
2016-02-26,123.8,1809230,222782272.9
2016-02-29,117.95,7638093,925045909.5
2016-03-01,122.95,4016502,485249680.9
2016-03-02,126.1,2500582,314493836.0
2016-03-03,129.9,4600339,596720619.1
2016-03-04,128.15,3851258,500349863.85
2016-03-08,136.7,7421489,1013251192.65
2016-03-09,136.75,4579209,611643714.0
2016-03-10,140.6,7652832,1082000516.65
2016-03-11,146.95,6114610,881882129.3
2016-03-14,151.75,5682174,852029602.7
2016-03-15,149.8,6584023,989462878.2
2016-03-16,148.3,5243253,776545933.0
2016-03-17,152.6,6751657,1033043968.3
2016-03-18,154.9,5748327,889594132.7
2016-03-21,156.95,2581655,401894028.9
2016-03-22,158.15,4068892,643430581.2
2016-03-23,158.4,4430904,694120705.9
2016-03-28,156.1,1658638,258857678.55
2016-03-29,154.55,2873697,444363457.15
2016-03-30,156.65,2667277,418940882.45
2016-03-31,153.85,9199123,1410975751.35
2016-04-01,153.25,2876698,440321619.65
2016-04-04,151.9,1609762,243446203.95
2016-04-05,146.05,1914467,283277210.45
2016-04-06,146.75,3124366,458788204.5
2016-04-07,146.65,3226160,477375794.2
2016-04-08,148.85,4751060,697251432.55
2016-04-11,151.7,3348740,507069643.15
2016-04-12,153.35,3693921,564325195.2
2016-04-13,155.2,4403176,686228337.55
2016-04-18,149.3,4673599,694733768.4
2016-04-20,150.15,4337212,651101942.7
2016-04-21,150.6,3240340,493711607.6
2016-04-22,151.65,2630649,395929076.6
2016-04-25,145.05,5272767,770935676.1
2016-04-26,145.5,3545905,514845870.2
2016-04-27,147.15,3754378,554727677.8
2016-04-28,142.95,6134679,883267517.95
2016-04-29,145.15,2025136,292435244.25
2016-05-02,150.5,3316191,495097768.25
2016-05-03,145.4,3368360,499085057.55
2016-05-04,137.25,2934349,411022769.4
2016-05-05,136.55,2694484,368507017.25
2016-05-06,139.15,2625566,359916987.2
2016-05-09,138.3,3167441,440083153.1
2016-05-10,134.9,3185224,430028843.75
2016-05-11,135.4,2021428,272853635.15
2016-05-12,136.85,3270050,448169514.6
2016-05-13,135.15,2215914,300474185.15
2016-05-16,137.3,2244983,305834022.4
2016-05-17,140.2,4605038,647919118.0
2016-05-18,139.25,2664225,373787147.65
2016-05-19,135.2,2220345,303380414.5
2016-05-20,136.7,1645087,225381135.1
2016-05-23,138.05,1929727,266528504.85
2016-05-24,136.55,2329203,316550512.3
2016-05-25,138.45,838992,116262440.8
2016-05-26,141.2,1473983,207908773.4
2016-05-27,138.05,2523146,350507155.45
2016-05-30,144.1,1877621,266852955.35
2016-05-31,145.15,4748302,689524819.4
