Date,Close,Volume,Turnover
2016-01-01,41.05,228813,9393852.6
2016-01-04,40.75,257731,10520062.8
2016-01-05,40.5,187704,7627306.95
2016-01-06,40.4,227653,9231866.15
2016-01-07,39.45,388926,15439320.5
2016-01-08,39.9,414219,16530442.15
2016-01-11,39.65,257762,10198059.9
2016-01-12,39.15,194657,7663053.3
2016-01-13,38.6,367370,14191898.05
2016-01-14,37.55,369691,13950063.55
2016-01-15,36.7,268547,9982136.0
2016-01-18,35.35,431665,15414615.95
2016-01-19,35.6,257767,9201276.95
2016-01-20,34.45,430993,14905137.45
2016-01-21,34.25,236578,8166347.35
2016-01-22,35.5,347723,12303981.05
2016-01-25,35.65,246505,8840682.45
2016-01-27,36.05,207119,7484992.05
2016-01-28,35.95,122121,4387110.25
2016-01-29,36.05,227412,8177867.75
2016-02-01,35.5,263631,9383639.55
2016-02-02,35.1,261345,9289763.9
2016-02-03,34.1,254945,8736177.9
2016-02-04,33.25,371711,12521725.9
2016-02-05,34.45,359754,12286665.3
2016-02-08,35.55,428830,15326142.5
2016-02-09,31.2,4248679,137444255.5
2016-02-10,28.75,3461042,100281089.7
2016-02-11,28.1,900312,25694859.55
2016-02-12,27.45,897060,24363696.85
2016-02-15,28.55,988771,28508302.2
2016-02-16,28.2,556018,15807625.75
2016-02-17,28.35,449578,12571301.4
2016-02-18,28.5,331581,9463844.65
2016-02-19,28.35,366560,10416018.3
2016-02-22,27.95,367611,10335918.3
2016-02-23,27.6,347955,9629547.55
2016-02-24,27.0,438203,11907062.65
2016-02-25,26.4,496755,13202083.5
2016-02-26,26.0,657430,17124146.95
2016-02-29,26.0,872059,23047591.8
2016-03-01,26.25,1519312,39988867.75
2016-03-02,27.2,1973515,53748955.6
2016-03-03,27.3,976501,26591872.5
2016-03-04,28.05,1608105,44658718.25
2016-03-08,28.1,885812,25023037.65
2016-03-09,28.25,574044,16135165.0
2016-03-10,28.45,626690,17881473.0
2016-03-11,28.4,495589,14041304.05
2016-03-14,28.4,445616,12642988.25
2016-03-15,28.55,402533,11501457.55
2016-03-16,28.65,263180,7498369.65
2016-03-17,28.5,462353,13281408.65
2016-03-18,28.45,421609,12019706.75
2016-03-21,29.1,623698,18021614.7
2016-03-22,28.85,439305,12649981.05
2016-03-23,28.7,212087,6083040.85
2016-03-28,29.05,867969,24918824.85
2016-03-29,28.4,780662,22374261.5
2016-03-30,28.85,565020,16314277.5
2016-03-31,28.85,687869,19823485.4
2016-04-01,29.8,838425,24653288.3
2016-04-04,30.15,681445,20504785.5
2016-04-05,29.35,822288,24413002.05
2016-04-06,29.35,307004,9006205.9
2016-04-07,29.15,237922,6964499.65
2016-04-08,29.3,325021,9522527.5
2016-04-11,29.35,454958,13258881.6
2016-04-12,29.2,439870,12875947.9
2016-04-13,29.45,428689,12654058.75
2016-04-18,29.15,337057,9823003.1
2016-04-20,29.4,493795,14493002.95
2016-04-21,30.05,1014684,30719548.1
2016-04-22,30.55,761972,23152689.15
2016-04-25,30.4,476136,14548143.2
2016-04-26,30.6,395673,12096637.8
2016-04-27,30.45,304904,9316888.1
2016-04-28,30.1,272665,8254980.7
2016-04-29,29.9,382795,11420645.85
2016-05-02,29.4,358222,10543427.6
2016-05-03,29.4,327627,9687827.2
2016-05-04,28.95,260041,7590471.85
2016-05-05,28.8,220538,6361776.3
2016-05-06,29.4,733211,21793587.95
2016-05-09,29.4,152157,4480688.55
2016-05-10,29.35,213623,6280414.4
2016-05-11,29.2,132776,3884062.15
2016-05-12,29.35,214121,6279858.85
2016-05-13,30.7,1553561,47068310.35
2016-05-16,29.8,702871,20916460.0
2016-05-17,30.35,787814,23881813.45
2016-05-18,30.05,364397,10963418.1
2016-05-19,29.3,375605,11135802.25
2016-05-20,28.5,639534,18397095.55
2016-05-23,28.4,334838,9510352.75
2016-05-24,28.25,147246,4159147.0
2016-05-25,28.6,226645,6480300.1
2016-05-26,28.65,277764,7930783.85
2016-05-27,29.55,349552,10240458.75
2016-05-30,29.0,380406,11150607.9
2016-05-31,28.85,741430,21200725.3
2016-06-01,29.15,715578,20871087.5
2016-06-02,29.25,251765,7379555.05
2016-06-03,29.05,148823,4351781.9
2016-06-06,29.1,162386,4733310.25
2016-06-07,29.1,345478,10107879.85
2016-06-08,29.5,345787,10218691.15
2016-06-09,30.1,732815,22089651.3
2016-06-10,30.0,400536,12121947.15
2016-06-13,29.4,152539,4489848.9
2016-06-14,30.15,418701,12586549.85
2016-06-15,31.45,1134997,35333530.25
2016-06-16,32.55,2097126,67107949.75
2016-06-17,37.05,5438609,191389296.95
2016-06-20,36.85,2701833,99246452.6
2016-06-21,36.4,973094,35829742.0
2016-06-22,36.55,2130638,78929333.4
2016-06-23,36.6,764246,28067571.8
2016-06-24,35.6,1266926,44472594.35
2016-06-27,37.45,1842575,68702375.55
2016-06-28,39.3,2197299,84868103.5
2016-06-29,39.9,1439659,57379243.0
2016-06-30,39.2,998486,39684937.8
2016-07-01,39.4,741012,29300017.4
2016-07-04,41.45,3083284,127823778.35
2016-07-05,42.6,2666941,112789689.0
2016-07-07,42.6,1601020,68892717.75
2016-07-08,41.45,910547,37832033.85
2016-07-11,42.3,1099409,46267453.4
2016-07-12,42.0,1041405,43815025.5
2016-07-13,41.05,736353,30539138.75
2016-07-14,41.5,928263,38629004.9
2016-07-15,41.0,1485447,61828477.95
2016-07-18,40.0,860324,35133275.15
2016-07-19,40.5,1059197,42884398.2
2016-07-20,40.25,330101,13332894.45
2016-07-21,39.45,425632,16963868.7
2016-07-22,38.8,547205,21376011.7
2016-07-25,39.35,1214563,47588708.35
2016-07-26,39.25,557074,22103353.5
2016-07-27,39.1,394503,15492633.9
2016-07-28,38.85,347172,13545470.45
2016-07-29,38.75,269148,10466103.95
2016-08-01,37.35,516963,19599154.7
2016-08-02,37.1,473987,17699428.1
2016-08-03,37.35,360438,13460897.3
2016-08-04,37.35,383328,14343112.35
2016-08-05,38.0,437476,16605777.3
2016-08-08,37.45,268689,10159220.6
2016-08-09,37.35,349190,13146531.2
2016-08-10,36.8,281297,10398009.7
2016-08-11,36.2,309423,11248507.6
2016-08-12,37.4,3492533,130090584.75
2016-08-16,36.75,406486,14954461.3
2016-08-17,37.1,355248,13177795.25
2016-08-18,37.1,274104,10219681.6
2016-08-19,37.4,448746,16743650.05
2016-08-22,37.5,305030,11476487.05
2016-08-23,37.1,882537,32829994.2
2016-08-24,37.35,314647,11755784.85
2016-08-25,37.25,232653,8695064.05
2016-08-26,37.15,210658,7818755.1
2016-08-29,36.9,227909,8442429.0
2016-08-30,37.45,539337,20106016.75
2016-08-31,37.0,786253,29440378.3
2016-09-01,35.9,486237,17679064.8
2016-09-02,36.25,365957,13259864.15
2016-09-06,36.35,471388,17204414.35
2016-09-07,37.75,1471837,55430732.2
2016-09-08,40.5,3480375,141756506.35
2016-09-09,39.85,961545,38644918.1
2016-09-12,37.7,774976,29735223.8
2016-09-14,38.2,646424,24599229.15
2016-09-15,38.5,388089,14901950.7
2016-09-16,38.1,667718,25772591.7
2016-09-19,37.75,218441,8295713.6
2016-09-20,37.7,220579,8341721.3
2016-09-21,37.8,239647,9063204.35
2016-09-22,38.45,462759,17793338.05
2016-09-23,37.85,322437,12284846.9
2016-09-26,37.6,204855,7723452.15
2016-09-27,37.55,538023,20452190.5
2016-09-28,38.55,592642,22780457.3
2016-09-29,36.25,891766,33080918.8
2016-09-30,36.8,411020,15059170.15
2016-10-03,37.35,304361,11351817.9
2016-10-04,38.8,1094489,42036367.4
2016-10-05,38.45,745451,28948943.35
2016-10-06,37.85,461849,17584213.1
2016-10-07,37.85,237433,8994861.7
2016-10-10,36.85,372574,13873195.3
2016-10-13,35.9,909711,32859323.8
2016-10-14,36.55,330647,12019605.65
2016-10-17,36.15,532352,19282673.75
2016-10-18,36.65,524870,19169539.95
2016-10-19,37.3,440942,16347616.0
2016-10-20,38.55,1235577,47230044.85
2016-10-21,38.15,471221,17918035.95
2016-10-24,37.65,387256,14705914.2
2016-10-25,37.3,319989,11974919.9
2016-10-26,37.35,310938,11657194.1
2016-10-27,37.55,596121,22345574.75
2016-10-28,37.85,690916,26260074.0
2016-11-01,37.8,348876,13272326.9
2016-11-02,36.95,369365,13706836.1
2016-11-03,36.85,450390,16606721.0
2016-11-04,36.25,578387,20898384.05
2016-11-07,35.15,922012,32653237.05
2016-11-08,34.7,594142,20730471.3
2016-11-09,33.7,1410098,46733075.5
2016-11-10,38.05,3154316,118804110.2
2016-11-11,37.95,2196479,84972111.35
2016-11-15,37.9,1185141,45392829.1
2016-11-16,37.75,769593,29341055.6
2016-11-17,37.15,444987,16711557.85
2016-11-18,37.05,420916,15657948.9
2016-11-21,35.45,537781,19360530.5
2016-11-22,35.05,524803,18475892.85
2016-11-23,33.95,1108521,37998557.9
2016-11-24,34.1,367896,12567468.75
2016-11-25,35.15,582962,20356109.15
2016-11-28,35.25,474113,16754300.6
2016-11-29,34.5,622452,21862291.75
2016-11-30,34.8,491583,17118294.35
2016-12-01,34.55,415423,14439024.0
2016-12-02,34.3,623854,21530752.05
2016-12-05,34.35,308202,10577443.3
2016-12-06,34.6,195429,6774021.95
2016-12-07,34.4,285876,9920165.4
2016-12-08,33.95,368903,12652688.5
2016-12-09,34.5,399656,13799895.35
2016-12-12,34.25,367294,12639054.7
2016-12-13,34.4,207712,7131305.85
2016-12-14,34.45,345775,11944895.95
2016-12-15,34.25,204448,7024685.35
2016-12-16,33.95,739934,25156019.45
2016-12-19,33.6,249990,8428367.05
2016-12-20,33.15,323641,10745466.9
2016-12-21,33.35,191887,6413690.55
2016-12-22,32.95,301625,9938271.5
2016-12-23,32.9,190389,6276167.7
2016-12-26,31.9,439356,14117312.8
2016-12-27,32.05,231787,7421352.2
2016-12-28,32.0,190487,6131461.3
2016-12-29,32.15,129603,4161860.05
2016-12-30,32.65,231285,7566025.4
2017-01-02,33.05,288284,9526812.0
2017-01-03,33.4,231263,7730015.4
2017-01-04,33.25,163396,5443912.65
2017-01-05,34.3,483336,16524334.8
2017-01-06,34.3,339837,11662824.7
2017-01-09,34.15,274261,9401458.35
2017-01-10,34.35,159930,5504944.15
2017-01-11,35.0,578139,20154733.4
2017-01-12,34.8,363706,12672612.9
2017-01-13,34.7,327421,11340066.2
2017-01-16,34.6,162402,5648924.8
2017-01-17,35.0,292055,10212016.95
2017-01-18,35.0,178654,6260960.2
2017-01-19,34.85,203507,7101197.25
2017-01-20,34.4,290341,10051543.95
2017-01-23,33.95,328935,11201386.35
2017-01-24,33.9,186470,6336492.85
2017-01-25,34.15,241628,8246679.2
2017-01-27,34.35,440971,15225958.2
2017-01-30,35.8,1075112,38280099.8
2017-01-31,35.35,365578,12933037.85
2017-02-01,35.15,1245501,43485108.15
2017-02-02,37.65,4216216,158488186.3
2017-02-03,39.4,2719947,106118687.0
2017-02-06,39.65,1347578,54065025.05
2017-02-07,40.05,1523955,61060506.8
2017-02-08,39.95,870751,34763229.9
2017-02-09,40.05,813852,32392804.85
2017-02-10,39.9,4103505,165976491.15
2017-02-13,37.95,1389199,53884140.9
2017-02-14,38.25,844510,32097650.75
2017-02-15,37.25,566876,21286136.35
2017-02-16,37.15,691043,25674605.2
2017-02-17,37.1,419320,15628461.2
2017-02-20,38.4,1828065,70383442.35
2017-02-21,38.5,1021538,39307019.35
2017-02-22,38.15,676564,25999659.4
2017-02-23,37.85,479501,18277812.75
2017-02-27,37.7,841751,31956209.05
2017-02-28,37.95,588425,22428705.8
2017-03-01,38.5,1632818,63244527.9
2017-03-02,37.6,863065,33049129.05
2017-03-03,37.35,491561,18369279.25
2017-03-06,37.4,239919,8990462.65
2017-03-07,37.05,287604,10674574.4
2017-03-08,36.7,317878,11720140.35
2017-03-09,36.5,505704,18586576.8
2017-03-10,36.5,395716,14540139.55
2017-03-14,36.65,431487,15947100.2
2017-03-15,36.8,760788,28190058.0
2017-03-16,37.3,511523,19050678.4
2017-03-17,37.0,503145,18653528.75
2017-03-20,38.7,3509712,136577790.95
2017-03-21,37.85,747778,28600336.2
2017-03-22,37.8,736166,27887134.75
2017-03-23,37.65,414209,15674632.0
2017-03-24,37.65,1765121,67504521.7
2017-03-27,37.7,532449,20135392.35
2017-03-28,37.35,530139,19928736.8
2017-03-29,37.95,705525,26668909.35
2017-03-30,37.65,491630,18595555.8
2017-03-31,38.3,1840312,70876733.8
2017-04-03,38.5,528078,20301255.85
2017-04-05,39.05,1050201,40864370.8
2017-04-06,38.65,467611,18141600.3
2017-04-07,39.15,2817603,112254671.95
2017-04-10,39.6,958320,37994650.25
2017-04-11,40.25,1926275,77352971.4
2017-04-12,39.4,833562,33135308.05
2017-04-13,39.25,490849,19408811.4
2017-04-17,38.9,362336,14139257.75
2017-04-18,38.65,1204650,47629122.45
2017-04-19,38.7,415049,16085874.15
2017-04-20,39.4,764006,30092997.95
2017-04-21,38.8,668090,26146230.15
2017-04-24,40.2,2019400,80445745.1
2017-04-25,40.55,2082865,84644933.45
2017-04-26,40.15,2261986,92442849.15
2017-04-27,40.15,892973,35912451.75
2017-04-28,44.35,7804447,335755090.95
2017-05-02,44.45,3778752,168707183.35
2017-05-03,45.8,7994986,367151730.95
2017-05-04,46.95,4180217,196806418.3
2017-05-05,46.45,6492172,308377612.0
2017-05-08,47.4,1827094,86046158.5
2017-05-09,44.6,17135480,796346350.85
2017-05-10,42.15,5146803,219464172.35
2017-05-11,41.1,3824015,159500151.7
2017-05-12,40.15,2112347,85626671.45
2017-05-15,38.85,2351592,91993943.25
2017-05-16,39.5,2788032,109486650.65
2017-05-17,39.15,953505,37434404.8
2017-05-18,38.25,1187129,45742793.0
2017-05-19,37.7,1187363,45290251.85
2017-05-22,36.6,1067202,39572720.6
2017-05-23,35.7,1323159,47489888.15
2017-05-24,34.4,1402111,49374958.85
2017-05-25,35.2,1424294,49885035.8
2017-05-26,35.85,1092485,39053752.35
2017-05-29,34.4,909296,31785745.35
2017-05-30,34.35,1097869,37798991.65
2017-05-31,34.15,866953,29806436.65
2017-06-01,34.05,1612844,54788299.85
2017-06-02,34.25,1259129,43355800.1
2017-06-05,33.65,1001930,33796266.0
2017-06-06,33.6,546514,18383620.55
2017-06-07,34.2,646585,21971267.05
2017-06-08,33.9,521468,17826150.7
2017-06-09,33.9,457134,15510350.15
2017-06-12,33.55,547134,18428878.6
2017-06-13,33.4,438958,14748490.95
2017-06-14,36.25,11689177,426804317.2
2017-06-15,35.75,1967124,70790040.2
2017-06-16,34.7,1248896,43915603.85
2017-06-19,34.7,920122,32187874.75
2017-06-20,34.3,764519,26245356.1
2017-06-21,33.95,819189,27901455.1
2017-06-22,33.9,929717,31871586.85
2017-06-23,33.3,1097623,36673621.05
2017-06-27,33.5,1670352,56501655.45
2017-06-28,33.3,752263,25169523.5
