Date,Close,Volume,Turnover
2016-01-01,236.05,351512,83173284.25
2016-01-04,230.15,670737,155503783.4
2016-01-05,231.5,389698,90444361.35
2016-01-06,231.85,404548,94395916.1
2016-01-07,214.5,1083810,237306593.35
2016-01-08,223.35,1173805,260038117.95
2016-01-11,222.15,721015,159890833.15
2016-01-12,214.5,957181,207894528.95
2016-01-13,210.9,1313316,277753028.0
2016-01-14,206.75,672229,139624809.75
2016-01-15,202.05,618313,127193622.35
2016-01-18,190.65,992524,194861937.95
2016-01-19,192.85,1275605,244671515.7
2016-01-20,183.25,1660129,305401047.75
2016-01-21,177.35,1361733,246901472.35
2016-01-22,186.75,1357799,249958303.15
2016-01-25,189.1,993404,188732332.8
2016-01-27,185.4,834982,155004614.85
2016-01-28,182.5,1184019,217166102.45
2016-01-29,183.8,963092,176456455.55
2016-02-01,190.65,2115118,405173437.0
2016-02-02,190.0,1514401,290905942.3
2016-02-03,183.4,897643,165183302.55
2016-02-04,176.95,1727249,310933439.3
2016-02-05,178.3,1573495,279997983.3
2016-02-08,173.7,1438511,256025721.3
2016-02-09,167.05,1383125,231765929.9
2016-02-10,162.4,1102894,180398749.9
2016-02-11,151.1,1659140,259636271.25
2016-02-12,152.45,1883262,277770410.75
2016-02-15,159.05,1538295,244477639.35
2016-02-16,154.4,1037535,162192961.15
2016-02-17,153.55,1049687,158697802.3
2016-02-18,153.55,985260,152220771.15
2016-02-19,151.7,1035141,157367273.85
2016-02-22,150.3,847409,128260154.85
2016-02-23,151.15,989309,150055318.8
2016-02-24,147.1,924830,137393335.45
2016-02-25,142.2,2160970,310645525.5
2016-02-26,152.1,2226546,332417534.9
2016-02-29,153.6,5385931,842745711.75
2016-03-01,159.9,1831980,291475389.75
2016-03-02,165.25,1827784,302200607.7
2016-03-03,167.8,1693761,281591962.8
2016-03-04,173.8,2248136,389688527.75
2016-03-08,175.05,1728108,303398387.3
2016-03-09,177.55,1351011,237555907.65
2016-03-10,181.1,2184114,398428268.05
2016-03-11,183.6,1413781,258724906.0
2016-03-14,183.25,1229098,226100890.6
2016-03-15,183.1,755308,138489613.2
2016-03-16,180.7,1203144,215462487.3
2016-03-17,175.05,1430742,254781960.9
2016-03-18,177.1,1745579,304401476.9
2016-03-21,185.65,1522326,279273044.55
2016-03-22,188.85,1343776,252198836.5
2016-03-23,189.5,897190,169449784.2
2016-03-28,185.0,836499,156183099.8
2016-03-29,185.85,946272,176212920.65
2016-03-30,190.9,1082224,205337621.45
2016-03-31,196.35,1930005,374562758.9
2016-04-01,200.0,1536951,306984584.9
2016-04-04,202.9,1414825,288147754.3
2016-04-05,190.15,1746080,341826097.6
2016-04-06,192.95,1350084,258438775.3
2016-04-07,187.45,893512,170228297.9
2016-04-08,188.7,880176,164970989.95
2016-04-11,190.15,919852,174108766.35
2016-04-12,192.35,1109271,213527573.25
2016-04-13,203.05,2871953,578218238.6
2016-04-18,207.65,1494017,308989124.75
2016-04-20,207.0,1411562,291500183.4
2016-04-21,205.2,1130699,232465769.75
2016-04-22,205.65,817958,169026836.65
2016-04-25,199.8,952472,191670432.65
2016-04-26,205.85,1316595,266484433.8
2016-04-27,205.4,771795,158903911.7
2016-04-28,199.75,1318784,265738741.55
2016-04-29,198.3,1475929,292246205.2
2016-05-02,203.7,1028983,207854590.95
2016-05-03,204.0,1135448,232343879.6
2016-05-04,198.0,2428191,488441293.75
2016-05-05,201.25,3527219,692355694.05
2016-05-06,196.6,1497661,298869303.35
2016-05-09,201.0,940753,188586670.5
2016-05-10,200.3,720066,144454280.35
2016-05-11,196.85,818344,161611359.55
2016-05-12,205.0,2456501,497401696.45
2016-05-13,203.9,1734449,355353598.05
2016-05-16,203.3,770804,156079645.5
2016-05-17,201.7,1680284,342443766.05
2016-05-18,202.05,848356,171165235.15
2016-05-19,192.1,1961499,385550512.55
2016-05-20,186.7,1747339,329883640.6
2016-05-23,186.45,891733,167617355.5
2016-05-24,183.55,831030,153125708.3
2016-05-25,189.0,1613267,304516364.1
2016-05-26,194.75,1446102,277726633.0
2016-05-27,197.5,1722710,341162312.8
2016-05-30,195.25,1443737,282609715.3
2016-05-31,198.5,1626178,322472707.15
2016-06-01,197.15,1173590,234393193.1
2016-06-02,197.65,867792,170978719.55
2016-06-03,197.2,995786,197924184.65
2016-06-06,196.25,781153,153674794.45
2016-06-07,197.4,1155826,228482008.65
2016-06-08,200.45,1724394,343058672.55
2016-06-09,212.0,6745253,1412387142.85
2016-06-10,209.0,5238562,1114279661.9
2016-06-13,202.7,3158184,639002766.55
2016-06-14,205.05,2128638,436035335.05
2016-06-15,206.3,1402500,289211816.2
2016-06-16,202.1,2045693,412871279.75
2016-06-17,201.85,1464186,296143385.85
2016-06-20,204.7,1783624,365055844.4
2016-06-21,203.85,991457,202904569.65
2016-06-22,200.15,1047416,211090373.7
2016-06-23,199.75,1311280,262183087.85
2016-06-24,194.85,1887007,361696989.2
2016-06-27,195.85,1244510,244493408.8
2016-06-28,202.1,3339589,666837503.75
2016-06-29,201.85,1592660,323029166.65
2016-06-30,203.7,3120967,635789672.0
2016-07-01,207.95,2589140,538192129.85
2016-07-04,211.85,2615210,554453412.05
2016-07-05,212.2,1683618,357891538.9
2016-07-07,212.5,1401889,298828777.1
2016-07-08,214.2,1948308,412945715.9
2016-07-11,217.1,2860023,622151788.4
2016-07-12,217.35,1246325,269916261.85
2016-07-13,214.0,1333023,286590995.55
2016-07-14,213.4,1182540,252489195.65
2016-07-15,215.3,1623449,351000039.5
2016-07-18,216.95,2883056,634053901.45
2016-07-19,216.85,1077455,233627156.6
2016-07-20,219.75,3934916,861215699.55
2016-07-21,217.9,2759893,605074727.15
2016-07-22,222.0,2187302,482222222.7
2016-07-25,225.35,2227733,499491932.3
2016-07-26,221.85,1739479,391665444.4
2016-07-27,221.75,1136490,252892926.85
2016-07-28,223.75,1143174,256190224.7
2016-07-29,223.2,782138,175044648.75
2016-08-01,223.05,1276150,286309764.35
2016-08-02,224.2,2056534,463909207.6
2016-08-03,224.2,1688081,378485168.9
2016-08-04,234.35,3819466,883727408.2
2016-08-05,247.5,4391691,1063992947.35
2016-08-08,247.3,2791533,696903352.05
2016-08-09,251.7,2490220,621653294.0
2016-08-10,253.35,4817435,1221297855.4
2016-08-11,258.75,3764751,969625458.75
2016-08-12,265.15,3590754,952819925.5
2016-08-16,262.9,2780846,724862659.85
2016-08-17,264.05,2568660,674648320.15
2016-08-18,266.35,1773271,474523206.95
2016-08-19,263.4,1869295,492572203.85
2016-08-22,265.05,2682208,708470294.05
2016-08-23,272.55,3184207,855616643.75
2016-08-24,282.0,4385924,1220262270.65
2016-08-25,280.65,3057016,858822962.1
2016-08-26,283.5,2165496,614211054.25
2016-08-29,280.4,1880563,525607417.45
2016-08-30,289.8,3161951,912092942.7
2016-08-31,290.6,2673780,774100274.55
2016-09-01,285.5,2063826,596930424.5
2016-09-02,287.3,1697677,486556969.45
2016-09-06,295.25,1774669,520232684.4
2016-09-07,296.9,1753606,520437196.9
2016-09-08,302.05,3131453,941539117.4
2016-09-09,299.9,2513771,752343293.1
2016-09-12,278.05,3233133,919251157.1
2016-09-14,288.15,2680481,755725093.95
2016-09-15,284.85,1122387,320005649.15
2016-09-16,281.0,4792510,1372581600.9
2016-09-19,283.95,1973747,561444773.6
2016-09-20,282.4,957502,271138577.3
2016-09-21,282.3,1265654,359915458.4
2016-09-22,291.55,2141664,616886509.3
2016-09-23,292.75,2013683,589803451.5
2016-09-26,290.85,1463894,427771480.15
2016-09-27,296.25,2492614,737373560.55
2016-09-28,298.3,2330793,697866963.8
2016-09-29,272.55,5439662,1529396738.2
2016-09-30,283.8,1728452,482862216.05
2016-10-03,295.8,1657059,485205498.4
2016-10-04,299.0,2162245,641551036.65
2016-10-05,296.5,1407689,420608596.4
2016-10-06,295.0,1314855,391373772.85
2016-10-07,292.4,2048187,598404893.7
2016-10-10,292.6,1491264,437772816.9
2016-10-13,284.05,1300997,369687797.05
2016-10-14,301.1,3184780,935943676.3
2016-10-17,307.35,9787276,2979725330.8
2016-10-18,324.05,7410151,2359211476.05
2016-10-19,334.65,6856747,2271559826.5
2016-10-20,330.1,2556013,846351817.9
2016-10-21,331.8,2199168,730635576.1
2016-10-24,328.95,1746773,576080647.45
2016-10-25,325.85,1633696,533420055.55
2016-10-26,318.6,2520028,813569357.45
2016-10-27,324.4,2818782,905794593.8
2016-10-28,328.1,3414727,1117596126.7
2016-11-01,329.05,1617760,533408688.45
2016-11-02,317.1,1819473,580887768.05
2016-11-03,310.2,2643168,834476045.7
2016-11-04,297.4,2805719,837001403.75
2016-11-07,312.2,2433761,757276321.3
2016-11-08,314.05,1550410,485285099.25
2016-11-09,281.15,11598180,3176918871.95
2016-11-10,274.85,4946529,1405552760.7
2016-11-11,251.4,6806000,1742373557.6
2016-11-15,242.25,5704485,1363280260.45
2016-11-16,230.8,6559410,1573010547.0
2016-11-17,229.8,3978067,926257150.85
2016-11-18,227.9,2415864,556804942.15
2016-11-21,219.7,3959574,875309051.6
2016-11-22,227.15,3562438,799386782.05
2016-11-23,232.1,3065075,709729937.85
2016-11-24,227.65,4201001,956535155.35
2016-11-25,238.0,3657737,851726049.3
2016-11-28,241.05,3746267,900606943.7
2016-11-29,251.3,5517718,1387204918.85
2016-11-30,256.5,4054572,1036523663.2
2016-12-01,248.65,2528401,634793953.9
2016-12-02,242.25,2109248,513814376.6
2016-12-05,249.55,2168735,533234978.85
2016-12-06,252.6,1821892,461336291.8
2016-12-07,246.65,2271950,571361142.4
2016-12-08,254.5,2177446,556508357.6
2016-12-09,255.2,928186,236667142.65
2016-12-12,248.4,1077110,269387984.45
2016-12-13,245.55,1778221,436265640.1
2016-12-14,242.3,1532975,373828933.5
2016-12-15,243.5,2989864,727570302.45
2016-12-16,241.6,2169761,523506735.45
2016-12-19,241.55,1214901,296263799.75
2016-12-20,236.6,1262171,300303324.7
2016-12-21,235.95,1078384,256293148.7
2016-12-22,231.1,1577283,363898114.25
2016-12-23,233.9,1564413,364978041.15
2016-12-26,230.9,1078752,249819671.85
2016-12-27,238.6,1314068,307802973.45
2016-12-28,241.25,2347851,569327618.9
2016-12-29,245.15,1871521,457404681.45
2016-12-30,243.65,1716550,424590806.8
2017-01-02,249.9,3451303,851177478.0
2017-01-03,245.8,2046400,504691205.35
2017-01-04,243.2,1677717,410917769.55
2017-01-05,247.45,1430894,352763059.25
2017-01-06,248.75,1860155,464905451.45
2017-01-09,255.15,2202785,561148033.0
2017-01-10,255.4,1535444,392163742.15
2017-01-11,264.85,3275492,862614214.8
2017-01-12,267.05,3629146,976510592.8
2017-01-13,270.65,2199989,591647646.6
2017-01-16,288.0,11024135,3096309105.6
2017-01-17,285.15,5886522,1691535205.7
2017-01-18,282.85,2627815,745764960.5
2017-01-19,280.1,2683260,753592165.4
2017-01-20,272.4,3258588,900727417.2
2017-01-23,273.25,2980165,810382034.3
2017-01-24,277.4,1707817,473574547.95
2017-01-25,285.05,3402182,963207943.45
2017-01-27,283.9,1896702,542335570.95
2017-01-30,283.65,1738922,494391454.65
2017-01-31,284.55,2727418,780540257.9
2017-02-01,295.4,5954414,1731825396.1
2017-02-02,294.9,3371237,995773719.95
2017-02-03,296.7,2799808,834381246.95
2017-02-06,300.6,2799249,845438569.65
2017-02-07,296.55,1743707,522365994.75
2017-02-08,295.75,1938509,571301195.55
2017-02-09,303.15,2664110,793860152.95
2017-02-10,303.8,3168478,964829446.75
2017-02-13,306.75,2078339,633824499.65
2017-02-14,304.2,2393152,729347705.1
2017-02-15,294.4,2581300,766881479.75
2017-02-16,304.6,3252642,965183422.75
2017-02-17,322.2,7793240,2471163502.1
2017-02-20,323.8,2755044,892613206.8
2017-02-21,322.4,1686928,543697563.85
2017-02-22,317.45,2186800,699752994.3
2017-02-23,331.1,3685618,1207081554.2
2017-02-27,332.15,3440999,1150715925.75
2017-02-28,333.15,1317125,436815091.7
2017-03-01,332.25,1534627,512601666.65
2017-03-02,324.55,2241822,744762662.6
2017-03-03,324.3,1602872,518601484.5
2017-03-06,327.55,1912588,625327791.0
2017-03-07,328.8,1138519,373438684.65
2017-03-08,328.0,1843368,606458781.25
2017-03-09,326.0,888734,290997017.35
2017-03-10,325.5,843439,275976628.2
2017-03-14,343.25,4292067,1458864171.0
2017-03-15,349.7,3119978,1086788462.75
2017-03-16,357.65,3199782,1139351113.25
2017-03-17,357.4,1558205,554213109.35
2017-03-20,361.75,1645375,593329533.9
2017-03-21,361.25,1392470,503308669.7
2017-03-22,355.45,2184925,778614212.25
2017-03-23,358.75,2156143,772668366.8
2017-03-24,361.75,1611087,583612558.35
2017-03-27,363.05,1989992,722264432.3
2017-03-28,367.0,1656553,607162915.2
2017-03-29,367.25,1195445,439149605.2
2017-03-30,364.2,3208218,1171715402.3
2017-03-31,367.15,2015115,742582439.6
2017-04-03,372.8,1415240,525759314.4
2017-04-05,384.8,2346857,890391023.55
2017-04-06,390.3,2919288,1132689193.75
2017-04-07,383.4,2581360,1000547622.0
2017-04-10,384.55,1368993,526229852.75
2017-04-11,392.8,1688550,658287631.05
2017-04-12,388.6,2669072,1039253100.5
2017-04-13,389.1,1516802,590808546.7
2017-04-17,399.2,3277224,1287941109.05
2017-04-18,394.55,2892748,1167571136.45
2017-04-19,401.3,1629798,647358302.3
2017-04-20,410.55,2644256,1079086373.8
2017-04-21,415.4,2729476,1133589147.6
2017-04-24,417.55,2052736,856924580.25
2017-04-25,430.8,2932941,1253123862.0
2017-04-26,432.05,3907892,1698462242.15
2017-04-27,422.95,3172199,1348080947.15
2017-04-28,426.75,1645603,703861994.0
2017-05-02,447.1,4094227,1801346350.95
2017-05-03,444.4,7191129,3220122436.55
2017-05-04,438.0,2862215,1260530709.15
2017-05-05,431.35,2986500,1296021588.0
2017-05-08,441.1,2032859,894928576.05
2017-05-09,437.9,1563069,687069195.15
2017-05-10,441.55,1351751,596245001.1
2017-05-11,442.4,1342261,595444838.85
2017-05-12,426.65,2456840,1056695546.05
2017-05-15,431.4,1160661,500175906.3
2017-05-16,424.45,1662805,706915227.6
2017-05-17,429.0,1443843,618148331.2
2017-05-18,417.95,1639654,692300664.05
2017-05-19,404.2,2693962,1109715622.8
2017-05-22,404.0,1636114,663874862.95
2017-05-23,402.0,2322519,930124260.75
