Date,Close,Volume,Turnover
2016-01-01,147.6,2545503,377205942.95
2016-01-04,137.35,2495556,348744145.5
2016-01-05,139.7,1506934,209663511.9
2016-01-06,137.3,775960,108455279.55
2016-01-07,128.8,1235074,161722252.75
2016-01-08,126.6,2351611,299797546.9
2016-01-11,128.5,1128915,143662673.05
2016-01-12,123.45,1478355,188931905.85
2016-01-13,116.35,2969270,342019432.8
2016-01-14,116.0,1795392,210008352.25
2016-01-15,108.65,1334138,152063721.3
2016-01-18,97.05,2281391,231395710.6
2016-01-19,104.05,2058900,210181912.05
2016-01-20,97.45,2483049,248318349.85
2016-01-21,98.8,1475349,147143726.0
2016-01-22,108.75,2850287,305870491.85
2016-01-25,113.1,2068510,235891149.8
2016-01-27,114.1,1330731,152785381.6
2016-01-28,113.5,807871,92774851.25
2016-01-29,115.35,963332,111435782.15
2016-02-01,117.6,1039494,122654926.55
2016-02-02,110.4,865460,98489516.3
2016-02-03,103.85,899358,94639418.7
2016-02-04,100.55,1215204,126408068.15
2016-02-05,103.8,1029580,105505042.35
2016-02-08,100.2,763681,78125189.35
2016-02-09,100.1,942348,94287103.3
2016-02-10,98.05,686206,67842336.85
2016-02-11,89.75,1243376,114883891.35
2016-02-12,85.3,1641450,139750035.75
2016-02-15,89.9,984362,88697603.5
2016-02-16,86.05,491945,43488495.8
2016-02-17,81.55,1755438,142097310.6
2016-02-18,83.65,988767,83473979.75
2016-02-19,84.6,714828,60211946.45
2016-02-22,87.25,589274,51016835.9
2016-02-23,83.4,592829,50367788.75
2016-02-24,84.0,576750,48291902.35
2016-02-25,84.15,455797,38505873.0
2016-02-26,86.55,741183,63908270.35
2016-02-29,90.3,1660711,149945444.6
2016-03-01,96.85,1269641,120698592.05
2016-03-02,97.9,1472973,146226676.65
2016-03-03,99.45,881593,87655415.1
2016-03-04,102.45,1757386,178569461.25
2016-03-08,101.35,1002397,102526548.75
2016-03-09,102.1,743631,75012701.65
2016-03-10,106.1,1551073,163928884.3
2016-03-11,105.05,1384684,146419488.9
2016-03-14,111.95,2298062,252832368.05
2016-03-15,115.0,3062037,354892484.85
2016-03-16,114.35,1019468,115891772.2
2016-03-17,113.65,1126936,130559408.35
2016-03-18,115.45,1425502,163767831.5
2016-03-21,114.0,811157,92774420.25
2016-03-22,113.6,636689,72699484.25
2016-03-23,111.9,630975,71260103.9
2016-03-28,106.5,765959,83773416.55
2016-03-29,113.2,1385081,154160133.7
2016-03-30,114.15,831970,95975745.8
2016-03-31,112.95,398086,45331270.3
2016-04-01,115.8,601879,69360705.6
2016-04-04,116.15,1596346,188736211.9
2016-04-05,114.1,613207,70083574.3
2016-04-06,116.05,592131,68294214.05
2016-04-07,116.3,1151173,135555207.2
2016-04-08,117.15,551157,64244772.25
2016-04-11,117.3,993266,117505746.0
2016-04-12,117.35,518015,60879959.3
2016-04-13,115.95,557183,65306117.15
2016-04-18,117.15,547059,64081540.55
2016-04-20,125.45,4649027,575328386.85
2016-04-21,123.95,1286168,162430578.25
2016-04-22,125.9,1025061,128801856.65
2016-04-25,128.6,1743433,224518461.05
2016-04-26,128.75,1183570,153389867.85
2016-04-27,126.75,475059,60488172.95
2016-04-28,118.7,1187528,144304009.05
2016-04-29,121.95,733639,88790429.15
2016-05-02,123.95,708066,87589439.05
2016-05-03,121.05,679906,83910475.65
2016-05-04,122.45,631324,77177621.35
2016-05-05,122.75,640051,79072038.15
2016-05-06,121.55,292378,35554281.75
2016-05-09,120.65,379970,46059452.8
2016-05-10,118.95,353088,42151459.8
2016-05-11,120.95,482906,57922543.8
2016-05-12,122.0,581687,71126070.35
2016-05-13,118.95,386535,46058050.65
2016-05-16,117.9,402995,47463761.85
2016-05-17,118.2,484130,57588803.85
2016-05-18,117.7,611526,71529730.65
2016-05-19,114.75,1152513,135669440.6
2016-05-20,112.35,791947,90461376.45
2016-05-23,108.5,1002745,111559039.75
2016-05-24,113.0,703361,77223926.1
2016-05-25,112.9,559101,63808081.9
2016-05-26,109.65,717718,78756932.45
