Date,Close,Volume,Turnover
2016-01-01,99.95,410525,40617398.25
2016-01-04,100.1,301589,30171798.8
2016-01-05,99.85,408239,40798279.5
2016-01-06,99.2,465010,46242274.4
2016-01-07,97.3,195791,18987762.15
2016-01-08,97.85,339554,33247813.95
2016-01-11,98.6,219258,21581966.15
2016-01-12,96.1,352328,34168496.1
2016-01-13,94.95,445130,41654422.85
2016-01-14,94.55,751383,70517218.15
2016-01-15,94.05,388458,37193588.7
2016-01-18,90.55,242156,21839598.65
2016-01-19,89.7,104949,9612177.15
2016-01-20,88.25,171212,14945163.0
2016-01-21,88.0,100354,8833501.4
2016-01-22,93.2,1313215,121523739.9
2016-01-25,93.5,541701,50886504.4
2016-01-27,94.3,175878,16585737.75
2016-01-28,94.65,161441,15258238.9
2016-01-29,94.3,94640,8962220.75
2016-02-01,95.7,160362,15265438.2
2016-02-02,95.4,293248,28086429.25
2016-02-03,95.05,324530,31980022.65
2016-02-04,94.7,350582,33390841.0
2016-02-05,94.1,244723,23188857.75
2016-02-08,94.45,161394,15224806.8
2016-02-09,94.6,201350,18789481.65
2016-02-10,92.95,818844,76069840.05
2016-02-11,92.85,391424,35933103.2
2016-02-12,91.6,359240,32387579.25
2016-02-15,94.05,228245,21355088.75
2016-02-16,91.7,89022,8197331.45
2016-02-17,91.2,78681,7157498.0
2016-02-18,92.7,139867,12893167.25
2016-02-19,91.85,76012,6988288.4
2016-02-22,91.1,207158,18920553.4
2016-02-23,90.6,73249,6613517.35
2016-02-24,89.35,132420,11819867.85
2016-02-25,89.05,645755,57772099.85
2016-02-26,88.7,193582,17121199.85
2016-02-29,88.65,225306,20420528.6
2016-03-01,89.2,420615,37665649.8
2016-03-02,88.8,346914,31056024.6
2016-03-03,88.9,103048,9168590.35
2016-03-04,88.9,314816,27960072.5
2016-03-08,88.25,362866,32098719.7
2016-03-09,88.15,286812,25305102.7
2016-03-10,88.2,340064,30017033.45
2016-03-11,88.3,185209,16345912.25
2016-03-14,87.45,896835,78643101.3
2016-03-15,87.0,465867,40621249.45
2016-03-16,86.45,213708,18565932.0
2016-03-17,85.4,596007,51408122.45
2016-03-18,86.8,263232,22653970.15
2016-03-21,86.2,683154,58879556.55
2016-03-22,85.45,299006,25601843.1
2016-03-23,84.6,656537,55613878.8
2016-03-28,83.7,255405,21310231.3
2016-03-29,82.95,292918,24331464.25
2016-03-30,82.35,1324998,109541261.7
2016-03-31,81.15,830508,67638144.0
2016-04-01,83.35,345536,28779888.35
2016-04-04,83.65,301319,25275410.95
2016-04-05,83.15,350592,29302295.15
2016-04-06,83.45,207172,17281152.0
2016-04-07,82.55,197582,16300920.15
2016-04-08,82.0,144666,11897030.8
2016-04-11,82.05,145211,11941329.3
2016-04-12,81.95,260279,21329226.35
2016-04-13,82.0,752511,61833379.45
2016-04-18,82.0,334250,27486320.45
2016-04-20,81.9,968192,79480133.55
2016-04-21,81.6,541838,44442439.95
2016-04-22,81.9,675783,55335674.45
2016-04-25,80.9,543587,44094002.95
2016-04-26,81.05,722474,58581538.9
2016-04-27,80.65,3808156,312311417.25
2016-04-28,80.55,567977,45802341.95
2016-04-29,81.6,553741,45034603.5
2016-05-02,81.25,532183,43255725.5
2016-05-03,81.1,415371,33708546.45
2016-05-04,79.4,277838,22211123.9
2016-05-05,79.9,615893,48904004.55
2016-05-06,79.95,163537,13079052.15
2016-05-09,80.55,524155,42307960.4
2016-05-10,80.3,106743,8589971.55
2016-05-11,79.75,341821,27309289.9
2016-05-12,79.55,208060,16655812.35
2016-05-13,79.5,410717,32733233.15
2016-05-16,79.3,237755,18889333.55
2016-05-17,79.75,189931,15160509.65
2016-05-18,79.7,178547,14247774.4
2016-05-19,79.15,178955,14211479.7
2016-05-20,79.25,439960,34083213.3
2016-05-23,81.05,436208,35251040.95
2016-05-24,83.25,483840,39920172.1
2016-05-25,83.4,205491,17122006.95
