Date,Close,Volume,Turnover
2016-01-01,272.85,61173,16850425.85
2016-01-04,267.75,51938,13956285.1
2016-01-05,266.8,80828,21654684.7
2016-01-06,268.65,110687,30181565.9
2016-01-07,257.35,53087,13863629.65
2016-01-08,258.25,56273,14698281.3
2016-01-11,255.15,48772,12419706.75
2016-01-12,250.45,37488,9464872.55
2016-01-13,245.55,74515,18201532.6
2016-01-14,243.4,47197,11421700.55
2016-01-15,230.2,42947,10182891.45
2016-01-18,214.6,59526,12924332.95
2016-01-19,226.3,63882,14074206.3
2016-01-20,221.35,47069,10231534.7
2016-01-21,216.9,58005,12665513.65
2016-01-22,223.25,43097,9648913.95
2016-01-25,234.5,46496,10742249.25
2016-01-27,232.4,19513,4564854.0
2016-01-28,228.4,22380,5132801.4
2016-01-29,233.6,57478,13243678.6
2016-02-01,237.95,51030,12307349.3
2016-02-02,229.2,42410,9858088.0
2016-02-03,221.6,31655,7060331.05
2016-02-04,222.95,78224,17420345.25
2016-02-05,230.25,230827,52121086.85
2016-02-08,227.2,27540,6325239.9
2016-02-09,225.95,81869,18197742.45
2016-02-10,215.55,109979,23718061.1
2016-02-11,199.05,78955,16139290.95
2016-02-12,194.3,315137,61513889.1
2016-02-15,202.55,370440,76199655.25
2016-02-16,198.75,34888,7014866.1
2016-02-17,206.65,84824,17381583.05
2016-02-18,205.2,124959,25911301.2
2016-02-19,205.0,16155,3312516.9
2016-02-22,205.4,25436,5272093.25
2016-02-23,202.15,15982,3244682.85
2016-02-24,191.35,72092,13928716.15
2016-02-25,193.65,18197,3515587.2
2016-02-26,193.0,13430,2598903.75
2016-02-29,194.65,34705,6730138.05
2016-03-01,203.7,51315,10426909.1
2016-03-02,204.0,129256,26473305.4
2016-03-03,204.6,80719,16598122.65
2016-03-04,202.15,51778,10532890.2
2016-03-08,201.45,73377,14972168.5
2016-03-09,203.1,195709,40324874.05
2016-03-10,200.4,80930,16452047.35
2016-03-11,199.85,36796,7387904.3
2016-03-14,198.3,264200,52823896.25
2016-03-15,197.0,50011,9856687.6
2016-03-16,199.1,66623,13189041.6
2016-03-17,196.75,43066,8537236.0
2016-03-18,197.4,94425,18628330.05
2016-03-21,199.3,57032,11307741.05
2016-03-22,196.6,177114,35450116.6
2016-03-23,197.05,80971,15970447.75
2016-03-28,184.3,133435,25136901.1
