Date,Close,Volume,Turnover
2016-01-01,122.95,299938,36912028.2
2016-01-04,120.9,77615,9428247.35
2016-01-05,121.95,94426,11553882.25
2016-01-06,121.45,203351,24805211.8
2016-01-07,119.2,307051,36671187.6
2016-01-08,119.1,121601,14555326.5
2016-01-11,118.1,120135,14165885.45
2016-01-12,118.15,184337,21725206.3
2016-01-13,118.25,625055,72332299.3
2016-01-14,117.75,330232,38465257.3
2016-01-15,118.0,419566,48895359.95
2016-01-18,114.05,254778,29127701.55
2016-01-19,111.7,258958,28937623.1
2016-01-20,109.0,250623,27197255.8
2016-01-21,111.65,301073,33264306.0
2016-01-22,112.75,255813,28710083.6
2016-01-25,112.25,212014,23721637.9
2016-01-27,112.3,92578,10378139.05
2016-01-28,111.5,200485,22373274.2
2016-01-29,113.0,260361,29433872.9
2016-02-01,113.2,143516,16195709.1
2016-02-02,113.0,146410,16470196.3
2016-02-03,112.6,178231,20008187.65
2016-02-04,111.5,126052,14065061.9
2016-02-05,112.35,153029,17154701.5
2016-02-08,111.35,185073,20559947.35
2016-02-09,109.65,228360,25005619.75
2016-02-10,108.6,105393,11459807.95
2016-02-11,109.35,160106,17358426.7
2016-02-12,108.95,202968,21850178.2
2016-02-15,110.3,73582,8052066.1
2016-02-16,109.3,66822,7314377.5
2016-02-17,109.1,99551,10855915.95
2016-02-18,109.15,54590,5960378.9
2016-02-19,109.35,55991,6100042.8
2016-02-22,108.95,41199,4488121.3
2016-02-23,109.0,78629,8541831.3
2016-02-24,109.5,225277,24574979.85
2016-02-25,109.6,62499,6821881.65
2016-02-26,108.85,111293,12217342.35
2016-02-29,108.35,86026,9343780.65
2016-03-01,108.7,58378,6324592.45
2016-03-02,109.85,247501,27169455.95
2016-03-03,109.75,80997,8887006.2
2016-03-04,109.65,100183,11026834.85
2016-03-08,110.35,143065,15933568.1
2016-03-09,111.05,73928,8203397.8
2016-03-10,109.95,31899,3522572.3
2016-03-11,109.25,50834,5534976.0
2016-03-14,111.0,564369,62890701.7
2016-03-15,109.45,156691,17319272.75
2016-03-16,109.55,24550,2695041.4
2016-03-17,110.3,5390851,640639117.05
2016-03-18,109.7,861362,95213636.6
2016-03-21,108.25,218504,23701330.4
2016-03-22,108.3,150221,16245616.9
2016-03-23,107.65,137888,14850286.8
2016-03-28,106.85,246975,26441003.9
2016-03-29,105.65,286477,30459160.85
2016-03-30,106.8,122274,13059559.6
2016-03-31,107.0,62394,6679045.4
2016-04-01,107.9,190145,20763235.1
2016-04-04,107.95,61929,6690134.95
2016-04-05,107.4,46484,4994477.15
2016-04-06,107.6,28564,3070875.65
2016-04-07,107.4,49225,5291291.6
2016-04-08,107.5,262465,28264828.6
2016-04-11,107.45,56181,6048954.7
2016-04-12,107.3,309138,33283962.75
2016-04-13,107.5,100020,10783761.9
2016-04-18,107.95,234450,25494051.35
2016-04-20,107.85,157074,17036191.05
2016-04-21,107.25,103211,11120893.8
2016-04-22,107.25,93059,10005125.25
2016-04-25,106.9,132733,14213824.45
2016-04-26,106.85,102879,11006728.25
2016-04-27,106.95,96329,10315911.4
