Date,Close,Volume,Turnover
2016-01-01,34.2,109674,3745475.8
2016-01-04,33.85,166956,5668491.3
2016-01-05,33.95,155238,5262221.4
2016-01-06,33.9,169636,5769871.65
2016-01-07,33.1,310720,10314376.25
2016-01-08,33.45,128718,4303035.15
2016-01-11,33.3,270726,8938421.9
2016-01-12,32.75,246090,8160820.75
2016-01-13,32.0,286976,9265606.05
2016-01-14,31.45,252082,7971642.7
2016-01-15,30.65,175644,5460268.3
2016-01-18,29.8,333208,9891056.4
2016-01-19,30.5,178983,5384537.4
2016-01-20,29.45,234994,6982686.15
2016-01-21,29.6,204612,6102298.6
2016-01-22,30.65,186750,5703536.9
2016-01-25,31.9,253807,7999059.35
2016-01-27,31.4,128669,4050123.7
2016-01-28,31.3,92951,2923529.3
2016-01-29,31.1,124675,3861545.25
2016-02-01,30.55,198220,6075812.35
2016-02-02,30.65,136837,4223999.7
2016-02-03,29.8,126018,3764655.5
2016-02-04,29.5,111798,3338963.7
2016-02-05,34.25,4618307,153463776.55
2016-02-08,33.05,963417,32490738.05
2016-02-09,32.1,350968,11354458.2
2016-02-10,31.05,381733,11895370.25
2016-02-11,30.45,452361,14018535.35
2016-02-12,29.6,408001,12086567.1
2016-02-15,31.4,432263,13628452.85
2016-02-16,30.6,402626,12759457.05
2016-02-17,31.35,376479,11621697.35
2016-02-18,31.3,211011,6676944.55
2016-02-19,31.5,142779,4491663.65
2016-02-22,31.2,191218,5981801.8
2016-02-23,30.55,156327,4822010.25
2016-02-24,30.3,135060,4112758.55
2016-02-25,30.25,153165,4628551.55
2016-02-26,30.1,222377,6711361.55
2016-02-29,31.1,476567,14733148.65
2016-03-01,31.45,385337,12094149.6
2016-03-02,32.4,597172,19517608.75
2016-03-03,33.05,499467,16460549.4
2016-03-04,33.75,994907,33421870.4
2016-03-08,32.1,648353,21264863.15
2016-03-09,31.75,393904,12544758.3
2016-03-10,31.9,271572,8718174.1
2016-03-11,31.55,197151,6261874.0
2016-03-14,31.3,226484,7147307.0
2016-03-15,31.65,292256,9267660.85
2016-03-16,31.35,240427,7554470.05
2016-03-17,31.15,818940,25492129.55
2016-03-18,30.55,1351876,41378318.9
2016-03-21,31.35,338347,10571298.6
2016-03-22,31.2,184400,5762723.0
2016-03-23,31.0,167386,5212426.6
2016-03-28,31.35,541135,16796906.55
2016-03-29,30.8,486786,15126066.35
2016-03-30,31.25,256913,8012552.15
2016-03-31,31.35,369651,11608958.75
2016-04-01,32.05,819369,25974946.35
2016-04-04,32.4,522767,16997810.95
2016-04-05,31.55,512900,16362763.15
2016-04-06,31.25,222960,6966795.3
2016-04-07,31.3,186911,5858058.0
2016-04-08,31.25,203028,6337976.15
2016-04-11,31.35,367418,11450242.45
2016-04-12,30.85,796682,24718011.95
2016-04-13,31.45,428008,13441795.95
2016-04-18,31.05,251192,7827237.6
2016-04-20,31.45,292598,9168530.9
2016-04-21,31.9,738330,23683120.1
2016-04-22,32.0,333437,10667510.7
2016-04-25,32.0,275036,8831612.8
2016-04-26,31.9,262648,8395571.3
2016-04-27,31.95,186494,5961199.8
2016-04-28,32.1,276943,8856052.95
2016-04-29,31.7,203106,6441053.2
2016-05-02,31.55,137357,4320568.1
2016-05-03,31.35,141974,4471244.2
2016-05-04,31.4,595299,18977231.9
2016-05-05,31.45,171281,5402038.3
2016-05-06,31.25,168815,5288410.2
2016-05-09,31.55,110718,3491400.3
2016-05-10,31.6,100486,3167884.05
2016-05-11,31.45,126295,3972461.05
2016-05-12,32.2,3333418,106388925.55
2016-05-13,31.15,402454,12612214.75
2016-05-16,30.9,157385,4856988.25
2016-05-17,30.95,171359,5298087.45
2016-05-18,30.9,142183,4390516.3
2016-05-19,30.55,173173,5324275.5
2016-05-20,30.4,157460,4782975.75
2016-05-23,30.35,208177,6330620.8
2016-05-24,30.1,151591,4562072.0
2016-05-25,29.9,337846,10158444.85
2016-05-26,30.5,188641,5726602.5
2016-05-27,30.7,216603,6628812.1
2016-05-30,30.55,155563,4781055.95
2016-05-31,30.35,620691,18864221.15
2016-06-01,29.85,752036,22529022.9
2016-06-02,30.4,235947,7121507.4
2016-06-03,30.4,158436,4816004.15
2016-06-06,30.55,130541,3971035.95
2016-06-07,30.85,264229,8148265.95
2016-06-08,31.2,235563,7312752.55
2016-06-09,32.05,733539,23598254.4
2016-06-10,31.95,287428,9227460.05
2016-06-13,31.25,154034,4826264.3
2016-06-14,31.95,521281,16670830.95
2016-06-15,33.3,1223519,40147941.95
2016-06-16,34.8,1854063,63722299.85
2016-06-17,37.55,3454530,127428420.75
2016-06-20,36.95,1273393,47230810.45
2016-06-21,35.9,684683,24999101.45
2016-06-22,36.85,1240743,45894192.1
2016-06-23,36.4,500963,18246399.95
2016-06-24,35.7,691219,24306594.85
2016-06-27,38.1,2441323,92932063.45
2016-06-28,38.0,835619,31804548.35
2016-06-29,37.65,553356,21019588.1
2016-06-30,37.55,434925,16384208.35
2016-07-01,37.3,370533,13901719.35
2016-07-04,39.05,1705023,66222510.55
2016-07-05,43.65,6576008,278229696.9
2016-07-07,42.75,2326922,102495057.85
2016-07-08,41.2,1266096,52454480.0
2016-07-11,42.6,799796,33902164.5
2016-07-12,42.9,1372636,58849253.55
2016-07-13,42.15,577925,24524370.15
2016-07-14,42.55,875091,37190589.35
2016-07-15,44.0,2318846,102381475.25
2016-07-18,43.25,1129669,49712439.95
2016-07-19,42.25,993368,42343592.5
2016-07-20,42.15,472104,19957666.75
2016-07-21,41.65,394314,16539815.25
2016-07-22,43.1,5230682,225187967.7
2016-07-25,42.75,897627,38733516.35
2016-07-26,42.5,747356,32251715.65
2016-07-27,42.25,432932,18386771.15
2016-07-28,41.9,442140,18642714.85
2016-07-29,41.3,337825,14019259.3
