Date,Symbol,CMP,S1,S1_prob,S1_n,S2,S2_prob,S2_n,R1,R1_prob,R1_n,R2,R2_prob,R2_n,RSI,Trend
2026-07-03,AARTIIND,483.6,465.27,100.0,22.0,456.02,100.0,30.0,483.78,100.0,8.0,,,,,
2026-07-06,AARTIIND,488.5,488.4,58.0,347.0,465.27,70.0,213.0,493.68,58.0,347.0,503.5,67.0,308.0,,
2026-07-03,BEL,421.65,409.45,96.0,26.0,398.62,85.0,60.0,432.35,42.0,24.0,,,,,
2026-07-06,BEL,425.55,420.83,58.0,447.0,409.45,69.0,360.0,432.35,58.0,447.0,460.59,71.0,111.0,,
2026-07-03,COCHINSHIP,1537.8,1480.96,100.0,33.0,1405.74,77.0,75.0,1666.76,44.0,61.0,,,,,
2026-07-06,COCHINSHIP,1506.4,1477.93,58.0,347.0,1405.74,74.0,160.0,1510.9,58.0,347.0,1657.09,71.0,107.0,,
2026-07-03,CONCOR,478.8,471.6,75.0,8.0,,,,513.29,44.0,16.0,,,,,
2026-07-06,CONCOR,481.3,471.6,78.0,120.0,437.45,66.0,15.0,513.29,60.0,42.0,534.26,66.0,15.0,,
2026-07-03,KALYANKJIL,390.95,381.21,89.0,9.0,361.1,70.0,23.0,410.09,93.0,14.0,,,,,
2026-07-06,KALYANKJIL,381.25,381.21,58.0,347.0,361.1,70.0,213.0,410.09,74.0,160.0,452.6,67.0,63.0,,
2026-07-03,KAYNES,3283.0,2995.0,22.0,9.0,,,,3399.0,,3.0,,,,,
2026-07-06,KAYNES,3359.2,3347.0,60.0,124.0,,,,3399.0,60.0,124.0,,,,,
2026-07-03,KFINTECH,880.55,866.0,88.0,8.0,823.29,52.0,23.0,907.55,100.0,8.0,1006.0,64.0,55.0,,
2026-07-06,KFINTECH,882.1,868.41,58.0,447.0,823.29,74.0,175.0,904.17,69.0,360.0,928.0,72.0,253.0,,
2026-07-03,NATIONALUM,344.8,338.97,100.0,6.0,,,,359.39,100.0,9.0,379.82,100.0,20.0,,
2026-07-06,NATIONALUM,351.05,345.28,58.0,347.0,338.97,67.0,308.0,359.39,67.0,308.0,379.82,71.0,107.0,,
2026-07-03,RECLTD,368.35,361.84,96.0,26.0,353.05,76.0,66.0,377.88,70.0,33.0,,,,,
2026-07-06,RECLTD,364.75,361.84,58.0,447.0,353.05,69.0,360.0,377.89,69.0,360.0,387.42,74.0,175.0,,
2026-07-03,RELIANCE,1303.0,1292.52,85.0,13.0,1253.2,76.0,25.0,1313.25,85.0,13.0,,,,,
2026-07-06,RELIANCE,1321.3,1292.52,78.0,120.0,,,,1344.9,61.0,174.0,1371.72,78.0,120.0,,
2026-07-03,SAIL,168.24,155.03,36.0,11.0,,,,209.7,32.0,31.0,,,,,
2026-07-06,SAIL,169.23,155.03,71.0,111.0,148.05,66.0,28.0,209.7,66.0,28.0,,,,,
2026-07-03,TMPV,345.9,332.63,58.0,31.0,,,,352.62,93.0,15.0,364.92,89.0,37.0,,
2026-07-06,TMPV,347.05,332.63,59.0,115.0,291.88,66.0,62.0,352.62,60.0,124.0,,,,,
2026-07-03,VOLTAS,1294.5,1275.24,75.0,20.0,,,,1326.08,95.0,21.0,1365.52,81.0,52.0,,
2026-07-06,VOLTAS,1284.5,1273.24,58.0,447.0,1213.79,72.0,253.0,1286.63,58.0,447.0,1365.52,74.0,175.0,,
2026-07-03,WIPRO,177.35,169.0,,0.0,,,,189.66,,0.0,,,,,
2026-07-06,WIPRO,174.32,169.0,69.0,360.0,,,,189.66,71.0,111.0,204.24,66.0,28.0,,
