Symbol,Date,CMP,S1,S1_prob,S1_n,R1,R1_prob,R1_n,S2,S2_prob,S2_n,R2,R2_prob,R2_n
AARTIIND,2026-07-09,467.95,465.27,58,347,475.41,58,347,456.02,67.0,308.0,492.68,70.0,213.0
AARTIIND,2026-07-10,484.1,465.27,67,308,492.66,58,347,456.02,70.0,213.0,503.5,70.0,213.0
AARTIIND,2026-07-13,484.3,465.27,67,308,492.66,58,347,456.02,70.0,213.0,503.5,67.0,308.0
AARTIIND,2026-07-14,484.3,465.27,67,308,492.66,58,347,456.02,70.0,213.0,503.5,67.0,308.0
AARTIIND,2026-07-15,500.7,488.4,67,308,503.5,58,347,465.27,74.0,160.0,523.1,70.0,213.0
AARTIIND,2026-07-16,504.75,488.4,67,308,504.9,58,347,465.27,74.0,160.0,523.1,67.0,308.0
AARTIIND,2026-07-20,495.4,488.4,58,347,503.5,58,347,465.27,74.0,160.0,523.1,70.0,213.0
AARTIIND,2026-07-23,478.2,465.27,67,308,493.38,67,308,455.22,70.0,213.0,503.5,70.0,213.0
ADANIENSOL,2026-07-09,1618.5,1506.49,74,160,1712.0,70,213,1236.6,67.0,63.0,,,
ADANIENSOL,2026-07-10,1618.5,1506.49,74,160,1712.0,70,213,1236.6,67.0,63.0,,,
ADANIENSOL,2026-07-13,1644.6,1506.49,71,107,1712.0,70,213,1236.6,67.0,63.0,,,
ADANIENSOL,2026-07-14,1644.6,1506.49,71,107,1712.0,70,213,1236.6,67.0,63.0,,,
ADANIENSOL,2026-07-15,1678.0,1483.76,71,107,1713.9,67,308,1236.6,67.0,63.0,,,
ADANIENSOL,2026-07-16,1689.5,1506.71,71,107,1744.0,67,308,1356.85,67.0,63.0,,,
ADANIENSOL,2026-07-20,1716.3,1491.84,67,63,1757.7,67,308,1339.92,67.0,63.0,,,
ADANIENSOL,2026-07-21,1741.6,1488.82,67,63,1789.0,67,308,1332.21,67.0,63.0,,,
ADANIENSOL,2026-07-23,1683.8,1488.82,71,107,1789.0,74,160,1332.21,67.0,63.0,,,
ADANIGREEN,2026-07-15,1555.4,1122.43,67,63,1631.5,70,213,1035.78,67.0,63.0,,,
ADANIGREEN,2026-07-21,1541.9,1512.36,58,347,1631.5,70,213,1122.43,67.0,63.0,,,
APARINDS,2026-07-09,14154.0,9519.45,66,62,17157.0,66,62,9055.43,66.0,62.0,,,
APARINDS,2026-07-10,14058.0,9519.45,66,62,17157.0,66,62,9055.43,66.0,62.0,,,
APARINDS,2026-07-14,13595.0,9519.45,66,62,17157.0,66,62,9055.43,66.0,62.0,,,
APARINDS,2026-07-15,14161.0,9519.45,66,62,17157.0,66,62,9055.43,66.0,62.0,,,
APARINDS,2026-07-16,14205.0,9519.45,66,62,17157.0,66,62,9055.43,66.0,62.0,,,
APOLLOHOSP,2026-07-09,8753.5,7790.53,66,15,8950.0,78,120,7620.79,66.0,5.0,,,
ATHERENERG,2026-07-09,1218.4,907.84,66,62,1242.9,66,133,873.6,66.0,62.0,,,
ATHERENERG,2026-07-10,1218.4,907.84,66,62,1242.9,66,133,873.6,66.0,62.0,,,
ATHERENERG,2026-07-13,1184.6,938.04,66,62,1253.6,59,115,873.6,66.0,62.0,,,
ATHERENERG,2026-07-14,1184.6,938.04,66,62,1253.6,59,115,873.6,66.0,62.0,,,
ATHERENERG,2026-07-15,1296.4,909.14,66,62,1318.9,60,124,873.6,66.0,62.0,,,
ATHERENERG,2026-07-16,1267.1,900.59,66,62,1345.0,62,93,873.6,66.0,62.0,,,
ATHERENERG,2026-07-20,1296.7,900.59,66,62,1345.0,66,133,873.6,66.0,62.0,,,
ATHERENERG,2026-07-23,1233.2,900.59,66,62,1345.0,58,65,873.6,66.0,62.0,,,
BEL,2026-07-14,410.1,409.45,58,447,417.2,58,447,399.8,69.0,360.0,433.07,72.0,253.0
BEL,2026-07-16,407.1,399.8,58,447,412.17,58,447,378.84,74.0,175.0,420.83,69.0,360.0
BEL,2026-07-20,408.15,399.8,69,360,412.17,58,447,378.84,74.0,175.0,420.83,69.0,360.0
BEL,2026-07-21,410.05,409.45,58,447,417.21,58,447,399.8,69.0,360.0,433.07,72.0,253.0
BEL,2026-07-23,405.35,399.8,58,447,412.17,58,447,378.84,74.0,175.0,420.83,69.0,360.0
BHARATFORG,2026-07-09,2130.6,1904.83,71,111,2131.89,58,447,1734.53,66.0,28.0,,,
BHARATFORG,2026-07-10,2130.6,1904.83,71,111,2131.89,58,447,1734.53,66.0,28.0,,,
BHARATFORG,2026-07-13,2145.6,2131.89,58,447,2231.23,69,360,1904.83,71.0,111.0,,,
BHARATFORG,2026-07-14,2119.7,1904.83,71,111,2131.89,58,447,1734.53,66.0,28.0,2231.23,72.0,253.0
BHARATFORG,2026-07-16,2104.7,1904.83,71,111,2131.89,58,447,1734.53,66.0,28.0,2231.23,74.0,175.0
BHARATFORG,2026-07-20,2209.0,2131.89,69,360,2231.23,58,447,1904.83,66.0,28.0,,,
BHARATFORG,2026-07-23,2175.3,2131.89,58,447,2231.23,69,360,1904.83,66.0,28.0,,,
CGPOWER,2026-07-20,912.45,887.1,69,360,918.12,58,447,746.91,66.0,28.0,980.9,74.0,175.0
FEDERALBNK,2026-07-09,327.75,287.33,66,5,334.3,61,174,277.1,66.0,5.0,,,
FEDERALBNK,2026-07-10,327.75,287.33,66,5,334.3,61,174,277.1,66.0,5.0,,,
FEDERALBNK,2026-07-20,349.25,286.29,66,28,351.0,58,447,277.1,66.0,28.0,,,
GRANULES,2026-07-09,863.55,736.5,66,28,879.1,58,447,616.78,66.0,28.0,,,
GRANULES,2026-07-10,889.85,736.5,66,28,901.8,58,447,567.5,66.0,28.0,,,
GRANULES,2026-07-13,895.7,736.5,66,28,907.8,58,447,616.74,66.0,28.0,,,
GRANULES,2026-07-14,895.1,736.5,66,28,907.8,58,447,616.74,66.0,28.0,,,
GRANULES,2026-07-15,896.65,736.5,66,28,907.8,58,447,616.74,66.0,28.0,,,
