date,symbol,action,price,qty,value,regime,sector,reason,pnl
2026-05-25,AUROPHARMA.NS,BUY,1453.4,131,190395.4,SIDEWAYS,N/A,Alpha signal,
2026-05-25,ABB.NS,BUY,6791.0,20,135820.0,SIDEWAYS,N/A,Alpha signal,
2026-05-25,BHEL.NS,BUY,413.15,359,148320.85,SIDEWAYS,N/A,Alpha signal,
2026-05-25,BHEL.NS,BUY,413.15,359,148320.85,SIDEWAYS,N/A,Alpha signal,
2026-05-25,THERMAX.NS,BUY,4414.2,24,105940.8,SIDEWAYS,N/A,Alpha signal,
2026-05-25,AUROPHARMA.NS,BUY,1453.4,131,190395.4,SIDEWAYS,N/A,Alpha signal,
2026-05-25,MANKIND.NS,BUY,2457.0,55,135135.0,SIDEWAYS,N/A,Alpha signal,
2026-05-25,SIEMENS.NS,BUY,3817.7,37,141254.9,SIDEWAYS,N/A,Alpha signal,
2026-05-25,ABB.NS,BUY,6791.0,20,135820.0,SIDEWAYS,N/A,Alpha signal,
2026-05-25,CIPLA.NS,BUY,1402.3,142,199126.61,SIDEWAYS,N/A,Alpha signal,
2026-05-27,ABB.NS,BUY,7053.0,21,148113.0,SIDEWAYS,N/A,Alpha signal,
2026-05-27,AUROPHARMA.NS,BUY,1449.8,144,208771.21,SIDEWAYS,N/A,Alpha signal,
2026-05-27,MANKIND.NS,BUY,2411.0,56,135016.0,SIDEWAYS,N/A,Alpha signal,
2026-05-27,HAL.NS,BUY,4446.4,39,173409.6,SIDEWAYS,N/A,Alpha signal,
2026-07-06,AARTIIND.NS,SELL,488.5,3625,1770812.5,BEAR,N/A,Month-end re-qualification: eligible but dropped out of top-2 for current regime (BEAR),89762.5
2026-07-07,AARTIIND.NS,SELL,488.5,3625,1770812.5,BEAR,N/A,Month-end re-qualification: eligible but dropped out of top-2 for current regime (BEAR),89762.5
2026-07-07,AARTIIND.NS,SELL,488.5,3625,1770812.5,BEAR,N/A,Month-end re-qualification: eligible but dropped out of top-2 for current regime (BEAR),89762.5
